(469s) Epoch=1, Group=34loss: 52481.416719,  ess_sis: 1.001295,  density: -39766.206719
(469s) Epoch=1, Group=35loss: 52611.687891,  ess_sis: 1.000119,  density: -40038.808545
(469s) Epoch=1, Group=36loss: 51992.260254,  ess_sis: 1.000410,  density: -39335.998926
(469s) Epoch=1, Group=37loss: 52645.764336,  ess_sis: 1.000591,  density: -39987.462793
(469s) Epoch=1, Group=38loss: 52928.801660,  ess_sis: 1.000005,  density: -40084.760068
(468s) Epoch=1, Group=39loss: 52735.160703,  ess_sis: 1.000000,  density: -39911.108955
(469s) Epoch=1, Group=40loss: 52623.033027,  ess_sis: 1.000042,  density: -39687.717949
(468s) Epoch=1, Group=41loss: 52634.224258,  ess_sis: 1.000750,  density: -40005.376318
(469s) Epoch=1, Group=42loss: 53246.928809,  ess_sis: 1.000328,  density: -40464.113770
(468s) Epoch=1, Group=43loss: 52859.917539,  ess_sis: 1.000534,  density: -40165.334736
(468s) Epoch=1, Group=44loss: 52190.872617,  ess_sis: 1.000199,  density: -39580.808594
(468s) Epoch=1, Group=45loss: 52746.772852,  ess_sis: 1.000273,  density: -39954.788643
(469s) Epoch=1, Group=46loss: 52607.688574,  ess_sis: 1.000243,  density: -39948.617998
(469s) Epoch=1, Group=47loss: 52581.964023,  ess_sis: 1.000056,  density: -39594.564971
(469s) Epoch=1, Group=48loss: 52116.884219,  ess_sis: 1.000011,  density: -39549.264473
(469s) Epoch=1, Group=49loss: 52993.645566,  ess_sis: 1.000000,  density: -40152.948047
(469s) Epoch=1, Group=50loss: 52190.965605,  ess_sis: 1.000000,  density: -39507.405605
(468s) Epoch=1, Group=51loss: 52804.307305,  ess_sis: 1.000593,  density: -40101.022080
(468s) Epoch=1, Group=52loss: 52439.263027,  ess_sis: 1.000000,  density: -39761.679629
(469s) Epoch=1, Group=53loss: 52352.091504,  ess_sis: 1.001255,  density: -39439.856152
(468s) Epoch=1, Group=54loss: 52579.629570,  ess_sis: 1.001002,  density: -39705.066553
(469s) Epoch=1, Group=55loss: 52962.502285,  ess_sis: 1.000013,  density: -40214.238555
(469s) Epoch=1, Group=56loss: 52299.352090,  ess_sis: 1.000000,  density: -39581.008164
(468s) Epoch=1, Group=57loss: 52113.190371,  ess_sis: 1.000764,  density: -39430.140908
(469s) Epoch=1, Group=58loss: 52253.098379,  ess_sis: 1.000012,  density: -39620.878623
(468s) Epoch=1, Group=59loss: 51691.011797,  ess_sis: 1.000510,  density: -39132.878486
(469s) Epoch=2, Group=0loss: 52013.052812,  ess_sis: 1.000217,  density: -39424.992021
(468s) Epoch=2, Group=1loss: 52884.730273,  ess_sis: 1.000000,  density: -40194.923281
(469s) Epoch=2, Group=2loss: 51723.741582,  ess_sis: 1.001019,  density: -39141.612148
(469s) Epoch=2, Group=3loss: 52304.186133,  ess_sis: 1.001270,  density: -39544.208643
(469s) Epoch=2, Group=4loss: 52424.060840,  ess_sis: 1.000005,  density: -39629.504541
(469s) Epoch=2, Group=5loss: 51969.105859,  ess_sis: 1.001925,  density: -39451.365000
(468s) Epoch=2, Group=6loss: 52520.574824,  ess_sis: 1.000153,  density: -39703.993477
(468s) Epoch=2, Group=7loss: 51908.076133,  ess_sis: 1.000042,  density: -39207.385898
(470s) Epoch=2, Group=8loss: 51819.530859,  ess_sis: 1.000128,  density: -39002.580518
(469s) Epoch=2, Group=9loss: 52412.888242,  ess_sis: 1.000002,  density: -39508.395283
(468s) Epoch=2, Group=10loss: 52459.656777,  ess_sis: 1.000004,  density: -39667.665713
(468s) Epoch=2, Group=11loss: 51479.633770,  ess_sis: 1.000867,  density: -38738.837656
(467s) Epoch=2, Group=12loss: 52615.076191,  ess_sis: 1.000000,  density: -39758.497148
(467s) Epoch=2, Group=13loss: 52209.431719,  ess_sis: 1.000456,  density: -39336.986582
(467s) Epoch=2, Group=14loss: 51191.887949,  ess_sis: 1.000055,  density: -38858.032090
(467s) Epoch=2, Group=15loss: 52468.485547,  ess_sis: 1.001983,  density: -39658.786611
(468s) Epoch=2, Group=16loss: 51952.457031,  ess_sis: 1.000985,  density: -39306.016152
(467s) Epoch=2, Group=17loss: 52550.863262,  ess_sis: 1.000544,  density: -39365.145107
(468s) Epoch=2, Group=18loss: 52199.197539,  ess_sis: 1.000001,  density: -39508.031963
(466s) Epoch=2, Group=19loss: 51803.110117,  ess_sis: 1.000002,  density: -39138.447979
(467s) Epoch=2, Group=20loss: 51256.249922,  ess_sis: 1.000722,  density: -38569.322236
(466s) Epoch=2, Group=21loss: 51606.163516,  ess_sis: 1.000000,  density: -39012.220176
(466s) Epoch=2, Group=22loss: 52167.429746,  ess_sis: 1.000000,  density: -39532.104180
(468s) Epoch=2, Group=23loss: 51915.671582,  ess_sis: 1.000338,  density: -39194.876445
(467s) Epoch=2, Group=24loss: 52436.702383,  ess_sis: 1.001659,  density: -39476.864414
(466s) Epoch=2, Group=25loss: 52162.607500,  ess_sis: 1.000000,  density: -39143.962559
(466s) Epoch=2, Group=26loss: 52316.907051,  ess_sis: 1.000000,  density: -39669.798408
(467s) Epoch=2, Group=27loss: 52020.554883,  ess_sis: 1.000040,  density: -39146.743984
(467s) Epoch=2, Group=28loss: 52124.339082,  ess_sis: 1.001829,  density: -39195.844961
(466s) Epoch=2, Group=29loss: 51903.550879,  ess_sis: 1.000007,  density: -39254.910459
(467s) Epoch=2, Group=30loss: 51958.559863,  ess_sis: 1.000339,  density: -39400.381436
(466s) Epoch=2, Group=31loss: 52982.155391,  ess_sis: 1.000019,  density: -40054.437285
(465s) Epoch=2, Group=32loss: 51987.621094,  ess_sis: 1.001147,  density: -39273.639609
(465s) Epoch=2, Group=33loss: 51854.553945,  ess_sis: 1.000065,  density: -39248.765195
(466s) Epoch=2, Group=34loss: 51993.057754,  ess_sis: 1.000713,  density: -39167.392051
(465s) Epoch=2, Group=35loss: 51923.416426,  ess_sis: 1.000210,  density: -39121.129736
(464s) Epoch=2, Group=36loss: 51721.769004,  ess_sis: 1.000933,  density: -38981.249229
(465s) Epoch=2, Group=37loss: 52128.483848,  ess_sis: 1.000244,  density: -39179.151396
(465s) Epoch=2, Group=38loss: 51957.842754,  ess_sis: 1.000048,  density: -39128.694482
