snr: 0.724099, var: 0.369895, inckl_gen:0.247866, inckl_eta:0.023085, inckl_z:0.042817
snr: 0.720548, var: 0.413600, inckl_gen:0.175350, inckl_eta:0.037689, inckl_z:0.495431
snr: 0.728764, var: 0.420762, inckl_gen:0.078413, inckl_eta:0.022398, inckl_z:0.085376
snr: 0.719885, var: 0.399717, inckl_gen:0.094037, inckl_eta:0.020910, inckl_z:0.127638
snr: 0.718404, var: 0.384058, inckl_gen:0.119129, inckl_eta:0.044922, inckl_z:0.211918
snr: 0.726128, var: 0.502166, inckl_gen:0.058608, inckl_eta:0.005682, inckl_z:0.101154
snr: 0.726842, var: 0.378113, inckl_gen:0.065158, inckl_eta:0.009706, inckl_z:0.279287
snr: 0.719029, var: 0.386231, inckl_gen:0.211139, inckl_eta:0.005753, inckl_z:0.083668
snr: 0.713954, var: 0.385228, inckl_gen:0.073105, inckl_eta:0.076209, inckl_z:0.657591
snr: 0.713968, var: 0.395399, inckl_gen:0.190840, inckl_eta:0.005098, inckl_z:0.825014
snr: 0.726393, var: 0.388151, inckl_gen:0.118083, inckl_eta:0.023126, inckl_z:0.720412
snr: 0.722060, var: 0.491076, inckl_gen:0.099427, inckl_eta:0.002398, inckl_z:0.308097
snr: 0.712007, var: 0.339159, inckl_gen:0.019809, inckl_eta:0.007161, inckl_z:0.084991
snr: 0.716165, var: 0.340597, inckl_gen:0.029047, inckl_eta:0.005910, inckl_z:0.220486
snr: 0.721607, var: 0.372967, inckl_gen:0.023374, inckl_eta:0.002013, inckl_z:0.013613
snr: 0.717694, var: 0.449529, inckl_gen:0.020758, inckl_eta:0.007051, inckl_z:0.125905
snr: 0.716644, var: 0.407841, inckl_gen:0.012771, inckl_eta:0.003804, inckl_z:0.106437
snr: 0.713538, var: 0.364132, inckl_gen:0.025124, inckl_eta:0.003333, inckl_z:0.342971
snr: 0.713467, var: 0.375497, inckl_gen:0.029127, inckl_eta:0.006358, inckl_z:0.104558
snr: 0.710501, var: 0.371263, inckl_gen:0.023867, inckl_eta:0.016341, inckl_z:0.085133
snr: 0.712904, var: 0.377104, inckl_gen:0.024463, inckl_eta:0.003937, inckl_z:0.102706
snr: 0.709151, var: 0.459148, inckl_gen:0.023677, inckl_eta:0.002740, inckl_z:0.204546
snr: 0.723929, var: 0.393893, inckl_gen:0.025962, inckl_eta:0.000623, inckl_z:0.123381
snr: 0.719594, var: 0.417340, inckl_gen:0.017295, inckl_eta:0.002223, inckl_z:0.880843
snr: 0.713552, var: 0.412763, inckl_gen:0.011170, inckl_eta:0.003301, inckl_z:0.305381
snr: 0.720406, var: 0.398554, inckl_gen:0.009952, inckl_eta:0.000739, inckl_z:0.070702
snr: 0.716676, var: 0.374770, inckl_gen:0.012922, inckl_eta:0.000890, inckl_z:0.112420
snr: 0.716739, var: 0.358728, inckl_gen:0.010411, inckl_eta:0.000399, inckl_z:0.111363
snr: 0.722234, var: 0.376091, inckl_gen:0.005742, inckl_eta:0.000931, inckl_z:0.140382
snr: 0.717672, var: 0.386482, inckl_gen:0.004135, inckl_eta:0.003672, inckl_z:0.156664
snr: 0.715051, var: 0.369653, inckl_gen:0.006853, inckl_eta:0.001186, inckl_z:0.300112
snr: 0.722754, var: 0.393239, inckl_gen:0.013229, inckl_eta:0.002697, inckl_z:0.133068
snr: 0.730838, var: 0.387854, inckl_gen:0.005223, inckl_eta:0.001008, inckl_z:0.403022
snr: 0.716593, var: 0.354247, inckl_gen:0.003613, inckl_eta:0.001010, inckl_z:0.120978
snr: 0.716318, var: 0.470450, inckl_gen:0.008501, inckl_eta:0.001225, inckl_z:0.873762
snr: 0.713634, var: 0.428204, inckl_gen:0.004830, inckl_eta:0.000651, inckl_z:0.112362
snr: 0.710894, var: 0.377572, inckl_gen:0.004426, inckl_eta:0.001927, inckl_z:0.311733
snr: 0.712317, var: 0.443003, inckl_gen:0.015369, inckl_eta:0.012776, inckl_z:1.687579
snr: 0.718999, var: 0.379017, inckl_gen:0.004279, inckl_eta:0.000943, inckl_z:1.159759
snr: 0.713311, var: 0.372198, inckl_gen:0.004636, inckl_eta:0.010553, inckl_z:0.217114
snr: 0.721233, var: 0.394165, inckl_gen:0.001838, inckl_eta:0.003243, inckl_z:0.670354
snr: 0.713263, var: 0.402943, inckl_gen:0.004832, inckl_eta:0.000417, inckl_z:0.554446
snr: 0.715144, var: 0.393135, inckl_gen:0.004566, inckl_eta:0.001452, inckl_z:0.779503
snr: 0.718297, var: 0.438788, inckl_gen:0.002048, inckl_eta:0.000458, inckl_z:0.549040
snr: 0.721703, var: 0.419665, inckl_gen:0.001916, inckl_eta:0.000757, inckl_z:0.153933
snr: 0.716652, var: 0.360198, inckl_gen:0.002514, inckl_eta:0.002282, inckl_z:0.221991
snr: 0.716477, var: 0.364924, inckl_gen:0.001762, inckl_eta:0.000907, inckl_z:0.804324
snr: 0.710581, var: 0.522444, inckl_gen:0.001129, inckl_eta:0.001859, inckl_z:0.063387
snr: 0.714116, var: 0.379209, inckl_gen:0.000944, inckl_eta:0.010722, inckl_z:0.009824
snr: 0.715339, var: 0.457142, inckl_gen:0.000755, inckl_eta:0.000132, inckl_z:0.016430
snr: 0.719055, var: 0.687357, inckl_gen:0.001745, inckl_eta:0.022881, inckl_z:0.412212
snr: 0.710934, var: 0.372968, inckl_gen:0.001360, inckl_eta:0.000493, inckl_z:0.203601
snr: 0.721258, var: 0.319740, inckl_gen:0.002153, inckl_eta:0.001334, inckl_z:0.562595
snr: 0.709989, var: 0.361961, inckl_gen:0.001285, inckl_eta:0.000619, inckl_z:0.275653
snr: 0.713061, var: 0.364389, inckl_gen:0.001565, inckl_eta:0.000982, inckl_z:0.506741
snr: 0.712024, var: 0.324935, inckl_gen:0.001440, inckl_eta:0.003576, inckl_z:0.057648
snr: 0.721941, var: 0.401936, inckl_gen:0.000868, inckl_eta:0.009419, inckl_z:0.236883
snr: 0.719151, var: 0.383258, inckl_gen:0.000689, inckl_eta:0.025894, inckl_z:0.622036
snr: 0.713446, var: 0.342749, inckl_gen:0.001319, inckl_eta:0.000320, inckl_z:0.035861
snr: 0.716528, var: 0.402505, inckl_gen:0.000730, inckl_eta:0.000239, inckl_z:0.016995
snr: 0.713478, var: 0.395246, inckl_gen:0.000902, inckl_eta:0.024217, inckl_z:0.136203
snr: 0.711147, var: 0.349687, inckl_gen:0.000445, inckl_eta:0.003272, inckl_z:0.487294
snr: 0.716327, var: 0.322889, inckl_gen:0.000777, inckl_eta:0.001431, inckl_z:1.077086
snr: 0.727536, var: 0.342248, inckl_gen:0.001307, inckl_eta:0.011503, inckl_z:0.199790
snr: 0.719218, var: 0.377051, inckl_gen:0.000828, inckl_eta:0.000206, inckl_z:0.212422
snr: 0.712226, var: 0.375995, inckl_gen:0.000957, inckl_eta:0.004529, inckl_z:0.925315
snr: 0.718642, var: 0.384832, inckl_gen:0.000392, inckl_eta:0.000187, inckl_z:0.212568
snr: 0.724263, var: 0.369406, inckl_gen:0.001153, inckl_eta:0.000535, inckl_z:0.378283
snr: 0.712841, var: 0.349058, inckl_gen:0.001053, inckl_eta:0.000605, inckl_z:0.438457
snr: 0.712535, var: 0.352597, inckl_gen:0.001146, inckl_eta:0.000389, inckl_z:0.501841
snr: 0.712303, var: 0.328851, inckl_gen:0.001210, inckl_eta:0.006814, inckl_z:0.425057
snr: 0.715434, var: 0.345019, inckl_gen:0.001254, inckl_eta:0.001849, inckl_z:0.839053
snr: 0.718934, var: 0.383200, inckl_gen:0.000346, inckl_eta:0.009265, inckl_z:0.415265
snr: 0.723967, var: 0.330123, inckl_gen:0.001121, inckl_eta:0.001473, inckl_z:0.434556
snr: 0.718767, var: 0.351366, inckl_gen:0.000653, inckl_eta:0.003408, inckl_z:0.601076
snr: 0.718644, var: 0.341290, inckl_gen:0.000516, inckl_eta:0.000291, inckl_z:0.830666
snr: 0.713327, var: 0.334807, inckl_gen:0.000981, inckl_eta:0.000433, inckl_z:0.082004
snr: 0.714840, var: 0.339725, inckl_gen:0.000697, inckl_eta:0.001284, inckl_z:0.055340
snr: 0.716458, var: 0.388164, inckl_gen:0.000897, inckl_eta:0.000713, inckl_z:0.387690
snr: 0.715876, var: 0.416208, inckl_gen:0.001780, inckl_eta:0.005554, inckl_z:1.213832
snr: 0.713831, var: 0.350184, inckl_gen:0.000308, inckl_eta:0.000174, inckl_z:0.036742
snr: 0.726490, var: 0.358459, inckl_gen:0.000935, inckl_eta:0.000329, inckl_z:0.185838
snr: 0.719943, var: 0.354231, inckl_gen:0.001056, inckl_eta:0.004339, inckl_z:0.858882
snr: 0.711176, var: 0.338931, inckl_gen:0.000923, inckl_eta:0.001334, inckl_z:0.627439
snr: 0.716221, var: 0.367322, inckl_gen:0.001115, inckl_eta:0.000677, inckl_z:0.026916
snr: 0.732527, var: 0.320934, inckl_gen:0.000830, inckl_eta:0.000517, inckl_z:0.517967
snr: 0.719635, var: 0.390248, inckl_gen:0.000266, inckl_eta:0.001194, inckl_z:0.027195
snr: 0.721226, var: 0.327989, inckl_gen:0.000676, inckl_eta:0.000316, inckl_z:0.252615
snr: 0.721952, var: 0.363757, inckl_gen:0.000460, inckl_eta:0.000254, inckl_z:1.290129
snr: 0.724236, var: 0.375868, inckl_gen:0.000925, inckl_eta:0.000526, inckl_z:0.127284
snr: 0.720841, var: 0.377381, inckl_gen:0.000556, inckl_eta:0.000139, inckl_z:0.160638
snr: 0.728217, var: 0.347538, inckl_gen:0.000784, inckl_eta:0.011410, inckl_z:0.723144
snr: 0.715500, var: 0.359759, inckl_gen:0.001133, inckl_eta:0.000965, inckl_z:0.232081
snr: 0.720800, var: 0.386555, inckl_gen:0.000361, inckl_eta:0.000315, inckl_z:0.049948
snr: 0.711146, var: 0.318027, inckl_gen:0.000729, inckl_eta:0.000479, inckl_z:0.186200
snr: 0.712705, var: 0.363059, inckl_gen:0.000601, inckl_eta:0.000113, inckl_z:0.458306
snr: 0.722094, var: 0.368207, inckl_gen:0.000124, inckl_eta:0.005179, inckl_z:0.649983
snr: 0.716732, var: 0.288635, inckl_gen:0.002610, inckl_eta:0.001647, inckl_z:0.676915
snr: 0.720968, var: 0.374668, inckl_gen:0.000597, inckl_eta:0.000180, inckl_z:0.434520
snr: 0.713637, var: 0.491648, inckl_gen:0.000444, inckl_eta:0.001233, inckl_z:1.036457
snr: 0.719424, var: 0.445392, inckl_gen:0.000430, inckl_eta:0.001239, inckl_z:0.333800
snr: 0.723488, var: 0.442581, inckl_gen:0.000437, inckl_eta:0.000238, inckl_z:0.037805
snr: 0.713046, var: 0.414055, inckl_gen:0.002197, inckl_eta:0.006581, inckl_z:2.268165
snr: 0.722703, var: 0.350183, inckl_gen:0.000939, inckl_eta:0.000699, inckl_z:0.262231
snr: 0.724126, var: 0.355912, inckl_gen:0.000541, inckl_eta:0.001456, inckl_z:0.170355
snr: 0.727518, var: 0.445593, inckl_gen:0.000496, inckl_eta:0.001315, inckl_z:0.469548
snr: 0.716076, var: 0.371282, inckl_gen:0.000954, inckl_eta:0.012655, inckl_z:0.237807
snr: 0.714291, var: 0.318069, inckl_gen:0.000306, inckl_eta:0.003186, inckl_z:0.791856
snr: 0.710162, var: 0.337674, inckl_gen:0.000500, inckl_eta:0.000345, inckl_z:0.153297
snr: 0.727445, var: 0.348340, inckl_gen:0.000887, inckl_eta:0.002234, inckl_z:0.674836
snr: 0.713341, var: 0.373377, inckl_gen:0.001013, inckl_eta:0.000466, inckl_z:0.316667
snr: 0.719278, var: 0.350173, inckl_gen:0.000837, inckl_eta:0.000344, inckl_z:0.480786
snr: 0.721820, var: 0.368913, inckl_gen:0.000130, inckl_eta:0.000084, inckl_z:0.060691
snr: 0.714550, var: 0.359341, inckl_gen:0.000919, inckl_eta:0.019786, inckl_z:0.100262
snr: 0.712567, var: 0.379878, inckl_gen:0.000506, inckl_eta:0.002267, inckl_z:0.672780
snr: 0.722073, var: 0.376273, inckl_gen:0.000582, inckl_eta:0.000220, inckl_z:0.488176
snr: 0.716912, var: 0.417736, inckl_gen:0.000693, inckl_eta:0.000493, inckl_z:0.467683
snr: 0.715477, var: 0.357714, inckl_gen:0.001439, inckl_eta:0.001213, inckl_z:0.970651
