TrueKL=0.027290, loss: 21.299269,  ess_rws: 1.150665,  ess_eta: 49.913939,  ess_z: 8.849955,  inckl_eta: 0.043842,  inckl_z: 0.536658
TrueKL=0.011347, loss: 21.231991,  ess_rws: 1.155726,  ess_eta: 49.911716,  ess_z: 8.885734,  inckl_eta: 0.045244,  inckl_z: 0.529831
TrueKL=0.001162, loss: 21.330589,  ess_rws: 1.149046,  ess_eta: 49.917038,  ess_z: 9.056874,  inckl_eta: 0.045120,  inckl_z: 0.517644
TrueKL=0.000986, loss: 21.174115,  ess_rws: 1.152984,  ess_eta: 49.912876,  ess_z: 9.194407,  inckl_eta: 0.046212,  inckl_z: 0.510332
TrueKL=0.119476, loss: 21.242672,  ess_rws: 1.152555,  ess_eta: 49.913031,  ess_z: 9.211957,  inckl_eta: 0.086754,  inckl_z: 0.503674
TrueKL=1.305050, loss: 21.239826,  ess_rws: 1.150624,  ess_eta: 49.910736,  ess_z: 9.252198,  inckl_eta: 0.045049,  inckl_z: 0.502288
TrueKL=0.046825, loss: 21.318591,  ess_rws: 1.155160,  ess_eta: 49.914333,  ess_z: 9.448326,  inckl_eta: 0.055498,  inckl_z: 0.493442
TrueKL=0.000909, loss: 21.306705,  ess_rws: 1.154330,  ess_eta: 49.923798,  ess_z: 9.506256,  inckl_eta: 0.044403,  inckl_z: 0.486877
TrueKL=0.001066, loss: 21.199644,  ess_rws: 1.158521,  ess_eta: 49.906461,  ess_z: 9.564942,  inckl_eta: 0.043376,  inckl_z: 0.486389
TrueKL=0.000947, loss: 21.294183,  ess_rws: 1.153396,  ess_eta: 49.918071,  ess_z: 9.792752,  inckl_eta: 0.044582,  inckl_z: 0.472229
TrueKL=0.007266, loss: 21.321795,  ess_rws: 1.154451,  ess_eta: 49.914591,  ess_z: 9.833528,  inckl_eta: 0.045414,  inckl_z: 0.472354
TrueKL=0.021019, loss: 21.175761,  ess_rws: 1.157737,  ess_eta: 49.911925,  ess_z: 9.814197,  inckl_eta: 0.042855,  inckl_z: 0.468640
TrueKL=0.021228, loss: 21.128775,  ess_rws: 1.151974,  ess_eta: 49.918499,  ess_z: 9.972921,  inckl_eta: 0.892612,  inckl_z: 0.460465
TrueKL=0.000875, loss: 21.241293,  ess_rws: 1.151396,  ess_eta: 49.925271,  ess_z: 9.932171,  inckl_eta: 0.045897,  inckl_z: 0.455062
TrueKL=0.000926, loss: 21.153518,  ess_rws: 1.155442,  ess_eta: 49.916944,  ess_z: 10.209895,  inckl_eta: 0.045548,  inckl_z: 0.448339
TrueKL=0.000883, loss: 21.108285,  ess_rws: 1.151066,  ess_eta: 49.922899,  ess_z: 10.197593,  inckl_eta: 0.046671,  inckl_z: 0.442266
TrueKL=0.000847, loss: 21.107658,  ess_rws: 1.151671,  ess_eta: 49.921271,  ess_z: 10.290796,  inckl_eta: 0.046766,  inckl_z: 0.441979
TrueKL=0.000831, loss: 21.103228,  ess_rws: 1.159530,  ess_eta: 49.922832,  ess_z: 10.304548,  inckl_eta: 0.046042,  inckl_z: 0.438905
