TrueKL=0.466803, loss: 15.510072,  ess_rws: 10.420826,  inckl_eta: 0.019158,  inckl_z: 0.251530
TrueKL=0.801992, loss: 15.577794,  ess_rws: 10.331367,  inckl_eta: 0.027486,  inckl_z: 0.263164
TrueKL=0.587075, loss: 15.931330,  ess_rws: 9.966385,  inckl_eta: 0.045198,  inckl_z: 0.279733
TrueKL=0.723420, loss: 16.244066,  ess_rws: 9.651839,  inckl_eta: 0.084417,  inckl_z: 0.298872
TrueKL=2.551836, loss: 16.147080,  ess_rws: 9.603308,  inckl_eta: 0.171733,  inckl_z: 0.300456
TrueKL=1.085431, loss: 16.014048,  ess_rws: 9.615354,  inckl_eta: 0.227128,  inckl_z: 0.296230
TrueKL=0.025505, loss: 15.883623,  ess_rws: 9.861666,  inckl_eta: 1.604048,  inckl_z: 0.292442
TrueKL=0.011620, loss: 15.780575,  ess_rws: 9.956233,  inckl_eta: 0.025295,  inckl_z: 0.281112
TrueKL=0.009215, loss: 15.747845,  ess_rws: 10.035662,  inckl_eta: 0.013596,  inckl_z: 0.286192
TrueKL=0.009254, loss: 15.630826,  ess_rws: 10.114331,  inckl_eta: 0.013968,  inckl_z: 0.282561
TrueKL=0.008769, loss: 15.515016,  ess_rws: 10.187464,  inckl_eta: 0.012907,  inckl_z: 0.277533
TrueKL=0.009317, loss: 15.515408,  ess_rws: 10.225715,  inckl_eta: 0.015033,  inckl_z: 0.275910
TrueKL=0.009797, loss: 15.437110,  ess_rws: 10.290605,  inckl_eta: 0.013144,  inckl_z: 0.273540
TrueKL=0.098533, loss: 15.496284,  ess_rws: 10.401894,  inckl_eta: 0.017783,  inckl_z: 0.273203
