snr: 0.788615, var: 0.227398, inckl_gen:0.009441, inckl_eta:0.000896, inckl_z:1.102293
snr: 0.792628, var: 0.220850, inckl_gen:0.012421, inckl_eta:0.001416, inckl_z:0.810044
snr: 0.783981, var: 0.223492, inckl_gen:0.022819, inckl_eta:0.002129, inckl_z:3.008059
snr: 0.775906, var: 0.212329, inckl_gen:0.000749, inckl_eta:0.000532, inckl_z:0.022199
snr: 0.783081, var: 0.220601, inckl_gen:0.004587, inckl_eta:0.001203, inckl_z:0.015382
snr: 0.790336, var: 0.231092, inckl_gen:0.003291, inckl_eta:0.000370, inckl_z:0.025037
snr: 0.782523, var: 0.215970, inckl_gen:0.005129, inckl_eta:0.000451, inckl_z:0.437830
snr: 0.773488, var: 0.208043, inckl_gen:0.001017, inckl_eta:0.000638, inckl_z:0.851050
snr: 0.785949, var: 0.216150, inckl_gen:0.068340, inckl_eta:0.001665, inckl_z:1.391267
snr: 0.782272, var: 0.223233, inckl_gen:0.003438, inckl_eta:0.000790, inckl_z:0.172563
snr: 0.780767, var: 0.212942, inckl_gen:0.002596, inckl_eta:0.003372, inckl_z:1.624278
snr: 0.780089, var: 0.212618, inckl_gen:0.072707, inckl_eta:0.000697, inckl_z:0.521964
snr: 0.787528, var: 0.234629, inckl_gen:0.001651, inckl_eta:0.000962, inckl_z:0.067475
snr: 0.774861, var: 0.208084, inckl_gen:0.002599, inckl_eta:0.001187, inckl_z:0.032149
snr: 0.787634, var: 0.221288, inckl_gen:0.006912, inckl_eta:0.001012, inckl_z:0.448836
snr: 0.779315, var: 0.230563, inckl_gen:0.005423, inckl_eta:0.000505, inckl_z:0.101107
snr: 0.778687, var: 0.215399, inckl_gen:0.019222, inckl_eta:0.000441, inckl_z:0.403465
snr: 0.786831, var: 0.230328, inckl_gen:0.012434, inckl_eta:0.000493, inckl_z:0.588357
snr: 0.784166, var: 0.229727, inckl_gen:0.001070, inckl_eta:0.001036, inckl_z:0.479145
snr: 0.785437, var: 0.234585, inckl_gen:0.001505, inckl_eta:0.000713, inckl_z:0.109695
snr: 0.792894, var: 0.240962, inckl_gen:0.010691, inckl_eta:0.000754, inckl_z:1.021545
snr: 0.782811, var: 0.232256, inckl_gen:0.003578, inckl_eta:0.001468, inckl_z:0.333712
snr: 0.787081, var: 0.232604, inckl_gen:0.002531, inckl_eta:0.001200, inckl_z:0.261509
snr: 0.771808, var: 0.219256, inckl_gen:0.019805, inckl_eta:0.000767, inckl_z:0.759053
snr: 0.777189, var: 0.222199, inckl_gen:0.064164, inckl_eta:0.001104, inckl_z:1.439665
snr: 0.781576, var: 0.227754, inckl_gen:0.004044, inckl_eta:0.000984, inckl_z:0.457162
snr: 0.778069, var: 0.213308, inckl_gen:0.002946, inckl_eta:0.000773, inckl_z:0.692950
snr: 0.795777, var: 0.236746, inckl_gen:0.003217, inckl_eta:0.000750, inckl_z:0.490810
snr: 0.782799, var: 0.221201, inckl_gen:0.016262, inckl_eta:0.001024, inckl_z:0.388964
snr: 0.786806, var: 0.234975, inckl_gen:0.003932, inckl_eta:0.000667, inckl_z:0.844609
snr: 0.786389, var: 0.235384, inckl_gen:0.002545, inckl_eta:0.000721, inckl_z:2.964493
snr: 0.791034, var: 0.255589, inckl_gen:0.005082, inckl_eta:0.000411, inckl_z:2.191287
snr: 0.780603, var: 0.222800, inckl_gen:0.005237, inckl_eta:0.000483, inckl_z:1.317406
