snr: 0.927808, var: 1.047046
snr: 0.971192, var: 1.107163
snr: 0.953469, var: 1.074501
snr: 0.941655, var: 1.047638
snr: 0.864640, var: 0.957982
snr: 0.918175, var: 1.066499
snr: 0.915046, var: 1.034000
snr: 0.940842, var: 1.038292
snr: 0.936597, var: 1.037949
snr: 1.005029, var: 1.131348
snr: 0.953897, var: 1.051416
snr: 1.019275, var: 1.146718
snr: 0.972797, var: 1.075792
snr: 0.993538, var: 1.096433
snr: 0.993786, var: 1.092747
snr: 0.953315, var: 1.038594
snr: 0.949814, var: 1.054662
snr: 0.954069, var: 1.040375
snr: 0.930392, var: 1.037841
snr: 1.006465, var: 1.092420
snr: 0.928195, var: 1.030928
snr: 0.943885, var: 1.035583
snr: 1.005685, var: 1.083892
snr: 0.965991, var: 1.067545
snr: 0.941949, var: 1.026126
snr: 0.910250, var: 0.995074
snr: 0.988123, var: 1.077070
snr: 0.985647, var: 1.072126
snr: 0.975243, var: 1.057815
snr: 0.902123, var: 0.962119
snr: 0.982235, var: 1.035933
snr: 0.982480, var: 1.052616
snr: 0.964881, var: 1.039202
snr: 0.978014, var: 1.060965
snr: 0.962554, var: 1.031665
snr: 0.995323, var: 1.047109
snr: 0.990665, var: 1.053771
snr: 0.968486, var: 1.023180
snr: 0.989029, var: 1.066485
snr: 0.989631, var: 1.059578
snr: 0.986051, var: 1.056424
snr: 1.028411, var: 1.104566
snr: 0.995255, var: 1.052431
snr: 1.018993, var: 1.079096
snr: 1.016873, var: 1.066816
snr: 0.969966, var: 1.019604
snr: 0.985090, var: 1.044914
snr: 0.972029, var: 1.023375
snr: 0.940101, var: 0.979628
snr: 0.943868, var: 0.985160
snr: 1.050129, var: 1.103153
snr: 0.939361, var: 0.984671
snr: 0.962796, var: 1.003445
snr: 0.983936, var: 1.029518
snr: 1.003522, var: 1.038172
snr: 0.994277, var: 1.015131
snr: 0.936296, var: 0.957241
snr: 0.961993, var: 0.985545
snr: 0.965867, var: 0.996634
snr: 0.933341, var: 0.971862
snr: 0.931639, var: 0.971889
snr: 0.904992, var: 0.940353
snr: 0.988185, var: 1.023142
snr: 0.919918, var: 0.947116
snr: 0.920151, var: 0.979558
snr: 0.928705, var: 0.969779
snr: 1.001103, var: 1.031097
snr: 1.001516, var: 1.040424
snr: 0.967349, var: 0.995874
snr: 0.949314, var: 0.971716
snr: 0.999163, var: 1.014856
snr: 1.023535, var: 1.041558
snr: 1.003312, var: 1.028854
snr: 0.990954, var: 1.009600
snr: 0.894993, var: 0.911106
snr: 0.895346, var: 0.917871
snr: 0.879509, var: 0.908522
snr: 0.891760, var: 0.909361
snr: 0.946340, var: 0.962157
snr: 0.921574, var: 0.941799
snr: 0.992225, var: 1.005819
snr: 1.020545, var: 1.038647
snr: 0.997617, var: 1.019991
