snr: 0.426653, var: 1.001769
snr: 0.423731, var: 0.960262
snr: 0.444351, var: 0.957984
snr: 0.487699, var: 0.981085
snr: 0.460395, var: 1.004737
snr: 0.443370, var: 0.989903
snr: 0.425941, var: 0.910186
snr: 0.437860, var: 0.962833
snr: 0.453481, var: 0.954656
snr: 0.458096, var: 0.939611
snr: 0.461467, var: 1.040945
snr: 0.473371, var: 1.045852
snr: 0.458523, var: 0.985082
snr: 0.476338, var: 1.090545
snr: 0.457268, var: 1.014197
snr: 0.471883, var: 1.036041
snr: 0.457224, var: 1.025055
snr: 0.480985, var: 1.000991
snr: 0.467903, var: 1.031836
snr: 0.483794, var: 1.000091
snr: 0.466811, var: 1.029541
snr: 0.478196, var: 1.040283
snr: 0.483350, var: 0.974896
snr: 0.477327, var: 1.006491
snr: 0.493680, var: 0.971668
snr: 0.472768, var: 0.984138
snr: 0.470991, var: 0.989631
snr: 0.464123, var: 0.954258
snr: 0.497238, var: 0.951669
snr: 0.476856, var: 0.944182
snr: 0.483127, var: 1.014067
snr: 0.462045, var: 0.979227
snr: 0.468986, var: 0.984726
snr: 0.480678, var: 0.977757
snr: 0.462148, var: 0.942824
snr: 0.482376, var: 0.925275
snr: 0.453063, var: 0.952414
snr: 0.460568, var: 0.962894
snr: 0.468252, var: 0.982131
snr: 0.475666, var: 0.966230
snr: 0.485271, var: 0.991134
snr: 0.482903, var: 1.031176
snr: 0.465023, var: 0.940494
snr: 0.477153, var: 0.972999
snr: 0.491642, var: 0.981351
snr: 0.462116, var: 0.949965
snr: 0.487107, var: 1.032646
snr: 0.478876, var: 0.998626
snr: 0.459120, var: 0.953018
snr: 0.499207, var: 0.989186
snr: 0.500939, var: 0.947239
snr: 0.498276, var: 1.014391
snr: 0.496049, var: 0.952210
snr: 0.487693, var: 1.001778
snr: 0.500331, var: 1.035643
snr: 0.490536, var: 0.952138
snr: 0.483405, var: 0.923628
snr: 0.463368, var: 0.934505
snr: 0.469279, var: 0.903350
snr: 0.497629, var: 0.926201
snr: 0.495933, var: 0.937478
snr: 0.494202, var: 0.965821
snr: 0.498285, var: 0.973410
snr: 0.499873, var: 0.993444
snr: 0.481853, var: 1.005652
snr: 0.494716, var: 0.964793
snr: 0.497829, var: 0.924846
snr: 0.513929, var: 0.929839
snr: 0.486409, var: 0.943065
snr: 0.489984, var: 0.952728
snr: 0.472900, var: 0.925603
snr: 0.480153, var: 0.936015
snr: 0.502078, var: 0.983916
snr: 0.552146, var: 1.043755
snr: 0.501037, var: 1.023860
snr: 0.512391, var: 0.951998
snr: 0.508999, var: 0.927265
snr: 0.487024, var: 0.962874
snr: 0.499675, var: 0.927305
snr: 0.477797, var: 0.938254
snr: 0.480175, var: 0.921338
snr: 0.485380, var: 0.955453
snr: 0.507767, var: 0.926287
snr: 0.478341, var: 0.892334
snr: 0.491846, var: 0.960577
snr: 0.483177, var: 0.948112
snr: 0.490866, var: 0.979508
snr: 0.520804, var: 1.055782
snr: 0.517664, var: 1.009191
snr: 0.504049, var: 0.961648
snr: 0.531021, var: 0.943552
snr: 0.532987, var: 0.937429
snr: 0.537781, var: 0.936557
snr: 0.488913, var: 0.916065
snr: 0.466442, var: 0.889261
snr: 0.483684, var: 0.886564
snr: 0.514315, var: 0.932646
snr: 0.539469, var: 1.032198
snr: 0.513891, var: 0.945560
snr: 0.529055, var: 0.925942
snr: 0.506573, var: 0.929821
snr: 0.496267, var: 0.926980
snr: 0.478459, var: 0.897545
snr: 0.531809, var: 1.029481
snr: 0.522759, var: 0.968152
snr: 0.500873, var: 0.977144
snr: 0.515077, var: 0.969521
snr: 0.518361, var: 0.891839
snr: 0.499593, var: 0.880766
snr: 0.513865, var: 0.893174
snr: 0.529525, var: 0.897633
snr: 0.504541, var: 0.845809
snr: 0.561113, var: 0.950688
snr: 0.551351, var: 0.938684
snr: 0.530618, var: 0.931970
snr: 0.519756, var: 0.884105
snr: 0.530236, var: 0.905458
snr: 0.487587, var: 0.863832
snr: 0.504360, var: 0.907912
snr: 0.518436, var: 0.930450
snr: 0.530882, var: 0.933299
snr: 0.544332, var: 0.926493
snr: 0.524878, var: 0.962947
snr: 0.536390, var: 0.958410
snr: 0.498083, var: 0.921012
snr: 0.543074, var: 0.939747
snr: 0.524180, var: 0.895923
snr: 0.533516, var: 0.903133
snr: 0.539907, var: 0.927537
snr: 0.548465, var: 0.916415
snr: 0.530232, var: 0.884204
snr: 0.523125, var: 0.859088
snr: 0.519328, var: 0.855188
snr: 0.523203, var: 0.926984
snr: 0.535876, var: 0.958413
snr: 0.517843, var: 0.883798
snr: 0.535771, var: 0.905326
snr: 0.540482, var: 0.871053
snr: 0.533148, var: 0.920614
snr: 0.525936, var: 0.913583
snr: 0.534546, var: 0.967738
snr: 0.565136, var: 1.009553
snr: 0.513880, var: 0.913580
snr: 0.508841, var: 0.897133
snr: 0.556279, var: 0.933433
snr: 0.536526, var: 0.928768
snr: 0.531200, var: 0.931583
snr: 0.528917, var: 0.945965
snr: 0.545992, var: 0.916775
snr: 0.556812, var: 0.910255
snr: 0.555572, var: 0.930363
snr: 0.560232, var: 0.940676
snr: 0.562758, var: 0.927115
snr: 0.530326, var: 0.878436
snr: 0.528278, var: 0.849552
snr: 0.542556, var: 0.916293
snr: 0.516185, var: 0.883477
snr: 0.538484, var: 0.877881
snr: 0.542331, var: 0.924230
snr: 0.545406, var: 0.919920
snr: 0.565037, var: 0.892998
snr: 0.523272, var: 0.853619
snr: 0.507435, var: 0.872203
snr: 0.548475, var: 0.910825
snr: 0.528198, var: 0.891626
snr: 0.541072, var: 0.877813
snr: 0.538540, var: 0.851624
snr: 0.557415, var: 0.905122
snr: 0.558967, var: 0.950342
snr: 0.563295, var: 0.919046
snr: 0.562216, var: 0.963025
snr: 0.553632, var: 0.942900
snr: 0.556374, var: 0.941094
snr: 0.569359, var: 0.943850
snr: 0.550796, var: 0.894958
snr: 0.551328, var: 0.956052
snr: 0.549944, var: 0.970971
snr: 0.535505, var: 0.922409
snr: 0.536634, var: 0.867674
snr: 0.571167, var: 0.875015
snr: 0.560368, var: 0.910225
snr: 0.573043, var: 0.938430
snr: 0.544338, var: 0.870523
snr: 0.552036, var: 0.861679
snr: 0.540971, var: 0.838870
snr: 0.539022, var: 0.871123
snr: 0.564033, var: 0.878073
snr: 0.533728, var: 0.875426
snr: 0.554896, var: 0.851832
snr: 0.543882, var: 0.863106
snr: 0.560247, var: 0.887886
snr: 0.563811, var: 0.889987
snr: 0.547493, var: 0.896088
snr: 0.576457, var: 0.907855
snr: 0.581603, var: 0.903971
snr: 0.561004, var: 0.844288
snr: 0.608931, var: 0.930302
snr: 0.568969, var: 0.895189
snr: 0.558054, var: 0.838865
snr: 0.568049, var: 0.867581
snr: 0.575960, var: 0.878281
snr: 0.552919, var: 0.879829
snr: 0.570225, var: 0.910084
snr: 0.575954, var: 0.890483
snr: 0.566248, var: 0.844227
snr: 0.562366, var: 0.837976
snr: 0.572531, var: 0.908171
snr: 0.575365, var: 0.887353
snr: 0.576701, var: 0.864468
snr: 0.539972, var: 0.842933
snr: 0.561303, var: 0.863526
snr: 0.565617, var: 0.859036
snr: 0.572174, var: 0.860779
snr: 0.555855, var: 0.868078
snr: 0.545643, var: 0.880091
snr: 0.571012, var: 0.892391
snr: 0.578140, var: 0.887138
snr: 0.552851, var: 0.867085
snr: 0.560856, var: 0.847601
snr: 0.580406, var: 0.862180
snr: 0.599955, var: 0.884695
snr: 0.604502, var: 0.901693
