snr: 1.044143, var: 1.094447
snr: 1.024040, var: 1.076451
snr: 0.948810, var: 1.004011
snr: 0.939240, var: 0.987855
snr: 0.923513, var: 0.966577
snr: 0.963748, var: 1.016768
snr: 1.002086, var: 1.042747
snr: 0.997362, var: 1.041897
snr: 1.020444, var: 1.082352
snr: 0.944551, var: 1.014698
snr: 1.014324, var: 1.076686
snr: 1.080328, var: 1.134640
snr: 1.002418, var: 1.053990
snr: 0.949759, var: 0.999645
snr: 0.937433, var: 0.981557
snr: 0.976218, var: 1.030164
snr: 0.957064, var: 1.018565
snr: 1.000249, var: 1.076597
snr: 0.920666, var: 0.972248
snr: 0.981512, var: 1.031079
snr: 0.965843, var: 1.006475
snr: 0.966850, var: 1.004870
snr: 1.041206, var: 1.085876
snr: 1.066470, var: 1.113353
snr: 0.980171, var: 1.045733
snr: 1.028288, var: 1.077882
snr: 1.024081, var: 1.068153
snr: 0.999805, var: 1.049774
snr: 1.066031, var: 1.112978
snr: 1.032367, var: 1.069234
snr: 0.972601, var: 1.013572
snr: 1.001948, var: 1.052037
snr: 0.981873, var: 1.027909
snr: 1.001281, var: 1.052229
snr: 0.997344, var: 1.051407
snr: 0.981129, var: 1.022579
snr: 0.976879, var: 1.018230
snr: 1.007284, var: 1.063671
snr: 0.955663, var: 1.003110
snr: 0.986820, var: 1.030124
snr: 1.015238, var: 1.060891
snr: 1.012558, var: 1.056621
snr: 0.974807, var: 1.015792
snr: 1.007141, var: 1.050926
snr: 1.000361, var: 1.045563
snr: 0.988780, var: 1.031401
snr: 0.977899, var: 1.017787
snr: 0.929790, var: 0.971231
snr: 0.949654, var: 1.005613
snr: 0.892207, var: 0.930912
snr: 0.916216, var: 0.980173
snr: 0.926569, var: 0.985107
snr: 0.958087, var: 1.009908
snr: 0.960923, var: 1.009826
snr: 0.966745, var: 1.010722
snr: 0.941291, var: 0.999589
snr: 1.036868, var: 1.078454
snr: 0.999812, var: 1.038208
snr: 1.024288, var: 1.068199
snr: 1.034285, var: 1.074969
snr: 0.990846, var: 1.031197
snr: 0.984588, var: 1.022581
snr: 0.973539, var: 1.015919
snr: 1.017925, var: 1.065701
snr: 0.981319, var: 1.032819
snr: 1.000435, var: 1.049157
snr: 0.928429, var: 0.963836
snr: 0.940273, var: 0.986935
snr: 1.006370, var: 1.043389
snr: 1.065872, var: 1.103729
snr: 1.027450, var: 1.074535
snr: 1.067170, var: 1.117804
snr: 0.981946, var: 1.036078
snr: 1.026448, var: 1.075125
snr: 0.962124, var: 0.996196
snr: 0.980253, var: 1.030552
snr: 0.989169, var: 1.030088
snr: 1.062015, var: 1.113321
snr: 1.074602, var: 1.142269
snr: 0.989599, var: 1.039816
snr: 1.047368, var: 1.115305
snr: 1.023703, var: 1.073952
snr: 1.030285, var: 1.077496
snr: 0.992119, var: 1.029621
snr: 0.984803, var: 1.033282
snr: 1.034118, var: 1.074298
snr: 1.044790, var: 1.092766
snr: 0.995933, var: 1.040112
snr: 1.016006, var: 1.061046
snr: 1.073931, var: 1.119872
snr: 0.995406, var: 1.036487
snr: 1.039671, var: 1.072734
snr: 1.006113, var: 1.045990
snr: 1.012979, var: 1.060645
snr: 0.986683, var: 1.030490
snr: 1.067401, var: 1.105365
snr: 1.021396, var: 1.053224
snr: 0.956200, var: 0.988808
snr: 1.060359, var: 1.099525
snr: 1.030304, var: 1.070325
snr: 0.960988, var: 1.007969
snr: 0.964734, var: 1.010665
snr: 0.952682, var: 1.005602
snr: 0.989129, var: 1.038043
snr: 0.974790, var: 1.027821
snr: 1.028783, var: 1.082381
snr: 1.011467, var: 1.060301
snr: 1.046840, var: 1.089005
snr: 0.997970, var: 1.036732
