EUBO_ave, ELBO_ave, ESS, EUBO_os, ELBO_os, EUBO_ag, ELBO_ag, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-216.643829346, -320.943969727, 1.08835935593, -230.162521362, -395.244689941, -218.694839478, -317.685394287, 217.747131348, 17.0674381256, 47.1769638062, 15.5712661743, 145.809524536, 17.3923358917, 32.6861991882, 12.8087100983
-240.027557373, -393.267822266, 1.08016479015, -302.937683105, -554.693847656, -237.853790283, -371.71862793, 364.709106445, 17.7123432159, 141.433654785, 18.0696086884, 207.229370117, 18.478307724, 41.6065177917, 13.3759346008
-230.113616943, -361.638793945, 1.09145581722, -249.937728882, -459.1769104, -227.04145813, -361.03237915, 269.978057861, 16.2773361206, 61.1260452271, 17.3116416931, 162.853500366, 17.0087280273, 27.1839256287, 10.9347229004
-215.256759644, -310.956451416, 1.09871959686, -246.299194336, -422.226959229, -212.728561401, -298.371398926, 243.509994507, 17.4107074738, 58.2540931702, 17.2012310028, 132.642074585, 19.8633537292, 28.0268497467, 11.6167860031
-214.284179688, -313.477752686, 1.06994557381, -240.241073608, -397.902954102, -210.440093994, -306.254241943, 215.957458496, 16.5458087921, 66.5305557251, 16.2272605896, 136.989562988, 18.13804245, 29.9619426727, 11.965845108
-219.364547729, -318.968505859, 1.08739542961, -241.265960693, -404.408630371, -216.392791748, -320.154327393, 245.641815186, 17.0775279999, 55.613407135, 16.2059345245, 138.714416504, 19.8206863403, 36.8510475159, 11.721531868
-219.116653442, -310.549591064, 1.06757724285, -241.250427246, -396.735443115, -215.333435059, -301.907714844, 227.526077271, 15.8661460876, 51.1000213623, 16.2354450226, 125.330879211, 17.670589447, 24.0048065186, 11.294716835
-210.112243652, -296.869018555, 1.07997429371, -232.216171265, -375.522338867, -208.639923096, -283.468841553, 209.939498901, 16.1026363373, 49.9697761536, 15.8387870789, 117.412605286, 19.1715068817, 22.6172866821, 9.91605091095
-204.83505249, -275.274383545, 1.11442911625, -224.479415894, -331.410583496, -201.944152832, -268.378967285, 153.462463379, 15.4332332611, 42.5386390686, 14.2248926163, 99.7933502197, 16.8204021454, 21.9724655151, 10.0992593765
-221.657104492, -320.068389893, 1.08529245853, -254.013244629, -428.813201904, -220.243713379, -308.18951416, 249.293395996, 16.2787799835, 68.8464889526, 15.4724998474, 129.590072632, 18.4866924286, 27.1228027344, 12.2771596909
-215.315994263, -315.077178955, 1.06541585922, -248.181167603, -419.871765137, -211.491134644, -301.684020996, 252.031997681, 15.9170923233, 58.6948928833, 16.4913101196, 131.297058105, 20.0523662567, 26.3891181946, 10.9178543091
-212.289978027, -294.17791748, 1.07916212082, -234.879684448, -361.301330566, -211.444961548, -286.327301025, 183.347457886, 16.1073684692, 49.0307846069, 16.6492900848, 115.651611328, 20.36444664, 27.0813426971, 11.2149047852
-197.418121338, -261.151062012, 1.10404205322, -215.731246948, -311.174346924, -196.386322021, -256.500946045, 156.673126221, 15.4715795517, 34.205493927, 13.9265995026, 92.2126083374, 18.9800815582, 18.0234012604, 10.4329404831
-214.236953735, -300.643096924, 1.10474658012, -232.766616821, -402.585571289, -208.920120239, -288.740478516, 234.857116699, 16.6599063873, 47.8086967468, 15.7548770905, 111.476036072, 18.6867332458, 25.0633487701, 10.5939626694
-207.945602417, -281.998779297, 1.09266328812, -225.930526733, -342.255554199, -205.474380493, -270.616027832, 182.313598633, 16.2931480408, 41.7671127319, 14.7290172577, 103.204162598, 20.1992416382, 21.5334758759, 10.1395483017
-211.420608521, -286.319244385, 1.10268890858, -224.040802002, -347.772735596, -209.497848511, -278.059143066, 174.914535522, 16.1025810242, 34.322467804, 12.6737365723, 102.560546875, 18.2157516479, 23.59258461, 10.51009655
-203.454727173, -273.596069336, 1.10470032692, -219.440124512, -335.417419434, -202.215148926, -268.623199463, 160.967956543, 15.5548744202, 46.5345573425, 14.2260751724, 97.4635162354, 18.6891765594, 22.5013580322, 9.90632247925
-200.972702026, -270.366119385, 1.09821557999, -217.839660645, -341.559936523, -200.853469849, -264.498016357, 156.287750244, 15.4989805222, 39.4513397217, 14.2838745117, 91.3716506958, 17.1652126312, 21.6996078491, 9.80687522888
-209.837463379, -282.832366943, 1.12135875225, -228.227615356, -347.759918213, -206.097885132, -279.127807617, 174.355560303, 15.6906099319, 35.846824646, 13.2844667435, 100.048271179, 19.9566230774, 19.1363449097, 10.9193105698
