EUBO_ave, ELBO_ave, ESS, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-915.7754516601562, -1797.4307861328125, 1.0678691864013672, 1141.118408203125, 41.320186614990234, 768.7842407226562, 25.693462371826172
-1047.332763671875, -1975.843017578125, 1.0238360166549683, 1421.180419921875, 44.60574722290039, 932.634765625, 28.090320587158203
-1288.3001708984375, -2438.4541015625, 1.033328652381897, 1667.1405029296875, 48.97233581542969, 1305.3382568359375, 27.537370681762695
-1249.2098388671875, -2473.19140625, 1.0060338973999023, 1569.038330078125, 49.48228073120117, 1319.4102783203125, 27.351472854614258
-1042.26904296875, -2112.691650390625, 1.0093580484390259, 1454.754638671875, 52.116695404052734, 976.1864013671875, 26.716773986816406
-1328.8548583984375, -2533.51123046875, 1.0, 1551.82666015625, 53.624141693115234, 1559.9398193359375, 25.964216232299805
-1255.03271484375, -2543.673828125, 1.0195955038070679, 1381.936279296875, 70.24382019042969, 1756.8043212890625, 24.292573928833008
-1055.2913818359375, -2107.845703125, 1.0004512071609497, 1296.0523681640625, 64.56275939941406, 1086.8663330078125, 24.969934463500977
-1267.967529296875, -2622.673095703125, 1.0, 1574.955810546875, 81.15925598144531, 1311.2857666015625, 25.25238800048828
-1142.768798828125, -2397.886474609375, 1.0, 1322.696044921875, 84.09972381591797, 1381.0706787109375, 25.507734298706055
-1323.4664306640625, -2722.96728515625, 1.036760687828064, 1371.995361328125, 88.64904022216797, 1604.090576171875, 25.604299545288086
-1571.8525390625, -3036.525390625, 1.0000805854797363, 1782.0975341796875, 96.28535461425781, 1942.3902587890625, 24.943883895874023
-1648.8197021484375, -3548.397216796875, 1.0, 1775.5345458984375, 112.99596405029297, 2307.6025390625, 24.300859451293945
-1556.579833984375, -3407.2333984375, 1.0020849704742432, 1715.68505859375, 105.55663299560547, 2004.151123046875, 24.206892013549805
-1830.2138671875, -3881.40087890625, 1.0159188508987427, 2038.356201171875, 145.99472045898438, 2448.3115234375, 22.004404067993164
-1685.4287109375, -4237.408203125, 1.0017091035842896, 1636.2069091796875, 136.35098266601562, 2886.203857421875, 21.845680236816406
-2069.132080078125, -5226.54931640625, 1.0076935291290283, 1954.0762939453125, 163.1829376220703, 3362.66650390625, 22.690868377685547
-1689.36767578125, -4242.77294921875, 1.0000488758087158, 1496.2376708984375, 149.4082794189453, 2879.09912109375, 21.926513671875
-1757.8740234375, -4405.1318359375, 1.0000758171081543, 1704.64990234375, 174.93959045410156, 2917.21435546875, 20.069902420043945
-2060.710205078125, -5206.916015625, 1.0000146627426147, 1916.09130859375, 216.8135528564453, 3556.434326171875, 19.732088088989258
-2522.236328125, -7427.87255859375, 1.0, 2379.909912109375, 238.87078857421875, 4680.3154296875, 18.811010360717773
-2115.41015625, -6231.81982421875, 1.0, 1961.3966064453125, 225.7841339111328, 4064.9228515625, 19.422470092773438
-2363.686767578125, -6910.86572265625, 1.000083088874817, 2176.873046875, 262.7251892089844, 4217.0341796875, 19.064916610717773
-2638.967529296875, -8217.572265625, 1.0, 2485.01318359375, 244.63328552246094, 5472.619140625, 18.816482543945312
-2999.870361328125, -8700.146484375, 1.0, 2734.817138671875, 297.07037353515625, 4887.48095703125, 16.697751998901367
-3308.37353515625, -11834.5771484375, 1.0054534673690796, 3481.9052734375, 322.59906005859375, 7522.53076171875, 16.3214054107666
-3838.409423828125, -13781.8125, 1.0, 3594.863037109375, 394.03338623046875, 7716.8408203125, 14.837760925292969
-2379.074462890625, -10298.2939453125, 1.000117301940918, 2177.0888671875, 418.1255798339844, 5295.6220703125, 18.034067153930664
-3409.833984375, -25417.0625, 1.0, 3076.945556640625, 448.3299865722656, 11783.4072265625, 15.313863754272461
