EUBO_ave, ELBO_ave, ESS, EUBO_os, ELBO_os, EUBO_ag, ELBO_ag, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-203.917064667, -227.61240509, 1.28929169893, -180.469239197, -208.516308594, -206.685836639, -229.691968689, 29.1194655037, 10.8901863194, 13.4701294231, 5.82336993694, 48.6086152267, 29.6817565918, 2.69237909794, 2.09476807475
-203.240182648, -227.082404022, 1.28857532382, -179.340209351, -204.750986481, -205.648140106, -229.485661011, 28.2678624153, 10.8038661861, 11.27571558, 4.90726947546, 50.1824019623, 29.1414637947, 2.75134649873, 2.06261467934
-202.432939911, -226.21733429, 1.29448566794, -178.447050781, -202.941982117, -205.139928741, -228.841450043, 28.0607917976, 10.6638429642, 10.2815565348, 4.42466251612, 50.2096676636, 28.1743518448, 2.65813770175, 1.99336981297
-201.656887054, -224.933553925, 1.30380576968, -177.743403778, -201.616059265, -204.455905457, -227.582515869, 27.9340437889, 10.6729728222, 9.42981372833, 4.03061437845, 50.4673720932, 28.009533844, 2.59028178334, 1.96228224754
-201.09901886, -224.485910187, 1.30032249212, -177.394327393, -200.716393127, -203.708048248, -227.15261673, 28.0086357117, 10.6718312359, 8.20170325279, 3.65550909042, 50.7568227005, 27.0147751427, 2.60892608523, 1.90097001314
-200.234712677, -222.997105255, 1.31134914517, -177.019049835, -199.719539337, -202.80849762, -225.772076721, 27.629852314, 10.6553975105, 7.65739592075, 3.50553157806, 50.4085312271, 25.9679106522, 2.55269706726, 1.80904214144
-199.216965485, -221.574656677, 1.3174426496, -176.63794281, -199.111622162, -201.646371002, -223.796373749, 27.9247494507, 10.8395782566, 7.17652693748, 3.19120237827, 49.8582635498, 24.661975193, 2.43318739891, 1.81978832603
-198.347261353, -219.795545502, 1.34038511038, -176.384147186, -198.6424646, -200.61605545, -221.932008362, 27.5985562897, 10.7842983437, 6.56120850563, 3.03627136707, 48.1523765564, 23.5395062637, 2.41287524939, 1.75974248409
-197.478936157, -218.756407471, 1.3444293344, -176.12027298, -197.702178955, -199.633677216, -220.904403534, 27.630625782, 10.7924094772, 6.14676826954, 2.81097299933, 48.2742929459, 22.4154605484, 2.35982199192, 1.70320568204
-196.661369629, -217.578022461, 1.35236045837, -175.790569611, -196.953054962, -198.727827454, -219.722817688, 27.6472258949, 10.7225537968, 5.74215330362, 2.72602858543, 47.7909519958, 21.8186335564, 2.33730044127, 1.65322567821
-196.258289948, -217.203746033, 1.3528702724, -175.274913025, -196.384245148, -198.484697571, -219.678829346, 27.6342672539, 10.7414052677, 5.06726140261, 2.51122204781, 47.7289845657, 21.4441383362, 2.39427728295, 1.65117921472
-195.571436005, -216.97405365, 1.3555822587, -175.152983246, -195.54236145, -197.609448853, -219.031116943, 27.1816830063, 10.7208185959, 4.87147449493, 2.36173830032, 49.0539186859, 20.7658477211, 2.30149119973, 1.62880920887
-195.164118042, -215.890314636, 1.36734206915, -175.090901947, -195.036445465, -197.174114075, -218.071763458, 27.2943748093, 10.7824614811, 4.50366906404, 2.26451577187, 47.2877614212, 20.5175650406, 2.18859297991, 1.53976002216
-194.661884918, -215.628845367, 1.36832212687, -175.03079071, -194.510128937, -196.491943665, -217.594166107, 27.4573624039, 10.7875049019, 4.40929445982, 2.16580769062, 47.7009407425, 19.6220363998, 2.10260651588, 1.50988687396
-194.318303986, -215.13832077, 1.37211638093, -174.700709686, -194.311912079, -196.117558899, -217.062431488, 27.0576514244, 10.8728428555, 4.03980738163, 2.0257298255, 48.4279704666, 19.8630992031, 2.00346092463, 1.46828906059
-194.180265656, -214.550058441, 1.37958561182, -174.686396332, -194.231312408, -196.139258575, -216.468409424, 27.6519817162, 10.9846685028, 4.07119380713, 1.99061367273, 47.3383873367, 19.9039413834, 1.91277172565, 1.41858170271
-193.849211273, -214.41613266, 1.37616323829, -174.461585693, -193.970108795, -195.782683105, -216.250624542, 27.5301643944, 10.8469602585, 3.71430222988, 1.86462286353, 47.4617473602, 19.4319192028, 1.94765987635, 1.38834728658
