(278s) loss_phi: -370.266900,  loss_theta: 1037.460094,  ess_rws: inf,  ess_mu: 1.472635,  ess_local: 2.255373,  density: -5858.748750
(277s) loss_phi: -372.361300,  loss_theta: 1031.442182,  ess_rws: inf,  ess_mu: 1.471911,  ess_local: 2.256030,  density: -5808.637392
(277s) loss_phi: -374.132909,  loss_theta: 1044.684105,  ess_rws: inf,  ess_mu: 1.472003,  ess_local: 2.265058,  density: -5850.462003
(278s) loss_phi: -374.429570,  loss_theta: 1039.769647,  ess_rws: inf,  ess_mu: 1.469289,  ess_local: 2.262859,  density: -5814.592998
(278s) loss_phi: -366.799579,  loss_theta: 1022.920201,  ess_rws: inf,  ess_mu: 1.479085,  ess_local: 2.263555,  density: -5770.580247
(278s) loss_phi: -369.856920,  loss_theta: 1032.807045,  ess_rws: inf,  ess_mu: 1.460124,  ess_local: 2.259162,  density: -5751.656090
(277s) loss_phi: -365.715479,  loss_theta: 1039.409755,  ess_rws: inf,  ess_mu: 1.468867,  ess_local: 2.259581,  density: -5747.701271
(278s) loss_phi: -366.606041,  loss_theta: 1024.334726,  ess_rws: inf,  ess_mu: 1.471023,  ess_local: 2.264267,  density: -5750.116548
(278s) loss_phi: -371.764638,  loss_theta: 1037.330597,  ess_rws: inf,  ess_mu: 1.474639,  ess_local: 2.261171,  density: -5766.617720
(277s) loss_phi: -371.539864,  loss_theta: 1048.243514,  ess_rws: inf,  ess_mu: 1.474794,  ess_local: 2.269394,  density: -5719.283539
(278s) loss_phi: -364.663456,  loss_theta: 1041.886173,  ess_rws: inf,  ess_mu: 1.470730,  ess_local: 2.260197,  density: -5701.800180
(277s) loss_phi: -368.636947,  loss_theta: 1026.864178,  ess_rws: inf,  ess_mu: 1.475972,  ess_local: 2.257334,  density: -5752.353375
(278s) loss_phi: -376.878895,  loss_theta: 1027.579632,  ess_rws: inf,  ess_mu: 1.459822,  ess_local: 2.263887,  density: -5771.455650
(278s) loss_phi: -379.512408,  loss_theta: 1037.827644,  ess_rws: inf,  ess_mu: 1.466055,  ess_local: 2.274357,  density: -5743.263205
