(389s) loss_phi: -507.967100,  loss_theta: 448.483185,  ess_rws: 1.019703,  ess_mu: 1.252729,  ess_local: 1.028724,  density: -790.217655
(388s) loss_phi: -507.762710,  loss_theta: 449.414064,  ess_rws: 1.019452,  ess_mu: 1.256186,  ess_local: 1.026691,  density: -789.253809
(388s) loss_phi: -506.960481,  loss_theta: 447.954661,  ess_rws: 1.019466,  ess_mu: 1.250127,  ess_local: 1.025798,  density: -787.939900
(389s) loss_phi: -506.619342,  loss_theta: 444.835641,  ess_rws: 1.018336,  ess_mu: 1.250061,  ess_local: 1.027226,  density: -785.916398
(388s) loss_phi: -506.031250,  loss_theta: 444.637372,  ess_rws: 1.019387,  ess_mu: 1.263127,  ess_local: 1.026732,  density: -786.784020
(388s) loss_phi: -505.095189,  loss_theta: 436.963004,  ess_rws: 1.017895,  ess_mu: 1.257341,  ess_local: 1.028829,  density: -781.205105
(389s) loss_phi: -505.579831,  loss_theta: 439.848005,  ess_rws: 1.018626,  ess_mu: 1.249761,  ess_local: 1.028358,  density: -781.618933
(389s) loss_phi: -504.913101,  loss_theta: 436.927781,  ess_rws: 1.018260,  ess_mu: 1.257816,  ess_local: 1.025805,  density: -779.449492
(388s) loss_phi: -503.890772,  loss_theta: 434.582341,  ess_rws: 1.018291,  ess_mu: 1.257153,  ess_local: 1.027474,  density: -777.917014
(388s) loss_phi: -504.106134,  loss_theta: 433.991737,  ess_rws: 1.018926,  ess_mu: 1.259703,  ess_local: 1.027800,  density: -776.943208
(388s) loss_phi: -504.380522,  loss_theta: 436.763470,  ess_rws: 1.019701,  ess_mu: 1.256531,  ess_local: 1.028556,  density: -777.086007
(388s) loss_phi: -503.898827,  loss_theta: 433.209185,  ess_rws: 1.018065,  ess_mu: 1.263235,  ess_local: 1.028294,  density: -774.495544
(388s) loss_phi: -503.043838,  loss_theta: 430.493404,  ess_rws: 1.018131,  ess_mu: 1.258968,  ess_local: 1.028467,  density: -772.131909
(387s) loss_phi: -502.827117,  loss_theta: 430.133734,  ess_rws: 1.018208,  ess_mu: 1.263130,  ess_local: 1.026096,  density: -770.878847
(388s) loss_phi: -502.100336,  loss_theta: 428.149083,  ess_rws: 1.019251,  ess_mu: 1.259525,  ess_local: 1.028586,  density: -769.203168
(388s) loss_phi: -501.499235,  loss_theta: 426.087981,  ess_rws: 1.020560,  ess_mu: 1.257927,  ess_local: 1.024952,  density: -768.445111
(388s) loss_phi: -500.487497,  loss_theta: 421.431763,  ess_rws: 1.018630,  ess_mu: 1.255910,  ess_local: 1.029058,  density: -765.543351
(388s) loss_phi: -499.755482,  loss_theta: 423.465657,  ess_rws: 1.019732,  ess_mu: 1.259474,  ess_local: 1.027893,  density: -765.367834
(388s) loss_phi: -499.612787,  loss_theta: 423.552380,  ess_rws: 1.019787,  ess_mu: 1.257063,  ess_local: 1.027428,  density: -764.473762
(387s) loss_phi: -499.260452,  loss_theta: 419.158575,  ess_rws: 1.020158,  ess_mu: 1.269626,  ess_local: 1.028313,  density: -761.524913
