TrueKL=2.093688, loss: 10.161915,  ess_rws: 8.261243,  inckl_eta: 0.001629,  inckl_z: 0.109722
TrueKL=4.187883, loss: 10.213923,  ess_rws: 8.258373,  inckl_eta: 0.001428,  inckl_z: 0.108506
TrueKL=16.680767, loss: 10.215150,  ess_rws: 8.281010,  inckl_eta: 0.001445,  inckl_z: 0.106584
TrueKL=21.749319, loss: 10.166476,  ess_rws: 8.273006,  inckl_eta: 0.001248,  inckl_z: 0.102165
TrueKL=0.116949, loss: 10.185436,  ess_rws: 8.301802,  inckl_eta: 0.001393,  inckl_z: 0.101167
TrueKL=10.953734, loss: 10.185040,  ess_rws: 8.315116,  inckl_eta: 0.001460,  inckl_z: 0.100682
TrueKL=16.654732, loss: 10.185750,  ess_rws: 8.336573,  inckl_eta: 0.001488,  inckl_z: 0.100672
TrueKL=21.428045, loss: 10.145012,  ess_rws: 8.365369,  inckl_eta: 0.001697,  inckl_z: 0.097061
TrueKL=22.801249, loss: 10.150373,  ess_rws: 8.350509,  inckl_eta: 0.001580,  inckl_z: 0.097228
TrueKL=19.877142, loss: 10.188526,  ess_rws: 8.346590,  inckl_eta: 0.001444,  inckl_z: 0.098083
TrueKL=11.651088, loss: 10.183692,  ess_rws: 8.374973,  inckl_eta: 0.001654,  inckl_z: 0.095825
TrueKL=1.274151, loss: 10.177388,  ess_rws: 8.403253,  inckl_eta: 0.001214,  inckl_z: 0.093651
TrueKL=1.541793, loss: 10.203532,  ess_rws: 8.399650,  inckl_eta: 0.001672,  inckl_z: 0.095110
TrueKL=5.952580, loss: 10.197690,  ess_rws: 8.397851,  inckl_eta: 0.001571,  inckl_z: 0.093190
TrueKL=17.658509, loss: 10.178456,  ess_rws: 8.404776,  inckl_eta: 0.001483,  inckl_z: 0.092857
TrueKL=25.247334, loss: 10.163681,  ess_rws: 8.411195,  inckl_eta: 0.001362,  inckl_z: 0.091960
TrueKL=0.051560, loss: 10.170420,  ess_rws: 8.441157,  inckl_eta: 0.001654,  inckl_z: 0.090902
TrueKL=0.148322, loss: 10.185849,  ess_rws: 8.452293,  inckl_eta: 0.001367,  inckl_z: 0.090001
TrueKL=6.636622, loss: 10.212933,  ess_rws: 8.443846,  inckl_eta: 0.001375,  inckl_z: 0.086652
TrueKL=21.208691, loss: 10.191686,  ess_rws: 8.445775,  inckl_eta: 0.001188,  inckl_z: 0.088712
TrueKL=18.926787, loss: 10.198230,  ess_rws: 8.466367,  inckl_eta: 0.001553,  inckl_z: 0.088004
TrueKL=15.808547, loss: 10.166639,  ess_rws: 8.483187,  inckl_eta: 0.001554,  inckl_z: 0.088076
TrueKL=5.791050, loss: 10.158153,  ess_rws: 8.483614,  inckl_eta: 0.001430,  inckl_z: 0.086673
TrueKL=15.885969, loss: 10.170196,  ess_rws: 8.486374,  inckl_eta: 0.001407,  inckl_z: 0.084743
