EUBO_ave, ELBO_ave, ESS, Loss, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-249.875, -431.634490967, 1.02175593376, -149159.046875, 255.749435425, 16.8783149719, 72.6109313965, 15.3978214264
-248.774154663, -429.964935303, 1.02222883701, -158855.125, 274.491394043, 19.6330032349, 55.5825691223, 14.2103157043
-269.711730957, -507.969818115, 1.0669914484, -197282.265625, 325.115325928, 17.6003341675, 69.7177047729, 15.896241188
-277.113525391, -496.358825684, 1.04966509342, -184429.4375, 311.647613525, 17.1940498352, 64.8662567139, 16.0615787506
-263.648864746, -459.033599854, 1.07479465008, -178005.6875, 262.846374512, 17.2819023132, 73.0027694702, 16.2938423157
-277.790740967, -486.088623047, 1.03433644772, -196203.4375, 318.23928833, 18.523223877, 77.5661010742, 16.3646011353
-261.280456543, -499.350463867, 1.06797158718, -180438.234375, 286.231384277, 17.9253768921, 68.0864562988, 16.6813678741
-270.261688232, -458.668365479, 1.04161632061, -154951.984375, 263.640991211, 18.8726196289, 64.9057388306, 16.0143413544
-257.800354004, -422.991516113, 1.01729130745, -173819.5625, 261.883331299, 17.8169136047, 76.0633544922, 15.8116445541
-239.706283569, -403.134765625, 1.03448736668, -152136.734375, 232.352172852, 18.0146789551, 48.9738578796, 14.3978538513
-277.075164795, -471.670166016, 1.13451433182, -169247.484375, 283.31829834, 16.9547481537, 75.822479248, 15.8419981003
-255.751754761, -410.910430908, 1.07926774025, -145274.9375, 231.325668335, 16.9742145538, 56.7001075745, 15.2880601883
-245.543655396, -390.117034912, 1.04668545723, -117101.101562, 208.5859375, 17.2094078064, 47.5480499268, 13.7658424377
-265.935943604, -440.025817871, 1.07539784908, -157091.015625, 281.109008789, 18.9249534607, 76.9384765625, 14.9336071014
-243.053009033, -379.474700928, 1.04051351547, -122019.640625, 214.882247925, 18.0877056122, 48.6645317078, 14.8769407272
-242.182571411, -375.06338501, 1.00394797325, -117644.3125, 194.089492798, 17.8658828735, 48.6324806213, 15.1993761063
-238.710403442, -355.716400146, 1.07626760006, -115076.546875, 176.858383179, 16.8510856628, 52.3127784729, 14.1523103714
-239.388397217, -383.252075195, 1.0897603035, -114678.820312, 196.770492554, 18.6410293579, 58.2801475525, 14.7371635437
-256.889312744, -412.453308105, 1.0298166275, -139856.46875, 228.392837524, 18.4296779633, 67.5944061279, 12.8066740036
-233.752975464, -371.037384033, 1.07324135303, -114947.460938, 208.609298706, 17.5590572357, 43.3705406189, 13.4927988052
-218.378433228, -315.415527344, 1.07705569267, -88299.2421875, 155.333374023, 17.5258655548, 37.594543457, 12.3127279282
-226.369476318, -337.421173096, 1.03842532635, -100715.453125, 172.30255127, 17.7269649506, 32.5110168457, 12.6011962891
-232.843215942, -349.137176514, 1.08183526993, -93759.90625, 172.374038696, 17.6081905365, 48.114780426, 14.0580091476
-232.980606079, -367.511627197, 1.05004608631, -99451.3671875, 172.162857056, 16.4077377319, 44.7301597595, 12.1172151566
-218.967010498, -313.528503418, 1.0663613081, -79369.4765625, 143.446105957, 18.6968383789, 30.1851787567, 11.6848726273
-229.090423584, -358.740234375, 1.07107782364, -97094.640625, 171.175201416, 17.5781936646, 36.1375427246, 12.7902860641
-222.776580811, -336.896728516, 1.03992557526, -89558.7109375, 157.243179321, 19.0961380005, 35.1331672668, 12.4733839035
-221.729263306, -314.188232422, 1.05611073971, -80799.1875, 147.330978394, 19.8708839417, 30.6164741516, 11.5148038864
-214.900802612, -308.430633545, 1.03499102592, -73423.65625, 135.644439697, 17.1914310455, 32.8774032593, 11.2373218536
-235.702285767, -362.38494873, 1.08782815933, -102979.203125, 174.606109619, 18.7765331268, 46.7167243958, 13.4112243652
-209.703964233, -299.500671387, 1.09470295906, -67653.6796875, 127.30255127, 18.9340705872, 28.9078044891, 10.8843746185
-235.235046387, -391.602630615, 1.07357144356, -138289.453125, 203.356506348, 17.5861225128, 33.977355957, 12.2847509384
-215.994232178, -325.108062744, 1.04362535477, -78173.8828125, 138.813171387, 18.6436824799, 34.0292625427, 11.5974235535
-224.004516602, -339.20199585, 1.0695271492, -82610.3984375, 156.567321777, 22.7089157104, 34.5448951721, 12.581155777
-219.937240601, -327.95715332, 1.01501560211, -82489.4296875, 146.878845215, 19.1792125702, 28.7379989624, 12.1200113297
