(260s) Epoch=1, Group=18, loss_phi: -179.090968,  loss_theta: 5140.712233,  ess_rws: 1.024391,  density: -2677.110341
(259s) Epoch=1, Group=19, loss_phi: -178.669488,  loss_theta: 5038.288269,  ess_rws: 1.024208,  density: -2627.662712
(260s) Epoch=1, Group=20, loss_phi: -177.727669,  loss_theta: 5069.946439,  ess_rws: 1.026251,  density: -2639.445481
(259s) Epoch=1, Group=21, loss_phi: -176.622702,  loss_theta: 5022.025894,  ess_rws: 1.029100,  density: -2605.843122
(260s) Epoch=1, Group=22, loss_phi: -177.830746,  loss_theta: 5073.783875,  ess_rws: 1.028244,  density: -2625.187889
(259s) Epoch=1, Group=23, loss_phi: -175.903063,  loss_theta: 5057.362744,  ess_rws: 1.028433,  density: -2611.083043
(260s) Epoch=1, Group=24, loss_phi: -176.736694,  loss_theta: 5014.281646,  ess_rws: 1.031444,  density: -2593.954308
(260s) Epoch=1, Group=25, loss_phi: -176.591296,  loss_theta: 5084.092773,  ess_rws: 1.026064,  density: -2625.912807
(260s) Epoch=1, Group=26, loss_phi: -177.841651,  loss_theta: 5012.255424,  ess_rws: 1.026852,  density: -2585.424687
(259s) Epoch=1, Group=27, loss_phi: -177.267164,  loss_theta: 5087.879704,  ess_rws: 1.024924,  density: -2623.081700
(260s) Epoch=1, Group=28, loss_phi: -178.035962,  loss_theta: 5016.390545,  ess_rws: 1.025408,  density: -2595.607096
(260s) Epoch=1, Group=29, loss_phi: -176.764057,  loss_theta: 5047.992416,  ess_rws: 1.028144,  density: -2603.133209
(259s) Epoch=1, Group=30, loss_phi: -176.961719,  loss_theta: 5060.574736,  ess_rws: 1.026659,  density: -2596.883678
(259s) Epoch=1, Group=31, loss_phi: -176.484003,  loss_theta: 5011.675886,  ess_rws: 1.028993,  density: -2572.100846
(259s) Epoch=1, Group=32, loss_phi: -175.909316,  loss_theta: 4966.553234,  ess_rws: 1.023990,  density: -2536.321653
(258s) Epoch=1, Group=33, loss_phi: -176.439388,  loss_theta: 4976.243050,  ess_rws: 1.026170,  density: -2543.821259
(260s) Epoch=1, Group=34, loss_phi: -177.372542,  loss_theta: 5007.362479,  ess_rws: 1.027234,  density: -2561.383674
(259s) Epoch=1, Group=35, loss_phi: -178.825046,  loss_theta: 4955.381409,  ess_rws: 1.030466,  density: -2536.552630
(259s) Epoch=1, Group=36, loss_phi: -178.961913,  loss_theta: 4981.285710,  ess_rws: 1.026923,  density: -2562.514153
(259s) Epoch=1, Group=37, loss_phi: -178.341450,  loss_theta: 5044.211848,  ess_rws: 1.026241,  density: -2585.744019
(259s) Epoch=1, Group=38, loss_phi: -176.623940,  loss_theta: 4953.447891,  ess_rws: 1.026312,  density: -2545.659373
(260s) Epoch=1, Group=39, loss_phi: -176.743364,  loss_theta: 5042.032306,  ess_rws: 1.026698,  density: -2597.493492
(259s) Epoch=2, Group=0, loss_phi: -178.478473,  loss_theta: 4969.004679,  ess_rws: 1.029633,  density: -2546.466015
(259s) Epoch=2, Group=1, loss_phi: -177.096463,  loss_theta: 4953.241857,  ess_rws: 1.030168,  density: -2533.313309
(259s) Epoch=2, Group=2, loss_phi: -177.729616,  loss_theta: 5065.740286,  ess_rws: 1.028278,  density: -2596.412935
(259s) Epoch=2, Group=3, loss_phi: -180.801440,  loss_theta: 5023.974655,  ess_rws: 1.028771,  density: -2591.504887
(259s) Epoch=2, Group=4, loss_phi: -176.812148,  loss_theta: 5012.023299,  ess_rws: 1.031355,  density: -2585.738337
(259s) Epoch=2, Group=5, loss_phi: -177.103065,  loss_theta: 5036.798360,  ess_rws: 1.026951,  density: -2600.037531
(259s) Epoch=2, Group=6, loss_phi: -176.482866,  loss_theta: 5005.543363,  ess_rws: 1.027324,  density: -2585.750580
(297s) Epoch=2, Group=7, loss_phi: -176.466339,  loss_theta: 5004.564631,  ess_rws: 1.026877,  density: -2571.748182
(345s) Epoch=2, Group=8, loss_phi: -177.046064,  loss_theta: 4996.955497,  ess_rws: 1.027918,  density: -2562.618848
(344s) Epoch=2, Group=9, loss_phi: -176.349741,  loss_theta: 4981.212699,  ess_rws: 1.026368,  density: -2548.497109
(341s) Epoch=2, Group=10, loss_phi: -177.023295,  loss_theta: 4976.921562,  ess_rws: 1.027135,  density: -2538.726717
(344s) Epoch=2, Group=11, loss_phi: -177.590477,  loss_theta: 4941.344732,  ess_rws: 1.024218,  density: -2519.365856
(343s) Epoch=2, Group=12, loss_phi: -177.130627,  loss_theta: 5011.892629,  ess_rws: 1.022298,  density: -2557.880048
(341s) Epoch=2, Group=13, loss_phi: -179.019090,  loss_theta: 4984.453858,  ess_rws: 1.027365,  density: -2543.787550
(338s) Epoch=2, Group=14, loss_phi: -176.234049,  loss_theta: 4983.155530,  ess_rws: 1.024867,  density: -2538.748631
(341s) Epoch=2, Group=15, loss_phi: -177.707755,  loss_theta: 5137.682176,  ess_rws: 1.024338,  density: -2612.212216
(342s) Epoch=2, Group=16, loss_phi: -178.683220,  loss_theta: 4987.338922,  ess_rws: 1.027953,  density: -2545.157338
(344s) Epoch=2, Group=17, loss_phi: -177.489209,  loss_theta: 4917.436852,  ess_rws: 1.029008,  density: -2522.834425
(343s) Epoch=2, Group=18, loss_phi: -176.622509,  loss_theta: 5009.756753,  ess_rws: 1.031721,  density: -2569.631547
(343s) Epoch=2, Group=19, loss_phi: -178.188245,  loss_theta: 5000.462509,  ess_rws: 1.029939,  density: -2554.821426
(339s) Epoch=2, Group=20, loss_phi: -179.857751,  loss_theta: 4947.035797,  ess_rws: 1.029037,  density: -2528.502773
(343s) Epoch=2, Group=21, loss_phi: -178.903334,  loss_theta: 4994.228913,  ess_rws: 1.024929,  density: -2561.102636
(342s) Epoch=2, Group=22, loss_phi: -179.275640,  loss_theta: 4959.556932,  ess_rws: 1.027240,  density: -2558.290037
(344s) Epoch=2, Group=23, loss_phi: -177.273394,  loss_theta: 4930.039000,  ess_rws: 1.032929,  density: -2544.010745
(344s) Epoch=2, Group=24, loss_phi: -177.247989,  loss_theta: 4994.837215,  ess_rws: 1.028275,  density: -2567.770579
(340s) Epoch=2, Group=25, loss_phi: -176.975950,  loss_theta: 5004.429301,  ess_rws: 1.028992,  density: -2561.178461
(344s) Epoch=2, Group=26, loss_phi: -177.739242,  loss_theta: 4972.860224,  ess_rws: 1.027604,  density: -2533.715732
(346s) Epoch=2, Group=27, loss_phi: -176.985876,  loss_theta: 5084.070855,  ess_rws: 1.026630,  density: -2594.860343
(339s) Epoch=2, Group=28, loss_phi: -177.878490,  loss_theta: 5004.101525,  ess_rws: 1.031653,  density: -2554.991677
(342s) Epoch=2, Group=29, loss_phi: -177.393864,  loss_theta: 4961.240092,  ess_rws: 1.026472,  density: -2542.733292
(341s) Epoch=2, Group=30, loss_phi: -177.411580,  loss_theta: 4991.147104,  ess_rws: 1.027582,  density: -2555.562703
(342s) Epoch=2, Group=31, loss_phi: -178.055138,  loss_theta: 4999.257732,  ess_rws: 1.026850,  density: -2562.032773
(340s) Epoch=2, Group=32, loss_phi: -177.793332,  loss_theta: 4996.196296,  ess_rws: 1.026273,  density: -2548.642181
(344s) Epoch=2, Group=33, loss_phi: -179.321536,  loss_theta: 4932.855458,  ess_rws: 1.031032,  density: -2526.225979
(343s) Epoch=2, Group=34, loss_phi: -178.005638,  loss_theta: 4973.380540,  ess_rws: 1.032868,  density: -2541.791664
