(143s) phi_loss: -718.528,  theta_loss: 18761.854,  ess: 3.957
(144s) phi_loss: -716.979,  theta_loss: 18692.298,  ess: 3.984
(143s) phi_loss: -711.391,  theta_loss: 18838.992,  ess: 3.949
(143s) phi_loss: -721.510,  theta_loss: 18649.922,  ess: 3.994
(143s) phi_loss: -718.001,  theta_loss: 18728.403,  ess: 3.985
(144s) phi_loss: -718.513,  theta_loss: 18850.961,  ess: 4.005
(144s) phi_loss: -722.693,  theta_loss: 18472.521,  ess: 4.053
(144s) phi_loss: -721.216,  theta_loss: 18590.898,  ess: 4.017
(143s) phi_loss: -722.258,  theta_loss: 18831.190,  ess: 4.005
(144s) phi_loss: -722.819,  theta_loss: 18568.320,  ess: 4.009
(144s) phi_loss: -723.671,  theta_loss: 18917.564,  ess: 4.013
(143s) phi_loss: -722.328,  theta_loss: 18611.266,  ess: 4.008
(143s) phi_loss: -719.120,  theta_loss: 18969.349,  ess: 4.023
(143s) phi_loss: -714.804,  theta_loss: 18865.040,  ess: 3.963
(144s) phi_loss: -717.893,  theta_loss: 18626.093,  ess: 4.078
(144s) phi_loss: -721.616,  theta_loss: 18458.581,  ess: 4.010
(144s) phi_loss: -718.978,  theta_loss: 18740.537,  ess: 3.987
(144s) phi_loss: -717.229,  theta_loss: 18718.778,  ess: 3.983
(144s) phi_loss: -716.861,  theta_loss: 18918.870,  ess: 4.014
(144s) phi_loss: -720.057,  theta_loss: 18943.580,  ess: 4.065
(144s) phi_loss: -719.455,  theta_loss: 18943.795,  ess: 4.001
(144s) phi_loss: -717.838,  theta_loss: 18510.006,  ess: 4.011
(144s) phi_loss: -716.469,  theta_loss: 18963.447,  ess: 4.071
(143s) phi_loss: -719.332,  theta_loss: 18729.370,  ess: 4.048
(143s) phi_loss: -721.591,  theta_loss: 18622.357,  ess: 4.054
(143s) phi_loss: -720.581,  theta_loss: 18738.532,  ess: 3.966
(144s) phi_loss: -721.692,  theta_loss: 18752.687,  ess: 3.986
(144s) phi_loss: -721.931,  theta_loss: 18854.846,  ess: 4.047
(144s) phi_loss: -721.964,  theta_loss: 18551.135,  ess: 4.019
(143s) phi_loss: -723.790,  theta_loss: 18694.586,  ess: 4.043
(144s) phi_loss: -721.923,  theta_loss: 18916.100,  ess: 4.027
(143s) phi_loss: -718.563,  theta_loss: 18676.693,  ess: 4.013
(143s) phi_loss: -721.911,  theta_loss: 18679.833,  ess: 4.027
(143s) phi_loss: -725.051,  theta_loss: 18607.581,  ess: 4.045
(143s) phi_loss: -721.991,  theta_loss: 18672.766,  ess: 4.055
(143s) phi_loss: -724.547,  theta_loss: 18843.257,  ess: 4.036
