(322s) phi_loss: -830.821,  theta_loss: 1320.887,  ess: 3.774
(325s) phi_loss: -831.113,  theta_loss: 1314.998,  ess: 3.771
(322s) phi_loss: -831.011,  theta_loss: 1306.014,  ess: 3.774
(320s) phi_loss: -830.383,  theta_loss: 1311.225,  ess: 3.775
(317s) phi_loss: -830.459,  theta_loss: 1309.505,  ess: 3.770
(320s) phi_loss: -830.516,  theta_loss: 1315.945,  ess: 3.771
(323s) phi_loss: -830.433,  theta_loss: 1316.508,  ess: 3.772
(324s) phi_loss: -831.149,  theta_loss: 1312.962,  ess: 3.774
(318s) phi_loss: -831.363,  theta_loss: 1304.340,  ess: 3.777
(319s) phi_loss: -831.302,  theta_loss: 1306.845,  ess: 3.773
(321s) phi_loss: -830.873,  theta_loss: 1306.628,  ess: 3.776
(322s) phi_loss: -831.076,  theta_loss: 1307.812,  ess: 3.774
(320s) phi_loss: -831.238,  theta_loss: 1309.230,  ess: 3.771
(321s) phi_loss: -831.132,  theta_loss: 1309.491,  ess: 3.775
(317s) phi_loss: -830.929,  theta_loss: 1308.394,  ess: 3.772
(329s) phi_loss: -831.064,  theta_loss: 1309.564,  ess: 3.776
(317s) phi_loss: -830.517,  theta_loss: 1318.923,  ess: 3.775
(318s) phi_loss: -830.173,  theta_loss: 1308.890,  ess: 3.773
(320s) phi_loss: -831.004,  theta_loss: 1309.582,  ess: 3.775
(321s) phi_loss: -831.319,  theta_loss: 1311.918,  ess: 3.776
(318s) phi_loss: -830.449,  theta_loss: 1317.153,  ess: 3.776
(330s) phi_loss: -830.224,  theta_loss: 1314.692,  ess: 3.771
(318s) phi_loss: -830.823,  theta_loss: 1311.543,  ess: 3.777
(317s) phi_loss: -831.149,  theta_loss: 1312.564,  ess: 3.776
(320s) phi_loss: -831.666,  theta_loss: 1298.846,  ess: 3.777
(318s) phi_loss: -830.470,  theta_loss: 1314.938,  ess: 3.777
(338s) phi_loss: -831.178,  theta_loss: 1305.671,  ess: 3.778
(330s) phi_loss: -830.670,  theta_loss: 1308.978,  ess: 3.776
(332s) phi_loss: -830.270,  theta_loss: 1313.187,  ess: 3.776
(330s) phi_loss: -830.867,  theta_loss: 1311.159,  ess: 3.780
(329s) phi_loss: -830.490,  theta_loss: 1315.735,  ess: 3.777
(325s) phi_loss: -830.953,  theta_loss: 1310.466,  ess: 3.777
(323s) phi_loss: -830.378,  theta_loss: 1305.005,  ess: 3.778
(323s) phi_loss: -830.443,  theta_loss: 1305.895,  ess: 3.778
(324s) phi_loss: -830.196,  theta_loss: 1316.571,  ess: 3.779
(323s) phi_loss: -829.990,  theta_loss: 1309.456,  ess: 3.774
(324s) phi_loss: -830.385,  theta_loss: 1309.721,  ess: 3.781
(323s) phi_loss: -830.971,  theta_loss: 1302.190,  ess: 3.777
(322s) phi_loss: -830.756,  theta_loss: 1309.428,  ess: 3.779
(323s) phi_loss: -830.470,  theta_loss: 1308.056,  ess: 3.781
(323s) phi_loss: -830.476,  theta_loss: 1305.232,  ess: 3.780
(323s) phi_loss: -830.026,  theta_loss: 1310.675,  ess: 3.778
(324s) phi_loss: -829.855,  theta_loss: 1303.003,  ess: 3.780
(323s) phi_loss: -830.082,  theta_loss: 1304.275,  ess: 3.781
(324s) phi_loss: -830.490,  theta_loss: 1307.716,  ess: 3.777
(324s) phi_loss: -830.235,  theta_loss: 1304.515,  ess: 3.779
(324s) phi_loss: -830.100,  theta_loss: 1310.565,  ess: 3.780
(323s) phi_loss: -830.832,  theta_loss: 1308.899,  ess: 3.776
(324s) phi_loss: -830.856,  theta_loss: 1304.010,  ess: 3.781
(323s) phi_loss: -830.713,  theta_loss: 1301.535,  ess: 3.783
(323s) phi_loss: -831.245,  theta_loss: 1307.563,  ess: 3.780
(322s) phi_loss: -829.994,  theta_loss: 1305.258,  ess: 3.783
(324s) phi_loss: -830.384,  theta_loss: 1310.858,  ess: 3.778
(324s) phi_loss: -830.814,  theta_loss: 1311.971,  ess: 3.780
(324s) phi_loss: -830.244,  theta_loss: 1306.613,  ess: 3.783
(324s) phi_loss: -831.064,  theta_loss: 1300.797,  ess: 3.781
(324s) phi_loss: -830.348,  theta_loss: 1308.750,  ess: 3.781
(324s) phi_loss: -830.530,  theta_loss: 1312.396,  ess: 3.782
(324s) phi_loss: -830.183,  theta_loss: 1308.388,  ess: 3.780
(324s) phi_loss: -830.268,  theta_loss: 1310.241,  ess: 3.782
(325s) phi_loss: -830.337,  theta_loss: 1306.218,  ess: 3.784
(324s) phi_loss: -830.095,  theta_loss: 1306.292,  ess: 3.783
(324s) phi_loss: -830.107,  theta_loss: 1300.979,  ess: 3.781
(324s) phi_loss: -829.633,  theta_loss: 1310.706,  ess: 3.779
(325s) phi_loss: -830.227,  theta_loss: 1309.056,  ess: 3.783
(324s) phi_loss: -830.003,  theta_loss: 1312.729,  ess: 3.782
(324s) phi_loss: -829.612,  theta_loss: 1306.830,  ess: 3.785
(325s) phi_loss: -829.918,  theta_loss: 1306.805,  ess: 3.783
(325s) phi_loss: -829.870,  theta_loss: 1307.059,  ess: 3.781
(325s) phi_loss: -829.694,  theta_loss: 1308.508,  ess: 3.780
(324s) phi_loss: -830.240,  theta_loss: 1304.664,  ess: 3.781
(325s) phi_loss: -830.518,  theta_loss: 1307.560,  ess: 3.784
(324s) phi_loss: -830.547,  theta_loss: 1308.403,  ess: 3.782
(325s) phi_loss: -830.913,  theta_loss: 1307.017,  ess: 3.785
(325s) phi_loss: -829.920,  theta_loss: 1304.392,  ess: 3.787
(325s) phi_loss: -830.084,  theta_loss: 1302.875,  ess: 3.784
(325s) phi_loss: -830.445,  theta_loss: 1304.768,  ess: 3.783
(325s) phi_loss: -829.659,  theta_loss: 1314.067,  ess: 3.784
(325s) phi_loss: -830.586,  theta_loss: 1300.393,  ess: 3.782
(325s) phi_loss: -831.157,  theta_loss: 1299.466,  ess: 3.785
(326s) phi_loss: -830.428,  theta_loss: 1296.926,  ess: 3.785
(325s) phi_loss: -830.458,  theta_loss: 1309.477,  ess: 3.785
(325s) phi_loss: -830.546,  theta_loss: 1300.500,  ess: 3.784
(325s) phi_loss: -830.664,  theta_loss: 1305.328,  ess: 3.786
(325s) phi_loss: -829.846,  theta_loss: 1305.964,  ess: 3.786
(327s) phi_loss: -830.712,  theta_loss: 1305.099,  ess: 3.785
(326s) phi_loss: -829.644,  theta_loss: 1298.276,  ess: 3.789
(326s) phi_loss: -830.216,  theta_loss: 1297.531,  ess: 3.787
(325s) phi_loss: -830.095,  theta_loss: 1304.408,  ess: 3.781
(325s) phi_loss: -830.109,  theta_loss: 1305.163,  ess: 3.785
(325s) phi_loss: -830.795,  theta_loss: 1306.992,  ess: 3.784
(325s) phi_loss: -830.448,  theta_loss: 1302.806,  ess: 3.786
(326s) phi_loss: -830.585,  theta_loss: 1301.395,  ess: 3.789
(326s) phi_loss: -830.915,  theta_loss: 1298.505,  ess: 3.782
(326s) phi_loss: -830.430,  theta_loss: 1301.352,  ess: 3.787
(325s) phi_loss: -830.195,  theta_loss: 1308.152,  ess: 3.789
(326s) phi_loss: -830.951,  theta_loss: 1299.241,  ess: 3.787
(325s) phi_loss: -830.611,  theta_loss: 1302.010,  ess: 3.786
(326s) phi_loss: -830.547,  theta_loss: 1305.624,  ess: 3.786
