(8s) phi_loss: -3098.345,  theta_loss: 2277.716,  ess: 1.019
(8s) phi_loss: -3081.233,  theta_loss: 2257.363,  ess: 1.018
(8s) phi_loss: -3054.158,  theta_loss: 2228.780,  ess: 1.021
(8s) phi_loss: -3032.738,  theta_loss: 2205.402,  ess: 1.019
(8s) phi_loss: -3007.646,  theta_loss: 2178.622,  ess: 1.018
(8s) phi_loss: -2994.616,  theta_loss: 2162.853,  ess: 1.021
(8s) phi_loss: -2974.394,  theta_loss: 2141.233,  ess: 1.018
(8s) phi_loss: -2950.248,  theta_loss: 2113.624,  ess: 1.019
(8s) phi_loss: -2937.708,  theta_loss: 2096.889,  ess: 1.020
(8s) phi_loss: -2920.728,  theta_loss: 2078.902,  ess: 1.021
(8s) phi_loss: -2899.116,  theta_loss: 2055.473,  ess: 1.022
(8s) phi_loss: -2888.135,  theta_loss: 2046.815,  ess: 1.019
(8s) phi_loss: -2880.402,  theta_loss: 2037.626,  ess: 1.022
(8s) phi_loss: -2855.622,  theta_loss: 2012.025,  ess: 1.023
(8s) phi_loss: -2837.977,  theta_loss: 1989.830,  ess: 1.023
(9s) phi_loss: -2836.202,  theta_loss: 1989.056,  ess: 1.025
(8s) phi_loss: -2818.769,  theta_loss: 1971.132,  ess: 1.020
(9s) phi_loss: -2810.898,  theta_loss: 1960.570,  ess: 1.021
(8s) phi_loss: -2782.721,  theta_loss: 1932.603,  ess: 1.023
(8s) phi_loss: -2777.210,  theta_loss: 1925.206,  ess: 1.024
(8s) phi_loss: -2766.688,  theta_loss: 1916.310,  ess: 1.022
(8s) phi_loss: -2754.710,  theta_loss: 1905.755,  ess: 1.022
(8s) phi_loss: -2744.702,  theta_loss: 1895.001,  ess: 1.023
(8s) phi_loss: -2734.555,  theta_loss: 1885.460,  ess: 1.027
(8s) phi_loss: -2728.336,  theta_loss: 1872.951,  ess: 1.025
(8s) phi_loss: -2727.417,  theta_loss: 1872.979,  ess: 1.025
(8s) phi_loss: -2698.230,  theta_loss: 1845.413,  ess: 1.026
(9s) phi_loss: -2696.959,  theta_loss: 1844.221,  ess: 1.025
(9s) phi_loss: -2686.008,  theta_loss: 1833.521,  ess: 1.026
(9s) phi_loss: -2676.913,  theta_loss: 1821.719,  ess: 1.026
(8s) phi_loss: -2666.449,  theta_loss: 1807.573,  ess: 1.027
(8s) phi_loss: -2662.128,  theta_loss: 1802.576,  ess: 1.025
(8s) phi_loss: -2647.358,  theta_loss: 1789.255,  ess: 1.026
(8s) phi_loss: -2643.094,  theta_loss: 1783.768,  ess: 1.027
(8s) phi_loss: -2630.821,  theta_loss: 1767.821,  ess: 1.026
(8s) phi_loss: -2633.234,  theta_loss: 1769.630,  ess: 1.027
(9s) phi_loss: -2623.258,  theta_loss: 1758.982,  ess: 1.027
(9s) phi_loss: -2613.144,  theta_loss: 1746.578,  ess: 1.026
(8s) phi_loss: -2611.776,  theta_loss: 1747.498,  ess: 1.029
(8s) phi_loss: -2609.663,  theta_loss: 1743.593,  ess: 1.027
