(119s) phi_loss: -611.938,  theta_loss: 756.659,  ess: 4.150
(117s) phi_loss: -611.671,  theta_loss: 760.969,  ess: 4.182
(113s) phi_loss: -611.813,  theta_loss: 758.457,  ess: 4.160
(113s) phi_loss: -611.619,  theta_loss: 748.705,  ess: 4.164
(117s) phi_loss: -613.081,  theta_loss: 758.117,  ess: 4.169
(114s) phi_loss: -612.630,  theta_loss: 756.228,  ess: 4.186
(113s) phi_loss: -614.962,  theta_loss: 757.708,  ess: 4.159
(114s) phi_loss: -612.279,  theta_loss: 755.889,  ess: 4.203
(113s) phi_loss: -611.727,  theta_loss: 752.914,  ess: 4.182
(119s) phi_loss: -611.919,  theta_loss: 750.824,  ess: 4.184
(119s) phi_loss: -612.133,  theta_loss: 753.741,  ess: 4.201
(118s) phi_loss: -613.106,  theta_loss: 750.508,  ess: 4.213
(118s) phi_loss: -609.692,  theta_loss: 755.350,  ess: 4.195
(117s) phi_loss: -611.627,  theta_loss: 755.392,  ess: 4.186
(118s) phi_loss: -614.657,  theta_loss: 749.663,  ess: 4.167
(118s) phi_loss: -612.207,  theta_loss: 761.735,  ess: 4.175
(119s) phi_loss: -609.748,  theta_loss: 749.674,  ess: 4.176
(119s) phi_loss: -611.560,  theta_loss: 760.608,  ess: 4.196
(119s) phi_loss: -611.564,  theta_loss: 755.794,  ess: 4.190
(118s) phi_loss: -611.922,  theta_loss: 752.924,  ess: 4.205
(118s) phi_loss: -610.828,  theta_loss: 758.384,  ess: 4.196
(118s) phi_loss: -611.237,  theta_loss: 770.284,  ess: 4.208
(118s) phi_loss: -612.463,  theta_loss: 756.906,  ess: 4.207
(116s) phi_loss: -608.873,  theta_loss: 762.831,  ess: 4.187
(113s) phi_loss: -613.738,  theta_loss: 757.835,  ess: 4.207
(112s) phi_loss: -612.916,  theta_loss: 753.180,  ess: 4.186
(112s) phi_loss: -612.801,  theta_loss: 749.686,  ess: 4.195
(113s) phi_loss: -610.240,  theta_loss: 766.919,  ess: 4.215
(113s) phi_loss: -609.995,  theta_loss: 763.109,  ess: 4.219
(112s) phi_loss: -610.189,  theta_loss: 771.361,  ess: 4.227
(118s) phi_loss: -607.271,  theta_loss: 771.684,  ess: 4.208
(112s) phi_loss: -611.186,  theta_loss: 759.434,  ess: 4.222
(113s) phi_loss: -609.280,  theta_loss: 757.183,  ess: 4.220
(113s) phi_loss: -609.234,  theta_loss: 758.898,  ess: 4.222
(112s) phi_loss: -610.372,  theta_loss: 757.988,  ess: 4.205
(113s) phi_loss: -608.417,  theta_loss: 759.289,  ess: 4.222
(113s) phi_loss: -611.262,  theta_loss: 752.465,  ess: 4.207
(113s) phi_loss: -608.383,  theta_loss: 763.532,  ess: 4.233
(113s) phi_loss: -610.519,  theta_loss: 758.100,  ess: 4.214
(112s) phi_loss: -612.231,  theta_loss: 760.146,  ess: 4.228
(112s) phi_loss: -609.749,  theta_loss: 760.182,  ess: 4.232
(113s) phi_loss: -609.945,  theta_loss: 753.948,  ess: 4.222
(120s) phi_loss: -611.411,  theta_loss: 757.415,  ess: 4.224
(119s) phi_loss: -611.801,  theta_loss: 755.342,  ess: 4.202
(114s) phi_loss: -607.874,  theta_loss: 762.836,  ess: 4.201
(113s) phi_loss: -610.254,  theta_loss: 770.870,  ess: 4.235
(113s) phi_loss: -608.038,  theta_loss: 771.873,  ess: 4.215
(117s) phi_loss: -610.257,  theta_loss: 764.889,  ess: 4.228
(114s) phi_loss: -609.940,  theta_loss: 756.818,  ess: 4.223
(113s) phi_loss: -608.260,  theta_loss: 760.669,  ess: 4.232
(113s) phi_loss: -610.326,  theta_loss: 757.381,  ess: 4.219
(113s) phi_loss: -611.200,  theta_loss: 760.854,  ess: 4.215
(117s) phi_loss: -608.239,  theta_loss: 766.522,  ess: 4.228
(118s) phi_loss: -609.666,  theta_loss: 762.959,  ess: 4.227
(118s) phi_loss: -607.804,  theta_loss: 764.349,  ess: 4.226
(118s) phi_loss: -610.577,  theta_loss: 756.185,  ess: 4.239
(118s) phi_loss: -609.248,  theta_loss: 754.128,  ess: 4.232
(115s) phi_loss: -610.695,  theta_loss: 747.998,  ess: 4.235
(113s) phi_loss: -607.933,  theta_loss: 760.903,  ess: 4.233
(113s) phi_loss: -607.397,  theta_loss: 762.889,  ess: 4.234
(113s) phi_loss: -607.705,  theta_loss: 755.362,  ess: 4.231
(113s) phi_loss: -607.300,  theta_loss: 757.844,  ess: 4.241
(116s) phi_loss: -608.422,  theta_loss: 755.904,  ess: 4.237
(119s) phi_loss: -607.299,  theta_loss: 762.233,  ess: 4.248
(119s) phi_loss: -610.033,  theta_loss: 752.892,  ess: 4.227
(118s) phi_loss: -607.119,  theta_loss: 757.511,  ess: 4.235
(113s) phi_loss: -604.419,  theta_loss: 759.553,  ess: 4.239
(113s) phi_loss: -607.544,  theta_loss: 751.530,  ess: 4.255
(119s) phi_loss: -606.625,  theta_loss: 757.949,  ess: 4.246
(119s) phi_loss: -607.998,  theta_loss: 747.718,  ess: 4.245
(115s) phi_loss: -607.572,  theta_loss: 753.578,  ess: 4.262
(113s) phi_loss: -610.144,  theta_loss: 761.484,  ess: 4.230
(114s) phi_loss: -607.842,  theta_loss: 756.735,  ess: 4.233
(116s) phi_loss: -607.152,  theta_loss: 757.246,  ess: 4.237
(115s) phi_loss: -604.877,  theta_loss: 761.606,  ess: 4.229
(116s) phi_loss: -606.892,  theta_loss: 762.175,  ess: 4.255
(116s) phi_loss: -606.729,  theta_loss: 758.772,  ess: 4.257
(113s) phi_loss: -605.300,  theta_loss: 759.082,  ess: 4.249
(118s) phi_loss: -606.640,  theta_loss: 754.888,  ess: 4.229
(119s) phi_loss: -607.610,  theta_loss: 764.356,  ess: 4.240
(118s) phi_loss: -606.622,  theta_loss: 766.541,  ess: 4.254
(119s) phi_loss: -608.286,  theta_loss: 756.596,  ess: 4.255
(119s) phi_loss: -609.164,  theta_loss: 755.317,  ess: 4.228
(113s) phi_loss: -608.040,  theta_loss: 749.493,  ess: 4.248
(113s) phi_loss: -609.074,  theta_loss: 756.960,  ess: 4.249
(113s) phi_loss: -608.462,  theta_loss: 756.198,  ess: 4.262
(113s) phi_loss: -605.405,  theta_loss: 766.385,  ess: 4.267
(113s) phi_loss: -606.637,  theta_loss: 759.472,  ess: 4.275
(113s) phi_loss: -609.443,  theta_loss: 753.524,  ess: 4.233
(113s) phi_loss: -607.182,  theta_loss: 760.827,  ess: 4.257
(113s) phi_loss: -609.258,  theta_loss: 750.923,  ess: 4.262
(113s) phi_loss: -607.615,  theta_loss: 761.704,  ess: 4.256
(113s) phi_loss: -606.708,  theta_loss: 757.002,  ess: 4.271
(119s) phi_loss: -606.528,  theta_loss: 755.833,  ess: 4.229
(118s) phi_loss: -604.469,  theta_loss: 767.748,  ess: 4.254
(118s) phi_loss: -607.675,  theta_loss: 761.599,  ess: 4.267
(119s) phi_loss: -605.223,  theta_loss: 751.712,  ess: 4.264
(118s) phi_loss: -606.858,  theta_loss: 762.670,  ess: 4.257
(119s) phi_loss: -608.592,  theta_loss: 755.950,  ess: 4.246
(114s) phi_loss: -607.904,  theta_loss: 755.063,  ess: 4.278
(112s) phi_loss: -607.377,  theta_loss: 750.030,  ess: 4.282
(118s) phi_loss: -605.227,  theta_loss: 749.987,  ess: 4.281
(118s) phi_loss: -608.237,  theta_loss: 752.678,  ess: 4.271
(118s) phi_loss: -605.026,  theta_loss: 753.381,  ess: 4.260
(119s) phi_loss: -606.290,  theta_loss: 752.636,  ess: 4.277
(119s) phi_loss: -607.885,  theta_loss: 750.651,  ess: 4.281
(119s) phi_loss: -605.766,  theta_loss: 759.970,  ess: 4.280
(119s) phi_loss: -605.613,  theta_loss: 759.042,  ess: 4.286
(119s) phi_loss: -606.006,  theta_loss: 754.356,  ess: 4.280
(119s) phi_loss: -605.638,  theta_loss: 753.028,  ess: 4.279
(118s) phi_loss: -604.586,  theta_loss: 756.680,  ess: 4.290
(118s) phi_loss: -607.023,  theta_loss: 751.709,  ess: 4.278
(118s) phi_loss: -604.606,  theta_loss: 748.059,  ess: 4.275
(118s) phi_loss: -604.854,  theta_loss: 764.574,  ess: 4.274
(118s) phi_loss: -604.778,  theta_loss: 751.488,  ess: 4.292
(118s) phi_loss: -604.627,  theta_loss: 761.675,  ess: 4.279
(116s) phi_loss: -607.291,  theta_loss: 750.336,  ess: 4.281
(119s) phi_loss: -605.845,  theta_loss: 744.107,  ess: 4.265
(119s) phi_loss: -605.467,  theta_loss: 763.103,  ess: 4.268
(119s) phi_loss: -606.522,  theta_loss: 750.795,  ess: 4.276
(119s) phi_loss: -604.555,  theta_loss: 756.577,  ess: 4.264
(119s) phi_loss: -605.673,  theta_loss: 769.449,  ess: 4.285
(119s) phi_loss: -607.167,  theta_loss: 755.520,  ess: 4.274
(117s) phi_loss: -604.582,  theta_loss: 760.408,  ess: 4.272
(116s) phi_loss: -602.057,  theta_loss: 756.947,  ess: 4.281
(118s) phi_loss: -604.589,  theta_loss: 756.914,  ess: 4.261
(119s) phi_loss: -605.217,  theta_loss: 760.652,  ess: 4.291
(118s) phi_loss: -605.590,  theta_loss: 759.447,  ess: 4.271
(119s) phi_loss: -602.625,  theta_loss: 764.395,  ess: 4.282
(114s) phi_loss: -604.322,  theta_loss: 769.153,  ess: 4.281
(112s) phi_loss: -602.928,  theta_loss: 757.611,  ess: 4.282
(115s) phi_loss: -604.393,  theta_loss: 756.333,  ess: 4.306
(117s) phi_loss: -603.591,  theta_loss: 759.722,  ess: 4.273
(112s) phi_loss: -601.923,  theta_loss: 766.552,  ess: 4.282
(112s) phi_loss: -603.050,  theta_loss: 766.529,  ess: 4.294
(113s) phi_loss: -602.349,  theta_loss: 760.523,  ess: 4.293
(113s) phi_loss: -603.475,  theta_loss: 762.167,  ess: 4.282
(112s) phi_loss: -603.523,  theta_loss: 757.689,  ess: 4.295
(112s) phi_loss: -604.476,  theta_loss: 759.624,  ess: 4.284
(112s) phi_loss: -602.643,  theta_loss: 765.142,  ess: 4.278
(113s) phi_loss: -603.087,  theta_loss: 753.564,  ess: 4.276
(115s) phi_loss: -604.178,  theta_loss: 761.264,  ess: 4.292
(118s) phi_loss: -603.128,  theta_loss: 765.024,  ess: 4.293
(118s) phi_loss: -605.546,  theta_loss: 758.877,  ess: 4.286
(119s) phi_loss: -603.014,  theta_loss: 764.341,  ess: 4.285
(116s) phi_loss: -605.901,  theta_loss: 761.408,  ess: 4.273
(113s) phi_loss: -602.870,  theta_loss: 759.761,  ess: 4.296
(114s) phi_loss: -604.611,  theta_loss: 762.936,  ess: 4.280
(113s) phi_loss: -602.597,  theta_loss: 765.460,  ess: 4.299
(115s) phi_loss: -604.591,  theta_loss: 768.051,  ess: 4.276
(119s) phi_loss: -605.015,  theta_loss: 754.605,  ess: 4.302
(113s) phi_loss: -603.551,  theta_loss: 761.583,  ess: 4.298
(115s) phi_loss: -605.294,  theta_loss: 756.525,  ess: 4.288
(119s) phi_loss: -603.873,  theta_loss: 765.156,  ess: 4.285
(119s) phi_loss: -602.190,  theta_loss: 768.979,  ess: 4.299
(115s) phi_loss: -605.123,  theta_loss: 758.840,  ess: 4.307
(113s) phi_loss: -601.396,  theta_loss: 767.146,  ess: 4.303
(118s) phi_loss: -602.908,  theta_loss: 761.531,  ess: 4.314
(118s) phi_loss: -602.836,  theta_loss: 760.588,  ess: 4.310
(118s) phi_loss: -601.995,  theta_loss: 755.465,  ess: 4.282
(119s) phi_loss: -602.793,  theta_loss: 759.995,  ess: 4.325
(119s) phi_loss: -603.697,  theta_loss: 759.430,  ess: 4.310
(119s) phi_loss: -601.965,  theta_loss: 767.074,  ess: 4.316
(118s) phi_loss: -602.423,  theta_loss: 755.919,  ess: 4.299
(113s) phi_loss: -600.974,  theta_loss: 769.802,  ess: 4.305
(115s) phi_loss: -602.199,  theta_loss: 753.219,  ess: 4.312
(119s) phi_loss: -602.087,  theta_loss: 746.685,  ess: 4.338
(120s) phi_loss: -599.556,  theta_loss: 762.134,  ess: 4.299
(114s) phi_loss: -602.055,  theta_loss: 753.530,  ess: 4.305
(113s) phi_loss: -600.985,  theta_loss: 762.242,  ess: 4.290
(113s) phi_loss: -600.784,  theta_loss: 757.067,  ess: 4.296
(113s) phi_loss: -601.953,  theta_loss: 754.559,  ess: 4.300
(117s) phi_loss: -603.158,  theta_loss: 765.672,  ess: 4.313
(119s) phi_loss: -603.014,  theta_loss: 755.484,  ess: 4.299
(115s) phi_loss: -600.322,  theta_loss: 764.385,  ess: 4.328
(113s) phi_loss: -601.640,  theta_loss: 759.665,  ess: 4.328
(113s) phi_loss: -600.284,  theta_loss: 769.854,  ess: 4.318
(113s) phi_loss: -602.345,  theta_loss: 765.945,  ess: 4.314
