DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.471,  1.347,  -463.735,  8.348,  0.009,  0.006,  0.193,  0.077
2.356,  1.227,  -463.172,  8.347,  0.008,  0.006,  0.193,  0.076
2.423,  1.452,  -463.438,  8.352,  0.009,  0.006,  0.190,  0.073
2.399,  1.406,  -463.598,  8.343,  0.009,  0.006,  0.189,  0.073
2.413,  1.206,  -463.173,  8.351,  0.009,  0.006,  0.184,  0.073
2.382,  1.308,  -463.761,  8.348,  0.008,  0.006,  0.188,  0.071
2.430,  1.258,  -463.724,  8.347,  0.008,  0.006,  0.182,  0.070
2.436,  1.195,  -463.645,  8.348,  0.008,  0.006,  0.188,  0.071
2.394,  1.358,  -463.589,  8.352,  0.008,  0.006,  0.183,  0.072
2.321,  1.241,  -463.237,  8.355,  0.007,  0.005,  0.181,  0.071
2.366,  1.201,  -463.494,  8.350,  0.008,  0.006,  0.186,  0.069
2.345,  1.307,  -463.908,  8.353,  0.007,  0.005,  0.171,  0.068
2.366,  1.386,  -463.463,  8.351,  0.007,  0.005,  0.177,  0.067
2.386,  1.187,  -463.103,  8.340,  0.008,  0.006,  0.169,  0.067
2.423,  1.194,  -463.591,  8.350,  0.008,  0.006,  0.176,  0.067
2.377,  1.074,  -463.317,  8.351,  0.007,  0.005,  0.166,  0.065
2.345,  1.224,  -463.361,  8.355,  0.008,  0.006,  0.170,  0.066
2.367,  1.280,  -463.601,  8.358,  0.008,  0.006,  0.166,  0.067
2.386,  1.121,  -463.261,  8.352,  0.008,  0.006,  0.164,  0.066
2.442,  1.179,  -463.304,  8.342,  0.008,  0.006,  0.171,  0.064
2.321,  1.105,  -463.242,  8.354,  0.008,  0.006,  0.164,  0.064
2.374,  1.171,  -463.665,  8.354,  0.008,  0.006,  0.165,  0.063
2.393,  1.281,  -463.000,  8.346,  0.008,  0.006,  0.157,  0.063
2.343,  1.194,  -463.524,  8.352,  0.008,  0.005,  0.168,  0.064
2.381,  1.116,  -463.639,  8.356,  0.008,  0.006,  0.161,  0.062
2.420,  1.130,  -463.489,  8.350,  0.008,  0.006,  0.156,  0.060
2.514,  1.195,  -464.036,  8.354,  0.008,  0.006,  0.161,  0.063
2.357,  1.085,  -463.847,  8.351,  0.008,  0.006,  0.159,  0.061
2.382,  1.253,  -464.140,  8.357,  0.008,  0.006,  0.162,  0.061
2.405,  1.065,  -463.494,  8.353,  0.007,  0.005,  0.157,  0.059
2.360,  1.181,  -463.501,  8.353,  0.008,  0.006,  0.162,  0.062
2.381,  1.094,  -463.506,  8.352,  0.008,  0.006,  0.155,  0.061
2.399,  1.037,  -463.521,  8.354,  0.009,  0.006,  0.153,  0.059
2.434,  1.171,  -463.316,  8.353,  0.008,  0.006,  0.155,  0.060
2.346,  1.079,  -463.680,  8.359,  0.009,  0.006,  0.155,  0.058
2.395,  1.046,  -463.477,  8.355,  0.007,  0.005,  0.150,  0.059
2.425,  1.135,  -463.541,  8.349,  0.008,  0.005,  0.153,  0.060
2.366,  1.158,  -463.832,  8.359,  0.008,  0.006,  0.154,  0.060
2.362,  1.051,  -463.981,  8.356,  0.008,  0.006,  0.146,  0.058
2.364,  1.135,  -463.807,  8.350,  0.009,  0.006,  0.149,  0.057
2.441,  1.092,  -463.551,  8.354,  0.009,  0.006,  0.146,  0.056
2.365,  1.010,  -463.591,  8.351,  0.007,  0.005,  0.141,  0.056
2.384,  1.196,  -463.670,  8.356,  0.009,  0.006,  0.138,  0.055
2.382,  1.011,  -463.575,  8.357,  0.009,  0.006,  0.138,  0.056
2.406,  1.127,  -463.314,  8.357,  0.009,  0.006,  0.135,  0.055
2.442,  1.026,  -463.542,  8.350,  0.008,  0.006,  0.136,  0.057
2.405,  1.142,  -463.202,  8.350,  0.008,  0.006,  0.141,  0.055
2.390,  1.178,  -463.546,  8.355,  0.007,  0.005,  0.139,  0.056
2.423,  1.204,  -463.262,  8.356,  0.008,  0.006,  0.140,  0.054
2.367,  1.021,  -463.305,  8.362,  0.009,  0.006,  0.137,  0.054
2.348,  0.973,  -463.587,  8.352,  0.007,  0.005,  0.132,  0.055
2.382,  1.015,  -463.809,  8.360,  0.007,  0.005,  0.133,  0.056
2.385,  1.069,  -463.633,  8.357,  0.008,  0.006,  0.125,  0.052
2.356,  1.032,  -463.086,  8.361,  0.007,  0.005,  0.123,  0.051
2.403,  1.061,  -463.416,  8.356,  0.008,  0.006,  0.128,  0.055
2.410,  0.966,  -463.393,  8.353,  0.008,  0.006,  0.128,  0.053
2.358,  1.078,  -463.197,  8.350,  0.008,  0.006,  0.127,  0.052
2.397,  1.048,  -463.464,  8.354,  0.008,  0.006,  0.127,  0.053
2.383,  1.180,  -462.947,  8.352,  0.008,  0.006,  0.128,  0.052
2.381,  1.078,  -463.232,  8.356,  0.009,  0.006,  0.129,  0.052
2.395,  1.000,  -463.284,  8.356,  0.008,  0.006,  0.121,  0.052
2.611,  1.030,  -463.486,  8.356,  0.008,  0.006,  0.126,  0.053
2.412,  1.008,  -463.522,  8.354,  0.007,  0.005,  0.128,  0.053
2.462,  1.011,  -463.251,  8.354,  0.009,  0.006,  0.125,  0.051
2.383,  0.992,  -463.392,  8.368,  0.008,  0.006,  0.124,  0.052
2.339,  1.019,  -463.322,  8.358,  0.009,  0.006,  0.124,  0.053
2.351,  0.952,  -463.671,  8.361,  0.008,  0.006,  0.125,  0.053
2.478,  0.950,  -463.599,  8.355,  0.009,  0.006,  0.121,  0.051
2.406,  0.944,  -463.136,  8.363,  0.008,  0.006,  0.119,  0.051
2.396,  0.986,  -463.090,  8.351,  0.007,  0.005,  0.116,  0.050
2.376,  0.915,  -463.370,  8.357,  0.008,  0.006,  0.123,  0.052
2.344,  0.996,  -463.281,  8.350,  0.008,  0.006,  0.124,  0.051
2.333,  0.913,  -462.900,  8.354,  0.008,  0.006,  0.118,  0.051
2.436,  1.038,  -463.388,  8.356,  0.008,  0.006,  0.115,  0.049
2.373,  0.960,  -463.506,  8.361,  0.007,  0.005,  0.124,  0.052
2.366,  1.111,  -463.313,  8.363,  0.008,  0.006,  0.116,  0.049
2.375,  1.031,  -463.058,  8.356,  0.008,  0.006,  0.122,  0.051
2.374,  0.992,  -463.539,  8.358,  0.009,  0.006,  0.117,  0.051
2.418,  0.958,  -463.022,  8.355,  0.009,  0.006,  0.119,  0.051
2.449,  1.027,  -463.177,  8.351,  0.007,  0.005,  0.117,  0.049
2.368,  1.004,  -463.289,  8.357,  0.008,  0.006,  0.115,  0.050
2.409,  1.134,  -463.382,  8.354,  0.008,  0.006,  0.113,  0.051
2.371,  1.040,  -463.413,  8.361,  0.008,  0.006,  0.112,  0.049
2.386,  1.108,  -463.486,  8.365,  0.009,  0.006,  0.114,  0.049
2.382,  0.927,  -463.350,  8.359,  0.008,  0.006,  0.110,  0.049
2.414,  1.014,  -463.604,  8.360,  0.008,  0.005,  0.116,  0.050
2.317,  1.074,  -463.046,  8.364,  0.008,  0.006,  0.117,  0.049
2.432,  0.947,  -463.353,  8.355,  0.008,  0.006,  0.111,  0.048
2.377,  0.899,  -463.294,  8.352,  0.009,  0.006,  0.107,  0.049
2.338,  0.913,  -463.462,  8.363,  0.009,  0.006,  0.107,  0.048
2.364,  1.150,  -463.773,  8.359,  0.009,  0.006,  0.117,  0.050
2.393,  1.077,  -463.144,  8.360,  0.009,  0.006,  0.115,  0.049
2.360,  0.832,  -463.203,  8.358,  0.007,  0.006,  0.112,  0.047
2.360,  0.873,  -462.734,  8.352,  0.008,  0.006,  0.108,  0.048
2.418,  1.038,  -463.393,  8.357,  0.008,  0.006,  0.116,  0.050
2.335,  0.902,  -463.011,  8.358,  0.008,  0.006,  0.110,  0.050
2.421,  0.907,  -463.007,  8.357,  0.008,  0.006,  0.108,  0.046
2.386,  0.963,  -463.258,  8.356,  0.007,  0.005,  0.115,  0.048
2.358,  0.939,  -463.021,  8.360,  0.008,  0.006,  0.111,  0.048
2.365,  1.020,  -462.965,  8.354,  0.008,  0.006,  0.108,  0.047
2.422,  0.954,  -463.305,  8.357,  0.007,  0.006,  0.108,  0.048
2.401,  0.960,  -463.185,  8.352,  0.008,  0.006,  0.108,  0.048
2.382,  1.016,  -463.378,  8.357,  0.008,  0.006,  0.107,  0.048
2.454,  1.028,  -462.742,  8.356,  0.008,  0.006,  0.102,  0.046
2.356,  0.957,  -463.261,  8.356,  0.009,  0.006,  0.108,  0.046
2.342,  1.073,  -463.279,  8.358,  0.008,  0.006,  0.105,  0.046
2.367,  0.908,  -462.930,  8.357,  0.008,  0.006,  0.104,  0.046
2.420,  0.923,  -463.250,  8.351,  0.009,  0.006,  0.112,  0.048
2.360,  0.835,  -463.295,  8.354,  0.008,  0.006,  0.112,  0.048
2.390,  0.943,  -463.212,  8.362,  0.008,  0.006,  0.104,  0.047
2.457,  0.933,  -462.979,  8.356,  0.008,  0.006,  0.110,  0.047
2.392,  1.003,  -462.760,  8.358,  0.008,  0.006,  0.110,  0.047
2.383,  1.176,  -463.613,  8.357,  0.008,  0.006,  0.107,  0.046
2.399,  0.963,  -462.874,  8.358,  0.007,  0.005,  0.101,  0.046
2.375,  0.898,  -463.404,  8.359,  0.009,  0.006,  0.104,  0.046
2.425,  1.186,  -463.124,  8.363,  0.008,  0.006,  0.104,  0.045
2.402,  0.930,  -463.434,  8.360,  0.008,  0.006,  0.105,  0.046
2.329,  0.943,  -463.117,  8.363,  0.008,  0.006,  0.106,  0.045
2.441,  0.871,  -463.325,  8.354,  0.007,  0.006,  0.103,  0.046
2.371,  0.901,  -463.221,  8.359,  0.007,  0.005,  0.110,  0.047
2.415,  0.991,  -463.361,  8.360,  0.008,  0.006,  0.107,  0.047
2.416,  1.052,  -463.293,  8.360,  0.008,  0.006,  0.102,  0.046
