DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.397,  1.360,  -463.563,  8.355,  0.009,  0.006,  0.152,  0.071
2.341,  1.478,  -463.353,  8.356,  0.007,  0.005,  0.147,  0.070
2.515,  1.237,  -463.059,  8.357,  0.008,  0.006,  0.148,  0.068
2.364,  1.179,  -463.407,  8.358,  0.009,  0.006,  0.146,  0.068
2.397,  1.533,  -463.425,  8.346,  0.008,  0.006,  0.146,  0.069
2.389,  1.402,  -463.492,  8.356,  0.007,  0.005,  0.149,  0.070
2.411,  1.082,  -463.249,  8.347,  0.007,  0.006,  0.143,  0.068
2.427,  1.390,  -463.261,  8.358,  0.008,  0.006,  0.147,  0.067
2.387,  1.418,  -463.390,  8.350,  0.008,  0.006,  0.145,  0.070
2.406,  1.197,  -463.310,  8.357,  0.007,  0.005,  0.142,  0.069
2.403,  1.357,  -463.200,  8.349,  0.006,  0.005,  0.142,  0.067
2.367,  1.330,  -463.581,  8.355,  0.008,  0.005,  0.143,  0.068
2.395,  1.275,  -463.548,  8.353,  0.008,  0.006,  0.145,  0.067
2.385,  1.446,  -463.641,  8.354,  0.009,  0.006,  0.141,  0.067
2.413,  1.427,  -463.657,  8.353,  0.009,  0.006,  0.144,  0.068
2.406,  1.382,  -463.171,  8.350,  0.008,  0.006,  0.142,  0.068
2.402,  1.435,  -463.623,  8.351,  0.008,  0.006,  0.140,  0.068
2.432,  1.515,  -463.316,  8.352,  0.007,  0.005,  0.147,  0.067
2.347,  1.380,  -463.489,  8.353,  0.008,  0.006,  0.138,  0.066
2.442,  1.243,  -463.459,  8.349,  0.007,  0.005,  0.142,  0.068
2.389,  1.310,  -463.317,  8.348,  0.008,  0.006,  0.135,  0.066
2.443,  1.305,  -463.491,  8.351,  0.008,  0.006,  0.141,  0.068
2.392,  1.109,  -463.306,  8.352,  0.008,  0.006,  0.140,  0.066
2.435,  1.395,  -463.408,  8.351,  0.008,  0.006,  0.139,  0.065
2.385,  1.060,  -463.055,  8.352,  0.008,  0.006,  0.139,  0.065
2.352,  1.348,  -463.008,  8.355,  0.008,  0.005,  0.136,  0.065
2.343,  1.248,  -463.697,  8.357,  0.009,  0.006,  0.144,  0.067
2.408,  1.318,  -463.404,  8.351,  0.007,  0.005,  0.139,  0.065
2.360,  1.168,  -463.216,  8.355,  0.009,  0.006,  0.133,  0.064
2.434,  1.182,  -463.217,  8.347,  0.009,  0.006,  0.137,  0.066
2.373,  1.149,  -463.426,  8.349,  0.008,  0.006,  0.134,  0.065
2.365,  1.400,  -463.602,  8.358,  0.008,  0.006,  0.137,  0.065
2.401,  1.134,  -463.407,  8.362,  0.008,  0.006,  0.127,  0.063
2.404,  1.399,  -463.631,  8.351,  0.008,  0.006,  0.134,  0.065
2.385,  1.074,  -463.828,  8.355,  0.008,  0.005,  0.135,  0.065
2.362,  1.404,  -463.296,  8.355,  0.008,  0.006,  0.132,  0.065
2.407,  1.109,  -463.165,  8.352,  0.006,  0.005,  0.134,  0.064
2.396,  1.287,  -463.220,  8.349,  0.007,  0.005,  0.131,  0.064
2.390,  1.066,  -463.183,  8.353,  0.008,  0.005,  0.130,  0.062
2.407,  1.012,  -463.255,  8.355,  0.007,  0.005,  0.138,  0.065
2.371,  1.156,  -463.024,  8.355,  0.008,  0.006,  0.134,  0.064
2.367,  1.289,  -463.226,  8.352,  0.007,  0.005,  0.131,  0.063
2.349,  1.080,  -463.372,  8.356,  0.008,  0.006,  0.138,  0.065
2.371,  1.706,  -463.591,  8.352,  0.009,  0.006,  0.131,  0.064
2.376,  1.076,  -463.173,  8.359,  0.008,  0.006,  0.125,  0.062
2.388,  1.117,  -463.348,  8.351,  0.007,  0.005,  0.126,  0.063
2.396,  1.116,  -462.862,  8.357,  0.007,  0.005,  0.131,  0.064
2.402,  1.370,  -463.472,  8.353,  0.008,  0.006,  0.128,  0.063
2.360,  1.013,  -463.364,  8.357,  0.009,  0.006,  0.133,  0.062
2.382,  1.178,  -463.207,  8.356,  0.008,  0.006,  0.129,  0.062
2.378,  1.288,  -463.222,  8.353,  0.008,  0.006,  0.126,  0.064
2.353,  1.132,  -463.420,  8.353,  0.008,  0.006,  0.127,  0.062
2.425,  1.316,  -463.540,  8.355,  0.008,  0.006,  0.129,  0.062
2.383,  1.228,  -463.354,  8.356,  0.008,  0.006,  0.129,  0.062
2.352,  1.161,  -463.357,  8.356,  0.008,  0.006,  0.133,  0.064
2.469,  1.210,  -463.191,  8.346,  0.008,  0.005,  0.128,  0.063
2.346,  1.210,  -463.418,  8.356,  0.009,  0.006,  0.126,  0.062
2.392,  1.122,  -463.073,  8.350,  0.008,  0.006,  0.126,  0.061
2.445,  1.270,  -463.321,  8.355,  0.008,  0.006,  0.124,  0.063
2.389,  1.202,  -463.025,  8.353,  0.008,  0.006,  0.126,  0.061
2.372,  1.098,  -463.486,  8.354,  0.008,  0.006,  0.127,  0.062
2.374,  1.189,  -463.405,  8.352,  0.008,  0.006,  0.130,  0.061
2.329,  1.114,  -463.277,  8.358,  0.008,  0.006,  0.124,  0.061
2.425,  2.590,  -463.682,  8.355,  0.008,  0.005,  0.126,  0.062
2.334,  0.987,  -463.162,  8.361,  0.008,  0.006,  0.120,  0.060
2.342,  1.182,  -463.111,  8.351,  0.008,  0.006,  0.125,  0.062
2.438,  1.419,  -463.559,  8.352,  0.008,  0.006,  0.121,  0.061
2.473,  1.272,  -463.685,  8.352,  0.007,  0.005,  0.125,  0.060
2.380,  1.143,  -463.134,  8.353,  0.008,  0.006,  0.124,  0.061
