DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.322,  1.904,  -460.207,  8.341,  0.007,  0.006,  0.173,  0.067
2.392,  1.555,  -459.655,  8.341,  0.007,  0.006,  0.178,  0.068
2.361,  1.538,  -460.289,  8.334,  0.008,  0.007,  0.178,  0.065
2.321,  1.810,  -459.988,  8.335,  0.007,  0.006,  0.171,  0.066
2.379,  2.042,  -460.026,  8.326,  0.007,  0.006,  0.178,  0.065
2.340,  1.818,  -459.983,  8.342,  0.007,  0.006,  0.189,  0.067
2.352,  1.809,  -459.960,  8.336,  0.007,  0.006,  0.181,  0.067
2.331,  2.027,  -460.214,  8.340,  0.008,  0.006,  0.171,  0.063
2.388,  2.424,  -460.207,  8.336,  0.008,  0.007,  0.167,  0.063
2.334,  1.296,  -460.021,  8.337,  0.008,  0.007,  0.164,  0.062
2.349,  1.695,  -460.157,  8.338,  0.007,  0.006,  0.161,  0.062
2.335,  1.375,  -460.186,  8.340,  0.007,  0.006,  0.171,  0.064
2.331,  1.682,  -459.879,  8.341,  0.007,  0.006,  0.166,  0.061
2.344,  1.725,  -460.258,  8.343,  0.007,  0.006,  0.171,  0.063
2.338,  2.005,  -459.931,  8.340,  0.008,  0.007,  0.168,  0.061
2.331,  1.754,  -459.987,  8.342,  0.007,  0.006,  0.167,  0.063
2.340,  1.456,  -459.978,  8.344,  0.008,  0.006,  0.158,  0.060
2.335,  2.374,  -460.064,  8.340,  0.008,  0.006,  0.164,  0.062
2.371,  2.276,  -460.296,  8.337,  0.006,  0.005,  0.160,  0.060
2.344,  1.651,  -460.747,  8.339,  0.007,  0.006,  0.167,  0.062
2.361,  1.537,  -460.355,  8.341,  0.007,  0.006,  0.169,  0.061
2.346,  1.408,  -459.867,  8.345,  0.007,  0.006,  0.159,  0.060
2.348,  1.762,  -460.229,  8.338,  0.007,  0.006,  0.161,  0.060
2.354,  2.039,  -459.886,  8.339,  0.007,  0.006,  0.158,  0.059
2.370,  1.480,  -459.990,  8.345,  0.008,  0.007,  0.154,  0.057
2.387,  1.970,  -460.091,  8.337,  0.007,  0.006,  0.152,  0.057
2.342,  1.238,  -459.786,  8.336,  0.008,  0.007,  0.159,  0.061
2.370,  1.183,  -460.256,  8.342,  0.007,  0.006,  0.154,  0.059
2.375,  1.489,  -460.100,  8.338,  0.008,  0.006,  0.152,  0.059
2.353,  1.531,  -460.097,  8.342,  0.007,  0.006,  0.155,  0.059
2.379,  1.482,  -460.148,  8.335,  0.007,  0.006,  0.156,  0.059
2.346,  1.283,  -460.131,  8.336,  0.007,  0.006,  0.147,  0.057
2.387,  1.796,  -460.100,  8.333,  0.007,  0.006,  0.149,  0.057
2.361,  1.338,  -459.932,  8.339,  0.008,  0.007,  0.148,  0.057
2.376,  1.521,  -459.947,  8.341,  0.007,  0.006,  0.148,  0.056
2.337,  1.275,  -460.268,  8.343,  0.007,  0.006,  0.156,  0.059
2.342,  1.716,  -459.934,  8.340,  0.008,  0.006,  0.154,  0.056
2.339,  1.280,  -460.058,  8.343,  0.007,  0.006,  0.149,  0.056
2.367,  1.298,  -459.943,  8.343,  0.007,  0.006,  0.146,  0.057
2.356,  1.119,  -459.975,  8.341,  0.007,  0.006,  0.152,  0.057
2.374,  1.229,  -460.021,  8.340,  0.007,  0.006,  0.145,  0.054
2.345,  1.465,  -459.995,  8.335,  0.008,  0.006,  0.146,  0.055
2.351,  2.081,  -460.145,  8.337,  0.007,  0.006,  0.148,  0.058
2.351,  1.412,  -459.881,  8.347,  0.007,  0.006,  0.147,  0.057
2.351,  1.612,  -460.123,  8.344,  0.008,  0.006,  0.145,  0.055
2.354,  1.489,  -460.142,  8.342,  0.008,  0.006,  0.152,  0.056
2.374,  1.638,  -460.208,  8.340,  0.007,  0.006,  0.155,  0.058
2.340,  1.962,  -459.918,  8.342,  0.007,  0.006,  0.143,  0.054
2.404,  1.187,  -459.945,  8.339,  0.008,  0.006,  0.151,  0.058
2.359,  1.361,  -460.021,  8.342,  0.008,  0.006,  0.150,  0.055
2.353,  1.405,  -460.163,  8.342,  0.007,  0.006,  0.143,  0.054
2.354,  2.395,  -460.174,  8.339,  0.008,  0.006,  0.150,  0.057
2.323,  1.392,  -459.859,  8.344,  0.007,  0.006,  0.139,  0.052
2.313,  1.495,  -460.020,  8.343,  0.008,  0.007,  0.136,  0.055
2.375,  1.687,  -460.080,  8.337,  0.007,  0.006,  0.145,  0.054
2.383,  1.972,  -460.080,  8.343,  0.007,  0.006,  0.140,  0.055
2.343,  1.049,  -459.993,  8.343,  0.007,  0.006,  0.142,  0.053
2.327,  1.285,  -460.173,  8.344,  0.007,  0.006,  0.139,  0.053
2.361,  1.209,  -460.072,  8.337,  0.007,  0.006,  0.138,  0.054
2.371,  1.617,  -459.983,  8.344,  0.007,  0.006,  0.144,  0.055
2.354,  1.461,  -459.905,  8.336,  0.008,  0.006,  0.142,  0.052
2.334,  1.529,  -460.073,  8.341,  0.008,  0.007,  0.138,  0.054
2.351,  1.547,  -459.975,  8.342,  0.007,  0.006,  0.138,  0.052
2.349,  1.894,  -459.862,  8.348,  0.008,  0.006,  0.133,  0.052
