DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.377,  0.851,  -461.451,  8.354,  0.018,  0.016,  0.134,  0.066
2.369,  0.910,  -461.642,  8.354,  0.017,  0.015,  0.134,  0.065
2.353,  0.863,  -461.536,  8.353,  0.018,  0.016,  0.135,  0.065
2.344,  0.899,  -461.598,  8.348,  0.018,  0.016,  0.133,  0.064
2.347,  0.898,  -461.580,  8.354,  0.018,  0.016,  0.133,  0.065
2.327,  0.894,  -461.372,  8.358,  0.019,  0.016,  0.135,  0.064
2.332,  0.824,  -461.522,  8.360,  0.018,  0.016,  0.128,  0.063
2.371,  0.907,  -461.494,  8.357,  0.018,  0.016,  0.132,  0.064
2.378,  0.909,  -461.805,  8.358,  0.018,  0.016,  0.133,  0.064
2.351,  0.822,  -461.659,  8.356,  0.019,  0.017,  0.128,  0.063
2.389,  0.971,  -461.791,  8.357,  0.019,  0.016,  0.128,  0.063
2.370,  0.930,  -461.655,  8.357,  0.019,  0.017,  0.130,  0.063
2.317,  0.944,  -461.418,  8.355,  0.019,  0.017,  0.124,  0.062
2.392,  0.885,  -461.478,  8.354,  0.018,  0.016,  0.127,  0.062
2.363,  0.821,  -461.493,  8.353,  0.018,  0.016,  0.123,  0.060
2.339,  0.811,  -461.348,  8.365,  0.019,  0.017,  0.125,  0.061
2.341,  0.768,  -461.432,  8.355,  0.019,  0.017,  0.123,  0.060
2.348,  0.886,  -461.596,  8.352,  0.019,  0.016,  0.122,  0.060
2.370,  0.804,  -461.581,  8.361,  0.018,  0.016,  0.123,  0.060
2.317,  0.825,  -461.608,  8.364,  0.017,  0.016,  0.123,  0.059
2.385,  0.866,  -461.500,  8.355,  0.018,  0.016,  0.122,  0.059
2.346,  0.866,  -461.582,  8.355,  0.019,  0.016,  0.119,  0.058
2.302,  0.796,  -461.629,  8.357,  0.018,  0.016,  0.119,  0.058
2.352,  0.819,  -461.647,  8.362,  0.018,  0.016,  0.121,  0.058
2.351,  0.793,  -461.387,  8.356,  0.019,  0.016,  0.117,  0.058
2.357,  0.816,  -461.449,  8.358,  0.017,  0.016,  0.117,  0.057
2.313,  0.942,  -461.481,  8.363,  0.019,  0.016,  0.118,  0.057
2.356,  0.809,  -461.380,  8.356,  0.019,  0.017,  0.117,  0.057
2.341,  0.808,  -461.540,  8.361,  0.018,  0.016,  0.114,  0.055
2.365,  0.827,  -461.432,  8.355,  0.018,  0.016,  0.116,  0.056
2.366,  0.796,  -461.602,  8.355,  0.018,  0.016,  0.115,  0.056
2.336,  0.724,  -461.359,  8.360,  0.018,  0.016,  0.114,  0.057
2.317,  0.796,  -461.573,  8.357,  0.018,  0.016,  0.114,  0.057
2.324,  0.847,  -461.481,  8.358,  0.018,  0.016,  0.112,  0.056
2.404,  0.806,  -461.439,  8.358,  0.018,  0.016,  0.112,  0.055
2.396,  0.840,  -461.617,  8.349,  0.018,  0.016,  0.116,  0.057
2.340,  0.750,  -461.575,  8.356,  0.018,  0.016,  0.110,  0.055
2.387,  0.773,  -461.801,  8.355,  0.019,  0.017,  0.111,  0.055
2.358,  0.795,  -461.592,  8.358,  0.018,  0.017,  0.113,  0.057
2.334,  0.769,  -461.641,  8.358,  0.018,  0.016,  0.111,  0.056
2.320,  0.735,  -461.717,  8.357,  0.018,  0.016,  0.110,  0.055
2.338,  0.873,  -461.411,  8.355,  0.018,  0.016,  0.111,  0.054
2.315,  0.763,  -461.670,  8.362,  0.018,  0.016,  0.112,  0.056
2.316,  0.736,  -461.390,  8.364,  0.018,  0.016,  0.108,  0.055
2.352,  0.736,  -461.632,  8.360,  0.019,  0.017,  0.109,  0.054
2.366,  0.711,  -461.481,  8.357,  0.018,  0.016,  0.109,  0.055
2.347,  0.783,  -461.605,  8.358,  0.018,  0.016,  0.108,  0.054
2.390,  0.746,  -461.481,  8.360,  0.018,  0.016,  0.107,  0.053
2.314,  0.736,  -461.434,  8.364,  0.017,  0.015,  0.107,  0.054
2.407,  0.810,  -461.558,  8.359,  0.018,  0.016,  0.109,  0.053
2.403,  0.749,  -461.477,  8.354,  0.018,  0.016,  0.109,  0.053
2.364,  0.738,  -461.497,  8.356,  0.018,  0.016,  0.106,  0.052
2.366,  0.758,  -461.625,  8.356,  0.017,  0.016,  0.106,  0.052
2.387,  0.793,  -461.616,  8.354,  0.018,  0.016,  0.105,  0.053
2.349,  0.777,  -461.559,  8.364,  0.019,  0.017,  0.104,  0.052
2.331,  0.811,  -461.477,  8.360,  0.019,  0.016,  0.107,  0.054
2.341,  0.806,  -461.505,  8.357,  0.018,  0.016,  0.106,  0.052
2.370,  0.755,  -461.471,  8.357,  0.017,  0.016,  0.104,  0.053
2.348,  0.705,  -461.525,  8.357,  0.018,  0.016,  0.107,  0.052
2.362,  0.711,  -461.653,  8.358,  0.018,  0.016,  0.109,  0.053
2.337,  0.806,  -461.485,  8.365,  0.018,  0.016,  0.106,  0.052
2.390,  0.734,  -461.526,  8.363,  0.018,  0.016,  0.102,  0.053
2.313,  0.782,  -461.377,  8.364,  0.018,  0.016,  0.100,  0.051
2.342,  0.707,  -461.409,  8.359,  0.017,  0.015,  0.102,  0.051
2.350,  0.830,  -461.555,  8.354,  0.018,  0.016,  0.108,  0.053
2.333,  0.731,  -461.491,  8.364,  0.017,  0.016,  0.103,  0.052
2.404,  0.703,  -461.598,  8.356,  0.017,  0.016,  0.100,  0.050
2.356,  0.718,  -461.413,  8.363,  0.018,  0.016,  0.103,  0.051
2.349,  0.760,  -461.623,  8.356,  0.019,  0.017,  0.100,  0.050
2.360,  0.796,  -461.678,  8.362,  0.018,  0.016,  0.105,  0.051
2.380,  0.833,  -461.553,  8.357,  0.018,  0.016,  0.101,  0.051
2.371,  0.724,  -461.477,  8.359,  0.017,  0.015,  0.098,  0.050
2.382,  0.760,  -461.682,  8.356,  0.018,  0.016,  0.098,  0.050
2.346,  0.711,  -461.649,  8.361,  0.018,  0.016,  0.099,  0.050
2.402,  0.837,  -461.585,  8.354,  0.020,  0.017,  0.104,  0.050
2.367,  0.847,  -461.535,  8.356,  0.018,  0.016,  0.102,  0.049
2.336,  0.776,  -461.540,  8.365,  0.018,  0.016,  0.099,  0.050
2.389,  0.764,  -461.492,  8.354,  0.017,  0.016,  0.097,  0.048
2.360,  0.744,  -461.580,  8.365,  0.018,  0.016,  0.096,  0.048
2.366,  0.757,  -461.488,  8.359,  0.019,  0.016,  0.100,  0.049
2.363,  0.739,  -461.725,  8.357,  0.018,  0.016,  0.099,  0.049
2.350,  0.712,  -461.489,  8.362,  0.018,  0.016,  0.096,  0.047
2.341,  0.693,  -461.636,  8.362,  0.017,  0.015,  0.101,  0.049
2.324,  0.742,  -461.435,  8.368,  0.018,  0.016,  0.096,  0.047
2.390,  0.720,  -461.348,  8.360,  0.019,  0.016,  0.096,  0.048
2.354,  0.724,  -461.573,  8.360,  0.018,  0.016,  0.098,  0.047
2.397,  0.730,  -461.621,  8.359,  0.017,  0.015,  0.100,  0.048
2.347,  0.709,  -461.485,  8.364,  0.018,  0.016,  0.093,  0.047
2.355,  0.733,  -461.659,  8.363,  0.019,  0.017,  0.096,  0.048
2.364,  0.723,  -461.484,  8.364,  0.018,  0.016,  0.091,  0.047
2.418,  0.792,  -461.627,  8.360,  0.018,  0.016,  0.092,  0.047
2.377,  0.772,  -461.558,  8.361,  0.018,  0.016,  0.096,  0.047
2.387,  0.753,  -461.590,  8.361,  0.018,  0.016,  0.094,  0.046
2.311,  0.689,  -461.781,  8.368,  0.018,  0.016,  0.093,  0.045
2.325,  0.740,  -461.616,  8.360,  0.018,  0.016,  0.094,  0.045
2.331,  0.785,  -461.466,  8.363,  0.018,  0.016,  0.088,  0.045
2.383,  0.758,  -461.521,  8.356,  0.018,  0.016,  0.092,  0.045
2.327,  0.724,  -461.645,  8.367,  0.019,  0.016,  0.093,  0.044
2.316,  0.682,  -461.588,  8.358,  0.017,  0.016,  0.088,  0.044
2.375,  0.861,  -461.580,  8.358,  0.018,  0.016,  0.087,  0.043
2.319,  0.780,  -461.656,  8.362,  0.018,  0.016,  0.087,  0.043
2.422,  0.682,  -461.617,  8.359,  0.018,  0.016,  0.085,  0.043
2.349,  0.713,  -461.633,  8.361,  0.018,  0.016,  0.083,  0.042
2.411,  0.803,  -461.622,  8.355,  0.017,  0.016,  0.089,  0.043
2.417,  0.724,  -461.746,  8.365,  0.018,  0.016,  0.089,  0.041
