TrueKL=0.000808, loss: 13.994596,  ess_rws: 1.125241,  ess_eta: 19.948816,  ess_z: 10.820320,  inckl_eta: 0.006589,  inckl_z: 0.215029
TrueKL=0.000666, loss: 14.049476,  ess_rws: 1.127765,  ess_eta: 19.946553,  ess_z: 10.768376,  inckl_eta: 0.006777,  inckl_z: 0.213829
TrueKL=0.000604, loss: 14.030579,  ess_rws: 1.126930,  ess_eta: 19.948719,  ess_z: 10.834155,  inckl_eta: 0.006718,  inckl_z: 0.209908
TrueKL=0.000747, loss: 14.049201,  ess_rws: 1.125146,  ess_eta: 19.946569,  ess_z: 10.859429,  inckl_eta: 0.006046,  inckl_z: 0.206526
TrueKL=0.006422, loss: 13.943752,  ess_rws: 1.124685,  ess_eta: 19.950009,  ess_z: 10.918909,  inckl_eta: 0.006550,  inckl_z: 0.205381
TrueKL=0.053362, loss: 13.988255,  ess_rws: 1.126192,  ess_eta: 19.947969,  ess_z: 10.970220,  inckl_eta: 0.007001,  inckl_z: 0.203705
TrueKL=0.003946, loss: 13.952175,  ess_rws: 1.124415,  ess_eta: 19.952618,  ess_z: 10.993590,  inckl_eta: 0.006174,  inckl_z: 0.201510
TrueKL=0.000708, loss: 14.002165,  ess_rws: 1.130245,  ess_eta: 19.944497,  ess_z: 11.080753,  inckl_eta: 0.006356,  inckl_z: 0.200882
TrueKL=0.000853, loss: 13.994205,  ess_rws: 1.126326,  ess_eta: 19.947867,  ess_z: 11.071245,  inckl_eta: 0.006503,  inckl_z: 0.201078
TrueKL=0.000609, loss: 13.985785,  ess_rws: 1.123538,  ess_eta: 19.949235,  ess_z: 11.120542,  inckl_eta: 0.006515,  inckl_z: 0.193836
TrueKL=0.000581, loss: 13.935646,  ess_rws: 1.127741,  ess_eta: 19.950624,  ess_z: 11.129590,  inckl_eta: 0.006806,  inckl_z: 0.194028
TrueKL=0.000597, loss: 13.985141,  ess_rws: 1.125773,  ess_eta: 19.949738,  ess_z: 11.188475,  inckl_eta: 0.006996,  inckl_z: 0.192241
TrueKL=0.066569, loss: 14.028758,  ess_rws: 1.125656,  ess_eta: 19.947497,  ess_z: 11.168579,  inckl_eta: 0.006423,  inckl_z: 0.192673
TrueKL=0.004001, loss: 14.027695,  ess_rws: 1.122365,  ess_eta: 19.945086,  ess_z: 11.255593,  inckl_eta: 0.006793,  inckl_z: 0.188200
TrueKL=0.001517, loss: 13.974479,  ess_rws: 1.127039,  ess_eta: 19.945035,  ess_z: 11.282068,  inckl_eta: 0.006943,  inckl_z: 0.185986
TrueKL=0.000666, loss: 14.038724,  ess_rws: 1.126368,  ess_eta: 19.945464,  ess_z: 11.240107,  inckl_eta: 0.006763,  inckl_z: 0.182323
TrueKL=0.000865, loss: 14.007873,  ess_rws: 1.128116,  ess_eta: 19.950818,  ess_z: 11.287918,  inckl_eta: 0.009969,  inckl_z: 0.183662
TrueKL=0.000641, loss: 13.981282,  ess_rws: 1.127796,  ess_eta: 19.946811,  ess_z: 11.396436,  inckl_eta: 0.007091,  inckl_z: 0.179685
TrueKL=0.000918, loss: 13.989873,  ess_rws: 1.127295,  ess_eta: 19.948165,  ess_z: 11.425267,  inckl_eta: 0.006395,  inckl_z: 0.177218
TrueKL=0.007509, loss: 14.058547,  ess_rws: 1.124355,  ess_eta: 19.950192,  ess_z: 11.459374,  inckl_eta: 0.006318,  inckl_z: 0.175270
TrueKL=0.029929, loss: 14.059395,  ess_rws: 1.127553,  ess_eta: 19.948930,  ess_z: 11.460092,  inckl_eta: 0.006361,  inckl_z: 0.177063
TrueKL=0.009357, loss: 14.040746,  ess_rws: 1.126775,  ess_eta: 19.946595,  ess_z: 11.476679,  inckl_eta: 0.006190,  inckl_z: 0.173257
TrueKL=0.001244, loss: 14.004530,  ess_rws: 1.122958,  ess_eta: 19.949716,  ess_z: 11.546511,  inckl_eta: 0.007223,  inckl_z: 0.173100
TrueKL=0.000641, loss: 14.005034,  ess_rws: 1.127281,  ess_eta: 19.952582,  ess_z: 11.615262,  inckl_eta: 0.006288,  inckl_z: 0.171087
TrueKL=0.000643, loss: 13.962120,  ess_rws: 1.126398,  ess_eta: 19.946263,  ess_z: 11.691393,  inckl_eta: 0.007832,  inckl_z: 0.168233
TrueKL=0.000587, loss: 13.988058,  ess_rws: 1.131136,  ess_eta: 19.948644,  ess_z: 11.620923,  inckl_eta: 0.006706,  inckl_z: 0.169017
TrueKL=0.000642, loss: 13.916997,  ess_rws: 1.124505,  ess_eta: 19.945888,  ess_z: 11.683055,  inckl_eta: 0.006764,  inckl_z: 0.165731
TrueKL=0.000630, loss: 13.974836,  ess_rws: 1.125689,  ess_eta: 19.947165,  ess_z: 11.696090,  inckl_eta: 0.007595,  inckl_z: 0.162790
TrueKL=0.000603, loss: 14.044917,  ess_rws: 1.125790,  ess_eta: 19.950241,  ess_z: 11.698935,  inckl_eta: 0.006973,  inckl_z: 0.161555
TrueKL=0.000726, loss: 14.013285,  ess_rws: 1.127443,  ess_eta: 19.948891,  ess_z: 11.733002,  inckl_eta: 0.006668,  inckl_z: 0.160404
TrueKL=0.008361, loss: 14.010240,  ess_rws: 1.130101,  ess_eta: 19.946684,  ess_z: 11.774119,  inckl_eta: 0.006169,  inckl_z: 0.162198
TrueKL=0.002945, loss: 13.998926,  ess_rws: 1.129007,  ess_eta: 19.948949,  ess_z: 11.786478,  inckl_eta: 0.006415,  inckl_z: 0.157575
TrueKL=0.004427, loss: 14.013713,  ess_rws: 1.131024,  ess_eta: 19.954710,  ess_z: 11.838286,  inckl_eta: 0.006446,  inckl_z: 0.161043
TrueKL=0.000613, loss: 14.055097,  ess_rws: 1.127985,  ess_eta: 19.949161,  ess_z: 11.763186,  inckl_eta: 0.006725,  inckl_z: 0.158008
TrueKL=0.000558, loss: 13.992140,  ess_rws: 1.125303,  ess_eta: 19.951621,  ess_z: 11.909755,  inckl_eta: 0.007006,  inckl_z: 0.152925
TrueKL=0.000620, loss: 14.017997,  ess_rws: 1.127970,  ess_eta: 19.948334,  ess_z: 11.913778,  inckl_eta: 0.007682,  inckl_z: 0.159009
TrueKL=0.000701, loss: 14.009185,  ess_rws: 1.127690,  ess_eta: 19.951131,  ess_z: 11.942323,  inckl_eta: 0.006949,  inckl_z: 0.154224
TrueKL=0.000624, loss: 14.031108,  ess_rws: 1.124137,  ess_eta: 19.947017,  ess_z: 11.952912,  inckl_eta: 0.006683,  inckl_z: 0.156043
TrueKL=0.000632, loss: 13.990317,  ess_rws: 1.132217,  ess_eta: 19.947425,  ess_z: 11.992416,  inckl_eta: 0.007021,  inckl_z: 0.152321
TrueKL=0.000597, loss: 14.051914,  ess_rws: 1.131598,  ess_eta: 19.948991,  ess_z: 12.013280,  inckl_eta: 0.006898,  inckl_z: 0.150728
TrueKL=0.000590, loss: 14.056913,  ess_rws: 1.132467,  ess_eta: 19.949939,  ess_z: 12.030172,  inckl_eta: 0.006997,  inckl_z: 0.149180
TrueKL=0.004949, loss: 13.967608,  ess_rws: 1.126523,  ess_eta: 19.948507,  ess_z: 12.136519,  inckl_eta: 0.006713,  inckl_z: 0.149774
TrueKL=0.004003, loss: 14.038139,  ess_rws: 1.128892,  ess_eta: 19.950040,  ess_z: 12.058533,  inckl_eta: 0.006539,  inckl_z: 0.148151
TrueKL=0.000572, loss: 14.012060,  ess_rws: 1.127575,  ess_eta: 19.951176,  ess_z: 12.150031,  inckl_eta: 0.006759,  inckl_z: 0.145879
TrueKL=0.000712, loss: 14.022365,  ess_rws: 1.131002,  ess_eta: 19.947562,  ess_z: 12.095792,  inckl_eta: 0.007379,  inckl_z: 0.144800
TrueKL=0.000671, loss: 14.059099,  ess_rws: 1.126876,  ess_eta: 19.949373,  ess_z: 12.168936,  inckl_eta: 0.007447,  inckl_z: 0.141853
TrueKL=0.000640, loss: 14.015302,  ess_rws: 1.130875,  ess_eta: 19.945409,  ess_z: 12.167117,  inckl_eta: 0.026456,  inckl_z: 0.141737
TrueKL=0.000671, loss: 14.060450,  ess_rws: 1.127710,  ess_eta: 19.944461,  ess_z: 12.176534,  inckl_eta: 0.007479,  inckl_z: 0.142064
TrueKL=0.000601, loss: 14.083156,  ess_rws: 1.129936,  ess_eta: 19.948653,  ess_z: 12.123426,  inckl_eta: 0.007253,  inckl_z: 0.143934
TrueKL=0.000585, loss: 14.131126,  ess_rws: 1.128739,  ess_eta: 19.949934,  ess_z: 12.103768,  inckl_eta: 0.007335,  inckl_z: 0.142457
TrueKL=0.000664, loss: 14.019122,  ess_rws: 1.126952,  ess_eta: 19.951076,  ess_z: 12.187139,  inckl_eta: 0.007520,  inckl_z: 0.140125
TrueKL=0.000672, loss: 14.081018,  ess_rws: 1.132262,  ess_eta: 19.944571,  ess_z: 12.204164,  inckl_eta: 0.007441,  inckl_z: 0.140073
TrueKL=0.000567, loss: 14.057523,  ess_rws: 1.127985,  ess_eta: 19.950140,  ess_z: 12.164499,  inckl_eta: 0.007066,  inckl_z: 0.139422
TrueKL=0.000690, loss: 14.001274,  ess_rws: 1.131699,  ess_eta: 19.944154,  ess_z: 12.231694,  inckl_eta: 0.007275,  inckl_z: 0.139410
