EUBOs, ELBOs, ESSs
-173.367991638, -199.854838562, 1.61752370596
-173.166783142, -199.523280334, 1.62501809597
-173.101312256, -199.745178223, 1.62535227537
-173.189839172, -199.369075012, 1.63639377356
-173.474812317, -199.607247925, 1.62977230549
-173.115863037, -198.841529846, 1.6444819212
-173.315960693, -199.946507263, 1.63723452091
-173.101092529, -199.695018005, 1.62584906816
-172.845661926, -198.960534668, 1.63275234699
-173.424235535, -199.706480408, 1.63027130365
-173.183996582, -200.030595398, 1.62513561249
-173.143475342, -199.543869019, 1.6269613862
-173.359819031, -199.684243774, 1.6191652894
-173.037516785, -199.56572113, 1.61551009417
-173.170426941, -199.185392761, 1.64084652662
-173.300050354, -199.430517578, 1.64775838852
-172.969303894, -199.042997742, 1.64475642443
-172.977256775, -199.226647949, 1.63208009005
-172.947525024, -199.184231567, 1.62747443914
-172.860125732, -199.167782593, 1.638375175
-172.88212738, -199.254208374, 1.62823092937
-172.963563538, -199.278155518, 1.63559468985
-172.982389832, -199.382546997, 1.62479771376
-173.039738464, -199.081436157, 1.64159915447
-173.038969421, -198.980471802, 1.63642164469
-172.701002502, -198.914790344, 1.6480774641
-173.03759613, -199.280116272, 1.62911884785
-172.84229126, -198.995198059, 1.64061232805
-173.255703735, -199.478427124, 1.62983289957
-173.213945007, -199.264527893, 1.62883740664
-172.800166321, -199.089143372, 1.61241631508
-172.869004822, -199.033554077, 1.63925766945
-173.081463623, -199.05683136, 1.62705924511
-172.90952301, -198.935795593, 1.63980094194
-172.830960083, -198.930160522, 1.63502260447
-172.910653687, -199.49196167, 1.62502487898
-172.668026733, -199.093269348, 1.64070043564
-172.814674377, -199.00098114, 1.65118125677
-172.829058838, -198.806680298, 1.63246158361
-172.830212402, -198.74319458, 1.65743356943
-172.93324585, -198.569519043, 1.63775980473
-173.045825195, -198.480767822, 1.67664324045
-172.972645569, -198.675378418, 1.65327042341
-173.059840393, -198.73531189, 1.65007382631
-172.910771179, -199.015110779, 1.64347616434
-172.853694153, -198.899050903, 1.6365410924
-172.8462677, -199.101779175, 1.62157108784
-172.976850891, -198.982348633, 1.6268144846
-172.90178833, -198.984469604, 1.63313038349
-172.833839417, -198.931916809, 1.61973224878
-172.732098389, -198.405961609, 1.64779261351
-172.496208191, -198.395715332, 1.64583218098
-172.674740601, -198.770684814, 1.65767631531
-172.511630249, -198.820321655, 1.64106935263
-172.783468628, -198.796542358, 1.64753024578
-172.845811462, -198.593890381, 1.64208657742
-172.753227234, -198.48309021, 1.652970469
-172.51008606, -198.101547241, 1.67488621473
-172.514019775, -197.938459778, 1.66209634542
-172.525141907, -198.353639221, 1.64096851349
-172.624882507, -198.307928467, 1.64870965481
-172.666139221, -198.093475342, 1.65297803879
-172.850126648, -198.484825134, 1.6553016901
-172.637509155, -198.282658386, 1.65339394808
-172.73891449, -198.18477478, 1.64554288387
-172.403645325, -198.369667053, 1.65839443207
-172.465464783, -198.489225769, 1.65090553761
-173.019032288, -198.583401489, 1.66585179567
-172.73253479, -198.149493408, 1.6777425766
-172.730310059, -198.579641724, 1.66276079416
-172.586096191, -198.011558533, 1.6687738657
-172.502839661, -198.255326843, 1.64903231859
-172.794015503, -198.525421143, 1.66407911777
-172.645251465, -198.244458008, 1.66118152142
-172.61388855, -198.269874573, 1.67357199192
-172.47615509, -197.905131531, 1.65996522903
-172.404815674, -198.034671021, 1.6945047617
-172.633033752, -198.27820282, 1.67355166674
-172.398962402, -197.954289246, 1.66355068684
-172.606036377, -198.375543213, 1.65767921209
-172.464004517, -198.068556213, 1.63551343679
-172.569169617, -198.431477356, 1.64673080444
-172.830235291, -198.64241333, 1.67245573997
-172.858940125, -198.47509613, 1.64715156555
-172.476945496, -197.754478455, 1.67658077478
-172.349142456, -197.884918213, 1.66210001707
-172.197795105, -197.909968567, 1.66885854006
-172.493675232, -198.048045349, 1.65265544653
-172.208229065, -198.022160339, 1.65601667166
-172.699337769, -197.87303772, 1.66009192467
-172.226991272, -197.612750244, 1.66842952967
-172.458155823, -197.850613403, 1.68169056177
-172.594004822, -198.177171326, 1.65077528954
-172.455807495, -197.93454895, 1.66696687937
-172.397573853, -198.007487488, 1.63814637661
-172.769180298, -198.044999695, 1.66673728228
-172.314176941, -197.616342163, 1.68740919828
-172.159062195, -197.482807922, 1.69149729013
-172.43840332, -197.470092773, 1.68892831802
-172.526847839, -197.758035278, 1.68421005011
-172.164402771, -197.605796814, 1.66328858137
-172.49609375, -198.305377197, 1.6705612421
-172.396568298, -197.93302002, 1.66997104883
-172.087452698, -197.854867554, 1.65751358271
-172.630508423, -197.739834595, 1.68678050041
-172.251992798, -197.735203552, 1.65747519732
-172.323757935, -197.791523743, 1.66855503321
-172.093629456, -197.681085205, 1.66453074217
-172.470536804, -197.835948181, 1.67381464243
-172.11234436, -197.841442871, 1.65616488457
-172.265132141, -197.680715942, 1.66874719858
-172.338829041, -197.678538513, 1.67836748362
-172.094206238, -197.529037476, 1.66560045481
-172.300865173, -197.638421631, 1.67976408005
-172.069772339, -197.546925354, 1.68163825274
-172.527423096, -197.336894226, 1.6935367465
-172.258799744, -197.528622437, 1.67674289942
-172.171237183, -197.70606842, 1.66436418295
-172.368405151, -197.672369385, 1.66144943237
-172.386460876, -197.69165802, 1.66173419952
-172.311790466, -197.710392761, 1.66163246632
-172.145521545, -197.227149963, 1.66820497513
