EUBO, ELBO, ESS, KLs_eta_ex, KLs_eta_in, KL_z_ex, KL_z_in
-195.382312317, -212.034066772, 1.41611958385, 34.7746162033, 18.4482823086, 2.10193527222, 1.68007394791
-195.435284576, -212.295479431, 1.41549453974, 35.3714538765, 18.1563633537, 2.0675486052, 1.67159405589
-195.100822449, -212.065146637, 1.39450384021, 35.0414918137, 18.0478554344, 2.09122482657, 1.68740293384
-194.774311676, -211.828519745, 1.40458243728, 34.6962731552, 17.1903601742, 2.09468752623, 1.67273436904
-195.003493042, -211.738357544, 1.3944931531, 34.4756100845, 17.7654454613, 2.15625264287, 1.69364581943
-194.755431213, -211.913213806, 1.39227277279, 34.7145960808, 17.1823130512, 2.10873015761, 1.65103289366
-194.813029633, -211.847570953, 1.39504295111, 34.7674931335, 17.4721689034, 2.11728482366, 1.68017820954
-194.646500702, -211.691170807, 1.40211266637, 35.3212223244, 17.4311028099, 2.10192350745, 1.60088715434
-194.355681305, -211.133351135, 1.40775424719, 33.8607052422, 17.0253314972, 2.0680613184, 1.60625835657
-194.484000854, -211.666897583, 1.40633329988, 34.6644830513, 16.8150587273, 2.07606294513, 1.54076323032
-194.218911896, -211.459537201, 1.39888649464, 35.4749202919, 17.2764558697, 2.09100863338, 1.61522230148
-194.334176331, -211.130900421, 1.41554732919, 34.88383358, 17.4365563679, 2.09255485773, 1.576559515
-194.121542358, -211.166228027, 1.39469235539, 35.4748908615, 17.2249256134, 1.9485620594, 1.50070385337
-194.057065582, -210.689182587, 1.4108970499, 35.042202282, 17.2095008659, 1.98412773132, 1.4733975482
-194.093781128, -210.857546692, 1.40130523205, 35.1926279259, 17.2401795387, 1.89963660836, 1.48211505055
-193.920428772, -210.485144653, 1.42292289019, 34.2522956085, 17.0739809418, 1.93805900455, 1.48832248509
-193.789295349, -210.260428467, 1.41053854108, 34.1252220535, 16.9885604095, 1.96051843286, 1.48745897174
-194.134931183, -210.143784027, 1.43610528708, 33.1573338127, 16.981925745, 1.96162222385, 1.58065628529
-193.774520416, -210.252271423, 1.40900885463, 33.6258746529, 16.7497666359, 1.90241207123, 1.53610022366
-193.838474579, -210.546309509, 1.41116166949, 34.2271513557, 16.6222906685, 2.00954328775, 1.47419161677
-193.62566803, -210.229040833, 1.42340728641, 34.1978834915, 16.7218975258, 1.86841260314, 1.44593071342
-193.486686707, -209.850420074, 1.43402826667, 33.7375671387, 16.523838625, 1.87499438882, 1.48503750205
-193.383469849, -209.502479553, 1.43750851154, 33.0648841667, 16.7436958599, 1.85482532263, 1.45955424726
-193.473782043, -209.598955383, 1.43679036379, 32.9868882942, 16.9955787563, 1.7832859087, 1.405778566
-193.763309479, -209.668659821, 1.4354788363, 33.6378816605, 17.6355016041, 1.78767820835, 1.48052939057
-193.247789459, -209.878091431, 1.42749110341, 34.052222805, 16.3971668911, 1.91914387345, 1.45255080342
-193.089116516, -208.833796082, 1.43905832529, 32.6573971176, 16.5551434994, 1.71459510326, 1.36853029966
-193.171653442, -209.468799896, 1.43638612151, 33.7063698578, 16.9005041695, 1.77072802186, 1.349977144
-193.04045929, -208.975870361, 1.44519752264, 33.0379513741, 16.6912447834, 1.77059008241, 1.37230998814
-193.167460632, -209.204532013, 1.44951563001, 33.2215525246, 16.3840162754, 1.81986966491, 1.38132605135
-193.033282471, -209.212379608, 1.42829786301, 32.8023093605, 16.4832110214, 1.83257282853, 1.41085631251
-192.870625916, -209.13085907, 1.42316406488, 33.177708683, 16.3940624523, 1.78495947957, 1.40904614449
-192.941032867, -208.684861145, 1.45252040029, 32.2368559265, 16.3643366909, 1.70417554021, 1.36433911741
-192.812315063, -208.395243225, 1.45386570692, 32.1164737701, 16.3193289948, 1.68868788004, 1.30729224503
-193.037767334, -209.217079163, 1.43732410789, 33.2140440559, 16.1342146015, 1.78165290833, 1.35155764937
-192.733403931, -208.696384888, 1.44187956691, 32.9031759071, 15.9854748917, 1.72512757659, 1.31388970256
-192.900332031, -209.459446716, 1.43547181606, 33.5240628624, 16.146686573, 1.74272914767, 1.33612002134
-192.57094162, -208.875735016, 1.42351703405, 32.9884552574, 16.2789538956, 1.67161021471, 1.28785974085
-192.8808078, -208.850809631, 1.43663938761, 32.9652330589, 15.9792751122, 1.76304537892, 1.35488604426
-192.44272644, -208.221865387, 1.44684496641, 31.8683306503, 15.6635527325, 1.70298955441, 1.32945466638
-192.555912018, -209.069977264, 1.43844965339, 33.6143366623, 15.7408442593, 1.73144589782, 1.28776901066
-192.347186432, -207.992642365, 1.46704383492, 32.8858891296, 16.0796713448, 1.63140538573, 1.22577798665
-192.389649506, -208.784753571, 1.42735770345, 33.0605080605, 16.1678258419, 1.63968756318, 1.27780537665
-192.230291138, -208.538257599, 1.43509350657, 33.5011606026, 15.7915951252, 1.66818424106, 1.23785465539
-192.418264465, -208.080860291, 1.45125591993, 32.2908215904, 16.1737808514, 1.58250042081, 1.21212733567
-192.20151123, -207.735772552, 1.45701691031, 31.8468945503, 16.0917273045, 1.62513200641, 1.23370973945
-192.104208527, -208.005544891, 1.44083555698, 32.8516178131, 15.6514997578, 1.60348266959, 1.19811813831
-192.143054352, -208.031041718, 1.44350737929, 33.1665001106, 15.8309000587, 1.6201481545, 1.24152534246
-192.330154572, -207.98039856, 1.44488330364, 32.1071357155, 15.8521181488, 1.61791034698, 1.22276428103
-192.022663727, -207.445188141, 1.4587167871, 31.9569304657, 15.7122690201, 1.57620765805, 1.18222179234
