EUBO_ave, ELBO_ave, ESS, KLs_eta_ex_ag, KLs_eta_in_ag, KL_z_ex_ag, KL_z_in_ag
-335.88116455078125, -658.935546875, 1.0290197134017944, 466.109375, 16.608274459838867, 132.62628173828125, 21.379743576049805
-265.5201110839844, -548.556884765625, 1.0406317710876465, 398.0708923339844, 16.530885696411133, 72.89014434814453, 19.861007690429688
-274.16253662109375, -585.7185668945312, 1.0082900524139404, 404.6083679199219, 16.594770431518555, 92.65229797363281, 18.204862594604492
-277.08538818359375, -540.1351318359375, 1.0443991422653198, 383.09820556640625, 15.933777809143066, 98.82006072998047, 19.35749053955078
-259.8077392578125, -515.7522583007812, 1.005038857460022, 342.4364929199219, 16.24851417541504, 83.41761016845703, 17.234817504882812
-297.8100280761719, -632.445556640625, 1.0438793897628784, 445.5841064453125, 15.929400444030762, 112.13732147216797, 21.577245712280273
-278.78790283203125, -583.5123291015625, 1.0575546026229858, 377.118896484375, 16.278305053710938, 91.33275604248047, 19.534046173095703
-289.4349365234375, -588.0992431640625, 1.0312427282333374, 446.2248840332031, 16.906944274902344, 99.44011688232422, 19.013792037963867
-306.6343688964844, -653.5068359375, 1.0196731090545654, 474.8686828613281, 16.57721519470215, 108.181640625, 20.281211853027344
-345.27410888671875, -787.62646484375, 1.0169436931610107, 587.2269287109375, 17.643980026245117, 134.98910522460938, 20.50564193725586
-311.7259521484375, -625.1602172851562, 1.0214651823043823, 453.0260009765625, 17.150453567504883, 111.65328979492188, 21.491958618164062
-302.2831115722656, -609.8117065429688, 1.0661039352416992, 441.8027648925781, 16.410280227661133, 106.17979431152344, 18.58705711364746
-321.3075256347656, -609.610595703125, 1.003594160079956, 449.4549865722656, 17.049957275390625, 130.2443389892578, 18.991809844970703
-297.5180358886719, -605.4984130859375, 1.0199730396270752, 424.1763610839844, 16.370784759521484, 100.44439697265625, 19.753761291503906
-310.3701171875, -621.1116943359375, 1.0153309106826782, 452.1240539550781, 17.574907302856445, 106.70861053466797, 20.8171329498291
-288.9268798828125, -597.3878784179688, 1.0407143831253052, 422.72601318359375, 17.11678123474121, 104.54991149902344, 18.76850128173828
-268.9785461425781, -542.8613891601562, 1.0182464122772217, 379.9600830078125, 15.671076774597168, 78.00809478759766, 18.452354431152344
-271.613037109375, -612.4891357421875, 1.0328304767608643, 413.6851501464844, 16.072839736938477, 77.9321060180664, 18.475378036499023
-316.4427185058594, -660.7017822265625, 1.0373139381408691, 481.5790710449219, 17.321063995361328, 119.2295150756836, 20.821544647216797
-305.3607482910156, -643.559814453125, 1.0056244134902954, 499.9465637207031, 16.29585075378418, 103.71389770507812, 18.459562301635742
-308.7554626464844, -626.2145385742188, 1.0786840915679932, 426.1177062988281, 17.492971420288086, 102.1218490600586, 19.0633544921875
-282.6905517578125, -591.827392578125, 1.0201300382614136, 442.8011474609375, 17.329404830932617, 73.81726837158203, 16.131380081176758
-288.90728759765625, -564.373779296875, 1.0064761638641357, 364.01544189453125, 16.367155075073242, 102.0182113647461, 19.78653907775879
-264.10174560546875, -564.3711547851562, 1.005263328552246, 411.7369384765625, 17.764728546142578, 78.37538146972656, 18.724483489990234
-291.84454345703125, -595.35986328125, 1.0291603803634644, 425.4809875488281, 16.500328063964844, 133.25576782226562, 19.79595375061035
-308.6294860839844, -640.2520751953125, 1.025343418121338, 442.26409912109375, 17.246570587158203, 111.42672729492188, 20.854188919067383
-312.4131164550781, -622.7902221679688, 1.0797730684280396, 453.63214111328125, 17.089658737182617, 115.9838638305664, 19.354724884033203
-269.4184875488281, -513.7080688476562, 1.0603142976760864, 357.62249755859375, 16.006393432617188, 81.1664047241211, 18.14211654663086
-308.968505859375, -712.426025390625, 1.0580456256866455, 504.46551513671875, 16.739334106445312, 112.82408142089844, 19.57703399658203
-292.7289123535156, -564.22119140625, 1.029180884361267, 404.24139404296875, 16.92742347717285, 95.06836700439453, 18.333301544189453
-286.8221740722656, -586.8804321289062, 1.000472068786621, 391.9212951660156, 16.289600372314453, 106.1117172241211, 18.160032272338867
-286.048095703125, -575.0617065429688, 1.0283547639846802, 391.9150390625, 16.113754272460938, 92.06936645507812, 21.061412811279297
-282.3136291503906, -562.56298828125, 1.0767492055892944, 394.9028015136719, 16.025949478149414, 95.74072265625, 19.920345306396484
-303.1172180175781, -714.0999755859375, 1.0792076587677002, 565.6211547851562, 17.75458335876465, 86.17948913574219, 16.578828811645508
-343.465087890625, -753.3255615234375, 1.022495150566101, 597.0623168945312, 16.821117401123047, 120.98358154296875, 17.835803985595703
