TrueKL=1211.270303, loss: 37.530972,  ess_rws: 1.166003,  inckl_eta: 158.083752,  inckl_z: 3.029415
TrueKL=1221.694523, loss: 37.284202,  ess_rws: 1.171818,  inckl_eta: 142.755152,  inckl_z: 2.861185
TrueKL=1232.594759, loss: 37.144753,  ess_rws: 1.181323,  inckl_eta: 123.953672,  inckl_z: 2.773008
TrueKL=1239.176317, loss: 36.249835,  ess_rws: 1.193902,  inckl_eta: 120.798926,  inckl_z: 2.684471
TrueKL=1233.791313, loss: 34.540329,  ess_rws: 1.236754,  inckl_eta: 114.220663,  inckl_z: 2.606468
TrueKL=1102.385377, loss: 32.326168,  ess_rws: 1.297655,  inckl_eta: 104.490650,  inckl_z: 2.361101
TrueKL=933.429823, loss: 29.889400,  ess_rws: 1.356161,  inckl_eta: 87.871864,  inckl_z: 2.293906
TrueKL=805.373354, loss: 28.484211,  ess_rws: 1.380543,  inckl_eta: 74.078587,  inckl_z: 2.201144
TrueKL=722.344884, loss: 27.749824,  ess_rws: 1.420859,  inckl_eta: 67.163525,  inckl_z: 2.198690
TrueKL=665.451225, loss: 27.323500,  ess_rws: 1.485224,  inckl_eta: 54.835914,  inckl_z: 2.087453
TrueKL=605.974514, loss: 26.762874,  ess_rws: 1.604821,  inckl_eta: 51.243761,  inckl_z: 2.025073
TrueKL=502.973750, loss: 26.215820,  ess_rws: 1.933765,  inckl_eta: 42.462118,  inckl_z: 1.920766
TrueKL=286.537669, loss: 24.166720,  ess_rws: 2.689804,  inckl_eta: 29.410823,  inckl_z: 1.824163
TrueKL=47.649519, loss: 22.136003,  ess_rws: 4.142884,  inckl_eta: 8.894051,  inckl_z: 1.669579
TrueKL=6.635301, loss: 20.983818,  ess_rws: 5.203741,  inckl_eta: 5.609644,  inckl_z: 1.443861
TrueKL=0.988489, loss: 20.629405,  ess_rws: 5.754799,  inckl_eta: 0.447466,  inckl_z: 1.336729
TrueKL=0.282539, loss: 20.448300,  ess_rws: 6.042936,  inckl_eta: 0.233740,  inckl_z: 1.255721
TrueKL=0.517034, loss: 20.394326,  ess_rws: 6.180704,  inckl_eta: 0.127951,  inckl_z: 1.220069
TrueKL=0.114619, loss: 20.361993,  ess_rws: 6.309458,  inckl_eta: 0.112186,  inckl_z: 1.193403
TrueKL=0.047624, loss: 20.214075,  ess_rws: 6.447665,  inckl_eta: 0.226706,  inckl_z: 1.143895
TrueKL=0.257703, loss: 20.328372,  ess_rws: 6.479666,  inckl_eta: 0.094156,  inckl_z: 1.113927
TrueKL=0.031590, loss: 20.264309,  ess_rws: 6.542684,  inckl_eta: 0.088883,  inckl_z: 1.097300
TrueKL=0.035576, loss: 20.189533,  ess_rws: 6.677155,  inckl_eta: 4.744327,  inckl_z: 1.091327
