symKL_DB_eta: 2.392,  symKL_DB_z: 2.345,  loss: -463.740,  ess: 8.319,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.377,  kl_z_in: 0.164
symKL_DB_eta: 2.364,  symKL_DB_z: 2.041,  loss: -463.584,  ess: 8.319,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.369,  kl_z_in: 0.163
symKL_DB_eta: 2.450,  symKL_DB_z: 2.257,  loss: -463.329,  ess: 8.317,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.367,  kl_z_in: 0.160
symKL_DB_eta: 2.468,  symKL_DB_z: 2.152,  loss: -463.351,  ess: 8.318,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.370,  kl_z_in: 0.160
symKL_DB_eta: 2.348,  symKL_DB_z: 2.067,  loss: -463.354,  ess: 8.327,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.356,  kl_z_in: 0.155
symKL_DB_eta: 2.369,  symKL_DB_z: 2.011,  loss: -463.189,  ess: 8.319,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.349,  kl_z_in: 0.153
symKL_DB_eta: 2.362,  symKL_DB_z: 2.143,  loss: -463.231,  ess: 8.321,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.348,  kl_z_in: 0.151
symKL_DB_eta: 2.336,  symKL_DB_z: 2.038,  loss: -463.396,  ess: 8.324,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.345,  kl_z_in: 0.152
symKL_DB_eta: 2.396,  symKL_DB_z: 2.118,  loss: -463.332,  ess: 8.320,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.333,  kl_z_in: 0.147
symKL_DB_eta: 2.537,  symKL_DB_z: 1.959,  loss: -463.634,  ess: 8.328,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.327,  kl_z_in: 0.144
symKL_DB_eta: 2.389,  symKL_DB_z: 2.109,  loss: -463.223,  ess: 8.321,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.327,  kl_z_in: 0.144
symKL_DB_eta: 2.363,  symKL_DB_z: 1.919,  loss: -463.372,  ess: 8.326,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.320,  kl_z_in: 0.140
symKL_DB_eta: 2.524,  symKL_DB_z: 1.979,  loss: -463.419,  ess: 8.321,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.315,  kl_z_in: 0.142
symKL_DB_eta: 2.386,  symKL_DB_z: 1.793,  loss: -463.388,  ess: 8.325,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.314,  kl_z_in: 0.138
symKL_DB_eta: 2.379,  symKL_DB_z: 1.822,  loss: -463.295,  ess: 8.322,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.307,  kl_z_in: 0.137
symKL_DB_eta: 2.361,  symKL_DB_z: 1.888,  loss: -463.370,  ess: 8.330,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.305,  kl_z_in: 0.133
symKL_DB_eta: 2.473,  symKL_DB_z: 1.938,  loss: -463.750,  ess: 8.330,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.299,  kl_z_in: 0.132
symKL_DB_eta: 2.383,  symKL_DB_z: 1.871,  loss: -463.533,  ess: 8.330,  kl_eta_ex: 0.010,  kl_eta_in: 0.007,  kl_z_ex: 0.301,  kl_z_in: 0.133
symKL_DB_eta: 2.382,  symKL_DB_z: 1.758,  loss: -463.595,  ess: 8.333,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.287,  kl_z_in: 0.128
symKL_DB_eta: 2.356,  symKL_DB_z: 1.850,  loss: -463.717,  ess: 8.335,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.283,  kl_z_in: 0.126
symKL_DB_eta: 2.427,  symKL_DB_z: 1.934,  loss: -464.165,  ess: 8.331,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.280,  kl_z_in: 0.126
symKL_DB_eta: 2.500,  symKL_DB_z: 1.880,  loss: -463.749,  ess: 8.328,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.280,  kl_z_in: 0.124
symKL_DB_eta: 2.348,  symKL_DB_z: 1.764,  loss: -464.098,  ess: 8.335,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.275,  kl_z_in: 0.121
symKL_DB_eta: 2.387,  symKL_DB_z: 1.649,  loss: -463.696,  ess: 8.333,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.266,  kl_z_in: 0.119
symKL_DB_eta: 2.481,  symKL_DB_z: 1.731,  loss: -463.705,  ess: 8.338,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.266,  kl_z_in: 0.118
symKL_DB_eta: 2.359,  symKL_DB_z: 1.813,  loss: -463.468,  ess: 8.336,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.255,  kl_z_in: 0.114
symKL_DB_eta: 2.406,  symKL_DB_z: 1.852,  loss: -463.635,  ess: 8.333,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.255,  kl_z_in: 0.114
symKL_DB_eta: 2.420,  symKL_DB_z: 1.703,  loss: -463.807,  ess: 8.342,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.254,  kl_z_in: 0.114
symKL_DB_eta: 2.408,  symKL_DB_z: 2.084,  loss: -463.529,  ess: 8.335,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.252,  kl_z_in: 0.113
symKL_DB_eta: 2.362,  symKL_DB_z: 1.664,  loss: -463.297,  ess: 8.336,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.243,  kl_z_in: 0.111
symKL_DB_eta: 2.393,  symKL_DB_z: 1.894,  loss: -463.454,  ess: 8.338,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.246,  kl_z_in: 0.110
symKL_DB_eta: 2.360,  symKL_DB_z: 1.652,  loss: -463.381,  ess: 8.339,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.235,  kl_z_in: 0.107
symKL_DB_eta: 2.485,  symKL_DB_z: 1.698,  loss: -463.260,  ess: 8.336,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.234,  kl_z_in: 0.107
symKL_DB_eta: 2.500,  symKL_DB_z: 2.050,  loss: -463.382,  ess: 8.333,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.235,  kl_z_in: 0.107
symKL_DB_eta: 2.448,  symKL_DB_z: 1.748,  loss: -463.522,  ess: 8.349,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.231,  kl_z_in: 0.104
symKL_DB_eta: 2.371,  symKL_DB_z: 1.924,  loss: -463.518,  ess: 8.335,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.234,  kl_z_in: 0.104
symKL_DB_eta: 2.381,  symKL_DB_z: 1.696,  loss: -463.542,  ess: 8.343,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.231,  kl_z_in: 0.103
symKL_DB_eta: 2.413,  symKL_DB_z: 1.646,  loss: -463.435,  ess: 8.337,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.232,  kl_z_in: 0.103
symKL_DB_eta: 2.360,  symKL_DB_z: 1.556,  loss: -463.236,  ess: 8.337,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.223,  kl_z_in: 0.100
symKL_DB_eta: 2.369,  symKL_DB_z: 1.573,  loss: -463.036,  ess: 8.336,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.219,  kl_z_in: 0.099
symKL_DB_eta: 2.381,  symKL_DB_z: 1.595,  loss: -463.240,  ess: 8.337,  kl_eta_ex: 0.007,  kl_eta_in: 0.006,  kl_z_ex: 0.218,  kl_z_in: 0.098
symKL_DB_eta: 2.406,  symKL_DB_z: 1.674,  loss: -463.526,  ess: 8.336,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.220,  kl_z_in: 0.098
symKL_DB_eta: 2.360,  symKL_DB_z: 1.714,  loss: -463.549,  ess: 8.341,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.214,  kl_z_in: 0.098
symKL_DB_eta: 2.356,  symKL_DB_z: 1.509,  loss: -463.317,  ess: 8.344,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.215,  kl_z_in: 0.096
symKL_DB_eta: 2.437,  symKL_DB_z: 1.672,  loss: -463.127,  ess: 8.334,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.216,  kl_z_in: 0.095
symKL_DB_eta: 2.471,  symKL_DB_z: 1.642,  loss: -463.391,  ess: 8.333,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.209,  kl_z_in: 0.095
symKL_DB_eta: 2.371,  symKL_DB_z: 1.681,  loss: -463.542,  ess: 8.341,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.209,  kl_z_in: 0.094
symKL_DB_eta: 2.423,  symKL_DB_z: 1.523,  loss: -463.301,  ess: 8.336,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.209,  kl_z_in: 0.093
symKL_DB_eta: 2.364,  symKL_DB_z: 1.616,  loss: -463.087,  ess: 8.343,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.203,  kl_z_in: 0.093
symKL_DB_eta: 2.435,  symKL_DB_z: 1.522,  loss: -463.320,  ess: 8.339,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.201,  kl_z_in: 0.090
symKL_DB_eta: 2.332,  symKL_DB_z: 1.618,  loss: -463.321,  ess: 8.346,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.201,  kl_z_in: 0.092
symKL_DB_eta: 2.401,  symKL_DB_z: 1.737,  loss: -463.230,  ess: 8.341,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.203,  kl_z_in: 0.091
symKL_DB_eta: 2.472,  symKL_DB_z: 1.410,  loss: -463.337,  ess: 8.346,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.197,  kl_z_in: 0.089
symKL_DB_eta: 2.397,  symKL_DB_z: 1.717,  loss: -463.666,  ess: 8.340,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.198,  kl_z_in: 0.090
symKL_DB_eta: 2.399,  symKL_DB_z: 1.675,  loss: -463.293,  ess: 8.337,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.196,  kl_z_in: 0.088
symKL_DB_eta: 2.383,  symKL_DB_z: 1.507,  loss: -463.375,  ess: 8.348,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.193,  kl_z_in: 0.088
symKL_DB_eta: 2.384,  symKL_DB_z: 1.574,  loss: -463.449,  ess: 8.345,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.195,  kl_z_in: 0.088
symKL_DB_eta: 2.373,  symKL_DB_z: 1.708,  loss: -463.430,  ess: 8.350,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.192,  kl_z_in: 0.087
symKL_DB_eta: 2.353,  symKL_DB_z: 1.496,  loss: -463.358,  ess: 8.339,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.186,  kl_z_in: 0.085
symKL_DB_eta: 2.406,  symKL_DB_z: 1.629,  loss: -463.491,  ess: 8.344,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.194,  kl_z_in: 0.086
symKL_DB_eta: 2.342,  symKL_DB_z: 1.508,  loss: -463.580,  ess: 8.340,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.184,  kl_z_in: 0.084
symKL_DB_eta: 2.388,  symKL_DB_z: 1.557,  loss: -463.303,  ess: 8.342,  kl_eta_ex: 0.008,  kl_eta_in: 0.006,  kl_z_ex: 0.188,  kl_z_in: 0.084
