symKL_DB_eta: 118.705,  symKL_DB_z: 17.478,  loss: -692.462,  ess: 5.579,  kl_eta_ex: 184.013,  kl_eta_in: 245.402,  kl_z_ex: 5.909,  kl_z_in: 1.638
symKL_DB_eta: 117.794,  symKL_DB_z: 17.147,  loss: -691.754,  ess: 5.582,  kl_eta_ex: 185.762,  kl_eta_in: 248.510,  kl_z_ex: 5.789,  kl_z_in: 1.599
symKL_DB_eta: 117.396,  symKL_DB_z: 17.224,  loss: -690.896,  ess: 5.589,  kl_eta_ex: 181.995,  kl_eta_in: 243.753,  kl_z_ex: 5.583,  kl_z_in: 1.567
symKL_DB_eta: 115.991,  symKL_DB_z: 17.056,  loss: -690.165,  ess: 5.591,  kl_eta_ex: 181.730,  kl_eta_in: 242.845,  kl_z_ex: 5.497,  kl_z_in: 1.523
symKL_DB_eta: 117.102,  symKL_DB_z: 16.949,  loss: -687.560,  ess: 5.598,  kl_eta_ex: 182.261,  kl_eta_in: 242.673,  kl_z_ex: 5.418,  kl_z_in: 1.511
symKL_DB_eta: 115.882,  symKL_DB_z: 16.714,  loss: -684.724,  ess: 5.605,  kl_eta_ex: 177.472,  kl_eta_in: 237.897,  kl_z_ex: 5.179,  kl_z_in: 1.457
symKL_DB_eta: 114.972,  symKL_DB_z: 16.588,  loss: -685.941,  ess: 5.609,  kl_eta_ex: 179.690,  kl_eta_in: 240.288,  kl_z_ex: 5.141,  kl_z_in: 1.457
symKL_DB_eta: 116.918,  symKL_DB_z: 16.678,  loss: -684.283,  ess: 5.606,  kl_eta_ex: 179.509,  kl_eta_in: 240.737,  kl_z_ex: 5.216,  kl_z_in: 1.431
symKL_DB_eta: 114.839,  symKL_DB_z: 16.118,  loss: -681.390,  ess: 5.616,  kl_eta_ex: 178.136,  kl_eta_in: 239.345,  kl_z_ex: 5.027,  kl_z_in: 1.388
symKL_DB_eta: 114.900,  symKL_DB_z: 16.425,  loss: -680.493,  ess: 5.617,  kl_eta_ex: 175.668,  kl_eta_in: 235.388,  kl_z_ex: 5.022,  kl_z_in: 1.392
symKL_DB_eta: 114.067,  symKL_DB_z: 16.023,  loss: -679.397,  ess: 5.622,  kl_eta_ex: 176.759,  kl_eta_in: 236.947,  kl_z_ex: 4.875,  kl_z_in: 1.347
symKL_DB_eta: 113.893,  symKL_DB_z: 15.547,  loss: -677.880,  ess: 5.630,  kl_eta_ex: 175.051,  kl_eta_in: 236.360,  kl_z_ex: 4.709,  kl_z_in: 1.318
symKL_DB_eta: 113.781,  symKL_DB_z: 16.017,  loss: -676.729,  ess: 5.631,  kl_eta_ex: 175.098,  kl_eta_in: 235.605,  kl_z_ex: 4.539,  kl_z_in: 1.288
symKL_DB_eta: 113.043,  symKL_DB_z: 15.906,  loss: -674.997,  ess: 5.629,  kl_eta_ex: 174.090,  kl_eta_in: 236.451,  kl_z_ex: 4.722,  kl_z_in: 1.298
symKL_DB_eta: 111.938,  symKL_DB_z: 15.497,  loss: -673.861,  ess: 5.630,  kl_eta_ex: 172.545,  kl_eta_in: 233.193,  kl_z_ex: 4.430,  kl_z_in: 1.256
symKL_DB_eta: 113.759,  symKL_DB_z: 15.395,  loss: -673.571,  ess: 5.639,  kl_eta_ex: 173.042,  kl_eta_in: 232.749,  kl_z_ex: 4.502,  kl_z_in: 1.255
symKL_DB_eta: 111.660,  symKL_DB_z: 15.207,  loss: -672.358,  ess: 5.645,  kl_eta_ex: 173.048,  kl_eta_in: 235.091,  kl_z_ex: 4.508,  kl_z_in: 1.246
symKL_DB_eta: 112.056,  symKL_DB_z: 15.081,  loss: -671.176,  ess: 5.645,  kl_eta_ex: 172.215,  kl_eta_in: 233.836,  kl_z_ex: 4.375,  kl_z_in: 1.225
symKL_DB_eta: 110.966,  symKL_DB_z: 15.431,  loss: -670.429,  ess: 5.642,  kl_eta_ex: 170.143,  kl_eta_in: 230.387,  kl_z_ex: 4.295,  kl_z_in: 1.208
symKL_DB_eta: 109.056,  symKL_DB_z: 14.948,  loss: -667.711,  ess: 5.645,  kl_eta_ex: 170.221,  kl_eta_in: 231.844,  kl_z_ex: 4.319,  kl_z_in: 1.197
symKL_DB_eta: 111.845,  symKL_DB_z: 15.097,  loss: -670.968,  ess: 5.653,  kl_eta_ex: 171.268,  kl_eta_in: 232.867,  kl_z_ex: 4.113,  kl_z_in: 1.170
symKL_DB_eta: 109.961,  symKL_DB_z: 14.739,  loss: -667.809,  ess: 5.649,  kl_eta_ex: 168.778,  kl_eta_in: 229.398,  kl_z_ex: 4.082,  kl_z_in: 1.158
symKL_DB_eta: 109.490,  symKL_DB_z: 14.764,  loss: -665.413,  ess: 5.651,  kl_eta_ex: 167.427,  kl_eta_in: 227.765,  kl_z_ex: 4.042,  kl_z_in: 1.157
symKL_DB_eta: 108.281,  symKL_DB_z: 15.110,  loss: -664.911,  ess: 5.656,  kl_eta_ex: 166.753,  kl_eta_in: 227.354,  kl_z_ex: 4.136,  kl_z_in: 1.156
symKL_DB_eta: 110.699,  symKL_DB_z: 14.619,  loss: -666.248,  ess: 5.656,  kl_eta_ex: 169.558,  kl_eta_in: 230.820,  kl_z_ex: 4.261,  kl_z_in: 1.153
symKL_DB_eta: 109.498,  symKL_DB_z: 14.577,  loss: -663.483,  ess: 5.660,  kl_eta_ex: 167.104,  kl_eta_in: 227.062,  kl_z_ex: 3.993,  kl_z_in: 1.111
symKL_DB_eta: 110.086,  symKL_DB_z: 14.878,  loss: -662.753,  ess: 5.658,  kl_eta_ex: 166.816,  kl_eta_in: 227.475,  kl_z_ex: 4.015,  kl_z_in: 1.121
symKL_DB_eta: 107.638,  symKL_DB_z: 14.627,  loss: -662.204,  ess: 5.661,  kl_eta_ex: 165.747,  kl_eta_in: 225.020,  kl_z_ex: 3.931,  kl_z_in: 1.106
symKL_DB_eta: 108.577,  symKL_DB_z: 14.428,  loss: -660.910,  ess: 5.662,  kl_eta_ex: 164.265,  kl_eta_in: 222.532,  kl_z_ex: 3.919,  kl_z_in: 1.096
symKL_DB_eta: 107.022,  symKL_DB_z: 14.298,  loss: -659.902,  ess: 5.667,  kl_eta_ex: 165.713,  kl_eta_in: 224.909,  kl_z_ex: 4.044,  kl_z_in: 1.110
symKL_DB_eta: 107.683,  symKL_DB_z: 14.286,  loss: -659.642,  ess: 5.671,  kl_eta_ex: 165.437,  kl_eta_in: 224.281,  kl_z_ex: 3.937,  kl_z_in: 1.082
symKL_DB_eta: 105.511,  symKL_DB_z: 14.035,  loss: -658.388,  ess: 5.670,  kl_eta_ex: 163.009,  kl_eta_in: 221.593,  kl_z_ex: 3.753,  kl_z_in: 1.076
symKL_DB_eta: 103.833,  symKL_DB_z: 13.667,  loss: -654.928,  ess: 5.672,  kl_eta_ex: 160.747,  kl_eta_in: 218.558,  kl_z_ex: 3.809,  kl_z_in: 1.074
symKL_DB_eta: 106.810,  symKL_DB_z: 14.257,  loss: -656.936,  ess: 5.676,  kl_eta_ex: 163.637,  kl_eta_in: 222.944,  kl_z_ex: 3.707,  kl_z_in: 1.057
symKL_DB_eta: 105.830,  symKL_DB_z: 13.859,  loss: -656.370,  ess: 5.681,  kl_eta_ex: 163.829,  kl_eta_in: 223.139,  kl_z_ex: 3.754,  kl_z_in: 1.057
symKL_DB_eta: 105.224,  symKL_DB_z: 13.326,  loss: -654.375,  ess: 5.686,  kl_eta_ex: 163.028,  kl_eta_in: 222.015,  kl_z_ex: 3.710,  kl_z_in: 1.038
symKL_DB_eta: 105.557,  symKL_DB_z: 13.168,  loss: -653.637,  ess: 5.681,  kl_eta_ex: 161.574,  kl_eta_in: 219.190,  kl_z_ex: 3.726,  kl_z_in: 1.022
symKL_DB_eta: 104.161,  symKL_DB_z: 13.497,  loss: -652.816,  ess: 5.684,  kl_eta_ex: 161.748,  kl_eta_in: 218.660,  kl_z_ex: 3.683,  kl_z_in: 1.016
symKL_DB_eta: 103.792,  symKL_DB_z: 13.391,  loss: -651.443,  ess: 5.683,  kl_eta_ex: 160.434,  kl_eta_in: 216.275,  kl_z_ex: 3.620,  kl_z_in: 1.016
symKL_DB_eta: 105.105,  symKL_DB_z: 13.472,  loss: -651.592,  ess: 5.686,  kl_eta_ex: 160.870,  kl_eta_in: 216.862,  kl_z_ex: 3.661,  kl_z_in: 1.003
symKL_DB_eta: 105.273,  symKL_DB_z: 13.714,  loss: -652.018,  ess: 5.684,  kl_eta_ex: 160.466,  kl_eta_in: 217.355,  kl_z_ex: 3.492,  kl_z_in: 0.983
symKL_DB_eta: 105.685,  symKL_DB_z: 13.615,  loss: -651.890,  ess: 5.692,  kl_eta_ex: 160.917,  kl_eta_in: 217.411,  kl_z_ex: 3.408,  kl_z_in: 0.965
symKL_DB_eta: 104.955,  symKL_DB_z: 13.341,  loss: -651.039,  ess: 5.689,  kl_eta_ex: 161.378,  kl_eta_in: 217.682,  kl_z_ex: 3.364,  kl_z_in: 0.979
symKL_DB_eta: 104.315,  symKL_DB_z: 13.518,  loss: -650.191,  ess: 5.691,  kl_eta_ex: 159.887,  kl_eta_in: 215.065,  kl_z_ex: 3.459,  kl_z_in: 0.972
symKL_DB_eta: 105.258,  symKL_DB_z: 13.663,  loss: -652.176,  ess: 5.693,  kl_eta_ex: 161.210,  kl_eta_in: 217.917,  kl_z_ex: 3.361,  kl_z_in: 0.963
symKL_DB_eta: 105.612,  symKL_DB_z: 13.161,  loss: -651.427,  ess: 5.696,  kl_eta_ex: 161.390,  kl_eta_in: 218.452,  kl_z_ex: 3.452,  kl_z_in: 0.968
symKL_DB_eta: 103.917,  symKL_DB_z: 13.370,  loss: -650.560,  ess: 5.693,  kl_eta_ex: 158.903,  kl_eta_in: 215.761,  kl_z_ex: 3.359,  kl_z_in: 0.961
symKL_DB_eta: 103.972,  symKL_DB_z: 13.501,  loss: -650.563,  ess: 5.694,  kl_eta_ex: 160.363,  kl_eta_in: 218.332,  kl_z_ex: 3.248,  kl_z_in: 0.940
symKL_DB_eta: 102.289,  symKL_DB_z: 13.467,  loss: -647.088,  ess: 5.692,  kl_eta_ex: 157.945,  kl_eta_in: 213.799,  kl_z_ex: 3.369,  kl_z_in: 0.947
symKL_DB_eta: 105.884,  symKL_DB_z: 13.086,  loss: -649.934,  ess: 5.696,  kl_eta_ex: 160.656,  kl_eta_in: 218.074,  kl_z_ex: 3.514,  kl_z_in: 0.960
symKL_DB_eta: 102.370,  symKL_DB_z: 12.993,  loss: -648.061,  ess: 5.697,  kl_eta_ex: 159.056,  kl_eta_in: 216.283,  kl_z_ex: 3.342,  kl_z_in: 0.928
symKL_DB_eta: 103.010,  symKL_DB_z: 12.928,  loss: -648.010,  ess: 5.698,  kl_eta_ex: 157.854,  kl_eta_in: 213.960,  kl_z_ex: 3.236,  kl_z_in: 0.935
symKL_DB_eta: 101.965,  symKL_DB_z: 13.023,  loss: -646.190,  ess: 5.698,  kl_eta_ex: 158.558,  kl_eta_in: 216.034,  kl_z_ex: 3.178,  kl_z_in: 0.922
symKL_DB_eta: 104.020,  symKL_DB_z: 13.060,  loss: -648.686,  ess: 5.695,  kl_eta_ex: 158.478,  kl_eta_in: 215.764,  kl_z_ex: 3.259,  kl_z_in: 0.911
symKL_DB_eta: 103.169,  symKL_DB_z: 13.300,  loss: -648.458,  ess: 5.697,  kl_eta_ex: 158.475,  kl_eta_in: 216.784,  kl_z_ex: 3.252,  kl_z_in: 0.933
symKL_DB_eta: 101.855,  symKL_DB_z: 12.768,  loss: -646.235,  ess: 5.700,  kl_eta_ex: 158.644,  kl_eta_in: 217.267,  kl_z_ex: 3.148,  kl_z_in: 0.909
symKL_DB_eta: 102.807,  symKL_DB_z: 12.735,  loss: -646.509,  ess: 5.705,  kl_eta_ex: 158.899,  kl_eta_in: 216.942,  kl_z_ex: 3.202,  kl_z_in: 0.916
symKL_DB_eta: 103.042,  symKL_DB_z: 13.013,  loss: -646.909,  ess: 5.701,  kl_eta_ex: 158.115,  kl_eta_in: 216.787,  kl_z_ex: 3.057,  kl_z_in: 0.900
symKL_DB_eta: 101.265,  symKL_DB_z: 13.099,  loss: -646.477,  ess: 5.697,  kl_eta_ex: 156.204,  kl_eta_in: 213.129,  kl_z_ex: 3.193,  kl_z_in: 0.905
symKL_DB_eta: 104.071,  symKL_DB_z: 13.080,  loss: -646.174,  ess: 5.704,  kl_eta_ex: 156.091,  kl_eta_in: 213.134,  kl_z_ex: 3.002,  kl_z_in: 0.884
symKL_DB_eta: 104.091,  symKL_DB_z: 12.843,  loss: -648.897,  ess: 5.703,  kl_eta_ex: 158.575,  kl_eta_in: 216.323,  kl_z_ex: 3.048,  kl_z_in: 0.879
symKL_DB_eta: 102.975,  symKL_DB_z: 13.312,  loss: -647.434,  ess: 5.701,  kl_eta_ex: 157.803,  kl_eta_in: 217.230,  kl_z_ex: 3.133,  kl_z_in: 0.911
symKL_DB_eta: 102.496,  symKL_DB_z: 12.502,  loss: -646.642,  ess: 5.704,  kl_eta_ex: 156.325,  kl_eta_in: 215.461,  kl_z_ex: 3.052,  kl_z_in: 0.891
symKL_DB_eta: 102.394,  symKL_DB_z: 12.297,  loss: -646.478,  ess: 5.700,  kl_eta_ex: 159.082,  kl_eta_in: 219.136,  kl_z_ex: 3.088,  kl_z_in: 0.895
symKL_DB_eta: 104.387,  symKL_DB_z: 13.044,  loss: -647.080,  ess: 5.700,  kl_eta_ex: 158.280,  kl_eta_in: 218.434,  kl_z_ex: 2.981,  kl_z_in: 0.878
symKL_DB_eta: 103.684,  symKL_DB_z: 13.143,  loss: -647.340,  ess: 5.706,  kl_eta_ex: 156.976,  kl_eta_in: 215.876,  kl_z_ex: 3.028,  kl_z_in: 0.873
symKL_DB_eta: 100.833,  symKL_DB_z: 12.629,  loss: -644.615,  ess: 5.700,  kl_eta_ex: 155.398,  kl_eta_in: 213.136,  kl_z_ex: 2.863,  kl_z_in: 0.856
symKL_DB_eta: 100.768,  symKL_DB_z: 12.426,  loss: -644.370,  ess: 5.705,  kl_eta_ex: 157.834,  kl_eta_in: 217.238,  kl_z_ex: 2.884,  kl_z_in: 0.854
symKL_DB_eta: 100.311,  symKL_DB_z: 12.519,  loss: -645.039,  ess: 5.706,  kl_eta_ex: 157.490,  kl_eta_in: 217.069,  kl_z_ex: 2.963,  kl_z_in: 0.869
symKL_DB_eta: 103.571,  symKL_DB_z: 12.617,  loss: -646.582,  ess: 5.701,  kl_eta_ex: 157.273,  kl_eta_in: 216.744,  kl_z_ex: 2.816,  kl_z_in: 0.856
symKL_DB_eta: 103.901,  symKL_DB_z: 12.532,  loss: -645.240,  ess: 5.703,  kl_eta_ex: 158.629,  kl_eta_in: 219.425,  kl_z_ex: 2.895,  kl_z_in: 0.854
symKL_DB_eta: 104.079,  symKL_DB_z: 12.364,  loss: -646.533,  ess: 5.702,  kl_eta_ex: 159.968,  kl_eta_in: 221.504,  kl_z_ex: 2.935,  kl_z_in: 0.849
symKL_DB_eta: 103.241,  symKL_DB_z: 12.603,  loss: -645.620,  ess: 5.702,  kl_eta_ex: 155.495,  kl_eta_in: 214.040,  kl_z_ex: 2.896,  kl_z_in: 0.867
