(254s) loss: 72.409,  ess: 5.324,  kl_eta_ex: 44.530,  kl_eta_in: 53.286,  kl_z_ex: 0.082,  kl_z_in: 0.027
(251s) loss: 71.462,  ess: 5.327,  kl_eta_ex: 44.226,  kl_eta_in: 52.721,  kl_z_ex: 0.076,  kl_z_in: 0.026
(251s) loss: 71.690,  ess: 5.331,  kl_eta_ex: 44.141,  kl_eta_in: 52.657,  kl_z_ex: 0.075,  kl_z_in: 0.026
(255s) loss: 71.701,  ess: 5.326,  kl_eta_ex: 43.696,  kl_eta_in: 51.911,  kl_z_ex: 0.072,  kl_z_in: 0.024
(253s) loss: 70.183,  ess: 5.336,  kl_eta_ex: 43.998,  kl_eta_in: 52.401,  kl_z_ex: 0.071,  kl_z_in: 0.024
(253s) loss: 70.170,  ess: 5.331,  kl_eta_ex: 43.564,  kl_eta_in: 51.370,  kl_z_ex: 0.066,  kl_z_in: 0.023
(252s) loss: 68.650,  ess: 5.339,  kl_eta_ex: 43.264,  kl_eta_in: 51.122,  kl_z_ex: 0.063,  kl_z_in: 0.022
(247s) loss: 68.415,  ess: 5.344,  kl_eta_ex: 43.231,  kl_eta_in: 50.123,  kl_z_ex: 0.064,  kl_z_in: 0.022
(254s) loss: 67.022,  ess: 5.351,  kl_eta_ex: 43.048,  kl_eta_in: 49.792,  kl_z_ex: 0.061,  kl_z_in: 0.021
(255s) loss: 66.315,  ess: 5.359,  kl_eta_ex: 43.298,  kl_eta_in: 49.429,  kl_z_ex: 0.057,  kl_z_in: 0.020
(247s) loss: 65.538,  ess: 5.370,  kl_eta_ex: 43.112,  kl_eta_in: 48.565,  kl_z_ex: 0.058,  kl_z_in: 0.020
(249s) loss: 64.071,  ess: 5.382,  kl_eta_ex: 43.437,  kl_eta_in: 48.051,  kl_z_ex: 0.058,  kl_z_in: 0.020
(250s) loss: 63.306,  ess: 5.395,  kl_eta_ex: 43.391,  kl_eta_in: 47.125,  kl_z_ex: 0.052,  kl_z_in: 0.018
(252s) loss: 60.842,  ess: 5.411,  kl_eta_ex: 42.980,  kl_eta_in: 47.112,  kl_z_ex: 0.049,  kl_z_in: 0.018
(253s) loss: 59.089,  ess: 5.438,  kl_eta_ex: 41.426,  kl_eta_in: 46.759,  kl_z_ex: 0.046,  kl_z_in: 0.018
(250s) loss: 56.983,  ess: 5.466,  kl_eta_ex: 39.206,  kl_eta_in: 47.016,  kl_z_ex: 0.045,  kl_z_in: 0.018
(251s) loss: 54.498,  ess: 5.497,  kl_eta_ex: 36.505,  kl_eta_in: 46.655,  kl_z_ex: 0.045,  kl_z_in: 0.018
(250s) loss: 51.919,  ess: 5.532,  kl_eta_ex: 33.838,  kl_eta_in: 45.756,  kl_z_ex: 0.039,  kl_z_in: 0.016
(249s) loss: 48.308,  ess: 5.563,  kl_eta_ex: 28.675,  kl_eta_in: 44.236,  kl_z_ex: 0.034,  kl_z_in: 0.014
(255s) loss: 44.667,  ess: 5.600,  kl_eta_ex: 22.863,  kl_eta_in: 42.586,  kl_z_ex: 0.026,  kl_z_in: 0.012
(253s) loss: 42.375,  ess: 5.627,  kl_eta_ex: 19.717,  kl_eta_in: 41.583,  kl_z_ex: 0.019,  kl_z_in: 0.010
(251s) loss: 40.659,  ess: 5.645,  kl_eta_ex: 17.976,  kl_eta_in: 40.721,  kl_z_ex: 0.015,  kl_z_in: 0.008
(250s) loss: 39.655,  ess: 5.651,  kl_eta_ex: 17.088,  kl_eta_in: 40.108,  kl_z_ex: 0.014,  kl_z_in: 0.007
(254s) loss: 38.782,  ess: 5.664,  kl_eta_ex: 16.515,  kl_eta_in: 39.502,  kl_z_ex: 0.013,  kl_z_in: 0.007
