symKL_DB_eta: 130.151,  symKL_DB_z: 16.641,  loss: -745.971,  ess: 5.436,  kl_eta_ex: 214.363,  kl_eta_in: 271.710,  kl_z_ex: 11.382,  kl_z_in: 3.501
symKL_DB_eta: 139.516,  symKL_DB_z: 17.155,  loss: -756.729,  ess: 5.449,  kl_eta_ex: 225.162,  kl_eta_in: 282.139,  kl_z_ex: 12.012,  kl_z_in: 3.566
symKL_DB_eta: 146.581,  symKL_DB_z: 16.769,  loss: -760.369,  ess: 5.465,  kl_eta_ex: 237.663,  kl_eta_in: 289.529,  kl_z_ex: 13.608,  kl_z_in: 3.620
symKL_DB_eta: 153.987,  symKL_DB_z: 15.960,  loss: -766.220,  ess: 5.483,  kl_eta_ex: 247.725,  kl_eta_in: 295.483,  kl_z_ex: 14.920,  kl_z_in: 3.697
symKL_DB_eta: 159.965,  symKL_DB_z: 15.606,  loss: -772.293,  ess: 5.497,  kl_eta_ex: 254.857,  kl_eta_in: 301.144,  kl_z_ex: 15.564,  kl_z_in: 3.700
symKL_DB_eta: 160.563,  symKL_DB_z: 15.077,  loss: -770.716,  ess: 5.513,  kl_eta_ex: 258.207,  kl_eta_in: 302.892,  kl_z_ex: 16.538,  kl_z_in: 3.706
symKL_DB_eta: 163.841,  symKL_DB_z: 14.642,  loss: -772.489,  ess: 5.518,  kl_eta_ex: 264.942,  kl_eta_in: 307.945,  kl_z_ex: 17.218,  kl_z_in: 3.595
symKL_DB_eta: 166.019,  symKL_DB_z: 14.842,  loss: -780.187,  ess: 5.521,  kl_eta_ex: 264.129,  kl_eta_in: 309.556,  kl_z_ex: 16.624,  kl_z_in: 3.493
symKL_DB_eta: 168.801,  symKL_DB_z: 13.867,  loss: -773.244,  ess: 5.534,  kl_eta_ex: 271.306,  kl_eta_in: 310.331,  kl_z_ex: 17.985,  kl_z_in: 3.541
symKL_DB_eta: 170.081,  symKL_DB_z: 13.930,  loss: -776.961,  ess: 5.537,  kl_eta_ex: 271.270,  kl_eta_in: 312.935,  kl_z_ex: 18.348,  kl_z_in: 3.486
symKL_DB_eta: 171.610,  symKL_DB_z: 13.599,  loss: -776.879,  ess: 5.547,  kl_eta_ex: 272.098,  kl_eta_in: 313.092,  kl_z_ex: 18.255,  kl_z_in: 3.348
symKL_DB_eta: 169.775,  symKL_DB_z: 12.494,  loss: -772.816,  ess: 5.550,  kl_eta_ex: 268.855,  kl_eta_in: 308.762,  kl_z_ex: 17.558,  kl_z_in: 3.345
