symKL_DB_eta: 2.239,  symKL_DB_z: 1.836,  loss: -420.752,  ess: 8.361,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.508,  kl_z_in: 0.163
symKL_DB_eta: 2.205,  symKL_DB_z: 1.826,  loss: -420.960,  ess: 8.367,  kl_eta_ex: 0.005,  kl_eta_in: 0.004,  kl_z_ex: 0.517,  kl_z_in: 0.163
symKL_DB_eta: 2.224,  symKL_DB_z: 1.828,  loss: -420.577,  ess: 8.376,  kl_eta_ex: 0.005,  kl_eta_in: 0.004,  kl_z_ex: 0.486,  kl_z_in: 0.157
symKL_DB_eta: 2.215,  symKL_DB_z: 1.788,  loss: -420.774,  ess: 8.375,  kl_eta_ex: 0.004,  kl_eta_in: 0.003,  kl_z_ex: 0.479,  kl_z_in: 0.155
symKL_DB_eta: 2.177,  symKL_DB_z: 1.807,  loss: -420.598,  ess: 8.380,  kl_eta_ex: 0.004,  kl_eta_in: 0.003,  kl_z_ex: 0.465,  kl_z_in: 0.152
symKL_DB_eta: 2.219,  symKL_DB_z: 1.707,  loss: -420.587,  ess: 8.374,  kl_eta_ex: 0.005,  kl_eta_in: 0.003,  kl_z_ex: 0.461,  kl_z_in: 0.152
symKL_DB_eta: 2.195,  symKL_DB_z: 1.765,  loss: -420.877,  ess: 8.379,  kl_eta_ex: 0.004,  kl_eta_in: 0.003,  kl_z_ex: 0.443,  kl_z_in: 0.147
symKL_DB_eta: 2.221,  symKL_DB_z: 1.684,  loss: -420.755,  ess: 8.384,  kl_eta_ex: 0.004,  kl_eta_in: 0.003,  kl_z_ex: 0.440,  kl_z_in: 0.145
symKL_DB_eta: 2.171,  symKL_DB_z: 1.655,  loss: -420.734,  ess: 8.390,  kl_eta_ex: 0.005,  kl_eta_in: 0.003,  kl_z_ex: 0.426,  kl_z_in: 0.142
symKL_DB_eta: 2.210,  symKL_DB_z: 1.633,  loss: -420.683,  ess: 8.391,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.426,  kl_z_in: 0.141
symKL_DB_eta: 2.198,  symKL_DB_z: 1.690,  loss: -420.701,  ess: 8.383,  kl_eta_ex: 0.005,  kl_eta_in: 0.003,  kl_z_ex: 0.418,  kl_z_in: 0.137
symKL_DB_eta: 2.190,  symKL_DB_z: 1.637,  loss: -420.851,  ess: 8.392,  kl_eta_ex: 0.005,  kl_eta_in: 0.003,  kl_z_ex: 0.410,  kl_z_in: 0.141
symKL_DB_eta: 2.188,  symKL_DB_z: 1.604,  loss: -420.637,  ess: 8.397,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.404,  kl_z_in: 0.136
symKL_DB_eta: 2.178,  symKL_DB_z: 1.606,  loss: -420.589,  ess: 8.392,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.392,  kl_z_in: 0.135
symKL_DB_eta: 2.202,  symKL_DB_z: 1.541,  loss: -420.873,  ess: 8.392,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.384,  kl_z_in: 0.132
symKL_DB_eta: 2.192,  symKL_DB_z: 1.474,  loss: -420.762,  ess: 8.393,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.382,  kl_z_in: 0.131
symKL_DB_eta: 2.177,  symKL_DB_z: 1.553,  loss: -420.857,  ess: 8.398,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.373,  kl_z_in: 0.131
symKL_DB_eta: 2.151,  symKL_DB_z: 1.471,  loss: -420.666,  ess: 8.402,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.373,  kl_z_in: 0.126
symKL_DB_eta: 2.174,  symKL_DB_z: 1.422,  loss: -420.682,  ess: 8.397,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.359,  kl_z_in: 0.127
symKL_DB_eta: 2.169,  symKL_DB_z: 1.500,  loss: -420.766,  ess: 8.392,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.362,  kl_z_in: 0.126
symKL_DB_eta: 2.220,  symKL_DB_z: 1.465,  loss: -420.690,  ess: 8.393,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.348,  kl_z_in: 0.123
symKL_DB_eta: 2.190,  symKL_DB_z: 1.515,  loss: -420.894,  ess: 8.401,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.351,  kl_z_in: 0.124
symKL_DB_eta: 2.186,  symKL_DB_z: 1.440,  loss: -420.783,  ess: 8.389,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.339,  kl_z_in: 0.121
symKL_DB_eta: 2.167,  symKL_DB_z: 1.418,  loss: -420.976,  ess: 8.395,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.337,  kl_z_in: 0.121
symKL_DB_eta: 2.202,  symKL_DB_z: 1.428,  loss: -420.817,  ess: 8.393,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.328,  kl_z_in: 0.118
symKL_DB_eta: 2.183,  symKL_DB_z: 1.375,  loss: -420.659,  ess: 8.397,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.325,  kl_z_in: 0.120
symKL_DB_eta: 2.165,  symKL_DB_z: 1.344,  loss: -420.885,  ess: 8.396,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.327,  kl_z_in: 0.118
symKL_DB_eta: 2.195,  symKL_DB_z: 1.398,  loss: -420.745,  ess: 8.403,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.315,  kl_z_in: 0.116
symKL_DB_eta: 2.192,  symKL_DB_z: 1.363,  loss: -420.793,  ess: 8.401,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.313,  kl_z_in: 0.116
symKL_DB_eta: 2.169,  symKL_DB_z: 1.360,  loss: -420.850,  ess: 8.406,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.316,  kl_z_in: 0.116
symKL_DB_eta: 2.208,  symKL_DB_z: 1.326,  loss: -420.540,  ess: 8.401,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.309,  kl_z_in: 0.113
symKL_DB_eta: 2.187,  symKL_DB_z: 1.338,  loss: -420.630,  ess: 8.398,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.297,  kl_z_in: 0.111
symKL_DB_eta: 2.210,  symKL_DB_z: 1.313,  loss: -420.810,  ess: 8.395,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.303,  kl_z_in: 0.112
symKL_DB_eta: 2.173,  symKL_DB_z: 1.312,  loss: -420.652,  ess: 8.399,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.296,  kl_z_in: 0.109
symKL_DB_eta: 2.144,  symKL_DB_z: 1.326,  loss: -420.619,  ess: 8.406,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.282,  kl_z_in: 0.107
symKL_DB_eta: 2.188,  symKL_DB_z: 1.299,  loss: -420.711,  ess: 8.402,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.289,  kl_z_in: 0.109
symKL_DB_eta: 2.200,  symKL_DB_z: 1.427,  loss: -420.724,  ess: 8.399,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.295,  kl_z_in: 0.113
symKL_DB_eta: 2.207,  symKL_DB_z: 1.336,  loss: -420.742,  ess: 8.398,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.280,  kl_z_in: 0.106
symKL_DB_eta: 2.213,  symKL_DB_z: 1.302,  loss: -421.107,  ess: 8.398,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.285,  kl_z_in: 0.107
symKL_DB_eta: 2.163,  symKL_DB_z: 1.268,  loss: -420.854,  ess: 8.406,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.274,  kl_z_in: 0.106
symKL_DB_eta: 2.191,  symKL_DB_z: 1.277,  loss: -421.150,  ess: 8.404,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.273,  kl_z_in: 0.104
symKL_DB_eta: 2.175,  symKL_DB_z: 1.253,  loss: -421.009,  ess: 8.406,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.274,  kl_z_in: 0.105
symKL_DB_eta: 2.176,  symKL_DB_z: 1.230,  loss: -420.774,  ess: 8.401,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.264,  kl_z_in: 0.101
symKL_DB_eta: 2.151,  symKL_DB_z: 1.223,  loss: -421.208,  ess: 8.407,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.264,  kl_z_in: 0.102
symKL_DB_eta: 2.168,  symKL_DB_z: 1.268,  loss: -421.036,  ess: 8.406,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.257,  kl_z_in: 0.101
symKL_DB_eta: 2.173,  symKL_DB_z: 1.212,  loss: -420.837,  ess: 8.411,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.249,  kl_z_in: 0.100
symKL_DB_eta: 2.168,  symKL_DB_z: 1.207,  loss: -421.138,  ess: 8.416,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.257,  kl_z_in: 0.100
symKL_DB_eta: 2.156,  symKL_DB_z: 1.177,  loss: -420.741,  ess: 8.413,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.248,  kl_z_in: 0.098
symKL_DB_eta: 2.180,  symKL_DB_z: 1.178,  loss: -421.180,  ess: 8.407,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.242,  kl_z_in: 0.097
symKL_DB_eta: 2.166,  symKL_DB_z: 1.263,  loss: -420.970,  ess: 8.413,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.245,  kl_z_in: 0.097
symKL_DB_eta: 2.162,  symKL_DB_z: 1.141,  loss: -420.595,  ess: 8.408,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.232,  kl_z_in: 0.093
symKL_DB_eta: 2.186,  symKL_DB_z: 1.140,  loss: -420.772,  ess: 8.409,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.232,  kl_z_in: 0.092
symKL_DB_eta: 2.188,  symKL_DB_z: 1.158,  loss: -420.845,  ess: 8.407,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.233,  kl_z_in: 0.093
symKL_DB_eta: 2.188,  symKL_DB_z: 1.169,  loss: -420.581,  ess: 8.413,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.232,  kl_z_in: 0.094
symKL_DB_eta: 2.162,  symKL_DB_z: 1.155,  loss: -421.157,  ess: 8.417,  kl_eta_ex: 0.005,  kl_eta_in: 0.002,  kl_z_ex: 0.231,  kl_z_in: 0.093
symKL_DB_eta: 2.201,  symKL_DB_z: 1.147,  loss: -420.944,  ess: 8.411,  kl_eta_ex: 0.005,  kl_eta_in: 0.002,  kl_z_ex: 0.219,  kl_z_in: 0.091
symKL_DB_eta: 2.181,  symKL_DB_z: 1.091,  loss: -420.888,  ess: 8.406,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.229,  kl_z_in: 0.092
symKL_DB_eta: 2.192,  symKL_DB_z: 1.155,  loss: -420.938,  ess: 8.407,  kl_eta_ex: 0.003,  kl_eta_in: 0.002,  kl_z_ex: 0.226,  kl_z_in: 0.091
symKL_DB_eta: 2.166,  symKL_DB_z: 1.144,  loss: -420.904,  ess: 8.409,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.224,  kl_z_in: 0.091
symKL_DB_eta: 2.187,  symKL_DB_z: 1.095,  loss: -420.980,  ess: 8.416,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.218,  kl_z_in: 0.093
symKL_DB_eta: 2.184,  symKL_DB_z: 1.140,  loss: -420.767,  ess: 8.405,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.220,  kl_z_in: 0.091
symKL_DB_eta: 2.180,  symKL_DB_z: 1.094,  loss: -420.716,  ess: 8.409,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.211,  kl_z_in: 0.088
symKL_DB_eta: 2.178,  symKL_DB_z: 1.089,  loss: -420.893,  ess: 8.412,  kl_eta_ex: 0.004,  kl_eta_in: 0.002,  kl_z_ex: 0.213,  kl_z_in: 0.091
