loss: 14.011861,  ess: 19.946021, KL=0.000623
loss: 13.988666,  ess: 19.942108, KL=0.000801
loss: 13.979944,  ess: 19.943399, KL=0.000654
loss: 13.967504,  ess: 19.940591, KL=0.000711
loss: 13.921553,  ess: 19.944392, KL=0.000656
loss: 13.942742,  ess: 19.946546, KL=0.000821
loss: 13.987811,  ess: 19.947896, KL=0.001776
loss: 13.997511,  ess: 19.946306, KL=0.001556
loss: 14.000399,  ess: 19.947795, KL=0.000608
loss: 13.985292,  ess: 19.949000, KL=0.000581
loss: 14.051841,  ess: 19.942269, KL=0.000690
loss: 13.995806,  ess: 19.946264, KL=0.000626
loss: 14.020781,  ess: 19.947440, KL=0.000602
loss: 14.103437,  ess: 19.949151, KL=0.000584
loss: 13.963432,  ess: 19.944944, KL=0.000650
loss: 13.971640,  ess: 19.943144, KL=0.000643
loss: 13.937915,  ess: 19.945328, KL=0.000640
loss: 13.980218,  ess: 19.943435, KL=0.000664
loss: 14.011980,  ess: 19.947108, KL=0.000600
loss: 14.054477,  ess: 19.941993, KL=0.000698
loss: 13.992632,  ess: 19.946366, KL=0.000623
loss: 14.049915,  ess: 19.943283, KL=0.000661
loss: 14.004476,  ess: 19.949083, KL=0.000585
loss: 14.007320,  ess: 19.948543, KL=0.000582
loss: 14.075271,  ess: 19.950977, KL=0.000546
loss: 13.972568,  ess: 19.948630, KL=0.000588
loss: 14.078461,  ess: 19.945321, KL=0.000636
loss: 14.052573,  ess: 19.947666, KL=4.219732
loss: 14.028039,  ess: 19.945194, KL=0.095905
loss: 14.065791,  ess: 19.946158, KL=0.002484
loss: 14.020883,  ess: 19.943499, KL=0.000650
loss: 14.033649,  ess: 19.948522, KL=0.001101
loss: 14.021095,  ess: 19.948383, KL=0.000621
loss: 13.990791,  ess: 19.944415, KL=0.000659
loss: 14.022445,  ess: 19.948224, KL=0.000592
loss: 14.019355,  ess: 19.947434, KL=0.001424
loss: 14.026500,  ess: 19.944828, KL=0.000637
loss: 13.980823,  ess: 19.945723, KL=0.000623
loss: 13.989484,  ess: 19.950468, KL=0.000558
loss: 13.991239,  ess: 19.943492, KL=0.000667
