(382s) loss: 26.944,  ess: 6.569,  kl_eta_ex: 2.543,  kl_eta_in: 1.114,  kl_z_ex: 0.011,  kl_z_in: 0.003
(382s) loss: 26.880,  ess: 6.577,  kl_eta_ex: 2.528,  kl_eta_in: 1.105,  kl_z_ex: 0.010,  kl_z_in: 0.003
(384s) loss: 26.829,  ess: 6.584,  kl_eta_ex: 2.485,  kl_eta_in: 1.088,  kl_z_ex: 0.012,  kl_z_in: 0.003
(383s) loss: 26.790,  ess: 6.592,  kl_eta_ex: 2.469,  kl_eta_in: 1.077,  kl_z_ex: 0.010,  kl_z_in: 0.003
(384s) loss: 26.760,  ess: 6.603,  kl_eta_ex: 2.437,  kl_eta_in: 1.061,  kl_z_ex: 0.010,  kl_z_in: 0.002
(383s) loss: 26.802,  ess: 6.605,  kl_eta_ex: 2.425,  kl_eta_in: 1.052,  kl_z_ex: 0.010,  kl_z_in: 0.002
(382s) loss: 26.845,  ess: 6.615,  kl_eta_ex: 2.409,  kl_eta_in: 1.044,  kl_z_ex: 0.010,  kl_z_in: 0.002
(383s) loss: 26.793,  ess: 6.622,  kl_eta_ex: 2.380,  kl_eta_in: 1.033,  kl_z_ex: 0.010,  kl_z_in: 0.002
(383s) loss: 26.735,  ess: 6.628,  kl_eta_ex: 2.379,  kl_eta_in: 1.020,  kl_z_ex: 0.010,  kl_z_in: 0.002
(384s) loss: 26.814,  ess: 6.632,  kl_eta_ex: 2.354,  kl_eta_in: 1.005,  kl_z_ex: 0.009,  kl_z_in: 0.002
(382s) loss: 26.768,  ess: 6.633,  kl_eta_ex: 2.340,  kl_eta_in: 0.994,  kl_z_ex: 0.009,  kl_z_in: 0.002
(383s) loss: 26.743,  ess: 6.639,  kl_eta_ex: 2.329,  kl_eta_in: 0.984,  kl_z_ex: 0.008,  kl_z_in: 0.002
(383s) loss: 26.740,  ess: 6.645,  kl_eta_ex: 2.304,  kl_eta_in: 0.974,  kl_z_ex: 0.008,  kl_z_in: 0.002
(382s) loss: 26.801,  ess: 6.646,  kl_eta_ex: 2.276,  kl_eta_in: 0.966,  kl_z_ex: 0.009,  kl_z_in: 0.002
(382s) loss: 26.632,  ess: 6.662,  kl_eta_ex: 2.240,  kl_eta_in: 0.954,  kl_z_ex: 0.008,  kl_z_in: 0.002
(383s) loss: 26.634,  ess: 6.660,  kl_eta_ex: 2.243,  kl_eta_in: 0.948,  kl_z_ex: 0.008,  kl_z_in: 0.002
(383s) loss: 26.596,  ess: 6.673,  kl_eta_ex: 2.220,  kl_eta_in: 0.942,  kl_z_ex: 0.008,  kl_z_in: 0.002
(384s) loss: 26.643,  ess: 6.676,  kl_eta_ex: 2.208,  kl_eta_in: 0.937,  kl_z_ex: 0.008,  kl_z_in: 0.002
(384s) loss: 26.675,  ess: 6.677,  kl_eta_ex: 2.200,  kl_eta_in: 0.932,  kl_z_ex: 0.008,  kl_z_in: 0.002
(385s) loss: 26.654,  ess: 6.681,  kl_eta_ex: 2.172,  kl_eta_in: 0.920,  kl_z_ex: 0.008,  kl_z_in: 0.002
