symKL_DB_eta: 8.762,  symKL_DB_z: 2.937,  loss: -472.162,  ess: 6.961,  kl_eta_ex: 8.911,  kl_eta_in: 15.601,  kl_z_ex: 0.724,  kl_z_in: 0.271
symKL_DB_eta: 7.118,  symKL_DB_z: 2.636,  loss: -464.501,  ess: 7.034,  kl_eta_ex: 4.792,  kl_eta_in: 6.950,  kl_z_ex: 0.651,  kl_z_in: 0.240
symKL_DB_eta: 4.900,  symKL_DB_z: 2.492,  loss: -459.776,  ess: 7.317,  kl_eta_ex: 1.643,  kl_eta_in: 2.292,  kl_z_ex: 0.574,  kl_z_in: 0.214
symKL_DB_eta: 3.359,  symKL_DB_z: 2.641,  loss: -458.645,  ess: 7.834,  kl_eta_ex: 0.476,  kl_eta_in: 0.677,  kl_z_ex: 0.533,  kl_z_in: 0.194
symKL_DB_eta: 2.943,  symKL_DB_z: 2.374,  loss: -458.595,  ess: 8.022,  kl_eta_ex: 0.243,  kl_eta_in: 0.334,  kl_z_ex: 0.502,  kl_z_in: 0.183
symKL_DB_eta: 2.769,  symKL_DB_z: 2.416,  loss: -458.695,  ess: 8.100,  kl_eta_ex: 0.142,  kl_eta_in: 0.186,  kl_z_ex: 0.480,  kl_z_in: 0.174
symKL_DB_eta: 2.646,  symKL_DB_z: 2.325,  loss: -458.755,  ess: 8.155,  kl_eta_ex: 0.087,  kl_eta_in: 0.116,  kl_z_ex: 0.458,  kl_z_in: 0.167
symKL_DB_eta: 2.552,  symKL_DB_z: 2.189,  loss: -458.682,  ess: 8.198,  kl_eta_ex: 0.051,  kl_eta_in: 0.060,  kl_z_ex: 0.449,  kl_z_in: 0.162
symKL_DB_eta: 2.479,  symKL_DB_z: 2.176,  loss: -458.908,  ess: 8.230,  kl_eta_ex: 0.032,  kl_eta_in: 0.036,  kl_z_ex: 0.431,  kl_z_in: 0.157
symKL_DB_eta: 2.432,  symKL_DB_z: 2.093,  loss: -458.879,  ess: 8.247,  kl_eta_ex: 0.021,  kl_eta_in: 0.024,  kl_z_ex: 0.419,  kl_z_in: 0.154
symKL_DB_eta: 2.388,  symKL_DB_z: 2.095,  loss: -458.861,  ess: 8.271,  kl_eta_ex: 0.014,  kl_eta_in: 0.015,  kl_z_ex: 0.405,  kl_z_in: 0.149
symKL_DB_eta: 2.375,  symKL_DB_z: 1.981,  loss: -458.911,  ess: 8.280,  kl_eta_ex: 0.011,  kl_eta_in: 0.012,  kl_z_ex: 0.403,  kl_z_in: 0.147
symKL_DB_eta: 2.407,  symKL_DB_z: 2.294,  loss: -459.171,  ess: 8.287,  kl_eta_ex: 0.009,  kl_eta_in: 0.008,  kl_z_ex: 0.383,  kl_z_in: 0.143
symKL_DB_eta: 2.347,  symKL_DB_z: 2.135,  loss: -458.985,  ess: 8.292,  kl_eta_ex: 0.008,  kl_eta_in: 0.007,  kl_z_ex: 0.370,  kl_z_in: 0.140
symKL_DB_eta: 2.375,  symKL_DB_z: 1.977,  loss: -458.892,  ess: 8.298,  kl_eta_ex: 0.006,  kl_eta_in: 0.006,  kl_z_ex: 0.355,  kl_z_in: 0.137
symKL_DB_eta: 2.372,  symKL_DB_z: 1.859,  loss: -459.136,  ess: 8.296,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.345,  kl_z_in: 0.133
symKL_DB_eta: 2.362,  symKL_DB_z: 1.830,  loss: -459.032,  ess: 8.301,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.341,  kl_z_in: 0.131
symKL_DB_eta: 2.355,  symKL_DB_z: 1.969,  loss: -459.030,  ess: 8.301,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.332,  kl_z_in: 0.129
symKL_DB_eta: 2.364,  symKL_DB_z: 1.837,  loss: -459.176,  ess: 8.302,  kl_eta_ex: 0.005,  kl_eta_in: 0.005,  kl_z_ex: 0.325,  kl_z_in: 0.128
symKL_DB_eta: 2.351,  symKL_DB_z: 1.840,  loss: -459.201,  ess: 8.308,  kl_eta_ex: 0.005,  kl_eta_in: 0.005,  kl_z_ex: 0.316,  kl_z_in: 0.125
symKL_DB_eta: 2.365,  symKL_DB_z: 1.912,  loss: -459.268,  ess: 8.308,  kl_eta_ex: 0.006,  kl_eta_in: 0.005,  kl_z_ex: 0.319,  kl_z_in: 0.126
symKL_DB_eta: 2.312,  symKL_DB_z: 1.810,  loss: -459.114,  ess: 8.320,  kl_eta_ex: 0.005,  kl_eta_in: 0.005,  kl_z_ex: 0.305,  kl_z_in: 0.121
symKL_DB_eta: 2.335,  symKL_DB_z: 1.794,  loss: -459.083,  ess: 8.311,  kl_eta_ex: 0.005,  kl_eta_in: 0.005,  kl_z_ex: 0.301,  kl_z_in: 0.119
symKL_DB_eta: 2.335,  symKL_DB_z: 1.638,  loss: -459.131,  ess: 8.318,  kl_eta_ex: 0.005,  kl_eta_in: 0.005,  kl_z_ex: 0.295,  kl_z_in: 0.118
symKL_DB_eta: 2.341,  symKL_DB_z: 1.720,  loss: -459.033,  ess: 8.315,  kl_eta_ex: 0.005,  kl_eta_in: 0.005,  kl_z_ex: 0.287,  kl_z_in: 0.115
symKL_DB_eta: 2.329,  symKL_DB_z: 1.690,  loss: -459.200,  ess: 8.311,  kl_eta_ex: 0.005,  kl_eta_in: 0.005,  kl_z_ex: 0.281,  kl_z_in: 0.113
