(365s) loss: 26.740,  ess: 6.709,  kl_eta_ex: 2.185,  kl_eta_in: 0.849,  kl_z_ex: 0.009,  kl_z_in: 0.002
(365s) loss: 26.664,  ess: 6.717,  kl_eta_ex: 2.183,  kl_eta_in: 0.846,  kl_z_ex: 0.009,  kl_z_in: 0.002
(364s) loss: 26.643,  ess: 6.716,  kl_eta_ex: 2.135,  kl_eta_in: 0.837,  kl_z_ex: 0.008,  kl_z_in: 0.002
(365s) loss: 26.775,  ess: 6.716,  kl_eta_ex: 2.128,  kl_eta_in: 0.834,  kl_z_ex: 0.008,  kl_z_in: 0.002
(365s) loss: 26.634,  ess: 6.728,  kl_eta_ex: 2.116,  kl_eta_in: 0.829,  kl_z_ex: 0.008,  kl_z_in: 0.002
(364s) loss: 26.591,  ess: 6.737,  kl_eta_ex: 2.093,  kl_eta_in: 0.821,  kl_z_ex: 0.008,  kl_z_in: 0.002
(364s) loss: 26.645,  ess: 6.737,  kl_eta_ex: 2.075,  kl_eta_in: 0.818,  kl_z_ex: 0.008,  kl_z_in: 0.002
(364s) loss: 26.611,  ess: 6.749,  kl_eta_ex: 2.046,  kl_eta_in: 0.809,  kl_z_ex: 0.008,  kl_z_in: 0.002
(365s) loss: 26.684,  ess: 6.746,  kl_eta_ex: 2.039,  kl_eta_in: 0.804,  kl_z_ex: 0.008,  kl_z_in: 0.002
(364s) loss: 26.551,  ess: 6.755,  kl_eta_ex: 2.023,  kl_eta_in: 0.799,  kl_z_ex: 0.008,  kl_z_in: 0.002
(364s) loss: 26.575,  ess: 6.758,  kl_eta_ex: 2.037,  kl_eta_in: 0.794,  kl_z_ex: 0.008,  kl_z_in: 0.002
(364s) loss: 26.576,  ess: 6.773,  kl_eta_ex: 1.992,  kl_eta_in: 0.785,  kl_z_ex: 0.007,  kl_z_in: 0.002
(365s) loss: 26.527,  ess: 6.770,  kl_eta_ex: 1.996,  kl_eta_in: 0.784,  kl_z_ex: 0.007,  kl_z_in: 0.002
(364s) loss: 26.571,  ess: 6.780,  kl_eta_ex: 1.972,  kl_eta_in: 0.775,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.639,  ess: 6.775,  kl_eta_ex: 1.967,  kl_eta_in: 0.773,  kl_z_ex: 0.007,  kl_z_in: 0.002
(364s) loss: 26.488,  ess: 6.780,  kl_eta_ex: 1.941,  kl_eta_in: 0.765,  kl_z_ex: 0.007,  kl_z_in: 0.002
(365s) loss: 26.442,  ess: 6.789,  kl_eta_ex: 1.931,  kl_eta_in: 0.762,  kl_z_ex: 0.006,  kl_z_in: 0.002
(363s) loss: 26.452,  ess: 6.794,  kl_eta_ex: 1.922,  kl_eta_in: 0.757,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.438,  ess: 6.795,  kl_eta_ex: 1.895,  kl_eta_in: 0.751,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.521,  ess: 6.801,  kl_eta_ex: 1.904,  kl_eta_in: 0.751,  kl_z_ex: 0.007,  kl_z_in: 0.002
(364s) loss: 26.505,  ess: 6.802,  kl_eta_ex: 1.886,  kl_eta_in: 0.744,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.459,  ess: 6.808,  kl_eta_ex: 1.881,  kl_eta_in: 0.742,  kl_z_ex: 0.006,  kl_z_in: 0.002
(365s) loss: 26.493,  ess: 6.813,  kl_eta_ex: 1.885,  kl_eta_in: 0.742,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.480,  ess: 6.811,  kl_eta_ex: 1.853,  kl_eta_in: 0.734,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.446,  ess: 6.818,  kl_eta_ex: 1.852,  kl_eta_in: 0.731,  kl_z_ex: 0.006,  kl_z_in: 0.002
(364s) loss: 26.436,  ess: 6.818,  kl_eta_ex: 1.842,  kl_eta_in: 0.726,  kl_z_ex: 0.006,  kl_z_in: 0.002
