eubo: -359.555,  elbo: -416.117,  ess: 1.099
eubo: -360.417,  elbo: -414.695,  ess: 1.104
eubo: -364.981,  elbo: -421.264,  ess: 1.126
eubo: -360.446,  elbo: -410.898,  ess: 1.109
eubo: -355.443,  elbo: -409.311,  ess: 1.116
eubo: -359.206,  elbo: -413.728,  ess: 1.104
eubo: -366.745,  elbo: -420.204,  ess: 1.119
eubo: -360.651,  elbo: -417.548,  ess: 1.109
eubo: -360.311,  elbo: -414.453,  ess: 1.113
eubo: -365.941,  elbo: -424.968,  ess: 1.093
eubo: -357.456,  elbo: -412.311,  ess: 1.107
eubo: -362.207,  elbo: -417.520,  ess: 1.119
eubo: -363.340,  elbo: -418.351,  ess: 1.095
eubo: -357.633,  elbo: -413.037,  ess: 1.114
eubo: -361.564,  elbo: -418.372,  ess: 1.121
eubo: -361.513,  elbo: -413.738,  ess: 1.102
eubo: -362.862,  elbo: -417.845,  ess: 1.118
eubo: -360.087,  elbo: -416.015,  ess: 1.127
eubo: -362.511,  elbo: -420.540,  ess: 1.095
eubo: -357.031,  elbo: -411.618,  ess: 1.110
eubo: -357.270,  elbo: -412.504,  ess: 1.115
eubo: -356.941,  elbo: -409.913,  ess: 1.104
eubo: -360.648,  elbo: -411.422,  ess: 1.109
eubo: -356.467,  elbo: -409.100,  ess: 1.117
eubo: -360.492,  elbo: -414.725,  ess: 1.120
eubo: -358.150,  elbo: -413.689,  ess: 1.101
eubo: -356.480,  elbo: -411.998,  ess: 1.115
eubo: -360.793,  elbo: -415.512,  ess: 1.116
eubo: -359.057,  elbo: -416.223,  ess: 1.099
eubo: -362.818,  elbo: -417.916,  ess: 1.118
eubo: -358.351,  elbo: -411.887,  ess: 1.114
eubo: -363.493,  elbo: -422.821,  ess: 1.104
eubo: -360.152,  elbo: -414.322,  ess: 1.109
eubo: -362.125,  elbo: -418.713,  ess: 1.104
eubo: -358.215,  elbo: -415.139,  ess: 1.118
eubo: -361.558,  elbo: -416.377,  ess: 1.116
eubo: -356.993,  elbo: -415.155,  ess: 1.124
eubo: -360.641,  elbo: -416.358,  ess: 1.108
eubo: -359.811,  elbo: -416.924,  ess: 1.103
eubo: -358.624,  elbo: -411.127,  ess: 1.129
eubo: -357.964,  elbo: -414.017,  ess: 1.101
eubo: -363.434,  elbo: -419.821,  ess: 1.102
eubo: -356.163,  elbo: -409.997,  ess: 1.116
eubo: -360.246,  elbo: -413.506,  ess: 1.116
eubo: -357.944,  elbo: -411.510,  ess: 1.114
eubo: -359.009,  elbo: -411.774,  ess: 1.114
eubo: -359.565,  elbo: -412.391,  ess: 1.113
eubo: -362.603,  elbo: -418.851,  ess: 1.108
eubo: -359.293,  elbo: -414.719,  ess: 1.122
eubo: -355.134,  elbo: -406.940,  ess: 1.117
eubo: -359.483,  elbo: -411.547,  ess: 1.125
eubo: -359.207,  elbo: -416.739,  ess: 1.112
eubo: -360.663,  elbo: -417.520,  ess: 1.104
eubo: -360.859,  elbo: -415.431,  ess: 1.105
eubo: -355.954,  elbo: -407.709,  ess: 1.121
eubo: -358.991,  elbo: -414.013,  ess: 1.099
eubo: -360.944,  elbo: -414.795,  ess: 1.109
eubo: -355.615,  elbo: -410.659,  ess: 1.120
eubo: -361.773,  elbo: -414.708,  ess: 1.135
eubo: -360.808,  elbo: -416.769,  ess: 1.109
eubo: -358.878,  elbo: -411.473,  ess: 1.119
eubo: -360.888,  elbo: -417.007,  ess: 1.101
eubo: -357.550,  elbo: -410.090,  ess: 1.112
eubo: -354.737,  elbo: -408.726,  ess: 1.118
eubo: -359.787,  elbo: -415.277,  ess: 1.109
eubo: -358.130,  elbo: -411.051,  ess: 1.116
eubo: -358.636,  elbo: -415.403,  ess: 1.119
eubo: -355.268,  elbo: -409.563,  ess: 1.102
eubo: -358.214,  elbo: -409.748,  ess: 1.105
eubo: -357.441,  elbo: -410.541,  ess: 1.116
eubo: -356.987,  elbo: -413.976,  ess: 1.109
eubo: -352.298,  elbo: -404.528,  ess: 1.118
eubo: -362.228,  elbo: -420.621,  ess: 1.116
eubo: -358.273,  elbo: -410.721,  ess: 1.118
eubo: -360.223,  elbo: -416.749,  ess: 1.107
eubo: -359.572,  elbo: -415.140,  ess: 1.123
eubo: -359.545,  elbo: -414.292,  ess: 1.114
eubo: -359.300,  elbo: -411.172,  ess: 1.119
eubo: -359.444,  elbo: -414.179,  ess: 1.110
eubo: -358.220,  elbo: -412.949,  ess: 1.096
eubo: -361.588,  elbo: -415.329,  ess: 1.102
eubo: -362.104,  elbo: -417.402,  ess: 1.113
eubo: -357.769,  elbo: -410.988,  ess: 1.113
eubo: -363.002,  elbo: -418.234,  ess: 1.123
eubo: -363.096,  elbo: -419.212,  ess: 1.113
eubo: -357.818,  elbo: -408.441,  ess: 1.120
eubo: -355.985,  elbo: -408.899,  ess: 1.109
eubo: -360.298,  elbo: -417.054,  ess: 1.117
eubo: -358.720,  elbo: -412.199,  ess: 1.112
eubo: -355.414,  elbo: -405.369,  ess: 1.114
eubo: -356.936,  elbo: -411.285,  ess: 1.108
eubo: -362.352,  elbo: -416.886,  ess: 1.123
eubo: -355.094,  elbo: -408.594,  ess: 1.126
eubo: -361.289,  elbo: -415.103,  ess: 1.115
eubo: -361.621,  elbo: -416.662,  ess: 1.108
eubo: -357.394,  elbo: -411.781,  ess: 1.113
eubo: -361.176,  elbo: -412.370,  ess: 1.121
eubo: -360.226,  elbo: -413.730,  ess: 1.107
eubo: -360.882,  elbo: -415.551,  ess: 1.124
eubo: -356.249,  elbo: -409.596,  ess: 1.120
eubo: -363.798,  elbo: -419.007,  ess: 1.130
eubo: -358.804,  elbo: -411.633,  ess: 1.105
eubo: -362.185,  elbo: -421.905,  ess: 1.114
eubo: -362.301,  elbo: -418.279,  ess: 1.106
eubo: -359.540,  elbo: -415.950,  ess: 1.108
eubo: -359.068,  elbo: -414.589,  ess: 1.120
eubo: -359.848,  elbo: -415.952,  ess: 1.101
eubo: -360.396,  elbo: -416.182,  ess: 1.115
eubo: -363.838,  elbo: -420.291,  ess: 1.119
