(193s) loss: 32.852,  ess: 9.145,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.013,  kl_z_in: 0.004
(180s) loss: 32.832,  ess: 9.085,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.012,  kl_z_in: 0.004
(187s) loss: 32.816,  ess: 9.154,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.012,  kl_z_in: 0.004
(179s) loss: 32.642,  ess: 9.131,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.011,  kl_z_in: 0.004
(179s) loss: 32.579,  ess: 9.136,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.011,  kl_z_in: 0.004
(180s) loss: 32.524,  ess: 9.172,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.011,  kl_z_in: 0.003
(180s) loss: 32.483,  ess: 9.152,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.011,  kl_z_in: 0.004
(179s) loss: 32.369,  ess: 9.157,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.010,  kl_z_in: 0.003
(180s) loss: 32.269,  ess: 9.161,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.010,  kl_z_in: 0.003
(194s) loss: 32.154,  ess: 9.150,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.010,  kl_z_in: 0.003
(196s) loss: 31.981,  ess: 9.156,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.009,  kl_z_in: 0.003
(172s) loss: 32.217,  ess: 9.146,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.009,  kl_z_in: 0.003
(173s) loss: 32.144,  ess: 9.188,  kl_eta_ex: 0.007,  kl_eta_in: 0.003,  kl_z_ex: 0.009,  kl_z_in: 0.003
(173s) loss: 31.873,  ess: 9.147,  kl_eta_ex: 0.006,  kl_eta_in: 0.002,  kl_z_ex: 0.009,  kl_z_in: 0.003
(181s) loss: 31.810,  ess: 9.189,  kl_eta_ex: 0.006,  kl_eta_in: 0.003,  kl_z_ex: 0.009,  kl_z_in: 0.003
