SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
2519.809	-426.783	-3355.467	1.466	215.745	543.372	28.984	22.681
2513.567	-437.734	-3361.482	1.469	214.756	539.176	28.134	23.377
2505.436	-456.239	-3371.209	1.472	214.507	545.840	28.006	22.338
2497.135	-465.015	-3368.729	1.469	213.735	548.274	28.210	21.767
2500.139	-467.556	-3376.051	1.472	213.709	559.075	27.412	21.352
2475.654	-499.800	-3383.384	1.470	213.060	567.570	27.868	22.356
2473.878	-499.384	-3379.509	1.466	212.544	566.179	28.088	23.406
2477.884	-503.161	-3389.052	1.470	211.722	566.614	27.072	21.269
2469.376	-511.191	-3391.529	1.466	211.824	576.139	26.785	21.776
2475.423	-506.951	-3392.631	1.471	212.005	578.086	27.201	21.903
2445.832	-535.813	-3386.869	1.469	210.869	582.029	27.357	21.313
2446.714	-544.362	-3401.838	1.469	211.026	585.798	27.299	21.702
2458.181	-528.783	-3395.803	1.469	209.497	593.249	27.218	21.021
2441.847	-556.648	-3405.707	1.468	210.542	601.029	26.258	21.385
2437.345	-569.901	-3415.289	1.471	209.873	605.594	26.472	20.597
2436.174	-569.245	-3417.404	1.465	209.092	602.505	26.079	20.815
2429.661	-593.245	-3431.061	1.466	208.514	608.362	26.075	20.439
2425.911	-597.053	-3430.013	1.468	208.818	617.888	25.999	20.991
2437.862	-578.917	-3424.793	1.468	207.763	621.558	26.112	20.503
2442.166	-590.081	-3442.205	1.470	207.554	615.470	25.888	20.454
2421.738	-615.613	-3446.927	1.469	208.511	632.730	26.338	20.928
2419.521	-624.976	-3451.042	1.467	207.359	627.326	25.593	20.363
2410.654	-640.386	-3459.008	1.471	208.576	639.428	25.586	20.806
2403.345	-645.044	-3456.396	1.467	207.667	639.943	26.373	20.636
2407.254	-646.583	-3462.464	1.468	206.956	643.446	25.559	20.818
2406.367	-647.724	-3463.014	1.467	206.435	643.684	25.080	21.377
2390.029	-669.409	-3467.343	1.468	206.616	651.229	25.638	21.228
2392.920	-672.015	-3474.684	1.469	206.783	654.358	25.569	20.854
2395.003	-666.725	-3473.181	1.469	206.075	649.243	25.383	20.663
2386.790	-686.132	-3483.601	1.467	206.260	661.817	24.926	20.193
2398.817	-679.684	-3486.579	1.467	206.253	671.881	25.269	20.005
2394.989	-684.812	-3485.788	1.466	206.272	676.386	24.854	21.515
2376.776	-704.443	-3488.446	1.468	205.673	673.513	25.127	20.816
2373.152	-716.383	-3495.001	1.464	205.422	685.539	24.253	19.738
2388.661	-707.281	-3506.693	1.467	204.742	687.001	24.605	19.286
2375.786	-718.902	-3503.177	1.468	204.746	674.718	24.515	19.944
2363.122	-739.788	-3512.177	1.468	204.279	686.456	23.762	19.795
2380.563	-718.685	-3509.521	1.470	205.040	688.216	23.883	19.436
2383.810	-727.475	-3520.274	1.466	204.101	688.074	24.284	20.139
2372.242	-746.893	-3525.386	1.469	204.568	695.957	24.248	19.620
2371.947	-745.858	-3530.282	1.468	204.916	690.870	24.826	20.421
2376.547	-744.536	-3530.062	1.467	204.753	706.346	23.584	19.102
2371.074	-753.840	-3532.435	1.466	204.221	706.127	23.888	20.346
2372.061	-753.159	-3538.794	1.467	204.220	705.957	24.110	19.579
2378.060	-751.457	-3541.981	1.467	203.872	703.524	23.633	19.320
2351.307	-777.337	-3535.214	1.468	204.434	707.538	23.675	18.924
2370.399	-760.467	-3538.751	1.469	203.914	711.099	23.788	18.870
2374.557	-755.492	-3540.977	1.466	203.785	719.280	23.510	18.550
2356.285	-783.774	-3554.008	1.465	203.700	721.641	23.815	19.351
2362.296	-774.725	-3549.384	1.468	204.233	719.020	24.368	19.290
2356.967	-786.194	-3550.099	1.470	203.327	715.510	23.320	19.108
2355.247	-781.761	-3545.810	1.467	203.414	712.116	22.981	19.025
2343.495	-803.629	-3556.389	1.466	203.644	720.621	23.822	20.055
2360.398	-789.553	-3560.765	1.465	202.619	720.744	23.243	19.211
2356.130	-796.430	-3560.475	1.466	202.718	723.036	23.211	18.077
2356.028	-797.024	-3559.936	1.464	203.492	722.615	23.751	19.764
2351.039	-809.661	-3567.574	1.465	202.153	727.690	22.985	19.782
2353.082	-795.828	-3557.841	1.468	202.480	728.728	23.059	18.463
2360.202	-792.814	-3563.219	1.467	202.128	725.016	23.329	18.286
2351.045	-808.887	-3567.782	1.466	202.659	738.379	23.150	18.953
2356.743	-807.689	-3571.262	1.465	202.911	727.870	23.129	19.085
2350.698	-818.700	-3577.689	1.465	202.160	729.898	22.641	19.212
2342.721	-815.976	-3565.839	1.464	202.193	735.537	24.043	19.445
2353.946	-801.662	-3564.422	1.466	202.287	731.907	23.183	19.056
2340.844	-826.479	-3574.517	1.467	201.972	734.762	23.060	19.334
2345.037	-820.348	-3572.685	1.465	201.944	736.617	22.502	19.215
2353.047	-810.181	-3572.367	1.467	201.701	744.647	22.947	18.967
2363.269	-802.678	-3573.912	1.466	201.460	743.144	22.806	19.030
2339.941	-821.172	-3567.124	1.468	200.911	742.748	21.927	18.136
2342.985	-814.518	-3568.297	1.467	201.426	746.827	22.582	18.434
2351.292	-819.110	-3579.210	1.465	202.159	743.784	23.330	19.028
2345.305	-820.628	-3573.247	1.466	201.775	742.993	22.901	18.781
2354.206	-812.289	-3575.437	1.466	201.177	749.922	22.324	18.866
2345.891	-818.814	-3572.991	1.467	201.272	747.482	22.924	18.494
2346.369	-816.934	-3575.164	1.466	201.932	748.295	22.986	18.806
2341.061	-825.247	-3575.853	1.467	201.122	748.508	22.525	19.022
2342.025	-826.726	-3580.377	1.466	201.799	752.298	22.728	18.843
2345.118	-818.121	-3572.928	1.468	200.134	745.174	22.187	17.800
2340.824	-830.481	-3577.130	1.467	200.299	753.631	22.480	18.417
2346.266	-824.314	-3579.854	1.469	200.057	748.431	21.491	17.921
2348.450	-819.306	-3577.987	1.470	199.985	741.842	22.505	18.590
2345.228	-829.500	-3581.216	1.467	200.276	755.357	21.793	17.918
2345.602	-814.411	-3568.801	1.469	200.195	745.714	22.513	18.749
2338.914	-831.775	-3577.468	1.469	199.179	753.846	21.876	18.034
2353.061	-821.845	-3582.431	1.465	200.698	751.993	22.725	18.919
2337.521	-835.740	-3581.680	1.465	200.410	747.639	22.341	18.563
2332.456	-836.201	-3574.171	1.472	200.034	752.350	23.073	19.520
2339.277	-828.022	-3571.682	1.468	200.854	759.599	22.612	17.980
2332.312	-838.549	-3576.490	1.468	199.853	747.181	22.376	18.211
2331.834	-837.193	-3579.859	1.464	198.977	753.811	22.059	17.780
2336.340	-830.806	-3575.403	1.470	199.287	758.114	22.097	18.401
2343.686	-819.611	-3572.165	1.467	199.516	761.347	22.022	18.292
2337.767	-821.831	-3568.617	1.469	199.362	749.818	22.887	19.016
2336.863	-827.143	-3573.986	1.467	199.671	760.360	22.611	18.971
2346.200	-820.682	-3576.476	1.469	198.981	760.982	21.953	18.175
2341.443	-822.580	-3568.514	1.469	199.487	757.096	21.709	18.181
2345.516	-823.214	-3571.300	1.471	198.391	758.631	21.632	18.975
2337.993	-820.261	-3566.381	1.471	198.211	760.772	21.468	17.295
2340.323	-828.331	-3576.865	1.470	198.572	759.941	21.912	18.932
2343.381	-823.589	-3574.715	1.469	199.074	757.817	22.042	18.194
2329.240	-838.400	-3573.134	1.467	197.623	763.854	21.755	17.607
2331.261	-830.772	-3568.630	1.471	198.543	750.788	21.914	18.370
2342.553	-823.244	-3576.321	1.469	198.296	767.887	22.162	18.641
2340.165	-825.706	-3574.048	1.470	197.984	754.992	22.043	19.331
2322.208	-835.762	-3566.369	1.469	197.347	758.043	21.178	17.708
2325.593	-830.975	-3564.764	1.470	197.490	757.632	22.249	17.903
2325.688	-825.709	-3561.338	1.471	198.134	755.091	22.054	17.567
2326.713	-821.124	-3553.472	1.470	197.134	762.898	21.826	18.525
2323.876	-821.904	-3552.762	1.470	197.917	759.507	21.922	17.944
2329.778	-825.449	-3564.562	1.472	197.236	770.030	21.104	17.355
2329.477	-820.692	-3558.999	1.473	197.574	763.148	21.544	17.475
2327.240	-824.705	-3561.182	1.475	196.789	764.815	21.599	17.670
2333.773	-816.308	-3559.876	1.468	197.821	763.271	21.625	18.757
2323.523	-830.401	-3562.293	1.470	196.772	763.484	21.288	17.389
2322.468	-827.993	-3558.259	1.469	196.467	760.576	21.619	18.574
2324.078	-823.941	-3553.910	1.471	197.066	754.379	22.438	18.628
2325.745	-831.285	-3562.882	1.470	197.076	761.844	21.386	17.798
2323.740	-832.903	-3561.749	1.469	196.050	752.865	21.100	17.880
2323.915	-825.892	-3556.921	1.467	196.357	761.650	21.705	17.751
2316.057	-832.075	-3555.592	1.470	196.199	753.324	21.601	18.288
2323.200	-823.940	-3554.998	1.469	196.295	757.927	21.482	17.881
2322.035	-826.115	-3553.496	1.470	195.503	757.203	21.305	17.903
2318.227	-821.592	-3547.517	1.472	195.249	756.225	21.299	17.643
2321.114	-816.404	-3544.906	1.471	196.198	757.598	22.159	17.709
2321.999	-824.020	-3555.072	1.469	195.953	763.228	21.445	18.051
2310.845	-828.292	-3543.124	1.469	195.364	764.094	21.323	17.747
2327.974	-815.961	-3556.622	1.470	194.245	752.032	20.782	17.700
2313.761	-823.592	-3542.973	1.474	195.418	766.024	21.012	17.253
2337.770	-799.907	-3548.713	1.470	195.282	762.124	21.659	17.456
2324.456	-815.123	-3549.341	1.472	194.246	754.145	21.589	17.640
2316.977	-821.850	-3544.372	1.472	194.922	752.864	21.065	18.015
2317.556	-811.401	-3539.140	1.471	195.262	761.093	21.380	17.945
2313.043	-823.494	-3545.547	1.468	195.134	765.037	21.515	18.595
2316.481	-821.502	-3547.078	1.473	194.237	769.225	21.307	17.150
2321.434	-802.343	-3529.533	1.472	195.932	759.149	21.180	18.080
2307.179	-821.257	-3535.141	1.472	194.660	760.894	21.069	18.118
2313.520	-805.039	-3526.646	1.473	194.023	759.968	21.809	18.189
2314.720	-809.683	-3534.684	1.472	194.115	758.556	21.365	17.502
2315.985	-802.672	-3529.270	1.474	193.109	769.391	20.771	17.304
2313.959	-810.490	-3533.021	1.473	194.311	753.326	21.953	17.593
2309.824	-808.858	-3525.079	1.474	193.267	755.970	20.750	17.218
2319.884	-795.869	-3530.361	1.474	193.996	767.029	20.829	16.987
2295.078	-821.102	-3521.097	1.476	193.846	761.803	21.100	17.800
2309.246	-816.049	-3531.784	1.473	193.239	762.543	20.830	17.383
2305.954	-802.314	-3521.084	1.475	192.073	759.910	20.707	17.217
2315.178	-794.234	-3519.223	1.477	192.364	763.436	20.429	18.110
2305.779	-807.746	-3523.834	1.474	191.549	766.863	19.993	17.329
2328.747	-786.462	-3528.213	1.475	193.460	759.197	20.933	18.227
2302.919	-816.993	-3528.094	1.475	192.537	753.199	20.875	17.465
2301.779	-805.921	-3514.972	1.477	192.131	773.379	20.446	17.043
2312.201	-794.358	-3515.054	1.475	192.081	764.824	20.423	17.247
2306.732	-797.570	-3511.831	1.478	191.402	775.076	20.542	17.885
2301.106	-797.519	-3506.039	1.478	192.040	772.786	20.897	17.214
2302.913	-792.411	-3506.641	1.476	192.047	768.381	20.659	17.166
2304.259	-807.631	-3519.554	1.477	191.138	779.045	20.505	17.872
2299.205	-799.241	-3509.010	1.476	192.225	771.409	21.039	17.254
2292.483	-808.568	-3506.241	1.477	191.043	769.728	20.281	17.994
2302.190	-792.492	-3503.131	1.474	191.676	764.448	20.311	17.256
2302.865	-799.446	-3511.771	1.473	191.120	763.914	20.702	17.638
2290.868	-807.794	-3506.320	1.476	191.562	759.708	20.725	17.255
2307.747	-794.542	-3512.206	1.474	190.851	760.910	20.375	17.148
2305.942	-793.876	-3507.787	1.474	190.584	756.200	19.862	16.784
2296.278	-805.212	-3510.548	1.476	190.480	764.574	20.311	17.436
2297.565	-785.977	-3492.191	1.474	190.948	774.932	19.948	16.998
2289.707	-806.274	-3498.988	1.477	189.999	767.327	20.370	17.205
2303.506	-791.829	-3501.924	1.479	190.239	765.646	19.885	17.409
2299.572	-781.632	-3493.601	1.475	189.988	760.385	20.394	16.598
2298.816	-790.022	-3496.668	1.478	189.327	753.440	20.139	16.845
2291.882	-787.217	-3487.916	1.480	189.785	765.930	20.426	17.202
2291.949	-787.902	-3489.856	1.473	188.956	767.560	19.810	16.697
2289.983	-800.005	-3497.893	1.478	189.268	749.156	20.194	16.266
2291.772	-790.002	-3489.286	1.476	189.454	772.055	20.300	17.424
2292.329	-797.212	-3498.160	1.478	190.032	756.235	20.289	16.821
2293.044	-800.043	-3500.019	1.481	188.782	766.785	20.299	16.770
2288.536	-788.171	-3488.510	1.478	189.067	762.171	19.909	17.057
2289.120	-792.516	-3491.249	1.474	189.084	772.048	19.975	16.896
2295.150	-778.626	-3481.593	1.481	189.509	758.129	20.320	17.227
2296.689	-776.446	-3482.906	1.479	188.504	768.195	20.006	16.925
2281.300	-800.181	-3490.840	1.478	188.297	770.924	19.815	16.495
2302.852	-769.653	-3485.236	1.477	189.571	771.938	20.622	17.522
2277.577	-800.243	-3485.941	1.478	187.354	758.370	19.587	16.323
2281.777	-799.892	-3488.187	1.478	188.325	762.870	20.226	16.987
2288.179	-784.205	-3479.989	1.479	187.206	767.487	19.699	16.482
2295.945	-770.810	-3478.610	1.481	187.521	761.057	19.955	17.087
2286.344	-785.270	-3478.733	1.480	188.510	773.922	19.759	17.118
2293.100	-769.980	-3469.779	1.480	186.788	763.497	19.224	16.167
2293.583	-771.426	-3478.435	1.478	187.179	765.439	20.317	17.454
2278.843	-786.166	-3475.163	1.479	187.214	759.133	20.123	16.338
2279.662	-787.291	-3473.905	1.478	186.879	756.590	19.262	16.192
2292.409	-764.573	-3466.499	1.478	187.103	764.613	19.814	16.658
2279.562	-779.247	-3465.507	1.480	185.933	765.874	19.253	16.923
2275.040	-788.883	-3469.923	1.481	187.212	755.892	20.283	16.958
2272.526	-784.905	-3465.127	1.480	186.353	764.961	19.629	16.845
2276.160	-778.292	-3461.354	1.482	186.375	755.557	20.349	16.847
2282.786	-766.960	-3456.395	1.483	186.294	754.913	19.187	16.652
2273.155	-778.602	-3459.116	1.479	184.929	761.920	19.320	16.413
2273.012	-793.157	-3472.739	1.481	185.898	759.693	19.227	16.045
2277.536	-769.681	-3452.650	1.480	185.884	761.599	18.870	16.286
2284.490	-759.025	-3449.286	1.482	186.196	761.721	19.193	16.051
2277.986	-769.378	-3455.786	1.482	185.694	764.270	20.070	16.795
2285.082	-759.876	-3453.481	1.479	185.672	765.150	19.558	16.416
2266.028	-780.834	-3450.793	1.481	185.891	761.814	19.735	16.106
2280.220	-765.026	-3450.494	1.481	184.793	766.746	19.442	16.687
2278.394	-763.777	-3448.589	1.480	185.012	774.500	19.766	16.326
2281.822	-750.862	-3443.740	1.482	184.250	767.323	19.479	17.202
2267.470	-766.659	-3442.041	1.482	184.280	763.956	18.836	16.808
2271.240	-770.315	-3447.461	1.481	183.897	771.888	19.063	16.423
2271.753	-777.007	-3456.326	1.483	185.262	759.428	19.352	17.189
