SymKL	EUBO	ELBO	ESS	KLs_eta_ex	KLs_eta_in	KLs_z_ex	KLs_z_in
1281.447	-242.148	-1932.518	1.611	133.062	519.500	18.997	16.084
1287.557	-249.276	-1944.415	1.608	133.179	516.089	18.951	16.528
1285.191	-245.006	-1936.710	1.607	132.515	514.686	18.584	15.482
1274.518	-265.756	-1942.837	1.607	133.238	516.094	18.500	16.342
1280.167	-250.530	-1939.153	1.607	133.039	509.162	18.723	15.859
1284.038	-248.019	-1939.863	1.607	132.050	516.378	18.133	16.200
1276.085	-250.712	-1933.961	1.608	132.494	521.093	18.610	15.721
1271.776	-254.522	-1934.301	1.607	132.599	515.948	19.035	16.319
1281.730	-247.523	-1938.053	1.611	132.406	519.491	18.847	16.153
1272.346	-249.359	-1931.570	1.610	132.587	527.906	18.292	15.727
1281.933	-248.722	-1938.410	1.610	132.220	516.633	18.645	16.476
1273.958	-255.143	-1938.416	1.610	132.259	514.621	19.028	15.979
1277.986	-246.804	-1931.466	1.610	131.974	516.488	18.636	16.515
1286.128	-237.174	-1932.975	1.611	132.602	515.314	18.793	15.864
1274.401	-245.024	-1928.489	1.609	132.289	519.700	18.972	15.656
1269.076	-255.957	-1931.275	1.605	131.544	521.005	18.617	15.946
1289.508	-231.327	-1932.512	1.613	132.586	519.159	19.420	15.843
1285.095	-235.253	-1928.002	1.608	132.076	524.174	18.708	16.259
1277.383	-246.184	-1931.268	1.605	132.232	516.353	19.126	15.894
1259.536	-264.769	-1928.098	1.608	131.880	517.668	19.196	16.207
1271.787	-241.300	-1923.957	1.612	132.070	514.134	18.725	15.910
1282.582	-238.950	-1929.575	1.611	131.253	520.156	18.924	16.293
1275.215	-252.524	-1934.026	1.608	131.179	512.413	18.572	15.974
1279.009	-236.312	-1922.342	1.614	132.078	522.547	18.426	16.201
1270.776	-246.129	-1925.464	1.609	132.716	521.007	19.135	16.002
1278.405	-236.816	-1922.303	1.610	131.144	520.867	18.317	15.921
1277.217	-233.787	-1917.891	1.614	131.148	516.842	18.733	16.394
1270.174	-240.876	-1922.098	1.613	130.864	515.316	18.790	16.871
1270.211	-240.553	-1919.871	1.615	131.728	517.226	19.178	16.330
1272.430	-248.952	-1930.243	1.613	131.169	525.798	18.338	16.909
1272.007	-240.274	-1921.810	1.613	130.784	513.316	18.082	16.094
1276.656	-235.572	-1918.900	1.610	131.411	520.455	18.463	16.416
1275.187	-236.044	-1920.080	1.608	131.227	519.571	18.625	16.261
1266.056	-243.297	-1915.156	1.616	130.943	515.781	18.284	16.939
1272.923	-236.804	-1918.418	1.614	131.293	524.447	18.934	16.553
1273.375	-238.828	-1917.239	1.613	131.269	517.691	19.058	16.878
1270.722	-236.777	-1915.559	1.613	131.007	513.380	18.936	16.785
1270.451	-245.331	-1925.090	1.611	131.387	514.322	18.447	15.747
1274.476	-228.531	-1912.490	1.612	131.446	518.603	18.613	16.178
1268.746	-241.876	-1916.855	1.614	130.577	526.943	18.815	16.218
1267.466	-242.350	-1918.469	1.613	130.727	515.645	18.693	16.669
1259.045	-247.695	-1913.953	1.617	130.590	513.769	19.163	16.222
1263.890	-241.982	-1915.193	1.609	130.924	523.121	18.561	16.063
1265.938	-247.010	-1919.350	1.618	130.209	522.388	18.597	16.125
1271.018	-234.279	-1911.470	1.619	131.034	521.978	18.914	16.354
1268.670	-235.765	-1910.757	1.617	130.778	526.155	18.744	16.604
1283.755	-215.964	-1910.155	1.611	130.840	517.594	18.547	16.311
1277.492	-228.139	-1911.762	1.621	130.377	518.949	18.542	16.696
1262.933	-235.197	-1903.985	1.614	130.795	517.130	18.774	15.916
1263.521	-236.372	-1905.873	1.616	131.077	519.416	19.256	17.289
1277.196	-222.538	-1914.133	1.615	130.843	511.027	18.578	16.468
1270.070	-225.163	-1902.116	1.619	130.584	508.584	18.547	16.090
1278.491	-224.832	-1914.409	1.616	130.895	516.609	19.012	16.099
1275.223	-232.169	-1916.754	1.615	131.260	523.666	18.490	15.944
1276.137	-222.745	-1907.719	1.621	130.803	521.387	19.291	16.541
1266.321	-242.443	-1914.972	1.613	130.227	512.539	19.130	16.222
1277.522	-227.898	-1916.023	1.617	130.426	519.633	18.773	16.745
1270.131	-237.779	-1918.589	1.615	130.260	517.385	18.651	16.639
1259.425	-238.084	-1906.419	1.617	130.954	520.305	19.312	16.905
1275.567	-226.116	-1906.792	1.618	130.770	522.068	19.463	16.789
1265.358	-245.126	-1915.739	1.620	130.265	517.630	18.784	17.080
