symKL_DB_eta: 2.386,  symKL_DB_z: 2.469,  loss: -421.935,  ess: 8.282,  kl_eta_ex: 0.040,  kl_eta_in: 0.042,  kl_z_ex: 0.713,  kl_z_in: 0.283
symKL_DB_eta: 2.336,  symKL_DB_z: 2.468,  loss: -421.942,  ess: 8.299,  kl_eta_ex: 0.033,  kl_eta_in: 0.033,  kl_z_ex: 0.709,  kl_z_in: 0.276
symKL_DB_eta: 2.317,  symKL_DB_z: 2.386,  loss: -421.889,  ess: 8.313,  kl_eta_ex: 0.032,  kl_eta_in: 0.113,  kl_z_ex: 0.688,  kl_z_in: 0.267
symKL_DB_eta: 2.302,  symKL_DB_z: 2.288,  loss: -421.894,  ess: 8.325,  kl_eta_ex: 0.025,  kl_eta_in: 0.125,  kl_z_ex: 0.665,  kl_z_in: 0.263
symKL_DB_eta: 2.297,  symKL_DB_z: 2.258,  loss: -422.050,  ess: 8.326,  kl_eta_ex: 0.021,  kl_eta_in: 0.018,  kl_z_ex: 0.652,  kl_z_in: 0.255
symKL_DB_eta: 2.255,  symKL_DB_z: 2.259,  loss: -421.881,  ess: 8.343,  kl_eta_ex: 0.016,  kl_eta_in: 0.015,  kl_z_ex: 0.633,  kl_z_in: 0.244
symKL_DB_eta: 2.241,  symKL_DB_z: 2.124,  loss: -421.996,  ess: 8.347,  kl_eta_ex: 0.016,  kl_eta_in: 0.013,  kl_z_ex: 0.611,  kl_z_in: 0.238
symKL_DB_eta: 2.246,  symKL_DB_z: 2.223,  loss: -421.952,  ess: 8.345,  kl_eta_ex: 0.014,  kl_eta_in: 0.011,  kl_z_ex: 0.588,  kl_z_in: 0.234
symKL_DB_eta: 2.263,  symKL_DB_z: 2.050,  loss: -422.038,  ess: 8.358,  kl_eta_ex: 0.014,  kl_eta_in: 0.070,  kl_z_ex: 0.581,  kl_z_in: 0.226
symKL_DB_eta: 2.239,  symKL_DB_z: 1.977,  loss: -421.911,  ess: 8.358,  kl_eta_ex: 0.011,  kl_eta_in: 0.009,  kl_z_ex: 0.554,  kl_z_in: 0.216
symKL_DB_eta: 2.256,  symKL_DB_z: 1.985,  loss: -421.986,  ess: 8.354,  kl_eta_ex: 0.011,  kl_eta_in: 0.016,  kl_z_ex: 0.537,  kl_z_in: 0.212
symKL_DB_eta: 2.212,  symKL_DB_z: 1.947,  loss: -422.130,  ess: 8.368,  kl_eta_ex: 0.009,  kl_eta_in: 0.007,  kl_z_ex: 0.532,  kl_z_in: 0.208
symKL_DB_eta: 2.200,  symKL_DB_z: 1.960,  loss: -422.008,  ess: 8.376,  kl_eta_ex: 0.009,  kl_eta_in: 0.007,  kl_z_ex: 0.525,  kl_z_in: 0.204
symKL_DB_eta: 2.229,  symKL_DB_z: 1.844,  loss: -422.050,  ess: 8.375,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.507,  kl_z_in: 0.198
symKL_DB_eta: 2.224,  symKL_DB_z: 1.864,  loss: -422.059,  ess: 8.372,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.495,  kl_z_in: 0.191
symKL_DB_eta: 2.187,  symKL_DB_z: 1.792,  loss: -422.108,  ess: 8.383,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.482,  kl_z_in: 0.186
symKL_DB_eta: 2.208,  symKL_DB_z: 1.769,  loss: -422.197,  ess: 8.380,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.479,  kl_z_in: 0.184
symKL_DB_eta: 2.192,  symKL_DB_z: 1.714,  loss: -422.081,  ess: 8.386,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.461,  kl_z_in: 0.179
symKL_DB_eta: 2.189,  symKL_DB_z: 1.775,  loss: -422.085,  ess: 8.389,  kl_eta_ex: 0.007,  kl_eta_in: 0.005,  kl_z_ex: 0.465,  kl_z_in: 0.178
symKL_DB_eta: 2.213,  symKL_DB_z: 1.714,  loss: -422.006,  ess: 8.383,  kl_eta_ex: 0.008,  kl_eta_in: 0.005,  kl_z_ex: 0.455,  kl_z_in: 0.174
symKL_DB_eta: 2.175,  symKL_DB_z: 1.652,  loss: -421.952,  ess: 8.389,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.435,  kl_z_in: 0.166
symKL_DB_eta: 2.200,  symKL_DB_z: 1.724,  loss: -421.962,  ess: 8.394,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.435,  kl_z_in: 0.163
symKL_DB_eta: 2.206,  symKL_DB_z: 1.610,  loss: -422.062,  ess: 8.390,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.436,  kl_z_in: 0.161
symKL_DB_eta: 2.190,  symKL_DB_z: 1.571,  loss: -421.930,  ess: 8.391,  kl_eta_ex: 0.006,  kl_eta_in: 0.004,  kl_z_ex: 0.412,  kl_z_in: 0.155
