symKL_DB_eta: 109539.902,  symKL_DB_z: 2679942.130,  gap: 1718112.261,  loss: -537774.338,  ess: 3.114
symKL_DB_eta: 93737.248,  symKL_DB_z: 2326305.781,  gap: 276235.379,  loss: -734949.686,  ess: 2.690
symKL_DB_eta: 60774.941,  symKL_DB_z: 1162992.216,  gap: 123973.797,  loss: -375221.028,  ess: 3.266
symKL_DB_eta: 43332.016,  symKL_DB_z: 574160.415,  gap: 88851.558,  loss: -221191.923,  ess: 3.723
symKL_DB_eta: 37705.923,  symKL_DB_z: 321886.057,  gap: 68513.753,  loss: -145421.546,  ess: 4.026
symKL_DB_eta: 36129.076,  symKL_DB_z: 198916.573,  gap: 57128.065,  loss: -117773.551,  ess: 4.241
symKL_DB_eta: 37104.036,  symKL_DB_z: 136021.330,  gap: 53821.651,  loss: -115951.115,  ess: 4.400
symKL_DB_eta: 38412.961,  symKL_DB_z: 101694.796,  gap: 52283.770,  loss: -99745.027,  ess: 4.506
symKL_DB_eta: 39026.852,  symKL_DB_z: 77941.925,  gap: 49990.947,  loss: -94430.724,  ess: 4.586
symKL_DB_eta: 40458.928,  symKL_DB_z: 62820.286,  gap: 50303.660,  loss: -93232.109,  ess: 4.662
symKL_DB_eta: 42864.817,  symKL_DB_z: 55160.008,  gap: 51284.892,  loss: -111609.095,  ess: 4.706
symKL_DB_eta: 43898.415,  symKL_DB_z: 47235.584,  gap: 51295.690,  loss: -99687.164,  ess: 4.755
symKL_DB_eta: 46064.148,  symKL_DB_z: 43514.881,  gap: 53022.907,  loss: -126042.217,  ess: 4.797
symKL_DB_eta: 88897.239,  symKL_DB_z: 40599.502,  gap: 96109.211,  loss: -123344.723,  ess: 4.807
symKL_DB_eta: 44640.305,  symKL_DB_z: 60233.462,  gap: 51040.684,  loss: -89920.356,  ess: 4.832
symKL_DB_eta: 49567.714,  symKL_DB_z: 191426.605,  gap: 55359.392,  loss: -126067.413,  ess: 4.877
symKL_DB_eta: 50222.994,  symKL_DB_z: 300261.430,  gap: 53812.685,  loss: -126187.378,  ess: 4.901
symKL_DB_eta: 49621.333,  symKL_DB_z: 162204.022,  gap: 55582.067,  loss: -136628.626,  ess: 4.924
symKL_DB_eta: 48667.026,  symKL_DB_z: 281222.966,  gap: 53720.552,  loss: -129990.831,  ess: 4.932
symKL_DB_eta: 48646.905,  symKL_DB_z: 266697.763,  gap: 53287.535,  loss: -115586.219,  ess: 4.934
symKL_DB_eta: 47975.191,  symKL_DB_z: 147428.169,  gap: 53257.096,  loss: -120679.528,  ess: 4.952
symKL_DB_eta: 48107.586,  symKL_DB_z: 166496.079,  gap: 53550.855,  loss: -116853.510,  ess: 4.960
symKL_DB_eta: 379952.777,  symKL_DB_z: 5518809.285,  gap: 5898657.397,  loss: -335528.518,  ess: 2.527
symKL_DB_eta: 61882.505,  symKL_DB_z: 2255951.779,  gap: 2317783.094,  loss: -65394.298,  ess: 3.546
symKL_DB_eta: 53367.146,  symKL_DB_z: 646898.557,  gap: 700221.839,  loss: -54662.894,  ess: 4.300
symKL_DB_eta: 46531.282,  symKL_DB_z: 216923.959,  gap: 263412.899,  loss: -50912.292,  ess: 4.660
symKL_DB_eta: 45232.639,  symKL_DB_z: 93047.812,  gap: 138238.699,  loss: -63998.767,  ess: 4.859
symKL_DB_eta: 42778.537,  symKL_DB_z: 48643.957,  gap: 91360.727,  loss: -56174.465,  ess: 4.967
symKL_DB_eta: 44253.088,  symKL_DB_z: 31014.964,  gap: 75213.193,  loss: -61466.507,  ess: 5.032
symKL_DB_eta: 43294.785,  symKL_DB_z: 22036.822,  gap: 65231.321,  loss: -63657.962,  ess: 5.080
symKL_DB_eta: 43896.544,  symKL_DB_z: 17409.586,  gap: 61209.216,  loss: -70507.205,  ess: 5.109
symKL_DB_eta: 43983.326,  symKL_DB_z: 15019.385,  gap: 58875.084,  loss: -68693.261,  ess: 5.121
symKL_DB_eta: 45949.397,  symKL_DB_z: 13365.458,  gap: 59120.766,  loss: -74164.609,  ess: 5.142
symKL_DB_eta: 45987.039,  symKL_DB_z: 12058.046,  gap: 57368.282,  loss: -76432.790,  ess: 5.161
symKL_DB_eta: 53282.461,  symKL_DB_z: 11410.378,  gap: 56297.861,  loss: -77303.327,  ess: 5.169
symKL_DB_eta: 47836.326,  symKL_DB_z: 10192.680,  gap: 55311.273,  loss: -79255.442,  ess: 5.188
symKL_DB_eta: 63684.224,  symKL_DB_z: 10006.757,  gap: 55482.215,  loss: -80556.124,  ess: 5.191
symKL_DB_eta: 55580.815,  symKL_DB_z: 9840.556,  gap: 55417.510,  loss: -87598.687,  ess: 5.183
symKL_DB_eta: 59040.663,  symKL_DB_z: 9737.230,  gap: 54168.313,  loss: -75926.485,  ess: 5.186
symKL_DB_eta: 60561.472,  symKL_DB_z: 9990.030,  gap: 55081.132,  loss: -78318.458,  ess: 5.183
symKL_DB_eta: 47739.968,  symKL_DB_z: 10309.222,  gap: 54494.426,  loss: -77801.948,  ess: 5.186
symKL_DB_eta: 55797.770,  symKL_DB_z: 10052.917,  gap: 53451.963,  loss: -68171.142,  ess: 5.181
symKL_DB_eta: 47791.201,  symKL_DB_z: 9147.398,  gap: 53617.682,  loss: -74488.439,  ess: 5.197
symKL_DB_eta: 57762.258,  symKL_DB_z: 9862.596,  gap: 54469.378,  loss: -71090.450,  ess: 5.185
symKL_DB_eta: 58124.392,  symKL_DB_z: 10292.631,  gap: 57339.213,  loss: -88661.955,  ess: 5.189
symKL_DB_eta: 51280.863,  symKL_DB_z: 9685.285,  gap: 55913.259,  loss: -83446.652,  ess: 5.184
symKL_DB_eta: 49970.167,  symKL_DB_z: 9432.897,  gap: 53291.409,  loss: -76686.798,  ess: 5.183
symKL_DB_eta: 78804.828,  symKL_DB_z: 9451.258,  gap: 54173.773,  loss: -80449.548,  ess: 5.190
symKL_DB_eta: 61020.414,  symKL_DB_z: 11517.645,  gap: 54922.307,  loss: -84337.994,  ess: 5.177
symKL_DB_eta: 46419.829,  symKL_DB_z: 9922.008,  gap: 53024.559,  loss: -71706.492,  ess: 5.180
symKL_DB_eta: 47636.278,  symKL_DB_z: 9823.522,  gap: 54324.726,  loss: -71358.386,  ess: 5.181
symKL_DB_eta: 60627.500,  symKL_DB_z: 9570.248,  gap: 54487.090,  loss: -71287.905,  ess: 5.177
symKL_DB_eta: 63088.833,  symKL_DB_z: 10753.654,  gap: 54915.066,  loss: -75737.235,  ess: 5.177
symKL_DB_eta: 54516.816,  symKL_DB_z: 9900.786,  gap: 54692.730,  loss: -78256.874,  ess: 5.172
symKL_DB_eta: 70386.396,  symKL_DB_z: 9337.726,  gap: 54273.333,  loss: -75393.342,  ess: 5.185
symKL_DB_eta: 59133.163,  symKL_DB_z: 9410.729,  gap: 53120.148,  loss: -75107.563,  ess: 5.186
symKL_DB_eta: 51141.956,  symKL_DB_z: 9137.660,  gap: 53604.211,  loss: -68764.267,  ess: 5.182
symKL_DB_eta: 47174.724,  symKL_DB_z: 13146.190,  gap: 53088.261,  loss: -68245.107,  ess: 5.184
symKL_DB_eta: 45241.751,  symKL_DB_z: 9713.328,  gap: 54258.031,  loss: -79137.710,  ess: 5.173
symKL_DB_eta: 47843.905,  symKL_DB_z: 9532.592,  gap: 53837.552,  loss: -73957.949,  ess: 5.173
symKL_DB_eta: 54919.863,  symKL_DB_z: 9299.352,  gap: 54603.733,  loss: -80993.187,  ess: 5.179
symKL_DB_eta: 52502.703,  symKL_DB_z: 9492.675,  gap: 54255.047,  loss: -73905.191,  ess: 5.184
symKL_DB_eta: 49040.126,  symKL_DB_z: 9346.308,  gap: 54788.925,  loss: -71536.845,  ess: 5.177
symKL_DB_eta: 49076.297,  symKL_DB_z: 9477.962,  gap: 53954.021,  loss: -70878.347,  ess: 5.178
symKL_DB_eta: 44455.639,  symKL_DB_z: 9805.554,  gap: 53958.552,  loss: -77085.643,  ess: 5.177
symKL_DB_eta: 43227.676,  symKL_DB_z: 9542.212,  gap: 52713.068,  loss: -67640.914,  ess: 5.175
symKL_DB_eta: 58991.639,  symKL_DB_z: 10103.404,  gap: 54651.126,  loss: -80969.492,  ess: 5.166
