DB_eta: 29.033,  DB_z: 40.346,  DB_rad: 1258.388,  gap_eta: 94.525,  gap_z: 85.432,  gap_rad: 1160.847,  loss: -3142.994,  ess: 5.436
DB_eta: 25.321,  DB_z: 31.130,  DB_rad: 1042.053,  gap_eta: 92.030,  gap_z: 79.910,  gap_rad: 964.495,  loss: -3163.125,  ess: 5.762
DB_eta: 22.343,  DB_z: 27.311,  DB_rad: 1049.030,  gap_eta: 90.796,  gap_z: 77.966,  gap_rad: 967.451,  loss: -3158.957,  ess: 5.744
DB_eta: 24.736,  DB_z: 29.604,  DB_rad: 1033.760,  gap_eta: 91.169,  gap_z: 78.825,  gap_rad: 949.207,  loss: -3154.716,  ess: 5.698
DB_eta: 22.580,  DB_z: 25.955,  DB_rad: 1003.673,  gap_eta: 90.956,  gap_z: 76.695,  gap_rad: 918.607,  loss: -3156.146,  ess: 5.719
DB_eta: 27.733,  DB_z: 33.169,  DB_rad: 1019.614,  gap_eta: 92.902,  gap_z: 80.936,  gap_rad: 936.977,  loss: -3150.814,  ess: 5.702
DB_eta: 27.339,  DB_z: 32.245,  DB_rad: 1019.646,  gap_eta: 92.830,  gap_z: 79.898,  gap_rad: 935.545,  loss: -3147.816,  ess: 5.683
DB_eta: 30.665,  DB_z: 45.238,  DB_rad: 1033.423,  gap_eta: 94.218,  gap_z: 91.206,  gap_rad: 944.978,  loss: -3141.726,  ess: 5.616
DB_eta: 28.988,  DB_z: 34.121,  DB_rad: 1022.086,  gap_eta: 94.252,  gap_z: 81.081,  gap_rad: 933.004,  loss: -3136.425,  ess: 5.625
DB_eta: 21.307,  DB_z: 25.100,  DB_rad: 934.683,  gap_eta: 88.530,  gap_z: 76.437,  gap_rad: 856.513,  loss: -3142.574,  ess: 5.823
DB_eta: 23.404,  DB_z: 26.680,  DB_rad: 989.598,  gap_eta: 89.500,  gap_z: 77.052,  gap_rad: 904.336,  loss: -3127.799,  ess: 5.712
DB_eta: 25.177,  DB_z: 29.007,  DB_rad: 1012.146,  gap_eta: 91.049,  gap_z: 77.988,  gap_rad: 930.877,  loss: -3118.970,  ess: 5.739
DB_eta: 30.196,  DB_z: 33.053,  DB_rad: 1037.834,  gap_eta: 92.782,  gap_z: 80.437,  gap_rad: 950.438,  loss: -3107.695,  ess: 5.635
DB_eta: 29.010,  DB_z: 34.043,  DB_rad: 1017.717,  gap_eta: 91.924,  gap_z: 81.118,  gap_rad: 931.410,  loss: -3102.496,  ess: 5.637
DB_eta: 30.139,  DB_z: 33.706,  DB_rad: 1024.655,  gap_eta: 93.165,  gap_z: 80.080,  gap_rad: 934.886,  loss: -3097.733,  ess: 5.583
DB_eta: 24.164,  DB_z: 27.348,  DB_rad: 972.903,  gap_eta: 88.290,  gap_z: 77.126,  gap_rad: 890.407,  loss: -3098.617,  ess: 5.742
DB_eta: 28.323,  DB_z: 31.930,  DB_rad: 999.134,  gap_eta: 90.245,  gap_z: 79.390,  gap_rad: 913.628,  loss: -3087.394,  ess: 5.657
DB_eta: 29.133,  DB_z: 34.221,  DB_rad: 1006.208,  gap_eta: 91.508,  gap_z: 81.161,  gap_rad: 918.844,  loss: -3082.044,  ess: 5.637
DB_eta: 20.241,  DB_z: 23.517,  DB_rad: 977.823,  gap_eta: 87.618,  gap_z: 75.598,  gap_rad: 897.618,  loss: -3078.066,  ess: 5.813
DB_eta: 21.613,  DB_z: 25.494,  DB_rad: 980.448,  gap_eta: 86.321,  gap_z: 76.716,  gap_rad: 898.100,  loss: -3068.342,  ess: 5.761
DB_eta: 29.633,  DB_z: 30.439,  DB_rad: 927.350,  gap_eta: 90.753,  gap_z: 78.633,  gap_rad: 841.838,  loss: -3072.273,  ess: 5.703
DB_eta: 20.843,  DB_z: 24.628,  DB_rad: 897.460,  gap_eta: 86.907,  gap_z: 75.784,  gap_rad: 815.510,  loss: -3074.919,  ess: 5.793
DB_eta: 18.839,  DB_z: 20.973,  DB_rad: 885.823,  gap_eta: 84.914,  gap_z: 73.764,  gap_rad: 802.188,  loss: -3071.000,  ess: 5.824
DB_eta: 19.259,  DB_z: 21.750,  DB_rad: 864.273,  gap_eta: 84.799,  gap_z: 74.173,  gap_rad: 781.898,  loss: -3072.994,  ess: 5.831
DB_eta: 27.262,  DB_z: 29.493,  DB_rad: 897.509,  gap_eta: 88.485,  gap_z: 77.929,  gap_rad: 811.618,  loss: -3058.584,  ess: 5.704
DB_eta: 24.965,  DB_z: 25.720,  DB_rad: 888.821,  gap_eta: 87.062,  gap_z: 76.097,  gap_rad: 804.103,  loss: -3056.046,  ess: 5.731
DB_eta: 34.906,  DB_z: 61.865,  DB_rad: 1033.376,  gap_eta: 93.928,  gap_z: 100.080,  gap_rad: 932.969,  loss: -3046.102,  ess: 5.435
DB_eta: 26.796,  DB_z: 30.823,  DB_rad: 935.274,  gap_eta: 87.284,  gap_z: 78.963,  gap_rad: 849.287,  loss: -3036.411,  ess: 5.675
DB_eta: 18.529,  DB_z: 21.615,  DB_rad: 907.428,  gap_eta: 83.716,  gap_z: 74.692,  gap_rad: 826.489,  loss: -3036.683,  ess: 5.836
DB_eta: 20.880,  DB_z: 23.914,  DB_rad: 894.065,  gap_eta: 84.029,  gap_z: 75.298,  gap_rad: 810.217,  loss: -3033.123,  ess: 5.773
DB_eta: 20.119,  DB_z: 22.784,  DB_rad: 857.120,  gap_eta: 83.837,  gap_z: 74.627,  gap_rad: 774.043,  loss: -3036.824,  ess: 5.800
DB_eta: 19.141,  DB_z: 22.196,  DB_rad: 864.453,  gap_eta: 83.391,  gap_z: 74.693,  gap_rad: 784.051,  loss: -3029.425,  ess: 5.846
DB_eta: 21.516,  DB_z: 23.239,  DB_rad: 905.514,  gap_eta: 83.742,  gap_z: 74.623,  gap_rad: 817.797,  loss: -3022.384,  ess: 5.718
DB_eta: 18.460,  DB_z: 20.541,  DB_rad: 849.983,  gap_eta: 82.317,  gap_z: 73.598,  gap_rad: 765.264,  loss: -3026.766,  ess: 5.809
DB_eta: 17.282,  DB_z: 18.637,  DB_rad: 792.954,  gap_eta: 82.428,  gap_z: 72.552,  gap_rad: 712.950,  loss: -3036.369,  ess: 5.918
DB_eta: 26.628,  DB_z: 26.370,  DB_rad: 844.593,  gap_eta: 86.037,  gap_z: 75.886,  gap_rad: 755.661,  loss: -3020.393,  ess: 5.691
DB_eta: 25.931,  DB_z: 26.897,  DB_rad: 865.021,  gap_eta: 85.712,  gap_z: 75.925,  gap_rad: 774.208,  loss: -3018.882,  ess: 5.656
DB_eta: 20.140,  DB_z: 22.476,  DB_rad: 790.933,  gap_eta: 82.581,  gap_z: 74.365,  gap_rad: 711.296,  loss: -3023.015,  ess: 5.891
DB_eta: 23.130,  DB_z: 23.218,  DB_rad: 852.904,  gap_eta: 84.020,  gap_z: 74.569,  gap_rad: 764.966,  loss: -3010.190,  ess: 5.744
DB_eta: 18.728,  DB_z: 20.701,  DB_rad: 830.074,  gap_eta: 81.506,  gap_z: 73.494,  gap_rad: 747.834,  loss: -3005.224,  ess: 5.844
DB_eta: 16.748,  DB_z: 19.489,  DB_rad: 814.541,  gap_eta: 80.134,  gap_z: 72.904,  gap_rad: 732.289,  loss: -3006.076,  ess: 5.877
DB_eta: 17.217,  DB_z: 18.757,  DB_rad: 827.670,  gap_eta: 80.303,  gap_z: 72.252,  gap_rad: 741.889,  loss: -3005.121,  ess: 5.834
DB_eta: 15.969,  DB_z: 17.565,  DB_rad: 753.730,  gap_eta: 79.418,  gap_z: 71.606,  gap_rad: 673.763,  loss: -3015.734,  ess: 5.957
DB_eta: 19.562,  DB_z: 20.833,  DB_rad: 771.693,  gap_eta: 81.652,  gap_z: 73.061,  gap_rad: 687.084,  loss: -3009.074,  ess: 5.839
DB_eta: 106038.855,  DB_z: 97368.177,  DB_rad: 374198.132,  gap_eta: 106046.430,  gap_z: 96667.707,  gap_rad: 373910.910,  loss: -96877.499,  ess: 1.921
DB_eta: 24124.101,  DB_z: 38000.588,  DB_rad: 163958.603,  gap_eta: 24142.267,  gap_z: 37617.740,  gap_rad: 163744.270,  loss: -19163.231,  ess: 2.068
DB_eta: 1382.897,  DB_z: 5219.977,  DB_rad: 24405.858,  gap_eta: 1419.780,  gap_z: 4881.690,  gap_rad: 24121.231,  loss: -4378.157,  ess: 2.270
DB_eta: 306.803,  DB_z: 1294.107,  DB_rad: 10590.017,  gap_eta: 358.970,  gap_z: 1042.200,  gap_rad: 10330.144,  loss: -3630.460,  ess: 2.826
DB_eta: 123.373,  DB_z: 421.636,  DB_rad: 6732.209,  gap_eta: 182.676,  gap_z: 318.105,  gap_rad: 6557.472,  loss: -3539.805,  ess: 3.533
DB_eta: 65.255,  DB_z: 209.529,  DB_rad: 4476.803,  gap_eta: 131.201,  gap_z: 176.674,  gap_rad: 4335.270,  loss: -3500.521,  ess: 3.995
DB_eta: 43.694,  DB_z: 118.765,  DB_rad: 3422.613,  gap_eta: 117.140,  gap_z: 126.820,  gap_rad: 3300.259,  loss: -3479.556,  ess: 4.371
DB_eta: 35.944,  DB_z: 100.785,  DB_rad: 3007.741,  gap_eta: 112.169,  gap_z: 117.882,  gap_rad: 2888.672,  loss: -3430.665,  ess: 4.526
DB_eta: 34.882,  DB_z: 75.476,  DB_rad: 2688.066,  gap_eta: 111.233,  gap_z: 105.115,  gap_rad: 2574.607,  loss: -3373.037,  ess: 4.684
DB_eta: 28.140,  DB_z: 46.422,  DB_rad: 2316.402,  gap_eta: 111.156,  gap_z: 91.043,  gap_rad: 2212.861,  loss: -3363.390,  ess: 4.952
DB_eta: 26.130,  DB_z: 45.422,  DB_rad: 2174.431,  gap_eta: 109.022,  gap_z: 90.250,  gap_rad: 2072.538,  loss: -3333.620,  ess: 5.009
DB_eta: 25.502,  DB_z: 42.757,  DB_rad: 1959.985,  gap_eta: 105.220,  gap_z: 89.305,  gap_rad: 1858.183,  loss: -3315.458,  ess: 5.088
DB_eta: 23.412,  DB_z: 44.054,  DB_rad: 1776.130,  gap_eta: 102.251,  gap_z: 90.299,  gap_rad: 1674.509,  loss: -3318.932,  ess: 5.135
DB_eta: 21.962,  DB_z: 34.604,  DB_rad: 1621.987,  gap_eta: 102.684,  gap_z: 85.470,  gap_rad: 1525.111,  loss: -3306.752,  ess: 5.275
DB_eta: 20.812,  DB_z: 31.874,  DB_rad: 1437.874,  gap_eta: 100.291,  gap_z: 84.612,  gap_rad: 1342.076,  loss: -3315.447,  ess: 5.361
DB_eta: 21.317,  DB_z: 31.293,  DB_rad: 1431.334,  gap_eta: 101.543,  gap_z: 83.827,  gap_rad: 1338.109,  loss: -3298.882,  ess: 5.385
DB_eta: 21.279,  DB_z: 33.450,  DB_rad: 1323.428,  gap_eta: 99.328,  gap_z: 85.035,  gap_rad: 1229.475,  loss: -3286.515,  ess: 5.407
DB_eta: 20.901,  DB_z: 34.156,  DB_rad: 1292.592,  gap_eta: 97.805,  gap_z: 85.070,  gap_rad: 1197.124,  loss: -3282.554,  ess: 5.392
DB_eta: 19.969,  DB_z: 30.727,  DB_rad: 1153.909,  gap_eta: 97.204,  gap_z: 83.735,  gap_rad: 1064.278,  loss: -3284.983,  ess: 5.538
DB_eta: 18.996,  DB_z: 25.203,  DB_rad: 1116.322,  gap_eta: 98.897,  gap_z: 80.771,  gap_rad: 1027.836,  loss: -3284.292,  ess: 5.589
DB_eta: 19.541,  DB_z: 27.708,  DB_rad: 1056.916,  gap_eta: 95.987,  gap_z: 81.935,  gap_rad: 967.990,  loss: -3280.999,  ess: 5.581
DB_eta: 23.949,  DB_z: 33.982,  DB_rad: 1089.223,  gap_eta: 97.222,  gap_z: 84.580,  gap_rad: 999.261,  loss: -3271.612,  ess: 5.499
DB_eta: 21.934,  DB_z: 29.500,  DB_rad: 1049.913,  gap_eta: 96.784,  gap_z: 82.301,  gap_rad: 961.572,  loss: -3256.248,  ess: 5.572
DB_eta: 21.700,  DB_z: 28.096,  DB_rad: 989.098,  gap_eta: 96.752,  gap_z: 81.492,  gap_rad: 901.901,  loss: -3256.743,  ess: 5.608
DB_eta: 24.043,  DB_z: 34.146,  DB_rad: 998.449,  gap_eta: 96.048,  gap_z: 84.262,  gap_rad: 910.749,  loss: -3253.873,  ess: 5.567
DB_eta: 24.213,  DB_z: 33.125,  DB_rad: 981.310,  gap_eta: 95.985,  gap_z: 83.372,  gap_rad: 892.500,  loss: -3244.383,  ess: 5.559
DB_eta: 22.744,  DB_z: 30.771,  DB_rad: 999.727,  gap_eta: 95.102,  gap_z: 82.336,  gap_rad: 912.223,  loss: -3231.920,  ess: 5.597
DB_eta: 19.965,  DB_z: 27.730,  DB_rad: 903.224,  gap_eta: 92.670,  gap_z: 80.825,  gap_rad: 816.351,  loss: -3240.902,  ess: 5.667
DB_eta: 18.429,  DB_z: 23.149,  DB_rad: 871.566,  gap_eta: 93.924,  gap_z: 78.874,  gap_rad: 789.882,  loss: -3245.159,  ess: 5.788
DB_eta: 24.702,  DB_z: 32.003,  DB_rad: 965.153,  gap_eta: 94.169,  gap_z: 82.559,  gap_rad: 874.335,  loss: -3216.877,  ess: 5.556
DB_eta: 19.704,  DB_z: 26.524,  DB_rad: 876.789,  gap_eta: 92.243,  gap_z: 80.147,  gap_rad: 793.871,  loss: -3226.386,  ess: 5.735
DB_eta: 22.350,  DB_z: 28.915,  DB_rad: 915.043,  gap_eta: 93.176,  gap_z: 80.872,  gap_rad: 828.189,  loss: -3214.292,  ess: 5.632
DB_eta: 21.851,  DB_z: 28.150,  DB_rad: 914.062,  gap_eta: 93.813,  gap_z: 80.326,  gap_rad: 829.277,  loss: -3210.574,  ess: 5.682
DB_eta: 24.548,  DB_z: 30.380,  DB_rad: 922.775,  gap_eta: 92.274,  gap_z: 81.347,  gap_rad: 836.031,  loss: -3197.947,  ess: 5.621
DB_eta: 25.253,  DB_z: 33.143,  DB_rad: 927.110,  gap_eta: 92.289,  gap_z: 82.687,  gap_rad: 839.995,  loss: -3191.157,  ess: 5.601
DB_eta: 23.314,  DB_z: 30.818,  DB_rad: 915.023,  gap_eta: 92.303,  gap_z: 81.395,  gap_rad: 830.010,  loss: -3187.148,  ess: 5.659
DB_eta: 24.357,  DB_z: 32.034,  DB_rad: 911.281,  gap_eta: 91.137,  gap_z: 81.489,  gap_rad: 821.579,  loss: -3180.521,  ess: 5.583
DB_eta: 21.319,  DB_z: 26.168,  DB_rad: 851.726,  gap_eta: 90.466,  gap_z: 78.642,  gap_rad: 766.835,  loss: -3185.812,  ess: 5.713
DB_eta: 20.965,  DB_z: 26.311,  DB_rad: 845.421,  gap_eta: 90.301,  gap_z: 78.596,  gap_rad: 760.897,  loss: -3188.163,  ess: 5.720
DB_eta: 20.323,  DB_z: 25.136,  DB_rad: 851.637,  gap_eta: 90.048,  gap_z: 78.323,  gap_rad: 768.620,  loss: -3181.753,  ess: 5.763
DB_eta: 21.714,  DB_z: 26.608,  DB_rad: 832.076,  gap_eta: 89.835,  gap_z: 78.964,  gap_rad: 747.933,  loss: -3177.419,  ess: 5.731
DB_eta: 20.971,  DB_z: 25.283,  DB_rad: 840.794,  gap_eta: 90.470,  gap_z: 77.963,  gap_rad: 754.847,  loss: -3173.647,  ess: 5.711
DB_eta: 20.665,  DB_z: 27.142,  DB_rad: 819.910,  gap_eta: 88.340,  gap_z: 78.868,  gap_rad: 737.442,  loss: -3171.454,  ess: 5.748
DB_eta: 26.043,  DB_z: 32.826,  DB_rad: 900.241,  gap_eta: 90.802,  gap_z: 81.078,  gap_rad: 806.950,  loss: -3162.397,  ess: 5.545
DB_eta: 22.352,  DB_z: 26.980,  DB_rad: 801.438,  gap_eta: 88.819,  gap_z: 78.958,  gap_rad: 720.070,  loss: -3170.561,  ess: 5.762
DB_eta: 21.469,  DB_z: 25.364,  DB_rad: 829.211,  gap_eta: 89.004,  gap_z: 77.870,  gap_rad: 742.873,  loss: -3160.880,  ess: 5.716
DB_eta: 21.988,  DB_z: 26.571,  DB_rad: 806.846,  gap_eta: 88.582,  gap_z: 78.491,  gap_rad: 724.250,  loss: -3163.434,  ess: 5.760
DB_eta: 26.519,  DB_z: 31.058,  DB_rad: 837.860,  gap_eta: 91.363,  gap_z: 80.029,  gap_rad: 749.611,  loss: -3150.958,  ess: 5.632
DB_eta: 24.221,  DB_z: 27.989,  DB_rad: 801.965,  gap_eta: 88.360,  gap_z: 78.437,  gap_rad: 713.908,  loss: -3158.499,  ess: 5.690
DB_eta: 25.505,  DB_z: 27.770,  DB_rad: 830.236,  gap_eta: 89.840,  gap_z: 78.019,  gap_rad: 741.251,  loss: -3153.985,  ess: 5.655
DB_eta: 24.111,  DB_z: 28.732,  DB_rad: 770.104,  gap_eta: 88.910,  gap_z: 79.199,  gap_rad: 688.529,  loss: -3158.145,  ess: 5.758
DB_eta: 24.505,  DB_z: 28.127,  DB_rad: 789.896,  gap_eta: 89.184,  gap_z: 78.583,  gap_rad: 705.809,  loss: -3151.728,  ess: 5.735
DB_eta: 23.584,  DB_z: 27.094,  DB_rad: 788.991,  gap_eta: 89.096,  gap_z: 78.275,  gap_rad: 705.167,  loss: -3145.582,  ess: 5.737
DB_eta: 23.959,  DB_z: 28.808,  DB_rad: 772.443,  gap_eta: 88.565,  gap_z: 78.951,  gap_rad: 689.546,  loss: -3146.364,  ess: 5.747
DB_eta: 22.099,  DB_z: 26.376,  DB_rad: 820.796,  gap_eta: 87.402,  gap_z: 77.609,  gap_rad: 736.406,  loss: -3136.418,  ess: 5.743
DB_eta: 21.255,  DB_z: 24.388,  DB_rad: 800.570,  gap_eta: 86.738,  gap_z: 76.914,  gap_rad: 717.567,  loss: -3130.587,  ess: 5.777
