EUBO	ELBO	ESS
300.013	-1047296.489	-1053596.769	1.227
296.766	-1055772.228	-1062004.306	1.229
298.286	-1058879.009	-1065143.016	1.229
299.850	-1059420.501	-1065717.342	1.231
298.057	-1061037.134	-1067296.324	1.233
300.381	-1063092.177	-1069400.183	1.235
291.192	-1066606.209	-1072721.279	1.231
299.706	-1064923.532	-1071217.362	1.231
299.092	-1061181.893	-1067462.823	1.233
299.341	-1060239.168	-1066525.324	1.233
303.023	-1058282.065	-1064645.560	1.236
304.298	-1059532.823	-1065923.077	1.232
297.523	-1062102.017	-1068349.999	1.235
299.337	-1061002.423	-1067288.505	1.234
299.166	-1066111.981	-1072394.472	1.233
300.488	-1065727.323	-1072037.591	1.232
299.467	-1061938.503	-1068227.302	1.235
294.615	-1064961.666	-1071148.577	1.237
296.482	-1064287.655	-1070513.774	1.232
296.300	-1062044.854	-1068267.159	1.236
296.744	-1060877.906	-1067109.538	1.233
293.109	-1058410.342	-1064565.639	1.235
292.801	-1058439.474	-1064588.299	1.236
302.958	-1057706.212	-1064068.349	1.241
295.981	-1057710.707	-1063926.308	1.242
302.910	-1054549.235	-1060910.349	1.236
297.763	-1054143.788	-1060396.800	1.237
292.224	-1051221.568	-1057358.284	1.241
294.311	-1048523.140	-1054703.670	1.240
295.989	-1044769.233	-1050985.002	1.238
295.023	-1048720.641	-1054916.118	1.236
292.993	-1047781.174	-1053934.016	1.241
293.148	-1044311.821	-1050467.927	1.238
294.337	-1040365.952	-1046547.032	1.241
289.781	-1036121.830	-1042207.234	1.243
287.427	-1036958.120	-1042994.084	1.243
300.140	-1034344.377	-1040647.316	1.244
292.208	-1036358.052	-1042494.434	1.245
291.860	-1038505.364	-1044634.422	1.243
292.550	-1042963.297	-1049106.846	1.248
291.489	-1041549.113	-1047670.378	1.246
297.402	-1041237.542	-1047482.990	1.242
296.452	-1042289.297	-1048514.761	1.243
295.818	-1041211.841	-1047424.006	1.243
290.372	-1042436.879	-1048534.701	1.249
289.850	-1039707.320	-1045794.163	1.245
293.859	-1041889.656	-1048060.690	1.243
291.332	-1044421.075	-1050539.031	1.242
287.921	-1044145.738	-1050192.087	1.245
291.850	-1039696.269	-1045825.129	1.251
286.123	-1038692.439	-1044701.004	1.246
292.470	-1040783.892	-1046925.755	1.243
292.060	-1041041.156	-1047174.397	1.250
289.350	-1037891.958	-1043968.306	1.247
293.097	-1035025.941	-1041180.983	1.247
290.070	-1036620.988	-1042712.466	1.249
291.287	-1032634.888	-1038751.903	1.250
290.397	-1030001.312	-1036099.651	1.249
289.596	-1026909.794	-1032991.299	1.251
288.175	-1024210.773	-1030262.443	1.249
292.007	-1023463.034	-1029595.174	1.252
290.873	-1024857.221	-1030965.558	1.253
287.944	-1020805.386	-1026852.197	1.253
294.026	-1017043.993	-1023218.527	1.250
293.236	-1021925.395	-1028083.371	1.255
298.885	-1025336.401	-1031612.976	1.256
293.775	-1021613.481	-1027782.771	1.253
289.325	-1018630.966	-1024706.801	1.251
294.080	-1018581.983	-1024757.661	1.253
286.542	-1015766.821	-1021784.193	1.256
292.045	-1010824.422	-1016957.357	1.257
287.595	-1008422.759	-1014462.248	1.257
287.020	-1008998.960	-1015026.399	1.260
287.480	-1014185.067	-1020222.155	1.259
289.385	-1018711.178	-1024788.266	1.259
290.656	-1016894.905	-1022998.688	1.257
289.008	-1020872.116	-1026941.298	1.258
289.639	-1018147.996	-1024230.411	1.256
284.105	-1016784.470	-1022750.666	1.258
289.530	-1008757.124	-1014837.258	1.264
283.933	-1007015.213	-1012977.787	1.257
283.089	-1004101.517	-1010046.394	1.264
287.961	-1000522.094	-1006569.284	1.267
283.433	-1000960.179	-1006912.277	1.259
287.591	-1002829.753	-1008869.161	1.268
285.885	-1003286.586	-1009290.173	1.267
284.982	-1005490.628	-1011475.262	1.265
291.442	-1002236.230	-1008356.494	1.263
284.766	-1000435.301	-1006415.396	1.261
283.236	-996544.684	-1002492.642	1.261
280.274	-997902.971	-1003788.731	1.261
288.481	-999882.265	-1005940.363	1.263
288.593	-990123.054	-996183.504	1.272
284.364	-984666.356	-990637.993	1.263
285.809	-980235.349	-986237.328	1.265
286.430	-980307.736	-986322.767	1.272
287.390	-976162.144	-982197.339	1.268
287.648	-973244.519	-979285.116	1.267
280.274	-972753.233	-978638.993	1.266
282.653	-969651.280	-975587.014	1.261
281.709	-966913.902	-972829.781	1.274
278.875	-965809.771	-971666.155	1.270
283.712	-964509.221	-970467.168	1.271
281.018	-963430.154	-969331.554	1.272
280.655	-959201.435	-965095.202	1.271
287.402	-955742.704	-961778.147	1.271
281.120	-951744.071	-957647.596	1.271
282.550	-948582.762	-954516.319	1.269
283.428	-946546.779	-952498.761	1.273
280.248	-943355.447	-949240.661	1.273
286.011	-938248.247	-944254.468	1.276
280.145	-936197.391	-942080.424	1.278
279.114	-934578.910	-940440.282	1.271
281.021	-933712.229	-939613.657	1.275
280.190	-930694.794	-936578.779	1.272
281.260	-928218.628	-934125.087	1.277
278.784	-925618.446	-931472.914	1.275
279.274	-922621.071	-928485.818	1.275
286.923	-924035.061	-930060.438	1.273
275.769	-923193.844	-928984.998	1.275
288.081	-923473.578	-929523.273	1.278
281.524	-920854.452	-926766.454	1.275
276.768	-918102.911	-923915.056	1.272
278.127	-918303.189	-924143.860	1.276
280.268	-915971.338	-921856.976	1.270
277.579	-914353.818	-920182.968	1.270
277.623	-918922.059	-924752.145	1.273
285.152	-921469.142	-927457.349	1.272
280.866	-923787.891	-929686.067	1.278
274.168	-922221.205	-927978.726	1.274
276.128	-920670.034	-926468.719	1.275
273.299	-917617.232	-923356.516	1.280
272.926	-914094.013	-919825.458	1.277
275.487	-911594.478	-917379.719	1.280
274.623	-905855.555	-911622.634	1.280
273.472	-906332.950	-912075.867	1.280
277.910	-909441.132	-915277.241	1.278
275.357	-909527.509	-915309.988	1.280
277.128	-911378.589	-917198.289	1.276
272.754	-911625.701	-917353.537	1.281
275.944	-914364.416	-920159.247	1.279
276.595	-911828.472	-917636.963	1.281
271.507	-913964.511	-919666.149	1.283
277.237	-914467.271	-920289.263	1.280
270.354	-910311.034	-915988.457	1.274
278.345	-906801.522	-912646.771	1.282
274.092	-904032.016	-909787.956	1.277
277.038	-898392.182	-904209.976	1.278
272.044	-900006.473	-905719.401	1.284
271.348	-898552.499	-904250.796	1.278
268.845	-895889.059	-901534.796	1.280
274.068	-893516.210	-899271.652	1.282
276.733	-893721.449	-899532.833	1.279
271.348	-895225.113	-900923.413	1.286
274.287	-895013.262	-900773.302	1.284
272.406	-895405.060	-901125.589	1.284
276.213	-896396.987	-902197.454	1.275
274.247	-894716.604	-900475.774	1.283
275.588	-898054.045	-903841.400	1.280
271.407	-897345.098	-903044.661	1.280
271.999	-896349.562	-902061.545	1.276
269.638	-894129.576	-899791.961	1.287
271.886	-894203.175	-899912.794	1.279
277.396	-897817.091	-903642.406	1.283
272.453	-897961.617	-903683.116	1.287
269.316	-897167.917	-902823.561	1.284
272.313	-896572.052	-902290.613	1.276
268.768	-897418.312	-903062.445	1.288
275.452	-889839.149	-895623.637	1.283
270.013	-888173.215	-893843.510	1.289
270.019	-886045.282	-891715.679	1.286
275.536	-884047.767	-889834.024	1.286
272.708	-880778.575	-886505.454	1.284
267.800	-880824.488	-886448.286	1.285
269.919	-881672.434	-887340.748	1.288
268.298	-884299.194	-889933.435	1.289
270.141	-882207.241	-887880.186	1.291
266.583	-881013.351	-886611.601	1.286
265.086	-878686.861	-884253.672	1.287
265.057	-877002.669	-882568.866	1.292
264.684	-878463.322	-884021.671	1.291
265.957	-881903.291	-887488.391	1.286
263.285	-879575.530	-885104.506	1.289
267.852	-882332.699	-887957.580	1.290
267.715	-879121.152	-884743.156	1.287
269.958	-877152.174	-882821.294	1.291
266.055	-875454.429	-881041.594	1.287
269.099	-872503.745	-878154.821	1.298
268.610	-871428.339	-877069.141	1.297
266.480	-870249.872	-875845.939	1.288
263.514	-874362.224	-879896.009	1.295
268.672	-873381.055	-879023.174	1.289
269.553	-869043.799	-874704.402	1.294
266.005	-866071.395	-871657.504	1.291
266.555	-865686.496	-871284.162	1.295
268.797	-865365.696	-871010.441	1.288
264.189	-863464.300	-869012.267	1.300
264.586	-861334.353	-866890.642	1.291
261.659	-860804.272	-866299.113	1.293
259.376	-859637.569	-865084.465	1.294
261.372	-857878.256	-863367.063	1.300
265.854	-858334.154	-863917.086	1.299
263.351	-856310.742	-861841.113	1.300
261.836	-856074.151	-861572.694	1.294
261.729	-852313.838	-857810.148	1.300
259.248	-852932.884	-858377.083	1.297
263.939	-854917.089	-860459.802	1.298
263.652	-856357.562	-861894.244	1.300
264.855	-856338.771	-861900.708	1.301
259.103	-854796.637	-860237.793	1.304
260.889	-854247.713	-859726.368	1.303
266.960	-851241.329	-856847.494	1.301
261.328	-849716.912	-855204.797	1.299
263.549	-849799.152	-855333.684	1.303
261.843	-846931.856	-852430.559	1.309
263.909	-847464.463	-853006.544	1.306
267.286	-844391.345	-850004.346	1.308
259.617	-841592.811	-847044.768	1.300
259.021	-840917.494	-846356.933	1.300
256.739	-839374.115	-844765.642	1.306
255.816	-839240.542	-844612.679	1.309
258.748	-838464.591	-843898.287	1.311
262.240	-837778.837	-843285.880	1.301
258.866	-834783.499	-840219.692	1.304
260.556	-835873.228	-841344.912	1.313
259.885	-835418.214	-840875.809	1.312
258.028	-834067.034	-839485.620	1.314
258.823	-833574.559	-839009.845	1.314
258.898	-830920.466	-836357.322	1.306
260.056	-831280.171	-836741.355	1.307
257.019	-829967.000	-835364.396	1.305
265.614	-830703.538	-836281.430	1.318
259.736	-834180.447	-839634.901	1.306
254.913	-836091.129	-841444.318	1.308
260.196	-835595.489	-841059.606	1.312
255.805	-834121.919	-839493.830	1.314
260.112	-831136.192	-836598.532	1.303
260.530	-830229.991	-835701.115	1.317
257.483	-829625.302	-835032.443	1.308
255.585	-830268.248	-835635.525	1.313
254.044	-828739.838	-834074.762	1.313
253.836	-829297.089	-834627.657	1.314
255.349	-827486.767	-832849.099	1.318
256.894	-825477.124	-830871.886	1.313
255.872	-826598.858	-831972.175	1.312
254.400	-827503.530	-832845.921	1.323
253.982	-826420.909	-831754.536	1.316
259.046	-826315.745	-831755.709	1.316
254.504	-824623.507	-829968.080	1.312
254.499	-823262.662	-828607.134	1.316
253.505	-819741.234	-825064.839	1.315
255.167	-823823.525	-829182.019	1.317
255.027	-824789.273	-830144.834	1.318
254.955	-824492.479	-829846.542	1.322
250.698	-825434.089	-830698.757	1.321
250.820	-825465.121	-830732.351	1.319
250.783	-824983.190	-830249.623	1.321
248.906	-822617.588	-827844.614	1.321
251.187	-818299.215	-823574.141	1.324
253.151	-819096.412	-824412.592	1.327
251.362	-816134.961	-821413.567	1.322
258.074	-812989.069	-818408.633	1.323
251.059	-814690.677	-819962.906	1.318
253.662	-818609.429	-823936.327	1.327
256.979	-820058.651	-825455.209	1.323
249.600	-817589.032	-822830.626	1.316
251.634	-815518.414	-820802.723	1.324
246.796	-818436.661	-823619.375	1.334
248.574	-816810.580	-822030.637	1.330
250.411	-814152.888	-819411.519	1.323
249.103	-818114.174	-823345.347	1.325
250.131	-818231.840	-823484.603	1.324
253.619	-817432.355	-822758.343	1.331
249.255	-816691.926	-821926.294	1.329
256.971	-821406.658	-826803.056	1.334
249.607	-823013.341	-828255.078	1.323
253.776	-823853.195	-829182.483	1.329
245.225	-823568.257	-828717.967	1.332
250.031	-821669.255	-826919.899	1.333
252.797	-820982.586	-826291.336	1.334
252.723	-820085.106	-825392.283	1.330
246.937	-821751.365	-826937.036	1.335
249.190	-822458.873	-827691.871	1.332
251.491	-823950.509	-829231.826	1.332
253.487	-823983.241	-829306.462	1.331
253.185	-824469.062	-829785.935	1.333
259.533	-825470.954	-830921.137	1.341
250.898	-827457.116	-832725.967	1.332
249.925	-827480.691	-832729.137	1.332
250.931	-826267.896	-831537.438	1.326
249.300	-823540.015	-828775.318	1.323
245.910	-827758.400	-832922.507	1.340
246.895	-826692.315	-831877.111	1.331
247.596	-828458.774	-833658.277	1.335
246.273	-826995.527	-832167.256	1.336
245.182	-826462.426	-831611.240	1.335
247.824	-827109.937	-832314.243	1.343
250.047	-826848.454	-832099.436	1.341
248.887	-825038.986	-830265.627	1.341
248.693	-825177.247	-830399.799	1.341
250.226	-827093.696	-832348.439	1.337
250.083	-826123.925	-831375.666	1.339
245.702	-824572.196	-829731.940	1.332
249.491	-827917.277	-833156.576	1.341
248.151	-828535.526	-833746.703	1.336
247.529	-826662.411	-831860.526	1.346
246.688	-826449.376	-831629.817	1.339
248.642	-827639.429	-832860.917	1.347
248.462	-826316.641	-831534.339	1.339
246.539	-827158.190	-832335.500	1.346
244.832	-826029.746	-831171.211	1.351
249.119	-825022.266	-830253.765	1.345
243.245	-825478.559	-830586.704	1.346
243.105	-826085.172	-831190.374	1.349
240.065	-826251.204	-831292.574	1.345
243.797	-830290.838	-835410.569	1.351
244.016	-832084.941	-837209.272	1.350
244.388	-832734.083	-837866.227	1.346
244.954	-832959.948	-838103.979	1.345
244.370	-832849.511	-837981.283	1.350
243.846	-830583.587	-835704.363	1.360
244.723	-827839.456	-832978.630	1.342
244.579	-825235.465	-830371.639	1.347
244.926	-825507.764	-830651.209	1.348
245.417	-828885.297	-834039.059	1.352
243.983	-833603.574	-838727.217	1.356
242.204	-830571.424	-835657.693	1.352
240.300	-835458.230	-840504.543	1.352
240.828	-837074.878	-842132.264	1.360
240.997	-842467.838	-847528.788	1.363
245.001	-843821.114	-848966.132	1.365
247.145	-843899.792	-849089.825	1.360
243.792	-844234.898	-849354.528	1.363
243.197	-841724.524	-846831.674	1.355
241.848	-837297.593	-842376.395	1.358
239.660	-836490.651	-841523.512	1.363
240.397	-838811.601	-843859.941	1.357
242.065	-842000.581	-847083.958	1.366
244.745	-839221.990	-844361.644	1.355
242.227	-839434.754	-844521.521	1.361
238.617	-840755.025	-845765.986	1.361
242.499	-838265.110	-843357.590	1.373
241.091	-835693.589	-840756.507	1.368
241.215	-835156.682	-840222.190	1.366
237.876	-835447.714	-840443.101	1.357
238.470	-836171.507	-841179.381	1.357
238.765	-833641.156	-838655.218	1.353
242.971	-835352.025	-840454.425	1.358
240.599	-832471.617	-837524.193	1.366
238.545	-828034.919	-833044.365	1.364
242.280	-831250.787	-836338.669	1.368
239.089	-832608.632	-837629.507	1.360
244.970	-829768.961	-834913.329	1.363
242.981	-827148.573	-832251.164	1.361
239.405	-826205.057	-831232.566	1.361
241.999	-827878.202	-832960.174	1.366
241.324	-825548.055	-830615.851	1.363
240.277	-825131.106	-830176.917	1.374
243.656	-824012.404	-829129.172	1.369
241.850	-828025.232	-833104.078	1.364
241.903	-827360.139	-832440.104	1.365
244.715	-824587.426	-829726.434	1.372
243.786	-829663.459	-834782.958	1.375
240.996	-831235.612	-836296.534	1.378
241.865	-827939.596	-833018.757	1.373
239.422	-825484.744	-830512.610	1.371
238.915	-824567.227	-829584.460	1.365
241.675	-820707.816	-825782.984	1.370
236.154	-820830.719	-825789.941	1.367
237.566	-821114.052	-826102.936	1.373
237.445	-824006.689	-828993.030	1.374
236.357	-825541.154	-830504.637	1.372
238.092	-821273.120	-826273.068	1.367
246.306	-821857.243	-827029.677	1.369
240.518	-825611.954	-830662.848	1.377
242.855	-827502.822	-832602.776	1.372
239.079	-827077.371	-832098.047	1.371
244.061	-829862.110	-834987.390	1.375
236.881	-826531.905	-831506.391	1.366
241.529	-825729.694	-830801.794	1.367
236.690	-828657.622	-833628.125	1.364
239.683	-827563.831	-832597.158	1.384
235.200	-823358.086	-828297.287	1.380
236.782	-822781.088	-827753.514	1.378
237.784	-829134.733	-834128.204	1.378
237.771	-830185.090	-835178.272	1.391
237.707	-830261.211	-835253.047	1.382
236.029	-834063.986	-839020.588	1.373
237.975	-831255.477	-836252.942	1.388
235.732	-834919.248	-839869.614	1.386
242.672	-837355.987	-842452.091	1.380
242.974	-832338.358	-837440.802	1.371
237.776	-831052.397	-836045.688	1.384
238.463	-827188.760	-832196.489	1.385
238.658	-823255.669	-828267.495	1.373
239.234	-821493.391	-826517.304	1.380
242.217	-822991.764	-828078.310	1.381
236.696	-824584.263	-829554.891	1.368
241.397	-824761.410	-829830.759	1.375
237.719	-830486.934	-835479.030	1.372
237.027	-829201.449	-834179.021	1.386
236.736	-823467.867	-828439.318	1.385
236.919	-822459.357	-827434.671	1.373
235.633	-823468.099	-828416.402	1.389
235.861	-827073.427	-832026.494	1.377
238.161	-825164.251	-830165.641	1.387
239.221	-823653.257	-828676.891	1.378
237.661	-825016.057	-830006.931	1.388
237.303	-822600.116	-827583.481	1.378
239.702	-819978.506	-825012.238	1.377
235.048	-821136.664	-826072.676	1.381
237.669	-818801.979	-823793.009	1.380
239.440	-817070.147	-822098.387	1.386
234.124	-822034.244	-826950.858	1.383
235.652	-829581.805	-834530.496	1.393
233.208	-831888.806	-836786.186	1.388
236.018	-839175.052	-844131.435	1.386
236.055	-842754.511	-847711.658	1.387
242.990	-837943.671	-843046.462	1.407
236.694	-838563.623	-843534.184	1.386
235.566	-840125.751	-845072.642	1.398
236.302	-842380.207	-847342.542	1.384
239.322	-839747.437	-844773.197	1.378
239.760	-845302.911	-850337.875	1.388
235.603	-846779.190	-851726.831	1.390
236.581	-844281.324	-849249.522	1.383
235.696	-844722.159	-849671.776	1.393
234.455	-843600.208	-848523.761	1.381
240.801	-840999.588	-846056.421	1.391
236.966	-848682.879	-853659.171	1.389
236.788	-847167.091	-852139.640	1.395
235.643	-847982.236	-852930.726	1.395
236.928	-854459.432	-859434.917	1.394
234.067	-865888.739	-870804.143	1.402
234.509	-868002.201	-872926.901	1.402
234.719	-862531.083	-867460.174	1.395
236.176	-860507.634	-865467.325	1.397
240.810	-860316.678	-865373.684	1.397
240.651	-854993.553	-860047.227	1.397
237.637	-854880.737	-859871.120	1.393
236.903	-856230.325	-861205.281	1.400
232.207	-858853.121	-863729.450	1.393
229.477	-858618.929	-863437.951	1.398
231.730	-859676.595	-864542.917	1.402
237.711	-855180.559	-860172.502	1.385
233.633	-852378.264	-857284.554	1.401
232.473	-854241.971	-859123.916	1.393
236.643	-850530.354	-855499.859	1.391
242.170	-844568.961	-849654.544	1.406
233.648	-842332.171	-847238.793	1.386
231.824	-843033.463	-847901.754	1.413
238.514	-845329.871	-850338.679	1.396
232.976	-842560.242	-847452.739	1.403
232.781	-849426.395	-854314.796	1.398
233.970	-853475.133	-858388.499	1.404
235.580	-854442.786	-859389.968	1.403
229.931	-855248.407	-860076.968	1.391
228.615	-854848.426	-859649.341	1.401
234.461	-851007.792	-855931.464	1.406
230.517	-848514.539	-853355.382	1.409
228.939	-851332.122	-856139.834	1.397
233.358	-849355.814	-854256.328	1.395
230.104	-857208.926	-862041.111	1.399
230.885	-860598.571	-865447.154	1.413
232.356	-863584.086	-868463.559	1.406
233.888	-865092.329	-870003.981	1.407
233.199	-868082.408	-872979.593	1.401
232.090	-881358.705	-886232.595	1.413
229.455	-890710.916	-895529.479	1.392
227.075	-892921.571	-897690.136	1.397
231.801	-891639.116	-896506.934	1.411
228.242	-890293.318	-895086.401	1.406
228.039	-894864.003	-899652.806	1.413
233.840	-904173.063	-909083.696	1.403
228.259	-899436.121	-904229.571	1.403
225.756	-896032.709	-900773.584	1.407
226.285	-894612.339	-899364.309	1.420
227.921	-899858.306	-904644.649	1.413
224.368	-900342.330	-905054.068	1.428
226.581	-900447.687	-905205.881	1.422
228.684	-895666.514	-900468.871	1.411
