symKL_DB_eta: 326.594,  symKL_DB_z: 117.509,  gap_eta: 257.288,  gap_z: 121.262,  loss: -4263.400,  ess: 5.745
symKL_DB_eta: 258.898,  symKL_DB_z: 115.387,  gap_eta: 251.607,  gap_z: 119.537,  loss: -4136.788,  ess: 5.744
symKL_DB_eta: 370.156,  symKL_DB_z: 133.280,  gap_eta: 249.655,  gap_z: 131.180,  loss: -4268.451,  ess: 5.753
symKL_DB_eta: 395.775,  symKL_DB_z: 112.100,  gap_eta: 240.471,  gap_z: 118.405,  loss: -4562.232,  ess: 5.754
symKL_DB_eta: 238.361,  symKL_DB_z: 128.208,  gap_eta: 232.200,  gap_z: 133.426,  loss: -4449.764,  ess: 5.759
symKL_DB_eta: 232.798,  symKL_DB_z: 98.911,  gap_eta: 226.062,  gap_z: 104.261,  loss: -4208.956,  ess: 5.764
symKL_DB_eta: 395.615,  symKL_DB_z: 108.157,  gap_eta: 222.452,  gap_z: 113.398,  loss: -4455.518,  ess: 5.774
symKL_DB_eta: 224.926,  symKL_DB_z: 114.154,  gap_eta: 218.069,  gap_z: 120.306,  loss: -4310.925,  ess: 5.775
symKL_DB_eta: 218.134,  symKL_DB_z: 97.110,  gap_eta: 210.923,  gap_z: 101.941,  loss: -4382.975,  ess: 5.782
symKL_DB_eta: 218.265,  symKL_DB_z: 107.024,  gap_eta: 208.674,  gap_z: 111.586,  loss: -4359.871,  ess: 5.789
symKL_DB_eta: 230.412,  symKL_DB_z: 89.437,  gap_eta: 204.157,  gap_z: 93.388,  loss: -4218.761,  ess: 5.797
symKL_DB_eta: 205.794,  symKL_DB_z: 83.818,  gap_eta: 198.429,  gap_z: 88.891,  loss: -4350.687,  ess: 5.799
symKL_DB_eta: 206.289,  symKL_DB_z: 94.495,  gap_eta: 195.337,  gap_z: 100.294,  loss: -4256.821,  ess: 5.804
symKL_DB_eta: 198.915,  symKL_DB_z: 89.267,  gap_eta: 191.776,  gap_z: 94.768,  loss: -4311.655,  ess: 5.808
symKL_DB_eta: 194.166,  symKL_DB_z: 86.695,  gap_eta: 186.804,  gap_z: 87.428,  loss: -3974.507,  ess: 5.815
symKL_DB_eta: 224.558,  symKL_DB_z: 97.439,  gap_eta: 183.325,  gap_z: 90.367,  loss: -4184.356,  ess: 5.818
symKL_DB_eta: 187.332,  symKL_DB_z: 66.028,  gap_eta: 180.243,  gap_z: 71.807,  loss: -4004.256,  ess: 5.824
symKL_DB_eta: 185.172,  symKL_DB_z: 76.364,  gap_eta: 178.150,  gap_z: 81.743,  loss: -4272.130,  ess: 5.820
symKL_DB_eta: 193.244,  symKL_DB_z: 106.615,  gap_eta: 174.275,  gap_z: 107.095,  loss: -4478.266,  ess: 5.831
symKL_DB_eta: 178.499,  symKL_DB_z: 91.326,  gap_eta: 171.229,  gap_z: 96.808,  loss: -4145.588,  ess: 5.842
symKL_DB_eta: 188.736,  symKL_DB_z: 70.589,  gap_eta: 170.616,  gap_z: 71.775,  loss: -4032.116,  ess: 5.841
symKL_DB_eta: 173.015,  symKL_DB_z: 66.608,  gap_eta: 165.463,  gap_z: 72.407,  loss: -4269.723,  ess: 5.844
symKL_DB_eta: 174.858,  symKL_DB_z: 66.485,  gap_eta: 161.965,  gap_z: 68.870,  loss: -4133.547,  ess: 5.845
symKL_DB_eta: 172.681,  symKL_DB_z: 74.390,  gap_eta: 160.836,  gap_z: 75.269,  loss: -4231.312,  ess: 5.855
symKL_DB_eta: 164.955,  symKL_DB_z: 77.215,  gap_eta: 157.607,  gap_z: 82.746,  loss: -4137.467,  ess: 5.859
symKL_DB_eta: 165.519,  symKL_DB_z: 71.812,  gap_eta: 155.006,  gap_z: 76.790,  loss: -4146.310,  ess: 5.862
symKL_DB_eta: 169.972,  symKL_DB_z: 64.941,  gap_eta: 156.281,  gap_z: 69.005,  loss: -3932.951,  ess: 5.868
symKL_DB_eta: 155.759,  symKL_DB_z: 63.517,  gap_eta: 148.804,  gap_z: 68.512,  loss: -3771.587,  ess: 5.873
symKL_DB_eta: 170.389,  symKL_DB_z: 54.524,  gap_eta: 147.961,  gap_z: 60.244,  loss: -3950.900,  ess: 5.875
symKL_DB_eta: 154.058,  symKL_DB_z: 53.976,  gap_eta: 146.745,  gap_z: 59.270,  loss: -3866.861,  ess: 5.884
symKL_DB_eta: 152.674,  symKL_DB_z: 52.205,  gap_eta: 145.238,  gap_z: 57.406,  loss: -3988.688,  ess: 5.883
symKL_DB_eta: 152.019,  symKL_DB_z: 62.005,  gap_eta: 142.264,  gap_z: 67.049,  loss: -3892.901,  ess: 5.891
symKL_DB_eta: 156.225,  symKL_DB_z: 45.711,  gap_eta: 140.386,  gap_z: 51.404,  loss: -3817.288,  ess: 5.897
symKL_DB_eta: 157.077,  symKL_DB_z: 57.797,  gap_eta: 138.885,  gap_z: 62.240,  loss: -3832.550,  ess: 5.902
symKL_DB_eta: 144.021,  symKL_DB_z: 48.276,  gap_eta: 136.623,  gap_z: 54.039,  loss: -3856.779,  ess: 5.899
symKL_DB_eta: 143.028,  symKL_DB_z: 52.349,  gap_eta: 135.526,  gap_z: 57.933,  loss: -3946.916,  ess: 5.900
symKL_DB_eta: 157.549,  symKL_DB_z: 46.033,  gap_eta: 131.686,  gap_z: 51.004,  loss: -3840.720,  ess: 5.912
symKL_DB_eta: 139.492,  symKL_DB_z: 64.066,  gap_eta: 132.076,  gap_z: 57.154,  loss: -4054.143,  ess: 5.912
symKL_DB_eta: 269.541,  symKL_DB_z: 46.579,  gap_eta: 130.202,  gap_z: 47.695,  loss: -3954.816,  ess: 5.916
symKL_DB_eta: 185.416,  symKL_DB_z: 47.922,  gap_eta: 127.360,  gap_z: 52.605,  loss: -3859.540,  ess: 5.917
symKL_DB_eta: 132.732,  symKL_DB_z: 54.644,  gap_eta: 125.207,  gap_z: 60.492,  loss: -3901.862,  ess: 5.925
symKL_DB_eta: 131.875,  symKL_DB_z: 52.257,  gap_eta: 122.435,  gap_z: 57.820,  loss: -3823.559,  ess: 5.927
symKL_DB_eta: 129.897,  symKL_DB_z: 47.062,  gap_eta: 122.208,  gap_z: 52.740,  loss: -3796.556,  ess: 5.932
symKL_DB_eta: 130.298,  symKL_DB_z: 42.960,  gap_eta: 121.020,  gap_z: 45.469,  loss: -3673.150,  ess: 5.936
symKL_DB_eta: 125.922,  symKL_DB_z: 38.204,  gap_eta: 118.627,  gap_z: 43.043,  loss: -3656.263,  ess: 5.938
symKL_DB_eta: 133.216,  symKL_DB_z: 39.921,  gap_eta: 116.731,  gap_z: 41.836,  loss: -3695.287,  ess: 5.941
symKL_DB_eta: 125.424,  symKL_DB_z: 41.126,  gap_eta: 116.568,  gap_z: 45.611,  loss: -3564.716,  ess: 5.945
symKL_DB_eta: 129.979,  symKL_DB_z: 37.631,  gap_eta: 115.372,  gap_z: 40.496,  loss: -3776.140,  ess: 5.947
symKL_DB_eta: 122.016,  symKL_DB_z: 41.435,  gap_eta: 114.119,  gap_z: 47.068,  loss: -3811.695,  ess: 5.954
symKL_DB_eta: 124.434,  symKL_DB_z: 43.390,  gap_eta: 112.457,  gap_z: 48.651,  loss: -3668.506,  ess: 5.948
symKL_DB_eta: 152.783,  symKL_DB_z: 36.546,  gap_eta: 112.425,  gap_z: 40.323,  loss: -3877.046,  ess: 5.957
symKL_DB_eta: 121.303,  symKL_DB_z: 31.552,  gap_eta: 110.375,  gap_z: 37.060,  loss: -3605.747,  ess: 5.956
symKL_DB_eta: 115.047,  symKL_DB_z: 40.787,  gap_eta: 107.077,  gap_z: 45.163,  loss: -3629.722,  ess: 5.969
symKL_DB_eta: 116.288,  symKL_DB_z: 36.003,  gap_eta: 107.233,  gap_z: 41.099,  loss: -3738.419,  ess: 5.959
symKL_DB_eta: 173.344,  symKL_DB_z: 38.143,  gap_eta: 105.781,  gap_z: 43.670,  loss: -3890.997,  ess: 5.969
symKL_DB_eta: 121.983,  symKL_DB_z: 31.100,  gap_eta: 105.159,  gap_z: 35.655,  loss: -3517.596,  ess: 5.974
symKL_DB_eta: 115.507,  symKL_DB_z: 37.499,  gap_eta: 105.535,  gap_z: 39.772,  loss: -3646.735,  ess: 5.969
