symKL_DB_eta: 4681.758,  symKL_DB_z: 114.371,  gap_eta: 4668.949,  gap_z: 95.383,  loss: -6395.597,  ess: 5.460
symKL_DB_eta: 4297.646,  symKL_DB_z: 109.966,  gap_eta: 4268.441,  gap_z: 90.849,  loss: -6252.659,  ess: 5.463
symKL_DB_eta: 4274.496,  symKL_DB_z: 104.770,  gap_eta: 4242.878,  gap_z: 84.953,  loss: -6205.850,  ess: 5.465
symKL_DB_eta: 4290.689,  symKL_DB_z: 105.615,  gap_eta: 4278.276,  gap_z: 86.799,  loss: -6076.773,  ess: 5.471
symKL_DB_eta: 4344.373,  symKL_DB_z: 101.527,  gap_eta: 4310.254,  gap_z: 82.695,  loss: -6233.168,  ess: 5.473
symKL_DB_eta: 4313.264,  symKL_DB_z: 99.394,  gap_eta: 4287.694,  gap_z: 79.378,  loss: -6071.140,  ess: 5.477
symKL_DB_eta: 4326.076,  symKL_DB_z: 98.137,  gap_eta: 4269.337,  gap_z: 77.089,  loss: -6017.376,  ess: 5.479
symKL_DB_eta: 4312.575,  symKL_DB_z: 102.226,  gap_eta: 4200.365,  gap_z: 81.970,  loss: -6046.963,  ess: 5.481
symKL_DB_eta: 4247.942,  symKL_DB_z: 91.887,  gap_eta: 4133.072,  gap_z: 74.254,  loss: -5857.027,  ess: 5.484
symKL_DB_eta: 4097.966,  symKL_DB_z: 84.851,  gap_eta: 4061.348,  gap_z: 68.848,  loss: -5773.050,  ess: 5.487
symKL_DB_eta: 4181.137,  symKL_DB_z: 85.828,  gap_eta: 4146.018,  gap_z: 68.884,  loss: -5873.512,  ess: 5.490
symKL_DB_eta: 4063.858,  symKL_DB_z: 90.261,  gap_eta: 4026.355,  gap_z: 65.161,  loss: -5717.935,  ess: 5.492
symKL_DB_eta: 4336.279,  symKL_DB_z: 85.587,  gap_eta: 4265.847,  gap_z: 63.418,  loss: -5759.980,  ess: 5.495
symKL_DB_eta: 4441.514,  symKL_DB_z: 81.195,  gap_eta: 4234.819,  gap_z: 63.567,  loss: -5660.150,  ess: 5.498
symKL_DB_eta: 4297.132,  symKL_DB_z: 80.403,  gap_eta: 4174.542,  gap_z: 62.268,  loss: -5634.726,  ess: 5.503
symKL_DB_eta: 4213.662,  symKL_DB_z: 76.790,  gap_eta: 4115.480,  gap_z: 58.817,  loss: -5434.584,  ess: 5.504
symKL_DB_eta: 4488.885,  symKL_DB_z: 80.566,  gap_eta: 4328.544,  gap_z: 59.264,  loss: -5554.668,  ess: 5.506
symKL_DB_eta: 4658.635,  symKL_DB_z: 79.992,  gap_eta: 4298.826,  gap_z: 54.602,  loss: -5313.343,  ess: 5.510
symKL_DB_eta: 4594.733,  symKL_DB_z: 82.801,  gap_eta: 4349.952,  gap_z: 60.633,  loss: -5297.552,  ess: 5.511
symKL_DB_eta: 4732.133,  symKL_DB_z: 77.355,  gap_eta: 4454.919,  gap_z: 54.096,  loss: -5088.880,  ess: 5.516
symKL_DB_eta: 4803.902,  symKL_DB_z: 82.046,  gap_eta: 4462.044,  gap_z: 51.609,  loss: -4995.279,  ess: 5.518
symKL_DB_eta: 4836.520,  symKL_DB_z: 81.306,  gap_eta: 4499.072,  gap_z: 48.616,  loss: -4770.290,  ess: 5.522
symKL_DB_eta: 4718.712,  symKL_DB_z: 75.490,  gap_eta: 4321.007,  gap_z: 49.173,  loss: -4798.441,  ess: 5.526
symKL_DB_eta: 4520.898,  symKL_DB_z: 94.543,  gap_eta: 4177.804,  gap_z: 46.969,  loss: -4611.515,  ess: 5.528
symKL_DB_eta: 4817.223,  symKL_DB_z: 89.535,  gap_eta: 4276.187,  gap_z: 53.871,  loss: -4644.856,  ess: 5.527
symKL_DB_eta: 4792.479,  symKL_DB_z: 101.132,  gap_eta: 4417.350,  gap_z: 46.272,  loss: -4491.559,  ess: 5.533
symKL_DB_eta: 4865.832,  symKL_DB_z: 91.216,  gap_eta: 4229.292,  gap_z: 45.619,  loss: -4398.778,  ess: 5.536
symKL_DB_eta: 4553.350,  symKL_DB_z: 76.328,  gap_eta: 3924.204,  gap_z: 44.793,  loss: -4427.964,  ess: 5.542
symKL_DB_eta: 4700.864,  symKL_DB_z: 83.145,  gap_eta: 4063.487,  gap_z: 43.067,  loss: -4316.119,  ess: 5.544
symKL_DB_eta: 4302.901,  symKL_DB_z: 81.567,  gap_eta: 3997.115,  gap_z: 42.679,  loss: -4215.485,  ess: 5.548
symKL_DB_eta: 4702.182,  symKL_DB_z: 82.890,  gap_eta: 4071.441,  gap_z: 41.624,  loss: -4181.217,  ess: 5.553
symKL_DB_eta: 4411.075,  symKL_DB_z: 71.935,  gap_eta: 4248.265,  gap_z: 43.335,  loss: -4129.898,  ess: 5.556
