symKL_DB_eta: 856.607,  symKL_DB_z: 173.318,  gap_eta: 369.281,  gap_z: 54.842,  loss: -8580.494,  ess: 5.709
symKL_DB_eta: 1131.386,  symKL_DB_z: 188.329,  gap_eta: 361.573,  gap_z: 62.830,  loss: -8320.271,  ess: 5.718
symKL_DB_eta: 772.713,  symKL_DB_z: 121.424,  gap_eta: 355.584,  gap_z: 55.850,  loss: -8231.719,  ess: 5.725
symKL_DB_eta: 776.022,  symKL_DB_z: 218.595,  gap_eta: 363.861,  gap_z: 50.185,  loss: -8291.033,  ess: 5.718
symKL_DB_eta: 789.656,  symKL_DB_z: 163.586,  gap_eta: 358.910,  gap_z: 50.106,  loss: -8168.272,  ess: 5.718
symKL_DB_eta: 584.852,  symKL_DB_z: 128.349,  gap_eta: 355.825,  gap_z: 49.814,  loss: -8182.675,  ess: 5.727
symKL_DB_eta: 1070.812,  symKL_DB_z: 122.931,  gap_eta: 355.321,  gap_z: 49.282,  loss: -8185.132,  ess: 5.727
symKL_DB_eta: 678.859,  symKL_DB_z: 135.945,  gap_eta: 355.125,  gap_z: 48.436,  loss: -8126.028,  ess: 5.725
symKL_DB_eta: 896.577,  symKL_DB_z: 125.822,  gap_eta: 365.245,  gap_z: 49.697,  loss: -8221.020,  ess: 5.725
symKL_DB_eta: 719.583,  symKL_DB_z: 111.453,  gap_eta: 357.641,  gap_z: 46.427,  loss: -8237.179,  ess: 5.730
symKL_DB_eta: 981.856,  symKL_DB_z: 186.344,  gap_eta: 364.021,  gap_z: 47.372,  loss: -8219.988,  ess: 5.724
symKL_DB_eta: 628.903,  symKL_DB_z: 133.892,  gap_eta: 356.008,  gap_z: 46.332,  loss: -8433.918,  ess: 5.732
symKL_DB_eta: 551.516,  symKL_DB_z: 168.964,  gap_eta: 364.228,  gap_z: 47.488,  loss: -8461.963,  ess: 5.731
symKL_DB_eta: 889.042,  symKL_DB_z: 134.191,  gap_eta: 364.668,  gap_z: 46.450,  loss: -8109.897,  ess: 5.727
symKL_DB_eta: 771.011,  symKL_DB_z: 134.790,  gap_eta: 355.356,  gap_z: 46.902,  loss: -8212.566,  ess: 5.736
symKL_DB_eta: 750.241,  symKL_DB_z: 141.409,  gap_eta: 357.517,  gap_z: 46.148,  loss: -8322.941,  ess: 5.732
symKL_DB_eta: 618.709,  symKL_DB_z: 137.607,  gap_eta: 359.191,  gap_z: 45.772,  loss: -8176.133,  ess: 5.734
symKL_DB_eta: 720.437,  symKL_DB_z: 161.619,  gap_eta: 350.021,  gap_z: 48.569,  loss: -8192.138,  ess: 5.744
symKL_DB_eta: 605.458,  symKL_DB_z: 107.203,  gap_eta: 347.009,  gap_z: 42.074,  loss: -7938.423,  ess: 5.748
symKL_DB_eta: 928.342,  symKL_DB_z: 128.894,  gap_eta: 356.521,  gap_z: 42.142,  loss: -8125.365,  ess: 5.738
symKL_DB_eta: 1225.384,  symKL_DB_z: 128.937,  gap_eta: 360.666,  gap_z: 43.744,  loss: -8268.776,  ess: 5.740
symKL_DB_eta: 861.917,  symKL_DB_z: 200.488,  gap_eta: 360.454,  gap_z: 42.111,  loss: -8227.407,  ess: 5.743
symKL_DB_eta: 568.737,  symKL_DB_z: 161.521,  gap_eta: 362.429,  gap_z: 43.414,  loss: -8396.550,  ess: 5.741
symKL_DB_eta: 516.646,  symKL_DB_z: 115.855,  gap_eta: 361.527,  gap_z: 43.718,  loss: -8236.127,  ess: 5.737
symKL_DB_eta: 769.735,  symKL_DB_z: 174.588,  gap_eta: 365.965,  gap_z: 41.015,  loss: -8254.889,  ess: 5.740
symKL_DB_eta: 768.720,  symKL_DB_z: 137.051,  gap_eta: 356.252,  gap_z: 43.846,  loss: -8263.522,  ess: 5.747
symKL_DB_eta: 764.141,  symKL_DB_z: 150.165,  gap_eta: 362.231,  gap_z: 40.907,  loss: -8221.140,  ess: 5.742
symKL_DB_eta: 651.880,  symKL_DB_z: 135.262,  gap_eta: 357.368,  gap_z: 42.556,  loss: -8326.240,  ess: 5.747
symKL_DB_eta: 726.802,  symKL_DB_z: 118.339,  gap_eta: 362.997,  gap_z: 41.161,  loss: -8276.835,  ess: 5.745
symKL_DB_eta: 916.567,  symKL_DB_z: 141.670,  gap_eta: 356.025,  gap_z: 41.315,  loss: -8017.338,  ess: 5.752
