symKL_DB_eta: 1256.888,  symKL_DB_z: 25.425,  gap: 1254.939,  loss: -4622.081,  ess: 5.458
symKL_DB_eta: 1258.335,  symKL_DB_z: 25.093,  gap: 1257.405,  loss: -4629.195,  ess: 5.459
symKL_DB_eta: 1261.937,  symKL_DB_z: 25.725,  gap: 1261.428,  loss: -4627.508,  ess: 5.458
symKL_DB_eta: 1266.124,  symKL_DB_z: 26.211,  gap: 1265.248,  loss: -4632.841,  ess: 5.460
symKL_DB_eta: 1251.699,  symKL_DB_z: 26.407,  gap: 1250.596,  loss: -4622.477,  ess: 5.459
symKL_DB_eta: 1253.839,  symKL_DB_z: 27.110,  gap: 1252.935,  loss: -4633.916,  ess: 5.460
symKL_DB_eta: 1254.306,  symKL_DB_z: 24.997,  gap: 1253.489,  loss: -4614.366,  ess: 5.460
symKL_DB_eta: 1234.514,  symKL_DB_z: 24.243,  gap: 1233.537,  loss: -4596.153,  ess: 5.461
symKL_DB_eta: 1237.257,  symKL_DB_z: 24.442,  gap: 1236.288,  loss: -4607.805,  ess: 5.461
symKL_DB_eta: 1235.519,  symKL_DB_z: 25.201,  gap: 1232.964,  loss: -4614.225,  ess: 5.461
symKL_DB_eta: 1234.451,  symKL_DB_z: 23.820,  gap: 1233.407,  loss: -4607.330,  ess: 5.462
symKL_DB_eta: 1209.268,  symKL_DB_z: 24.613,  gap: 1208.200,  loss: -4606.913,  ess: 5.462
symKL_DB_eta: 1216.242,  symKL_DB_z: 26.092,  gap: 1215.182,  loss: -4602.771,  ess: 5.461
symKL_DB_eta: 1215.587,  symKL_DB_z: 24.039,  gap: 1214.398,  loss: -4603.747,  ess: 5.462
symKL_DB_eta: 1232.255,  symKL_DB_z: 25.757,  gap: 1231.340,  loss: -4599.964,  ess: 5.463
symKL_DB_eta: 1225.855,  symKL_DB_z: 24.776,  gap: 1224.309,  loss: -4612.591,  ess: 5.463
symKL_DB_eta: 1234.967,  symKL_DB_z: 24.089,  gap: 1233.769,  loss: -4615.302,  ess: 5.462
symKL_DB_eta: 1229.800,  symKL_DB_z: 21.395,  gap: 1224.459,  loss: -4585.106,  ess: 5.464
symKL_DB_eta: 1222.557,  symKL_DB_z: 23.509,  gap: 1221.068,  loss: -4589.393,  ess: 5.463
symKL_DB_eta: 1226.114,  symKL_DB_z: 23.600,  gap: 1224.853,  loss: -4600.987,  ess: 5.464
symKL_DB_eta: 1225.672,  symKL_DB_z: 25.066,  gap: 1221.280,  loss: -4612.049,  ess: 5.465
symKL_DB_eta: 1224.708,  symKL_DB_z: 25.706,  gap: 1223.617,  loss: -4597.463,  ess: 5.463
symKL_DB_eta: 1213.218,  symKL_DB_z: 24.175,  gap: 1211.683,  loss: -4586.981,  ess: 5.465
symKL_DB_eta: 1201.943,  symKL_DB_z: 25.216,  gap: 1201.054,  loss: -4593.183,  ess: 5.465
symKL_DB_eta: 1226.024,  symKL_DB_z: 22.681,  gap: 1224.964,  loss: -4587.184,  ess: 5.465
symKL_DB_eta: 1220.313,  symKL_DB_z: 22.739,  gap: 1219.211,  loss: -4597.493,  ess: 5.465
symKL_DB_eta: 1227.801,  symKL_DB_z: 27.984,  gap: 1226.479,  loss: -4596.154,  ess: 5.464
symKL_DB_eta: 1255.318,  symKL_DB_z: 21.881,  gap: 1253.942,  loss: -4604.898,  ess: 5.465
symKL_DB_eta: 1241.772,  symKL_DB_z: 21.964,  gap: 1240.501,  loss: -4590.860,  ess: 5.466
symKL_DB_eta: 1226.464,  symKL_DB_z: 21.838,  gap: 1221.319,  loss: -4596.478,  ess: 5.466
symKL_DB_eta: 1227.601,  symKL_DB_z: 25.050,  gap: 1226.400,  loss: -4577.079,  ess: 5.466
symKL_DB_eta: 1214.947,  symKL_DB_z: 24.906,  gap: 1210.487,  loss: -4567.573,  ess: 5.467
symKL_DB_eta: 1217.933,  symKL_DB_z: 23.675,  gap: 1216.499,  loss: -4592.366,  ess: 5.467
symKL_DB_eta: 1215.327,  symKL_DB_z: 23.333,  gap: 1212.953,  loss: -4589.021,  ess: 5.466
