EUBO	ELBO	ESS
191.940	-796816.351	-798927.683	1.811
191.633	-800239.261	-802347.234	1.776
188.713	-782752.200	-784828.047	1.834
188.677	-783853.450	-785928.914	1.854
188.080	-794158.322	-796227.205	1.821
190.544	-787231.127	-789327.116	1.814
188.349	-784800.027	-786871.873	1.824
189.694	-778420.504	-780507.145	1.839
187.379	-746474.626	-748535.794	1.857
189.714	-764088.257	-766175.102	1.838
188.911	-752754.667	-754832.689	1.830
186.422	-746031.017	-748081.656	1.863
187.115	-757356.206	-759414.472	1.831
190.044	-751027.895	-753118.386	1.823
187.291	-761956.922	-764017.129	1.873
189.818	-754652.208	-756740.213	1.811
188.036	-754150.802	-756219.194	1.854
