EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-237.901	-256.000	1.949	54.968	300.847
-237.326	-255.074	1.982	54.017	294.107
-236.875	-254.292	1.984	53.140	287.606
-235.994	-253.449	1.996	52.303	281.100
-235.626	-252.689	2.018	51.531	274.611
-235.153	-251.855	2.035	50.807	268.213
-234.677	-251.202	2.056	50.114	262.073
-234.099	-250.655	2.040	49.446	256.070
-233.642	-249.931	2.066	48.803	250.269
-233.120	-249.203	2.066	48.183	244.156
-232.623	-248.685	2.096	47.568	238.251
-232.069	-248.048	2.084	46.961	232.402
-231.457	-247.462	2.076	46.350	226.800
-231.220	-246.944	2.124	45.742	221.209
-230.650	-246.187	2.126	45.135	215.743
-230.303	-245.559	2.158	44.538	210.225
-229.656	-245.083	2.132	43.939	204.774
-229.465	-244.481	2.183	43.344	199.416
-228.869	-243.864	2.174	42.756	194.092
-228.469	-243.295	2.225	42.167	188.848
-227.848	-242.688	2.204	41.582	183.720
-227.437	-242.110	2.228	40.992	178.725
-226.770	-241.461	2.221	40.393	173.996
-226.608	-241.015	2.255	39.813	169.106
-226.033	-240.383	2.251	39.234	164.275
-225.654	-239.801	2.290	38.652	159.738
-225.129	-239.226	2.275	38.071	155.218
-224.636	-238.698	2.309	37.499	150.746
-224.027	-238.051	2.277	36.931	146.363
-223.652	-237.504	2.306	36.349	142.112
-223.201	-236.883	2.344	35.779	138.019
-222.630	-236.269	2.321	35.210	133.909
-222.368	-235.758	2.393	34.645	129.918
-221.697	-235.158	2.367	34.086	126.056
-221.338	-234.654	2.389	33.527	122.236
-220.855	-234.066	2.386	32.978	118.473
-220.459	-233.516	2.418	32.432	114.797
-219.778	-232.950	2.393	31.885	111.366
-219.444	-232.420	2.443	31.341	107.832
-219.156	-231.914	2.457	30.800	104.596
-218.618	-231.384	2.463	30.266	101.361
-218.192	-230.893	2.493	29.731	98.285
-217.849	-230.280	2.527	29.199	95.206
-217.305	-229.813	2.513	28.675	92.263
-217.008	-229.320	2.529	28.163	89.434
-216.624	-228.776	2.563	27.653	86.623
-216.316	-228.291	2.586	27.149	83.874
-215.832	-227.754	2.603	26.650	81.219
-215.224	-227.271	2.577	26.149	78.613
-214.875	-226.718	2.590	25.652	76.085
-214.551	-226.274	2.614	25.165	73.695
-214.341	-225.839	2.663	24.685	71.413
-213.723	-225.257	2.673	24.209	69.148
-213.407	-224.833	2.665	23.733	66.827
-213.151	-224.412	2.702	23.271	64.693
-212.688	-223.929	2.701	22.813	62.571
-212.274	-223.481	2.725	22.361	60.560
-212.085	-223.006	2.758	21.917	58.615
-211.812	-222.656	2.755	21.480	56.789
-211.451	-222.173	2.802	21.045	55.018
-211.072	-221.734	2.842	20.613	53.292
-210.714	-221.307	2.810	20.189	51.544
-210.409	-220.895	2.834	19.774	49.870
-210.207	-220.445	2.888	19.367	48.294
-209.813	-220.070	2.887	18.964	46.761
-209.621	-219.674	2.922	18.569	45.277
-209.271	-219.281	2.929	18.180	43.822
-208.970	-218.904	2.973	17.795	42.438
-208.700	-218.548	2.957	17.421	41.116
-208.279	-218.191	2.958	17.049	39.810
-208.172	-217.813	2.978	16.685	38.538
-207.950	-217.478	3.057	16.328	37.304
-207.680	-217.077	3.064	15.975	36.146
-207.420	-216.718	3.091	15.632	35.042
-207.113	-216.417	3.107	15.290	33.952
-206.887	-216.056	3.124	14.957	32.890
-206.582	-215.749	3.116	14.630	31.858
-206.340	-215.403	3.163	14.310	30.847
-206.266	-215.106	3.194	13.997	29.870
-206.059	-214.803	3.241	13.691	28.985
-205.878	-214.511	3.279	13.393	28.120
-205.657	-214.195	3.297	13.100	27.264
-205.472	-213.925	3.324	12.811	26.443
-205.246	-213.622	3.335	12.529	25.661
-205.048	-213.319	3.375	12.252	24.888
-204.890	-213.103	3.373	11.980	24.122
-204.715	-212.801	3.423	11.718	23.406
-204.583	-212.536	3.471	11.458	22.702
-204.516	-212.319	3.475	11.206	22.043
-204.452	-212.131	3.532	10.959	21.408
-204.129	-211.838	3.538	10.715	20.788
-204.009	-211.549	3.580	10.476	20.161
-203.959	-211.398	3.634	10.240	19.588
-203.801	-211.137	3.644	10.011	19.026
-203.626	-210.892	3.657	9.787	18.480
-203.465	-210.687	3.700	9.569	17.946
-203.379	-210.457	3.715	9.358	17.447
-203.340	-210.279	3.770	9.149	16.955
-203.160	-210.069	3.805	8.941	16.455
-203.021	-209.845	3.811	8.740	15.974
-202.956	-209.647	3.900	8.544	15.540
-202.774	-209.428	3.902	8.347	15.090
-202.746	-209.311	3.905	8.158	14.635
-202.621	-209.031	3.986	7.974	14.223
-202.559	-208.897	4.021	7.791	13.823
-202.458	-208.732	4.027	7.613	13.443
-202.340	-208.549	4.079	7.438	13.061
-202.353	-208.407	4.142	7.268	12.687
-202.150	-208.165	4.137	7.100	12.326
-202.070	-208.007	4.191	6.932	11.966
-202.028	-207.869	4.222	6.771	11.624
-201.929	-207.726	4.261	6.612	11.291
-201.940	-207.568	4.330	6.458	10.973
-201.899	-207.386	4.372	6.307	10.664
-201.808	-207.275	4.382	6.159	10.354
-201.711	-207.100	4.436	6.013	10.063
-201.610	-206.945	4.469	5.868	9.762
-201.634	-206.845	4.501	5.728	9.478
-201.581	-206.714	4.531	5.591	9.206
-201.584	-206.585	4.606	5.457	8.937
-201.501	-206.463	4.643	5.326	8.675
-201.366	-206.285	4.642	5.196	8.424
-201.444	-206.179	4.742	5.070	8.181
-201.315	-206.049	4.738	4.947	7.942
-201.337	-205.943	4.822	4.825	7.709
-201.226	-205.801	4.844	4.708	7.488
-201.203	-205.711	4.874	4.591	7.266
-201.189	-205.597	4.947	4.477	7.049
-201.220	-205.489	5.017	4.367	6.842
-201.037	-205.378	4.962	4.258	6.640
-201.085	-205.251	5.077	4.152	6.445
-201.085	-205.143	5.128	4.048	6.253
-201.057	-205.046	5.147	3.947	6.064
-200.968	-204.965	5.171	3.846	5.886
-200.931	-204.841	5.213	3.748	5.710
-200.996	-204.765	5.310	3.653	5.537
-200.918	-204.679	5.319	3.560	5.373
-200.847	-204.574	5.354	3.468	5.211
-200.801	-204.477	5.410	3.379	5.054
-200.793	-204.386	5.439	3.291	4.898
-200.825	-204.333	5.505	3.207	4.754
-200.771	-204.224	5.541	3.123	4.610
-200.728	-204.128	5.574	3.041	4.472
-200.722	-204.063	5.620	2.962	4.337
-200.717	-203.988	5.660	2.884	4.205
-200.770	-203.921	5.742	2.808	4.075
-200.785	-203.852	5.807	2.736	3.955
-200.679	-203.755	5.828	2.664	3.837
-200.693	-203.700	5.868	2.592	3.717
-200.721	-203.634	5.907	2.524	3.604
-200.716	-203.573	5.995	2.458	3.494
-200.658	-203.504	6.027	2.392	3.387
-200.654	-203.445	6.051	2.327	3.280
-200.628	-203.357	6.080	2.265	3.181
-200.639	-203.324	6.136	2.204	3.084
-200.631	-203.258	6.192	2.145	2.990
-200.676	-203.191	6.257	2.087	2.897
-200.592	-203.126	6.258	2.030	2.807
-200.633	-203.066	6.334	1.976	2.724
-200.593	-203.006	6.374	1.921	2.638
-200.684	-203.004	6.431	1.869	2.557
-200.593	-202.915	6.462	1.818	2.477
-200.587	-202.846	6.495	1.767	2.398
-200.644	-202.833	6.565	1.719	2.326
-200.623	-202.766	6.609	1.671	2.254
-200.604	-202.734	6.654	1.625	2.182
-200.604	-202.684	6.673	1.579	2.114
-200.680	-202.652	6.781	1.536	2.049
-200.617	-202.584	6.772	1.494	1.984
-200.603	-202.533	6.818	1.452	1.924
-200.623	-202.505	6.871	1.411	1.863
-200.610	-202.473	6.904	1.371	1.803
-200.626	-202.451	6.936	1.333	1.747
-200.616	-202.396	6.988	1.295	1.693
-200.658	-202.367	7.050	1.258	1.639
-200.618	-202.294	7.105	1.223	1.587
-200.647	-202.281	7.140	1.188	1.538
-200.639	-202.255	7.171	1.154	1.489
