EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-217.267	-333.703	1.629	135.303	21.455
-217.278	-339.125	1.638	137.253	21.090
-216.818	-338.839	1.630	138.398	20.783
-217.022	-336.927	1.631	135.926	21.001
-216.996	-334.826	1.637	134.104	21.174
-216.447	-335.198	1.628	135.234	20.939
-216.839	-336.231	1.627	135.215	20.975
-216.257	-333.628	1.639	132.857	21.233
-216.610	-335.698	1.646	134.376	20.973
-217.103	-336.362	1.633	134.786	21.204
-216.554	-337.197	1.641	136.031	20.756
-216.730	-338.550	1.641	136.525	20.745
-216.759	-336.316	1.630	134.982	20.648
-216.635	-336.910	1.647	134.301	20.954
-216.191	-337.733	1.653	135.272	20.545
-216.465	-335.986	1.649	134.272	20.730
-216.107	-334.955	1.665	133.527	20.609
-216.247	-332.622	1.643	131.496	20.645
-215.805	-333.118	1.653	132.431	20.408
-215.859	-334.641	1.637	133.412	20.637
-216.347	-331.905	1.645	131.547	20.510
-216.078	-332.988	1.654	132.406	20.609
-216.469	-333.374	1.652	131.973	20.667
-215.839	-333.709	1.644	131.591	20.550
-215.890	-329.653	1.658	129.864	20.455
-216.027	-331.074	1.648	128.432	20.529
-216.025	-330.096	1.643	128.425	20.823
-215.457	-330.310	1.660	129.334	20.636
-216.154	-330.982	1.663	130.019	20.516
-215.776	-333.235	1.657	130.533	20.329
-215.874	-330.491	1.652	129.667	20.395
-215.943	-330.248	1.647	129.388	20.255
-216.024	-329.115	1.664	126.836	20.549
-216.247	-328.866	1.659	126.779	20.433
-216.016	-325.833	1.655	125.663	20.448
-215.534	-328.635	1.667	127.480	20.000
-215.750	-328.430	1.661	127.351	20.199
-215.269	-331.144	1.659	129.091	20.078
-215.913	-332.747	1.663	129.389	20.122
-215.614	-328.022	1.665	126.150	20.233
-215.778	-330.322	1.667	127.993	19.788
-215.144	-325.835	1.680	125.469	19.924
-215.603	-328.094	1.665	127.298	20.089
-215.441	-327.574	1.674	127.511	19.947
-215.347	-328.784	1.666	126.605	19.823
-215.265	-327.105	1.648	127.087	20.111
-215.588	-328.341	1.655	127.657	20.078
-214.773	-327.634	1.670	126.001	19.752
-215.452	-328.355	1.661	126.689	19.921
-215.613	-326.183	1.686	125.507	19.878
-215.413	-328.523	1.673	127.344	19.673
-215.015	-326.791	1.671	126.678	19.748
-215.314	-325.039	1.665	125.771	19.750
-215.004	-328.334	1.674	126.951	19.404
-214.639	-327.209	1.679	126.665	19.545
-214.939	-327.395	1.674	126.361	19.956
-215.382	-327.683	1.675	125.653	19.527
-214.684	-328.536	1.679	127.302	19.215
-215.835	-327.781	1.671	124.777	19.808
-214.707	-324.909	1.690	123.004	19.496
-215.424	-326.755	1.673	124.412	19.441
-214.826	-325.708	1.686	124.273	20.101
-214.669	-323.569	1.681	122.894	19.385
-214.927	-323.961	1.695	122.587	19.522
-215.317	-325.930	1.675	122.650	19.790
-214.536	-324.466	1.681	123.377	19.363
-214.849	-322.304	1.680	121.785	19.569
-214.502	-321.568	1.682	120.504	19.466
-214.102	-323.039	1.674	122.295	19.340
-213.745	-322.457	1.681	122.248	19.132
-214.225	-323.268	1.692	122.614	19.315
-214.764	-320.051	1.677	119.224	19.713
-214.408	-321.334	1.692	120.756	19.290
-214.399	-322.533	1.692	120.438	19.194
-214.702	-322.032	1.673	121.185	19.362
-214.328	-323.043	1.683	121.830	18.822
-214.141	-322.905	1.678	121.526	18.956
-214.343	-321.064	1.683	119.678	19.049
-213.799	-322.486	1.704	122.364	18.824
-214.166	-322.102	1.687	121.880	19.249
-214.619	-321.731	1.683	119.430	19.215
-214.471	-323.336	1.669	121.110	19.066
-213.892	-319.561	1.686	119.662	18.840
-213.868	-321.202	1.686	120.616	18.905
-213.757	-320.629	1.690	119.895	18.942
-213.853	-323.702	1.671	121.867	18.947
-213.792	-321.495	1.709	120.698	18.679
-214.176	-323.245	1.690	121.152	19.064
-213.966	-323.843	1.691	121.300	18.970
-213.741	-321.837	1.688	120.309	18.745
-213.513	-318.451	1.693	118.138	18.960
-213.722	-319.909	1.693	118.436	18.901
-214.288	-315.121	1.722	115.610	19.602
-213.296	-318.726	1.699	117.007	18.634
-213.832	-318.700	1.685	116.611	19.110
-213.949	-316.256	1.695	115.714	19.066
-213.674	-316.797	1.703	115.667	19.032
