EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-201.170	-233.292	3.370	35.099	7.161	35.099	7.161
-201.564	-233.481	3.385	34.766	7.085	34.766	7.085
-201.530	-233.646	3.396	34.890	6.959	34.890	6.959
-201.411	-232.996	3.402	34.287	6.992	34.287	6.992
-201.139	-232.934	3.424	34.439	6.922	34.439	6.922
-201.121	-232.296	3.430	34.090	6.895	34.090	6.895
-201.157	-232.459	3.444	33.936	6.819	33.936	6.819
-200.858	-231.797	3.437	33.370	6.863	33.370	6.863
-200.997	-232.226	3.451	33.805	6.766	33.805	6.766
-201.132	-231.377	3.474	32.863	6.794	32.863	6.794
-201.276	-231.431	3.465	33.037	6.769	33.037	6.769
-201.231	-230.963	3.495	32.484	6.769	32.484	6.769
-201.271	-231.731	3.491	32.937	6.729	32.937	6.729
-201.023	-231.090	3.516	32.403	6.647	32.403	6.647
-200.924	-231.015	3.520	32.412	6.667	32.412	6.667
-200.999	-230.687	3.507	32.101	6.598	32.101	6.598
-200.860	-229.927	3.511	31.916	6.593	31.916	6.593
-200.946	-229.897	3.544	31.541	6.598	31.541	6.598
-200.808	-229.453	3.552	31.201	6.586	31.201	6.586
-200.806	-229.793	3.565	31.110	6.556	31.110	6.556
-200.676	-230.271	3.567	31.623	6.482	31.623	6.482
-200.813	-229.180	3.600	30.529	6.483	30.529	6.483
-200.567	-229.564	3.587	30.913	6.417	30.913	6.417
-200.634	-229.057	3.619	30.547	6.335	30.547	6.335
-200.803	-228.261	3.622	30.124	6.372	30.124	6.372
-200.880	-228.629	3.621	30.125	6.347	30.125	6.347
-200.607	-228.521	3.635	30.139	6.300	30.139	6.300
-200.732	-228.438	3.638	30.063	6.292	30.063	6.292
-200.663	-228.049	3.658	29.486	6.246	29.486	6.246
-200.646	-227.662	3.665	29.467	6.194	29.467	6.194
-200.497	-227.716	3.647	29.214	6.184	29.214	6.184
-200.496	-227.877	3.685	29.052	6.049	29.052	6.049
-200.494	-227.331	3.670	29.142	6.082	29.142	6.082
-200.506	-227.378	3.700	28.978	6.051	28.978	6.051
-200.439	-226.651	3.693	28.748	6.108	28.748	6.108
-200.649	-227.459	3.719	28.593	5.962	28.593	5.962
-200.460	-226.663	3.735	28.053	5.965	28.053	5.965
-200.291	-226.712	3.724	27.938	5.942	27.938	5.942
-200.318	-226.787	3.744	28.145	5.914	28.145	5.914
-200.551	-226.369	3.777	27.732	5.882	27.732	5.882
-200.287	-226.252	3.777	27.590	5.866	27.590	5.866
-200.186	-225.736	3.793	27.328	5.816	27.328	5.816
-200.331	-225.771	3.791	27.135	5.817	27.135	5.817
-200.359	-225.637	3.809	27.356	5.784	27.356	5.784
-200.135	-225.506	3.812	27.034	5.732	27.034	5.732
-200.236	-225.189	3.829	26.820	5.775	26.820	5.775
-200.542	-225.774	3.823	26.771	5.720	26.771	5.720
-200.306	-224.899	3.849	26.666	5.658	26.666	5.658
-200.231	-225.148	3.863	26.336	5.680	26.336	5.680
-200.044	-224.199	3.863	26.067	5.619	26.067	5.619
-200.051	-224.398	3.889	26.065	5.582	26.065	5.582
-200.038	-224.524	3.890	26.167	5.507	26.167	5.507
-199.925	-223.785	3.896	25.490	5.534	25.490	5.534
-199.987	-224.051	3.907	25.457	5.494	25.457	5.494
-199.915	-224.130	3.913	25.156	5.481	25.156	5.481
-199.862	-223.688	3.929	25.242	5.418	25.242	5.418
-200.144	-223.633	3.935	25.301	5.444	25.301	5.444
-200.186	-223.661	3.985	24.958	5.383	24.958	5.383
-200.228	-223.656	3.975	24.889	5.353	24.889	5.353
-199.995	-222.997	3.988	24.633	5.319	24.633	5.319
-200.086	-222.836	4.018	24.274	5.300	24.274	5.300
-199.757	-222.659	4.007	24.245	5.293	24.245	5.293
-199.900	-222.786	4.031	24.210	5.228	24.210	5.228
-200.215	-222.408	4.029	23.740	5.244	23.740	5.244
-199.839	-222.390	4.051	23.652	5.207	23.652	5.207
-199.776	-221.913	4.059	23.467	5.175	23.467	5.175
-199.956	-221.798	4.057	23.292	5.147	23.292	5.147
-199.930	-221.687	4.088	23.008	5.103	23.008	5.103
-199.797	-221.709	4.131	23.129	5.052	23.129	5.052
-199.790	-221.381	4.110	22.883	5.039	22.883	5.039
-199.661	-220.400	4.135	22.230	5.041	22.230	5.041
-199.781	-220.964	4.135	22.558	5.016	22.558	5.016
-199.763	-220.486	4.156	22.178	5.027	22.178	5.027
-199.994	-220.968	4.160	22.104	4.999	22.104	4.999
-199.973	-220.687	4.169	21.883	4.985	21.883	4.985
-199.767	-220.121	4.208	22.098	4.918	22.098	4.918
-199.819	-220.269	4.204	21.705	4.899	21.705	4.899
-199.575	-219.937	4.226	21.573	4.868	21.573	4.868
-199.703	-219.379	4.250	21.064	4.871	21.064	4.871
-199.767	-220.039	4.247	21.597	4.766	21.597	4.766
-199.541	-219.448	4.274	20.749	4.807	20.749	4.807
-199.568	-219.472	4.258	20.894	4.729	20.894	4.729
-199.781	-219.573	4.307	21.115	4.733	21.115	4.733
-199.486	-219.145	4.302	20.673	4.722	20.673	4.722
-199.558	-218.882	4.318	20.592	4.675	20.592	4.675
-199.621	-219.112	4.321	20.399	4.615	20.399	4.615
-199.521	-218.729	4.356	20.227	4.680	20.227	4.680
-199.718	-218.613	4.374	19.951	4.644	19.951	4.644
-199.774	-218.669	4.388	20.072	4.557	20.072	4.557
-199.368	-218.080	4.393	19.634	4.552	19.634	4.552
-199.512	-218.036	4.445	19.666	4.559	19.666	4.559
-199.581	-217.906	4.425	19.496	4.538	19.496	4.538
-199.721	-217.593	4.460	19.264	4.474	19.264	4.474
-199.464	-217.519	4.465	19.120	4.486	19.120	4.486
-199.689	-217.411	4.487	18.828	4.475	18.828	4.475
-199.614	-217.878	4.489	18.983	4.427	18.983	4.427
-199.553	-217.452	4.495	18.901	4.397	18.901	4.397
-199.459	-217.033	4.531	18.452	4.354	18.452	4.354
-199.668	-216.962	4.552	18.729	4.313	18.729	4.313
-199.608	-216.749	4.562	18.247	4.326	18.247	4.326
-199.551	-216.937	4.605	18.235	4.286	18.235	4.286
-199.272	-216.271	4.590	18.258	4.312	18.258	4.312
-199.338	-216.416	4.600	17.975	4.259	17.975	4.259
-199.440	-216.425	4.619	17.774	4.247	17.774	4.247
-199.296	-216.251	4.638	17.791	4.207	17.791	4.207
-199.339	-216.249	4.636	17.564	4.192	17.564	4.192
-199.513	-215.997	4.677	17.088	4.181	17.088	4.181
-199.453	-215.716	4.684	17.197	4.204	17.197	4.204
-199.247	-215.476	4.689	17.039	4.206	17.039	4.206
-199.368	-215.379	4.708	17.034	4.115	17.034	4.115
-199.240	-215.579	4.716	16.858	4.048	16.858	4.048
-199.629	-215.404	4.737	16.666	4.090	16.666	4.090
-199.212	-215.289	4.741	16.957	4.015	16.957	4.015
-199.237	-215.190	4.769	16.488	4.004	16.488	4.004
-199.325	-214.801	4.770	16.488	4.010	16.488	4.010
-199.295	-214.785	4.777	16.479	4.018	16.479	4.018
-199.276	-214.786	4.821	16.307	3.958	16.307	3.958
-199.390	-214.670	4.804	16.248	3.972	16.248	3.972
-199.393	-214.550	4.810	15.917	3.969	15.917	3.969
-199.140	-214.259	4.820	16.055	3.900	16.055	3.900
-199.282	-214.105	4.840	15.869	3.891	15.869	3.891
-199.186	-213.907	4.865	15.471	3.884	15.471	3.884
-199.048	-214.086	4.872	15.507	3.864	15.507	3.864
-199.043	-213.685	4.863	15.073	3.841	15.073	3.841
-199.159	-213.668	4.902	15.143	3.825	15.143	3.825
-199.110	-213.520	4.890	15.325	3.817	15.325	3.817
-199.213	-213.669	4.902	15.203	3.812	15.203	3.812
-199.045	-213.566	4.930	14.947	3.758	14.947	3.758
-199.167	-213.977	4.934	15.135	3.715	15.135	3.715
-199.004	-213.299	4.943	14.746	3.713	14.746	3.713
-198.996	-212.962	4.961	14.670	3.729	14.670	3.729
-199.130	-213.018	4.971	14.626	3.685	14.626	3.685
-199.097	-213.117	4.964	14.491	3.673	14.491	3.673
-198.987	-212.591	4.978	14.273	3.671	14.273	3.671
-199.104	-212.939	4.998	14.277	3.707	14.277	3.707
-198.849	-212.422	5.009	14.017	3.663	14.017	3.663
-198.869	-212.216	5.011	13.994	3.619	13.994	3.619
-199.118	-212.387	5.023	13.994	3.638	13.994	3.638
-198.865	-212.146	5.021	13.977	3.608	13.977	3.608
-199.027	-212.371	5.055	13.871	3.643	13.871	3.643
-199.071	-212.106	5.055	13.745	3.548	13.745	3.548
-198.882	-212.169	5.055	13.764	3.571	13.764	3.571
-198.944	-212.190	5.065	13.826	3.508	13.826	3.508
-199.108	-212.215	5.054	13.575	3.570	13.575	3.570
-198.940	-212.117	5.057	13.608	3.518	13.608	3.518
-199.001	-211.907	5.104	13.404	3.495	13.404	3.495
-198.858	-211.909	5.092	13.430	3.485	13.430	3.485
-199.044	-211.876	5.103	13.128	3.490	13.128	3.490
-198.881	-211.685	5.151	13.239	3.473	13.239	3.473
-198.959	-211.784	5.141	13.261	3.474	13.261	3.474
-198.982	-211.622	5.148	13.047	3.430	13.047	3.430
-198.995	-211.654	5.158	13.131	3.442	13.131	3.442
-198.904	-211.069	5.187	12.733	3.401	12.733	3.401
-198.989	-211.202	5.184	12.564	3.432	12.564	3.432
-198.719	-211.132	5.183	12.789	3.338	12.789	3.338
-198.910	-211.368	5.228	12.736	3.350	12.736	3.350
-198.847	-211.291	5.223	13.126	3.332	13.126	3.332
-198.934	-211.309	5.261	12.695	3.313	12.695	3.313
-199.156	-211.551	5.255	12.862	3.316	12.862	3.316
-198.972	-211.298	5.295	12.704	3.268	12.704	3.268
-199.061	-211.334	5.296	12.777	3.239	12.777	3.239
-198.963	-210.752	5.326	12.495	3.256	12.495	3.256
-199.014	-211.069	5.340	12.461	3.242	12.461	3.242
-198.811	-210.605	5.354	12.246	3.262	12.246	3.262
-198.906	-210.739	5.367	12.225	3.219	12.225	3.219
-198.844	-210.516	5.389	12.113	3.211	12.113	3.211
-199.004	-210.661	5.406	11.974	3.198	11.974	3.198
-198.805	-210.599	5.426	11.960	3.151	11.960	3.151
-198.970	-210.596	5.457	11.914	3.134	11.914	3.134
-198.956	-210.613	5.459	12.042	3.099	12.042	3.099
-198.719	-209.870	5.488	11.577	3.085	11.577	3.085
-198.833	-210.463	5.463	11.734	3.088	11.734	3.088
-198.845	-209.973	5.516	11.569	3.053	11.569	3.053
-198.885	-210.068	5.508	11.604	3.072	11.604	3.072
-198.916	-210.267	5.543	11.689	3.040	11.689	3.040
-199.019	-210.056	5.551	11.550	3.008	11.550	3.008
-198.731	-209.770	5.559	11.267	3.062	11.267	3.062
-198.773	-209.865	5.541	11.349	2.992	11.349	2.992
-198.754	-209.485	5.572	11.206	2.975	11.206	2.975
-198.725	-209.763	5.553	11.425	2.974	11.425	2.974
-198.722	-209.820	5.568	11.072	2.996	11.072	2.996
-198.613	-209.538	5.571	11.015	2.964	11.015	2.964
-198.638	-209.491	5.569	11.052	2.958	11.052	2.958
-198.672	-209.421	5.607	10.940	2.928	10.940	2.928
-198.678	-209.165	5.603	10.660	2.980	10.660	2.980
