EUBOs, ELBOs, ESSs
-173.15538330078124, -187.01459457397462, 1.427198703289032
-172.96360931396484, -186.61209106445312, 1.4189868676662445
-172.9849624633789, -186.34883041381835, 1.4262407624721527
-173.03638244628905, -186.05712493896485, 1.456794308423996
-172.83616287231445, -185.84498489379882, 1.4688209426403045
-172.5653157043457, -185.91136795043946, 1.4560439908504486
-172.60559768676757, -185.94242065429688, 1.4704374945163727
-172.44529876708984, -186.0774774169922, 1.4638243281841279
-172.88320205688476, -185.7034297180176, 1.435770355463028
-172.25338348388672, -185.08207626342772, 1.4321669912338257
-171.9302227783203, -184.894755859375, 1.448404016494751
-172.1037438964844, -185.58128646850585, 1.4368325638771058
-172.36615905761718, -184.6618423461914, 1.4504765737056733
-171.96211196899415, -185.65012496948242, 1.4355551981925965
-171.8858477783203, -185.31480026245117, 1.4173322606086731
-171.9686749267578, -185.6124172973633, 1.4767884397506714
-171.80169067382812, -184.5739926147461, 1.4466200637817384
-171.58116592407225, -184.85955627441408, 1.4431685054302215
-171.7168717956543, -184.72159942626953, 1.4828213143348694
-171.64125259399415, -184.91491134643556, 1.4350983929634094
-171.42962829589842, -184.63588653564454, 1.47294086933136
-171.63024139404297, -184.19987686157228, 1.4613122534751892
-171.25503677368164, -184.54090042114257, 1.4413553702831268
-171.09412994384766, -183.9822706604004, 1.444160565137863
-171.09898010253906, -184.2219467163086, 1.4553176879882812
-171.35087020874025, -184.04789245605468, 1.4686610066890717
-171.14847229003905, -183.4493910217285, 1.474414781332016
-171.20992095947267, -183.96830657958984, 1.4537940430641174
-171.21127517700197, -184.07593948364257, 1.4631003880500792
-171.08298568725587, -183.93093170166014, 1.4506318426132203
-171.21190170288085, -184.43970901489257, 1.453315236568451
-171.0399313354492, -184.3053778076172, 1.4756975746154786
-171.09269134521483, -183.98206466674804, 1.4527891767024994
-171.22240112304686, -183.75750106811523, 1.4810382449626922
-170.7469448852539, -183.91288131713867, 1.4566314935684204
-170.78949600219727, -183.6654722595215, 1.4683897113800048
-170.4273825073242, -183.43183441162108, 1.4395539367198944
-170.78443130493164, -183.23813171386718, 1.4936258029937743
-170.77282333374023, -183.80121063232423, 1.464059374332428
-170.79705612182616, -182.97314819335938, 1.4629012835025788
-170.78260604858397, -182.79985916137696, 1.4751644325256348
-170.99476989746094, -183.39424407958984, 1.479029666185379
-170.5535580444336, -182.8115379333496, 1.4913355755805968
-170.68143249511718, -182.75831298828126, 1.4951276886463165
-170.63171340942384, -183.39529251098634, 1.477685784101486
-170.38608581542968, -183.0924543762207, 1.4816110610961915
-170.63885284423827, -182.8147880554199, 1.4771116054058075
