(440s) Epoch=0, Group=90, loss_phi: -218.072940,  loss_theta: 9072.675571,  ess_rws: 1.010514,  ess_what: 1.120861,  ess_where: 1.271741,  density: -4755.005264
(437s) Epoch=0, Group=91, loss_phi: -217.495795,  loss_theta: 8812.971392,  ess_rws: 1.014329,  ess_what: 1.125520,  ess_where: 1.270469,  density: -4621.476085
(437s) Epoch=0, Group=92, loss_phi: -217.949334,  loss_theta: 8470.612339,  ess_rws: 1.011716,  ess_what: 1.114033,  ess_where: 1.271835,  density: -4454.780369
(436s) Epoch=0, Group=93, loss_phi: -220.772446,  loss_theta: 8502.115352,  ess_rws: 1.008297,  ess_what: 1.126607,  ess_where: 1.268585,  density: -4466.488065
(437s) Epoch=0, Group=94, loss_phi: -218.504554,  loss_theta: 8790.814363,  ess_rws: 1.008146,  ess_what: 1.119570,  ess_where: 1.261141,  density: -4606.664177
(440s) Epoch=0, Group=95, loss_phi: -220.390281,  loss_theta: 8487.118401,  ess_rws: 1.012637,  ess_what: 1.136804,  ess_where: 1.278798,  density: -4460.574519
(436s) Epoch=0, Group=96, loss_phi: -221.459450,  loss_theta: 8989.476892,  ess_rws: 1.017936,  ess_what: 1.127922,  ess_where: 1.282496,  density: -4723.912603
(439s) Epoch=0, Group=97, loss_phi: -222.852507,  loss_theta: 8556.124219,  ess_rws: 1.011540,  ess_what: 1.130901,  ess_where: 1.272729,  density: -4513.432108
(438s) Epoch=0, Group=98, loss_phi: -221.767607,  loss_theta: 8536.833184,  ess_rws: 1.012012,  ess_what: 1.111428,  ess_where: 1.280838,  density: -4488.791805
(439s) Epoch=0, Group=99, loss_phi: -222.598007,  loss_theta: 8454.642993,  ess_rws: 1.020759,  ess_what: 1.129872,  ess_where: 1.280047,  density: -4444.318004
(439s) Epoch=0, Group=100, loss_phi: -223.973009,  loss_theta: 8327.173042,  ess_rws: 1.008082,  ess_what: 1.115232,  ess_where: 1.271753,  density: -4411.138993
(440s) Epoch=0, Group=101, loss_phi: -222.949468,  loss_theta: 8276.912864,  ess_rws: 1.009793,  ess_what: 1.117254,  ess_where: 1.280661,  density: -4375.233473
(440s) Epoch=0, Group=102, loss_phi: -221.741080,  loss_theta: 8492.782256,  ess_rws: 1.011520,  ess_what: 1.144096,  ess_where: 1.289152,  density: -4480.587900
(440s) Epoch=0, Group=103, loss_phi: -224.352211,  loss_theta: 8106.620461,  ess_rws: 1.010608,  ess_what: 1.119391,  ess_where: 1.296182,  density: -4270.700472
(440s) Epoch=0, Group=104, loss_phi: -221.863945,  loss_theta: 8490.464094,  ess_rws: 1.011008,  ess_what: 1.132335,  ess_where: 1.281930,  density: -4471.434789
(439s) Epoch=0, Group=105, loss_phi: -223.550894,  loss_theta: 8150.874778,  ess_rws: 1.015877,  ess_what: 1.126408,  ess_where: 1.293153,  density: -4295.684835
(437s) Epoch=0, Group=106, loss_phi: -223.358454,  loss_theta: 8451.969375,  ess_rws: 1.010727,  ess_what: 1.129308,  ess_where: 1.284889,  density: -4450.124719
(436s) Epoch=0, Group=107, loss_phi: -223.828348,  loss_theta: 8361.802366,  ess_rws: 1.013849,  ess_what: 1.117067,  ess_where: 1.296406,  density: -4414.244379
(440s) Epoch=0, Group=108, loss_phi: -224.321657,  loss_theta: 8007.403459,  ess_rws: 1.008913,  ess_what: 1.139508,  ess_where: 1.283709,  density: -4253.689525
(440s) Epoch=0, Group=109, loss_phi: -224.086380,  loss_theta: 8122.784487,  ess_rws: 1.007565,  ess_what: 1.114079,  ess_where: 1.286230,  density: -4327.904261
(441s) Epoch=0, Group=110, loss_phi: -221.916732,  loss_theta: 8102.337319,  ess_rws: 1.008497,  ess_what: 1.119469,  ess_where: 1.299248,  density: -4290.137046
(438s) Epoch=0, Group=111, loss_phi: -222.527778,  loss_theta: 8206.489856,  ess_rws: 1.016815,  ess_what: 1.127957,  ess_where: 1.279595,  density: -4343.940226
(437s) Epoch=0, Group=112, loss_phi: -223.575707,  loss_theta: 8311.851501,  ess_rws: 1.014218,  ess_what: 1.133114,  ess_where: 1.302847,  density: -4382.463455
(437s) Epoch=0, Group=113, loss_phi: -223.370172,  loss_theta: 8284.226985,  ess_rws: 1.011049,  ess_what: 1.125172,  ess_where: 1.289533,  density: -4362.477855
(440s) Epoch=0, Group=114, loss_phi: -222.023241,  loss_theta: 8251.885476,  ess_rws: 1.007660,  ess_what: 1.119857,  ess_where: 1.274865,  density: -4362.368032
(438s) Epoch=0, Group=115, loss_phi: -223.109474,  loss_theta: 8209.337307,  ess_rws: 1.008760,  ess_what: 1.119864,  ess_where: 1.291839,  density: -4330.278995
(437s) Epoch=0, Group=116, loss_phi: -224.840873,  loss_theta: 8146.920938,  ess_rws: 1.009384,  ess_what: 1.128838,  ess_where: 1.296683,  density: -4327.246344
(440s) Epoch=0, Group=117, loss_phi: -225.858829,  loss_theta: 7931.417964,  ess_rws: 1.009144,  ess_what: 1.125850,  ess_where: 1.296626,  density: -4232.326018
