EUBO, ELBO, ESS, KLs_eta_ex, KLs_eta_in, KL_z_ex, KL_z_in
-227.72581481933594, -467.70770263671875, 1.0867820978164673, 291.22802734375, 16.236085891723633, 51.269283294677734, 14.523168563842773
-208.85113525390625, -362.90301513671875, 1.1116700172424316, 184.6777801513672, 15.278813362121582, 39.15591049194336, 13.73702621459961
-218.03399658203125, -358.2641296386719, 1.1060309410095215, 190.6138153076172, 16.647384643554688, 45.58389663696289, 13.367903709411621
-211.91261291503906, -353.2466125488281, 1.1481623649597168, 182.2570343017578, 15.672704696655273, 36.999942779541016, 12.446708679199219
-202.85800170898438, -317.31201171875, 1.1001019477844238, 145.47743225097656, 15.716650009155273, 33.42969512939453, 13.086420059204102
-213.8765106201172, -347.2898864746094, 1.098781704902649, 168.3336181640625, 16.241050720214844, 32.68387985229492, 12.499380111694336
-224.54611206054688, -414.6277770996094, 1.1022244691848755, 245.1234893798828, 15.896008491516113, 45.634124755859375, 13.894713401794434
-212.9884796142578, -346.99658203125, 1.1060421466827393, 185.8105926513672, 16.041873931884766, 43.335636138916016, 12.803061485290527
-204.09214782714844, -312.5104675292969, 1.150323510169983, 137.86997985839844, 15.935391426086426, 33.499671936035156, 12.689820289611816
-199.06761169433594, -313.3764343261719, 1.0929782390594482, 144.60931396484375, 16.612491607666016, 32.905357360839844, 13.042729377746582
-214.69985961914062, -340.5771484375, 1.0741519927978516, 159.08596801757812, 16.301267623901367, 33.101226806640625, 12.61237907409668
-204.4735870361328, -327.84197998046875, 1.1394001245498657, 154.7423095703125, 17.18559455871582, 38.23826599121094, 11.63430404663086
-204.36314392089844, -302.9523010253906, 1.1246914863586426, 125.48120880126953, 14.879071235656738, 38.890602111816406, 10.919942855834961
-205.10873413085938, -317.5115051269531, 1.1668566465377808, 144.45240783691406, 15.800559043884277, 32.882076263427734, 10.884444236755371
-197.29249572753906, -305.29119873046875, 1.0727646350860596, 137.4867401123047, 15.316577911376953, 25.404024124145508, 10.790047645568848
-197.20635986328125, -282.1132507324219, 1.0610588788986206, 111.73213195800781, 14.931063652038574, 24.307565689086914, 10.821904182434082
-203.0382843017578, -322.0693054199219, 1.1208205223083496, 145.7412872314453, 15.234711647033691, 30.1185302734375, 11.14122200012207
-219.42010498046875, -388.9075012207031, 1.1322404146194458, 197.1953887939453, 16.66322898864746, 41.8662109375, 12.941821098327637
-214.96994018554688, -350.3670349121094, 1.0957807302474976, 180.6252899169922, 16.409008026123047, 30.44888687133789, 10.317795753479004
-206.03074645996094, -292.97467041015625, 1.1795134544372559, 119.40771484375, 17.057384490966797, 26.745241165161133, 11.418351173400879
-210.59503173828125, -378.8492126464844, 1.1473727226257324, 213.78439331054688, 16.904146194458008, 39.7769660949707, 11.183874130249023
-202.77139282226562, -297.0210266113281, 1.117538571357727, 127.98739624023438, 16.0988712310791, 20.44220733642578, 10.084879875183105
-205.9914093017578, -290.39349365234375, 1.1063663959503174, 109.78720092773438, 16.391456604003906, 21.319324493408203, 10.116971015930176
-204.22120666503906, -305.1363525390625, 1.0909348726272583, 125.80650329589844, 18.454700469970703, 28.588930130004883, 11.504912376403809
-213.11264038085938, -333.7052917480469, 1.1517016887664795, 154.63233947753906, 16.664640426635742, 33.18724060058594, 10.032036781311035
-203.76512145996094, -285.3918151855469, 1.1440391540527344, 106.01750946044922, 16.19810676574707, 28.78664779663086, 11.293996810913086
-200.99266052246094, -297.0052795410156, 1.2119040489196777, 130.7727813720703, 18.309730529785156, 25.779708862304688, 10.898240089416504
-218.43556213378906, -351.8894958496094, 1.0921516418457031, 161.24234008789062, 17.13103675842285, 42.51808166503906, 9.573997497558594
-195.09129333496094, -271.7187194824219, 1.1112229824066162, 96.7836685180664, 15.718086242675781, 22.962018966674805, 9.554304122924805
-204.4455108642578, -297.90899658203125, 1.1887080669403076, 121.53327941894531, 19.47341537475586, 24.553449630737305, 10.558440208435059
-201.2616424560547, -291.1592712402344, 1.1136672496795654, 116.27423858642578, 16.280668258666992, 25.841655731201172, 9.963079452514648
-193.6099395751953, -259.6402282714844, 1.117386817932129, 87.2092514038086, 16.07988929748535, 21.980932235717773, 9.703825950622559
-201.23028564453125, -300.1025085449219, 1.1898804903030396, 114.67760467529297, 16.93425941467285, 35.43879699707031, 9.059404373168945
-192.08592224121094, -253.83497619628906, 1.1349914073944092, 86.39808654785156, 15.427800178527832, 15.955085754394531, 8.985274314880371
-198.19142150878906, -267.6521911621094, 1.1975451707839966, 91.1332778930664, 16.756275177001953, 22.10980987548828, 9.651663780212402
-199.67120361328125, -278.0370178222656, 1.1960850954055786, 105.41081237792969, 19.484024047851562, 25.83222198486328, 10.561417579650879
-192.8805694580078, -263.3818664550781, 1.1921563148498535, 92.51526641845703, 16.35588264465332, 18.62916374206543, 9.139786720275879
