EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-201.881	-244.470	2.363	45.489	9.440	45.489	9.440
-202.145	-245.026	2.370	45.450	9.376	45.450	9.376
-202.022	-244.557	2.376	45.178	9.375	45.178	9.375
-201.913	-244.042	2.389	44.738	9.402	44.738	9.402
-201.899	-244.080	2.384	44.875	9.321	44.875	9.321
-201.873	-244.112	2.375	44.782	9.255	44.782	9.255
-202.070	-244.136	2.387	44.701	9.286	44.701	9.286
-201.847	-243.255	2.404	44.114	9.255	44.114	9.255
-201.820	-243.580	2.407	44.269	9.219	44.269	9.219
-202.006	-243.510	2.405	44.179	9.192	44.179	9.192
-201.863	-243.147	2.403	43.700	9.206	43.700	9.206
-201.719	-242.713	2.406	43.572	9.180	43.572	9.180
-201.445	-242.302	2.419	43.190	9.178	43.190	9.178
-201.738	-241.888	2.411	43.268	9.129	43.268	9.129
-201.623	-242.365	2.417	43.018	9.052	43.018	9.052
-201.604	-241.549	2.428	42.697	9.066	42.697	9.066
-201.653	-242.015	2.418	42.642	9.055	42.642	9.055
-201.563	-241.641	2.436	42.534	9.019	42.534	9.019
-201.430	-242.029	2.419	42.605	8.971	42.605	8.971
-201.580	-241.640	2.439	42.044	9.026	42.044	9.026
-201.728	-241.078	2.445	42.120	9.014	42.120	9.014
-201.507	-241.067	2.438	42.074	9.012	42.074	9.012
-201.604	-240.857	2.444	41.631	8.996	41.631	8.996
-201.610	-240.550	2.460	41.428	8.979	41.428	8.979
-201.267	-240.487	2.458	41.324	8.932	41.324	8.932
-201.579	-240.061	2.459	40.702	8.913	40.702	8.913
-201.428	-239.938	2.478	40.893	8.882	40.893	8.882
-201.514	-240.364	2.479	40.978	8.798	40.978	8.798
-201.378	-239.149	2.490	40.172	8.862	40.172	8.862
-201.433	-239.422	2.486	40.370	8.839	40.370	8.839
-201.422	-239.096	2.503	39.910	8.822	39.910	8.822
-201.239	-239.529	2.489	40.526	8.725	40.526	8.725
-201.412	-239.631	2.508	40.351	8.737	40.351	8.737
-201.096	-239.549	2.489	40.119	8.705	40.119	8.705
-201.208	-238.654	2.518	39.752	8.694	39.752	8.694
-201.387	-238.956	2.520	39.492	8.679	39.492	8.679
-201.127	-238.064	2.539	39.286	8.622	39.286	8.622
-201.108	-238.360	2.538	39.220	8.610	39.220	8.610
-201.025	-238.457	2.539	39.385	8.593	39.385	8.593
-201.408	-238.340	2.540	38.951	8.569	38.951	8.569
-201.006	-237.661	2.549	38.772	8.470	38.772	8.470
-200.963	-237.896	2.560	38.748	8.503	38.748	8.503
-201.280	-237.342	2.562	38.075	8.507	38.075	8.507
-200.932	-236.737	2.556	38.103	8.437	38.103	8.437
-200.969	-237.419	2.562	38.310	8.443	38.310	8.443
-200.984	-237.840	2.577	38.299	8.327	38.299	8.327
-200.769	-236.936	2.582	37.850	8.385	37.850	8.385
-201.154	-237.099	2.578	37.796	8.378	37.796	8.378
-201.046	-236.697	2.585	37.483	8.358	37.483	8.358
-200.794	-236.235	2.606	37.367	8.327	37.367	8.327
-201.058	-236.692	2.611	37.444	8.303	37.444	8.303
-200.914	-235.832	2.612	36.982	8.287	36.982	8.287
-200.958	-235.972	2.627	36.916	8.274	36.916	8.274
-200.899	-236.212	2.592	37.104	8.284	37.104	8.284
-200.859	-236.400	2.608	37.109	8.179	37.109	8.179
-200.690	-235.917	2.631	36.940	8.173	36.940	8.173
-200.986	-235.676	2.632	36.706	8.181	36.706	8.181
-200.689	-235.874	2.645	36.712	8.187	36.712	8.187
-200.714	-235.185	2.630	36.014	8.219	36.014	8.219
-200.816	-235.326	2.646	36.215	8.127	36.215	8.127
-200.687	-235.454	2.651	36.310	8.071	36.310	8.071
-200.828	-235.149	2.668	36.004	8.040	36.004	8.040
-200.886	-235.377	2.675	36.114	8.016	36.114	8.016
-200.783	-235.709	2.684	36.164	7.978	36.164	7.978
-200.826	-234.763	2.697	35.991	7.985	35.991	7.985
-200.735	-234.928	2.688	35.878	8.063	35.878	8.063
