EUBO, ELBO, ESS, KLs_ex, KLs_in
-165.46937994384766, -334.9239149169922, 1.0766552290916442, 236.35472509765626, 20.901962680816652
-164.1251268310547, -330.5620239868164, 1.0704708161354064, 231.7998539428711, 21.168069206237792
-163.0907049255371, -328.0093555297852, 1.0842168169021607, 228.0441781311035, 21.579517353057863
-161.7770851135254, -323.30004388427733, 1.078795771598816, 225.82646215820313, 21.62115023803711
-161.57767913818358, -321.66064459228517, 1.0848548135757445, 223.01979498291016, 22.16292992401123
-160.04387716674805, -317.7087933959961, 1.0867773756980896, 219.52906079101564, 22.864625492095946
-158.2370304260254, -316.09720056152344, 1.087324409008026, 218.51273834228516, 23.39402099609375
-157.48904534912108, -316.7444389038086, 1.0890711579322816, 217.57209497070312, 23.196697116851805
-157.09088803100585, -314.36656646728517, 1.0889725308418274, 216.65750143432618, 22.59473685836792
-156.43343640136717, -310.91110913085936, 1.0948532166481018, 212.64637115478516, 22.662400672912597
-155.19501425170898, -310.32193499755857, 1.089254158973694, 211.17375427246094, 23.134806587219238
-155.20616073608397, -310.22097540283204, 1.0965290293693541, 210.34796438598633, 23.06717099761963
-153.22037786865235, -305.4572650756836, 1.092045998096466, 208.23534115600586, 23.07177018737793
-152.69735873413086, -302.93892785644533, 1.0951590104103088, 204.98760217285155, 23.26685618209839
-152.26973684692382, -300.69031896972655, 1.102081931591034, 202.55005682373047, 23.50671036529541
-151.52977969360353, -297.42588500976564, 1.1039990339279175, 200.2283408203125, 23.83231450653076
-151.20732431030274, -297.3021185913086, 1.099285861492157, 198.52450198364258, 23.885286918640137
-150.08862231445312, -296.27172143554685, 1.102572961807251, 197.59727365112306, 23.897715034484865
-149.1030185852051, -292.5574337768555, 1.107080765247345, 194.3743833618164, 24.14073775100708
-149.02826776123047, -289.3207416381836, 1.1122629156112671, 189.83895779418944, 23.753643611907957
-148.37145886230468, -288.55374560546875, 1.1156361074447632, 189.71957818603516, 23.768303504943848
-148.26100588989257, -286.6573759155273, 1.1197023615837096, 188.39602572631836, 23.692996002197265
-146.5018325805664, -285.90735931396483, 1.1152717461586, 187.23268334960937, 23.28362116622925
-146.63332290649413, -283.6996871948242, 1.1117708311080932, 185.24850173950196, 22.962403537750244
-146.04520495605468, -285.591178527832, 1.1155774641036986, 185.36364987182617, 22.286770713806153
-145.6715509033203, -283.372313293457, 1.1181767587661744, 182.84221835327148, 21.737273609161377
-144.89511645507812, -279.08423583984376, 1.122697816848755, 180.19193170166017, 21.430839347839356
-143.67621563720704, -278.36638885498047, 1.1267352361679077, 179.10764999389647, 20.852899993896486
-143.01724710083008, -275.2560396118164, 1.1255763478279113, 176.9509985961914, 20.710198566436766
-142.6762646179199, -270.55126165771486, 1.128978036403656, 174.11522088623047, 20.79215587234497
-142.9688544921875, -268.4538734741211, 1.1282389721870423, 170.44098107910156, 20.589969604492186
-141.99533294677735, -266.34976232910157, 1.1348217706680297, 167.9367682800293, 20.591288223266602
-141.08862686157227, -265.0366619873047, 1.1331093716621399, 165.76762454223632, 20.37382102203369
-140.94594390869142, -263.67972271728513, 1.1447524909973144, 164.8690385131836, 20.076937164306642
-140.50344400024414, -263.1084595336914, 1.1386549038887024, 164.16399322509767, 19.40071443939209
-140.15078430175782, -259.2640433959961, 1.1444867639541625, 160.47042764282227, 19.092754508972167
-139.1171246032715, -257.500915222168, 1.1452485494613647, 158.54515524291992, 18.89634232711792
-139.54476867675783, -254.73566278076171, 1.1434052424430847, 155.8151633605957, 19.62933984375
-138.95009924316406, -251.76127911376952, 1.1442252826690673, 151.8984536743164, 20.014790756225587
-137.39373947143554, -249.15221447753908, 1.1563684763908386, 150.94318020629882, 19.904439613342284
-137.40302648925783, -246.7401142578125, 1.1600482568740844, 149.59501208496093, 19.946170730590822
-137.60920529174805, -246.89472583007813, 1.1514205288887025, 147.80169757080077, 20.08035847091675
-136.72852368164064, -244.31891595458984, 1.1611111598014832, 145.15329736328124, 20.120790199279785
-136.63661367797852, -242.24763970947265, 1.161612488746643, 144.2263602142334, 19.887338218688964
-136.09908474731446, -241.38617376708984, 1.1674138798713685, 143.17328198242188, 19.45667216873169
-135.5193821105957, -237.37321252441407, 1.163732638835907, 139.75764849853516, 19.5569030418396
-135.26963250732422, -235.92392657470702, 1.1652583684921265, 138.04891082763672, 19.454858821868896
-134.32862802124023, -235.85296459960938, 1.1614679980278015, 137.21008364868163, 18.92773045349121
-134.29545993041992, -233.62648638916016, 1.1652653441429137, 135.1149259185791, 18.192261280059814
-133.5007366333008, -231.9920980834961, 1.1657719388008119, 133.1127153930664, 17.967109657287597
-133.32396710205077, -227.8552183227539, 1.1768166704177856, 129.33421586608887, 17.946229038238524
-132.78081671142579, -226.77662786865235, 1.1842183070182801, 128.61194877624513, 17.487599475860595
-132.2807357788086, -226.71141046142577, 1.1735566515922546, 127.61195477294922, 17.03620993423462
-132.650145904541, -226.66046221923827, 1.1723221487998963, 127.675099609375, 16.886486095428467
-131.80531701660155, -222.7125991821289, 1.181124568939209, 124.55267932128906, 16.983489570617675
-131.1295253601074, -221.00874877929687, 1.1863522696495057, 123.33094848632813, 16.933712867736816
-130.87368029785156, -221.1014116821289, 1.1815947775840758, 122.27705949401856, 16.645643615722655
