EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-204.793	-261.208	2.195	62.564	11.613	62.564	11.613
-204.678	-260.370	2.213	62.141	11.565	62.141	11.565
-204.405	-259.892	2.217	61.559	11.541	61.559	11.541
-204.434	-260.388	2.205	61.999	11.438	61.999	11.438
-204.165	-260.672	2.231	61.506	11.413	61.506	11.413
-204.098	-259.803	2.237	61.573	11.311	61.573	11.311
-204.090	-260.399	2.245	61.611	11.200	61.611	11.200
-204.209	-259.338	2.272	61.105	11.188	61.105	11.188
-204.270	-259.007	2.277	60.099	11.220	60.099	11.220
-204.232	-258.718	2.279	60.286	11.127	60.286	11.127
-204.059	-258.991	2.278	60.030	11.050	60.030	11.050
-204.006	-258.319	2.288	59.829	11.091	59.829	11.091
-204.042	-258.355	2.295	59.835	10.975	59.835	10.975
-203.927	-257.695	2.308	59.404	10.922	59.404	10.922
-203.632	-257.377	2.320	58.931	10.797	58.931	10.797
-203.842	-257.137	2.331	58.094	10.798	58.094	10.798
-203.583	-255.565	2.354	57.439	10.769	57.439	10.769
-203.385	-255.649	2.343	57.050	10.707	57.050	10.707
-203.764	-256.033	2.362	57.253	10.635	57.253	10.635
-203.682	-255.773	2.389	56.896	10.576	56.896	10.576
-203.602	-255.532	2.373	56.897	10.536	56.897	10.536
-203.447	-254.278	2.394	55.935	10.550	55.935	10.550
-203.338	-254.573	2.405	55.679	10.447	55.679	10.447
-203.615	-254.345	2.416	55.205	10.480	55.205	10.480
-203.330	-253.270	2.437	54.799	10.356	54.799	10.356
-203.286	-252.938	2.437	54.887	10.290	54.887	10.290
-203.060	-253.643	2.444	54.768	10.175	54.768	10.175
-203.150	-252.134	2.459	53.754	10.250	53.754	10.250
-203.131	-252.347	2.472	53.899	10.088	53.899	10.088
-203.007	-253.167	2.470	54.288	10.026	54.288	10.026
-202.992	-252.191	2.506	53.830	9.990	53.830	9.990
-202.821	-251.956	2.520	53.190	9.939	53.190	9.939
-203.114	-251.234	2.538	52.927	9.879	52.927	9.879
-202.713	-250.546	2.557	51.738	9.861	51.738	9.861
-202.840	-250.573	2.547	51.945	9.767	51.945	9.767
-202.597	-250.057	2.566	51.697	9.669	51.697	9.669
-202.351	-249.318	2.566	50.870	9.588	50.870	9.588
-202.487	-248.735	2.582	50.254	9.531	50.254	9.531
-202.409	-249.631	2.603	50.665	9.452	50.665	9.452
-202.388	-249.171	2.622	50.924	9.344	50.924	9.344
-202.441	-248.954	2.639	50.240	9.322	50.240	9.322
-202.297	-247.914	2.642	49.737	9.265	49.737	9.265
-202.344	-247.710	2.678	49.407	9.239	49.407	9.239
-202.097	-247.589	2.688	49.029	9.135	49.029	9.135
-202.171	-246.380	2.709	48.107	9.092	48.107	9.092
-201.986	-245.488	2.723	46.761	9.080	46.761	9.080
-201.888	-245.359	2.728	46.422	9.057	46.422	9.057
-201.849	-244.786	2.766	46.482	8.973	46.482	8.973
-201.794	-244.704	2.754	46.341	8.849	46.341	8.849
-202.046	-244.861	2.774	46.302	8.783	46.302	8.783
-202.124	-244.679	2.802	45.459	8.788	45.459	8.788
-201.931	-243.914	2.812	45.358	8.704	45.358	8.704
-201.856	-243.067	2.829	44.731	8.623	44.731	8.623
-201.625	-243.397	2.856	45.075	8.574	45.075	8.574
-201.826	-242.962	2.861	44.317	8.493	44.317	8.493
-201.500	-242.552	2.873	43.932	8.523	43.932	8.523
-201.457	-242.606	2.874	43.579	8.324	43.579	8.324
-201.573	-242.419	2.899	43.542	8.331	43.542	8.331
-201.311	-242.403	2.910	44.086	8.254	44.086	8.254
-201.186	-241.488	2.925	43.320	8.206	43.320	8.206
-201.338	-241.002	2.952	42.809	8.174	42.809	8.174
-201.424	-241.069	2.971	42.487	8.109	42.487	8.109
-201.079	-240.326	2.979	41.954	8.039	41.954	8.039
-201.221	-240.043	3.002	41.354	8.017	41.354	8.017
-201.216	-239.690	2.992	41.067	7.988	41.067	7.988
-200.753	-239.446	3.012	41.158	7.863	41.158	7.863
-201.295	-239.195	3.040	40.926	7.905	40.926	7.905
-200.930	-239.237	3.039	41.044	7.771	41.044	7.771
-201.099	-238.778	3.060	40.183	7.793	40.183	7.793
-201.126	-238.863	3.069	40.116	7.787	40.116	7.787
-201.070	-238.222	3.061	39.217	7.744	39.217	7.744
-201.065	-237.271	3.090	39.093	7.675	39.093	7.675
-200.936	-236.848	3.094	38.104	7.696	38.104	7.696
-200.803	-236.707	3.135	38.629	7.642	38.629	7.642
-200.787	-237.436	3.134	38.465	7.584	38.465	7.584
-200.835	-236.585	3.139	38.010	7.526	38.010	7.526
-200.825	-236.352	3.143	37.977	7.551	37.977	7.551
-200.681	-235.495	3.152	37.286	7.477	37.286	7.477
-200.858	-235.581	3.157	37.113	7.494	37.113	7.494
-200.699	-235.971	3.177	37.340	7.397	37.340	7.397
-200.811	-235.973	3.185	37.312	7.376	37.312	7.376
-200.645	-235.272	3.194	36.932	7.366	36.932	7.366
-200.757	-235.318	3.200	36.634	7.408	36.634	7.408
-200.683	-235.227	3.204	36.317	7.344	36.317	7.344
-200.607	-234.201	3.220	35.769	7.327	35.769	7.327
-200.785	-233.828	3.235	35.429	7.310	35.429	7.310
-200.266	-234.160	3.239	35.401	7.246	35.401	7.246
-200.419	-233.777	3.239	35.702	7.234	35.702	7.234
-200.423	-233.545	3.247	35.318	7.121	35.318	7.121
-200.501	-233.370	3.251	34.817	7.155	34.817	7.155
-200.443	-232.715	3.260	34.431	7.178	34.431	7.178
-200.540	-232.925	3.288	34.468	7.185	34.468	7.185
-200.202	-232.450	3.286	34.299	7.158	34.299	7.158
-200.187	-232.284	3.289	34.100	7.015	34.100	7.015
-200.379	-232.284	3.300	33.906	7.007	33.906	7.007
-200.297	-231.777	3.313	33.434	7.004	33.434	7.004
-200.424	-231.663	3.302	33.387	7.034	33.387	7.034
-200.175	-232.367	3.312	33.591	7.014	33.591	7.014
-200.373	-231.836	3.316	33.311	7.014	33.311	7.014
-200.456	-231.538	3.341	32.636	6.873	32.636	6.873
-200.312	-230.719	3.337	32.302	6.941	32.302	6.941
-200.256	-231.020	3.330	32.520	6.874	32.520	6.874
-200.228	-230.804	3.325	32.057	6.883	32.057	6.883
-200.147	-230.474	3.345	31.872	6.809	31.872	6.809
-200.197	-229.803	3.367	31.599	6.803	31.599	6.803
-199.997	-230.124	3.365	31.690	6.784	31.690	6.784
-199.934	-229.965	3.388	31.779	6.723	31.779	6.723
-199.971	-229.912	3.396	31.505	6.728	31.505	6.728
-200.033	-229.461	3.374	31.041	6.728	31.041	6.728
-199.938	-228.871	3.389	30.751	6.709	30.751	6.709
-200.153	-229.083	3.413	30.434	6.737	30.434	6.737
-199.970	-229.502	3.408	30.681	6.673	30.681	6.673
-200.010	-229.394	3.429	30.764	6.655	30.764	6.655
-200.038	-229.074	3.434	30.573	6.688	30.573	6.688
-199.858	-228.595	3.427	30.110	6.636	30.110	6.636
-199.667	-228.117	3.412	29.939	6.564	29.939	6.564
-199.843	-228.618	3.425	30.031	6.647	30.031	6.647
-199.759	-227.621	3.451	29.134	6.593	29.134	6.593
-199.869	-227.847	3.464	29.518	6.512	29.518	6.512
-199.860	-228.057	3.448	29.346	6.512	29.346	6.512
-199.888	-227.867	3.483	29.245	6.536	29.245	6.536
-200.027	-227.664	3.463	28.802	6.547	28.802	6.547
-199.957	-227.013	3.489	28.487	6.443	28.487	6.443
-199.934	-227.188	3.498	28.372	6.495	28.372	6.495
-199.833	-227.039	3.496	28.197	6.511	28.197	6.511
-199.717	-226.663	3.516	27.989	6.413	27.989	6.413
-199.639	-226.616	3.508	27.838	6.441	27.838	6.441
-199.535	-226.215	3.531	27.766	6.372	27.766	6.372
-199.537	-226.706	3.517	27.893	6.292	27.893	6.292
-199.614	-226.107	3.507	27.617	6.452	27.617	6.452
-199.413	-225.577	3.551	27.067	6.332	27.067	6.332
-199.521	-225.224	3.547	26.920	6.296	26.920	6.296
-199.415	-225.282	3.541	27.028	6.258	27.028	6.258
-199.648	-225.238	3.549	26.800	6.281	26.800	6.281
-199.392	-224.942	3.569	26.632	6.226	26.632	6.226
-199.619	-225.409	3.556	26.791	6.267	26.791	6.267
-199.509	-225.091	3.576	26.710	6.280	26.710	6.280
-199.546	-225.146	3.582	26.604	6.183	26.604	6.183
-199.574	-224.991	3.599	26.546	6.151	26.546	6.151
-199.587	-224.714	3.612	26.757	6.133	26.757	6.133
-199.427	-225.171	3.585	26.759	6.094	26.759	6.094
-199.424	-224.417	3.619	26.070	6.047	26.070	6.047
-199.438	-224.649	3.621	26.140	6.075	26.140	6.075
-199.306	-224.330	3.622	25.592	6.065	25.592	6.065
-199.261	-224.354	3.615	25.396	6.047	25.396	6.047
-199.421	-224.491	3.644	26.014	6.006	26.014	6.006
-199.588	-224.390	3.627	26.074	6.108	26.074	6.108
-199.297	-223.751	3.644	25.631	6.022	25.631	6.022
-199.437	-224.111	3.656	25.463	6.002	25.463	6.002
-199.481	-223.336	3.650	24.553	6.012	24.553	6.012
-199.430	-223.324	3.664	24.885	6.073	24.885	6.073
-199.312	-222.981	3.684	24.782	5.934	24.782	5.934
-199.252	-222.715	3.674	24.367	5.931	24.367	5.931
-199.196	-222.882	3.693	24.092	5.940	24.092	5.940
-199.473	-223.102	3.681	24.489	5.906	24.489	5.906
-199.239	-223.014	3.701	24.647	5.889	24.647	5.889
-199.315	-222.849	3.716	24.001	5.858	24.001	5.858
-199.309	-222.403	3.738	23.974	5.861	23.974	5.861
-199.392	-222.477	3.727	24.178	5.863	24.178	5.863
-199.337	-222.348	3.723	23.740	5.894	23.740	5.894
