tensor(5.2355, grad_fn=<MeanBackward1>)
tensor(4.7010, grad_fn=<MeanBackward1>)
tensor(5.2043, grad_fn=<MeanBackward1>)
tensor(4.8995, grad_fn=<MeanBackward1>)
tensor(5.3980, grad_fn=<MeanBackward1>)
tensor(4.7160, grad_fn=<MeanBackward1>)
tensor(4.6803, grad_fn=<MeanBackward1>)
tensor(5.0281, grad_fn=<MeanBackward1>)
tensor(5.0066, grad_fn=<MeanBackward1>)
tensor(4.9782, grad_fn=<MeanBackward1>)
tensor(5.1024, grad_fn=<MeanBackward1>)
tensor(4.6972, grad_fn=<MeanBackward1>)
tensor(5.1253, grad_fn=<MeanBackward1>)
tensor(4.7852, grad_fn=<MeanBackward1>)
tensor(5.3425, grad_fn=<MeanBackward1>)
tensor(4.5060, grad_fn=<MeanBackward1>)
tensor(4.5633, grad_fn=<MeanBackward1>)
tensor(4.8588, grad_fn=<MeanBackward1>)
tensor(4.9607, grad_fn=<MeanBackward1>)
tensor(4.9614, grad_fn=<MeanBackward1>)
tensor(4.8352, grad_fn=<MeanBackward1>)
tensor(4.5317, grad_fn=<MeanBackward1>)
tensor(4.9758, grad_fn=<MeanBackward1>)
tensor(4.7209, grad_fn=<MeanBackward1>)
tensor(5.1042, grad_fn=<MeanBackward1>)
tensor(4.4981, grad_fn=<MeanBackward1>)
tensor(4.5068, grad_fn=<MeanBackward1>)
tensor(4.8163, grad_fn=<MeanBackward1>)
tensor(4.9031, grad_fn=<MeanBackward1>)
tensor(4.8821, grad_fn=<MeanBackward1>)
tensor(4.8193, grad_fn=<MeanBackward1>)
tensor(4.4421, grad_fn=<MeanBackward1>)
tensor(4.9494, grad_fn=<MeanBackward1>)
tensor(4.5688, grad_fn=<MeanBackward1>)
tensor(5.0791, grad_fn=<MeanBackward1>)
tensor(4.3709, grad_fn=<MeanBackward1>)
tensor(4.4579, grad_fn=<MeanBackward1>)
tensor(4.6492, grad_fn=<MeanBackward1>)
tensor(4.7435, grad_fn=<MeanBackward1>)
tensor(4.8037, grad_fn=<MeanBackward1>)
tensor(4.7961, grad_fn=<MeanBackward1>)
tensor(4.3260, grad_fn=<MeanBackward1>)
