TrueKL=0.000589, loss: 11.038755,  ess_rws: 1.137736,  ess_eta: 9.972339,  ess_z: 7.896628,  inckl_eta: 0.001216,  inckl_z: 0.113118
TrueKL=0.000648, loss: 11.050690,  ess_rws: 1.145481,  ess_eta: 9.970494,  ess_z: 7.930891,  inckl_eta: 0.001125,  inckl_z: 0.110218
TrueKL=0.000561, loss: 11.042612,  ess_rws: 1.144497,  ess_eta: 9.973344,  ess_z: 7.906947,  inckl_eta: 0.001071,  inckl_z: 0.110286
TrueKL=0.000587, loss: 11.040685,  ess_rws: 1.143970,  ess_eta: 9.972884,  ess_z: 7.938124,  inckl_eta: 0.001233,  inckl_z: 0.109640
TrueKL=0.000547, loss: 11.072605,  ess_rws: 1.144884,  ess_eta: 9.974072,  ess_z: 7.928964,  inckl_eta: 0.001089,  inckl_z: 0.107070
TrueKL=0.000547, loss: 11.035108,  ess_rws: 1.141198,  ess_eta: 9.974090,  ess_z: 7.978052,  inckl_eta: 0.001283,  inckl_z: 0.106088
TrueKL=0.000591, loss: 11.036373,  ess_rws: 1.143771,  ess_eta: 9.972754,  ess_z: 8.019365,  inckl_eta: 0.001279,  inckl_z: 0.101014
TrueKL=0.000864, loss: 11.090057,  ess_rws: 1.145775,  ess_eta: 9.971327,  ess_z: 7.993007,  inckl_eta: 0.001286,  inckl_z: 0.104228
TrueKL=0.000683, loss: 11.106542,  ess_rws: 1.145274,  ess_eta: 9.972537,  ess_z: 8.004852,  inckl_eta: 0.001312,  inckl_z: 0.101880
TrueKL=0.000542, loss: 11.063558,  ess_rws: 1.140953,  ess_eta: 9.973462,  ess_z: 8.034169,  inckl_eta: 0.001992,  inckl_z: 0.099502
TrueKL=0.000617, loss: 11.084561,  ess_rws: 1.142152,  ess_eta: 9.971296,  ess_z: 8.065914,  inckl_eta: 0.001269,  inckl_z: 0.095683
TrueKL=0.000506, loss: 11.086611,  ess_rws: 1.145214,  ess_eta: 9.975233,  ess_z: 8.063188,  inckl_eta: 0.000913,  inckl_z: 0.100064
TrueKL=0.000624, loss: 11.091251,  ess_rws: 1.147296,  ess_eta: 9.971267,  ess_z: 8.051273,  inckl_eta: 0.001174,  inckl_z: 0.096306
TrueKL=0.000542, loss: 11.103480,  ess_rws: 1.146462,  ess_eta: 9.974167,  ess_z: 8.090090,  inckl_eta: 0.000834,  inckl_z: 0.095175
TrueKL=0.000645, loss: 11.088411,  ess_rws: 1.142613,  ess_eta: 9.970649,  ess_z: 8.077484,  inckl_eta: 0.001237,  inckl_z: 0.093084
TrueKL=0.000572, loss: 11.105255,  ess_rws: 1.146847,  ess_eta: 9.973013,  ess_z: 8.093939,  inckl_eta: 0.001308,  inckl_z: 0.093398
TrueKL=0.000826, loss: 11.137044,  ess_rws: 1.146357,  ess_eta: 9.973919,  ess_z: 8.082943,  inckl_eta: 0.001263,  inckl_z: 0.092692
TrueKL=0.000570, loss: 11.115528,  ess_rws: 1.148400,  ess_eta: 9.972942,  ess_z: 8.126823,  inckl_eta: 0.001001,  inckl_z: 0.092710
TrueKL=0.000527, loss: 11.134618,  ess_rws: 1.143591,  ess_eta: 9.974815,  ess_z: 8.134044,  inckl_eta: 0.001183,  inckl_z: 0.093655
TrueKL=0.000567, loss: 11.143642,  ess_rws: 1.145393,  ess_eta: 9.973126,  ess_z: 8.158513,  inckl_eta: 0.001028,  inckl_z: 0.093525
TrueKL=0.000632, loss: 11.150724,  ess_rws: 1.145645,  ess_eta: 9.970638,  ess_z: 8.161751,  inckl_eta: 0.007140,  inckl_z: 0.089323
TrueKL=0.000617, loss: 11.130744,  ess_rws: 1.143798,  ess_eta: 9.971553,  ess_z: 8.172403,  inckl_eta: 0.001267,  inckl_z: 0.087674
TrueKL=0.000570, loss: 11.109960,  ess_rws: 1.141931,  ess_eta: 9.973380,  ess_z: 8.173819,  inckl_eta: 0.001252,  inckl_z: 0.090248
TrueKL=0.000588, loss: 11.077205,  ess_rws: 1.145724,  ess_eta: 9.973518,  ess_z: 8.216889,  inckl_eta: 0.001245,  inckl_z: 0.084973
TrueKL=0.000579, loss: 11.126057,  ess_rws: 1.141686,  ess_eta: 9.972711,  ess_z: 8.218334,  inckl_eta: 0.001112,  inckl_z: 0.083853
TrueKL=0.000578, loss: 11.127038,  ess_rws: 1.146603,  ess_eta: 9.973279,  ess_z: 8.241319,  inckl_eta: 0.001095,  inckl_z: 0.084522
TrueKL=0.001722, loss: 11.075710,  ess_rws: 1.139270,  ess_eta: 9.972373,  ess_z: 8.229296,  inckl_eta: 0.001234,  inckl_z: 0.084067
TrueKL=0.000642, loss: 11.111566,  ess_rws: 1.144490,  ess_eta: 9.970585,  ess_z: 8.237642,  inckl_eta: 0.001267,  inckl_z: 0.080956
TrueKL=0.000544, loss: 11.163382,  ess_rws: 1.148380,  ess_eta: 9.973730,  ess_z: 8.236994,  inckl_eta: 0.001115,  inckl_z: 0.085886
TrueKL=0.008792, loss: 11.132421,  ess_rws: 1.147193,  ess_eta: 9.972640,  ess_z: 8.259130,  inckl_eta: 0.000986,  inckl_z: 0.083667
TrueKL=0.003841, loss: 11.096534,  ess_rws: 1.146485,  ess_eta: 9.973580,  ess_z: 8.262226,  inckl_eta: 0.001167,  inckl_z: 0.082323
