snr: 1.058459, var: 2.421010, inckl_gen:190.170151
snr: 1.006104, var: 1.423348, inckl_gen:58.066357
snr: 1.004783, var: 1.482529, inckl_gen:17.856915
snr: 1.004581, var: 1.478163, inckl_gen:84.147820
snr: 1.005697, var: 1.432108, inckl_gen:144.890640
snr: 1.005202, var: 1.444570, inckl_gen:50.178780
snr: 1.004922, var: 1.494729, inckl_gen:24.557587
snr: 1.004235, var: 1.512991, inckl_gen:167.733124
snr: 1.004288, var: 1.531348, inckl_gen:127.071365
snr: 1.005500, var: 1.564127, inckl_gen:91.766724
snr: 1.004519, var: 1.523165, inckl_gen:74.607788
snr: 1.004645, var: 1.485411, inckl_gen:51.079327
snr: 1.005332, var: 1.497653, inckl_gen:85.397743
snr: 1.006490, var: 1.470568, inckl_gen:31.652750
snr: 1.005272, var: 1.431719, inckl_gen:33.001564
snr: 1.004211, var: 1.516372, inckl_gen:88.496399
snr: 1.004835, var: 1.491505, inckl_gen:29.825247
snr: 1.004989, var: 1.537476, inckl_gen:19.094072
snr: 1.005847, var: 1.529971, inckl_gen:140.056442
snr: 1.004646, var: 1.557397, inckl_gen:117.907280
snr: 1.004644, var: 1.572448, inckl_gen:76.504738
snr: 1.004908, var: 1.546053, inckl_gen:11.117999
snr: 1.004566, var: 1.569791, inckl_gen:48.408833
snr: 1.003534, var: 1.490801, inckl_gen:8.794701
snr: 1.004455, var: 1.557124, inckl_gen:13.701598
snr: 1.004626, var: 1.481526, inckl_gen:26.471399
snr: 1.006146, var: 1.481436, inckl_gen:8.463602
snr: 1.004852, var: 1.504086, inckl_gen:37.139713
snr: 1.005880, var: 1.584520, inckl_gen:19.238672
snr: 1.006637, var: 1.564904, inckl_gen:10.337340
snr: 1.004709, var: 1.569431, inckl_gen:118.289116
snr: 1.004180, var: 1.578810, inckl_gen:11.621057
snr: 1.005218, var: 1.572510, inckl_gen:29.158192
snr: 1.005177, var: 1.587429, inckl_gen:38.610321
snr: 1.004918, var: 1.468335, inckl_gen:13.042373
snr: 1.005202, var: 1.486056, inckl_gen:3.962856
snr: 1.004789, var: 1.557802, inckl_gen:37.604290
snr: 1.004195, var: 1.624279, inckl_gen:24.789297
snr: 1.004937, var: 1.466196, inckl_gen:13.950721
snr: 1.004260, var: 1.470519, inckl_gen:50.071453
snr: 1.006000, var: 1.554424, inckl_gen:111.703484
snr: 1.003667, var: 1.546721, inckl_gen:22.977591
snr: 1.005231, var: 1.537100, inckl_gen:52.348293
snr: 1.004841, var: 1.587064, inckl_gen:11.931537
snr: 1.005710, var: 1.640013, inckl_gen:145.571808
snr: 1.004325, var: 1.587582, inckl_gen:26.635059
snr: 1.004770, var: 1.506581, inckl_gen:20.635021
snr: 1.004024, var: 1.490176, inckl_gen:49.141014
snr: 1.005772, var: 1.497186, inckl_gen:49.947548
snr: 1.005604, var: 1.515347, inckl_gen:10.994535
snr: 1.005854, var: 1.483545, inckl_gen:23.015566
snr: 1.004556, var: 1.615301, inckl_gen:34.362011
snr: 1.005758, var: 1.504439, inckl_gen:5.542507
snr: 1.005547, var: 1.577022, inckl_gen:17.248207
snr: 1.004522, var: 1.618482, inckl_gen:20.543242
snr: 1.005142, var: 1.635197, inckl_gen:2.182510
snr: 1.003810, var: 1.546207, inckl_gen:0.989038
snr: 1.005531, var: 1.618643, inckl_gen:39.196629
snr: 1.006524, var: 1.546409, inckl_gen:47.031166
snr: 1.004149, var: 1.624204, inckl_gen:14.178612
snr: 1.004655, var: 1.518499, inckl_gen:12.542351
snr: 1.004254, var: 1.531552, inckl_gen:58.230762
snr: 1.005822, var: 1.654887, inckl_gen:53.731934
snr: 1.003667, var: 1.591660, inckl_gen:44.223450
snr: 1.004859, var: 1.601947, inckl_gen:16.810909
snr: 1.004490, var: 1.600861, inckl_gen:22.744957
snr: 1.003419, var: 1.665687, inckl_gen:27.717329
snr: 1.005589, var: 1.578479, inckl_gen:51.093719
snr: 1.004768, var: 1.544191, inckl_gen:8.754938
snr: 1.004845, var: 1.551752, inckl_gen:4.519617
snr: 1.004496, var: 1.630204, inckl_gen:5.718522
snr: 1.005915, var: 1.557662, inckl_gen:47.075623
snr: 1.004317, var: 1.563044, inckl_gen:1.384810
snr: 1.004096, var: 1.628006, inckl_gen:1.990953
snr: 1.003401, var: 1.635038, inckl_gen:16.857092
snr: 1.004807, var: 1.609814, inckl_gen:2.704437
snr: 1.004522, var: 1.566926, inckl_gen:148.529419
snr: 1.004370, var: 1.663200, inckl_gen:20.753424
snr: 1.004943, var: 1.594137, inckl_gen:4.147541
snr: 1.003670, var: 1.565092, inckl_gen:23.286924
snr: 1.005507, var: 1.663423, inckl_gen:18.565744
snr: 1.006062, var: 1.604884, inckl_gen:2.676126
snr: 1.004794, var: 1.662014, inckl_gen:3.086925
snr: 1.003361, var: 1.616944, inckl_gen:38.818592
snr: 1.005391, var: 1.591429, inckl_gen:0.841285
snr: 1.003553, var: 1.724581, inckl_gen:9.987790
snr: 1.004329, var: 1.648612, inckl_gen:39.077938
snr: 1.003358, var: 1.555923, inckl_gen:21.766527
snr: 1.004552, var: 1.616509, inckl_gen:19.148642
snr: 1.004150, var: 1.619645, inckl_gen:1.511143
snr: 1.003487, var: 1.763528, inckl_gen:0.225515
snr: 1.003652, var: 1.673577, inckl_gen:31.377827
snr: 1.004479, var: 1.600746, inckl_gen:2.147676
snr: 1.006239, var: 1.727426, inckl_gen:4.349611
snr: 1.004118, var: 1.609893, inckl_gen:6.339957
snr: 1.006086, var: 1.598445, inckl_gen:4.854650
snr: 1.005050, var: 1.641385, inckl_gen:1.680826
snr: 1.004124, var: 1.729684, inckl_gen:51.746967
snr: 1.003940, var: 1.710390, inckl_gen:15.771359
snr: 1.004079, var: 1.621055, inckl_gen:5.491839
snr: 1.004266, var: 1.601671, inckl_gen:105.271706
snr: 1.003616, var: 1.669539, inckl_gen:35.695251
snr: 1.004791, var: 1.643005, inckl_gen:1.189746
snr: 1.004123, var: 1.685121, inckl_gen:3.897835
snr: 1.004664, var: 1.614303, inckl_gen:1.102264
snr: 1.004785, var: 1.668795, inckl_gen:0.688218
snr: 1.004320, var: 1.650241, inckl_gen:11.505433
snr: 1.004681, var: 1.711810, inckl_gen:2.179021
snr: 1.003750, var: 1.671109, inckl_gen:11.317130
snr: 1.003958, var: 1.715717, inckl_gen:11.683999
snr: 1.004986, var: 1.695399, inckl_gen:37.903473
snr: 1.004332, var: 1.753237, inckl_gen:1.100336
snr: 1.004766, var: 1.722138, inckl_gen:4.007200
snr: 1.004022, var: 1.683268, inckl_gen:9.522804
snr: 1.003129, var: 1.737236, inckl_gen:10.502604
snr: 1.004311, var: 1.721707, inckl_gen:16.046696
snr: 1.003920, var: 1.794180, inckl_gen:0.273732
snr: 1.005317, var: 1.769351, inckl_gen:11.186295
snr: 1.004316, var: 1.756372, inckl_gen:0.986810
snr: 1.005326, var: 1.673091, inckl_gen:0.564744
snr: 1.003877, var: 1.664357, inckl_gen:51.227600
snr: 1.004237, var: 1.660316, inckl_gen:23.263990
snr: 1.004482, var: 1.586761, inckl_gen:10.094169
snr: 1.004969, var: 1.705424, inckl_gen:0.331033
snr: 1.004117, var: 1.639651, inckl_gen:49.810173
snr: 1.003493, var: 1.644193, inckl_gen:0.961588
snr: 1.004784, var: 1.704316, inckl_gen:1.486653
snr: 1.003540, var: 1.688731, inckl_gen:6.182676
snr: 1.004759, var: 1.740135, inckl_gen:4.167274
snr: 1.003772, var: 1.767444, inckl_gen:28.542006
snr: 1.006333, var: 1.716895, inckl_gen:0.554003
snr: 1.003740, var: 1.758616, inckl_gen:2.019203
snr: 1.005327, var: 1.690490, inckl_gen:24.125662
snr: 1.003352, var: 1.740661, inckl_gen:6.124745
snr: 1.004441, var: 1.682489, inckl_gen:0.045360
snr: 1.003347, var: 1.733336, inckl_gen:17.400734
snr: 1.003686, var: 1.758353, inckl_gen:1.519200
snr: 1.005490, var: 1.798196, inckl_gen:47.563408
snr: 1.005887, var: 1.666726, inckl_gen:4.435881
snr: 1.004195, var: 1.682289, inckl_gen:16.190880
snr: 1.004066, var: 1.579853, inckl_gen:1.148355
snr: 1.004466, var: 1.727512, inckl_gen:5.454189
snr: 1.004601, var: 1.661085, inckl_gen:109.130974
snr: 1.003185, var: 1.749437, inckl_gen:3.645458
snr: 1.004932, var: 1.665873, inckl_gen:10.089099
snr: 1.004731, var: 1.719525, inckl_gen:6.812280
snr: 1.003877, var: 1.623044, inckl_gen:6.976737
snr: 1.003423, var: 1.700559, inckl_gen:5.983641
snr: 1.005047, var: 1.698059, inckl_gen:22.049309
snr: 1.003564, var: 1.827404, inckl_gen:2.032632
snr: 1.005229, var: 1.781687, inckl_gen:1.144832
snr: 1.003383, var: 1.704060, inckl_gen:48.559872
snr: 1.004549, var: 1.821981, inckl_gen:6.728257
snr: 1.005746, var: 1.747114, inckl_gen:0.030212
snr: 1.006392, var: 1.749372, inckl_gen:23.739887
snr: 1.004001, var: 1.698556, inckl_gen:0.653479
snr: 1.003944, var: 1.812907, inckl_gen:78.814941
snr: 1.003990, var: 1.694262, inckl_gen:1.327678
snr: 1.003848, var: 1.750970, inckl_gen:38.147331
snr: 1.003339, var: 1.775637, inckl_gen:9.732421
snr: 1.004472, var: 1.816646, inckl_gen:8.470887
snr: 1.004769, var: 1.736247, inckl_gen:18.563251
snr: 1.004070, var: 1.690015, inckl_gen:0.453314
snr: 1.005244, var: 1.722110, inckl_gen:2.348907
snr: 1.004341, var: 1.753558, inckl_gen:2.012048
snr: 1.003604, var: 1.824896, inckl_gen:13.317409
snr: 1.004265, var: 1.781069, inckl_gen:16.560919
snr: 1.004954, var: 1.865979, inckl_gen:3.724481
snr: 1.003453, var: 1.758766, inckl_gen:5.110209
snr: 1.003997, var: 1.742035, inckl_gen:37.958614
snr: 1.004520, var: 1.737282, inckl_gen:2.738674
snr: 1.003835, var: 1.825930, inckl_gen:41.334213
snr: 1.003376, var: 1.770860, inckl_gen:1.043255
snr: 1.004765, var: 1.752533, inckl_gen:1.876407
snr: 1.003954, var: 1.733486, inckl_gen:0.170809
snr: 1.003030, var: 1.755749, inckl_gen:2.958000
snr: 1.003545, var: 1.830083, inckl_gen:38.406120
snr: 1.004631, var: 1.713416, inckl_gen:5.413642
snr: 1.003864, var: 1.842734, inckl_gen:177.606094
snr: 1.004052, var: 1.724604, inckl_gen:0.644748
snr: 1.004049, var: 1.701603, inckl_gen:49.851299
snr: 1.003856, var: 1.667757, inckl_gen:0.203021
snr: 1.004177, var: 1.732223, inckl_gen:0.316247
snr: 1.006659, var: 1.764248, inckl_gen:0.796163
snr: 1.004942, var: 1.781782, inckl_gen:2.071005
snr: 1.004367, var: 1.802464, inckl_gen:146.031525
snr: 1.004183, var: 1.712218, inckl_gen:1.085206
snr: 1.005042, var: 1.843042, inckl_gen:0.839792
snr: 1.005082, var: 1.789745, inckl_gen:0.994511
snr: 1.003467, var: 1.711786, inckl_gen:3.010139
snr: 1.003870, var: 1.662128, inckl_gen:5.525325
snr: 1.006016, var: 1.729907, inckl_gen:140.072327
snr: 1.004454, var: 1.826393, inckl_gen:4.551841
snr: 1.006724, var: 1.766199, inckl_gen:0.141869
snr: 1.003009, var: 1.743399, inckl_gen:4.028738
snr: 1.004455, var: 1.765168, inckl_gen:0.264214
snr: 1.003616, var: 1.837028, inckl_gen:14.578438
snr: 1.003617, var: 1.702332, inckl_gen:24.198036
snr: 1.004222, var: 1.796627, inckl_gen:3.569529
snr: 1.002691, var: 1.800478, inckl_gen:4.385350
snr: 1.003493, var: 1.774891, inckl_gen:0.383087
snr: 1.003570, var: 1.749686, inckl_gen:0.442658
