snr: 1.096300, var: 1.813104, inckl_gen:182.389404
snr: 1.019467, var: 1.593055, inckl_gen:418.879547
snr: 1.014497, var: 1.599932, inckl_gen:162.540695
snr: 1.015114, var: 1.627195, inckl_gen:289.633392
snr: 1.015450, var: 1.623358, inckl_gen:194.191650
snr: 1.011142, var: 1.539260, inckl_gen:171.405136
snr: 1.008611, var: 1.630856, inckl_gen:209.650299
snr: 1.007776, var: 1.514042, inckl_gen:211.866409
snr: 1.008379, var: 1.531832, inckl_gen:122.233818
snr: 1.008600, var: 1.553327, inckl_gen:157.628922
snr: 1.012305, var: 1.523113, inckl_gen:237.563873
snr: 1.011596, var: 1.464943, inckl_gen:253.060623
snr: 1.007832, var: 1.553450, inckl_gen:194.907593
snr: 1.008344, var: 1.560459, inckl_gen:206.506790
snr: 1.007374, var: 1.555673, inckl_gen:266.169403
snr: 1.007564, var: 1.565036, inckl_gen:188.996048
snr: 1.007644, var: 1.528983, inckl_gen:316.135071
snr: 1.007859, var: 1.587016, inckl_gen:340.823792
snr: 1.006552, var: 1.543538, inckl_gen:166.634384
snr: 1.006804, var: 1.524832, inckl_gen:189.184250
snr: 1.007152, var: 1.610213, inckl_gen:250.107422
snr: 1.007941, var: 1.630670, inckl_gen:239.846268
snr: 1.008709, var: 1.621407, inckl_gen:176.297684
snr: 1.006541, var: 1.637181, inckl_gen:142.807419
snr: 1.007320, var: 1.614865, inckl_gen:234.282471
snr: 1.008416, var: 1.685148, inckl_gen:261.791748
snr: 1.008373, var: 1.566425, inckl_gen:153.588608
snr: 1.010381, var: 1.567319, inckl_gen:301.404572
snr: 1.008076, var: 1.595715, inckl_gen:205.197876
snr: 1.007810, var: 1.631120, inckl_gen:136.307541
snr: 1.007883, var: 1.659245, inckl_gen:275.838287
snr: 1.006635, var: 1.707323, inckl_gen:497.858002
snr: 1.009229, var: 1.670947, inckl_gen:239.218124
snr: 1.008463, var: 1.730612, inckl_gen:183.383331
snr: 1.006797, var: 1.741127, inckl_gen:128.291519
snr: 1.007487, var: 1.677745, inckl_gen:293.885406
snr: 1.008592, var: 1.689500, inckl_gen:167.258377
snr: 1.007081, var: 1.684852, inckl_gen:342.656738
snr: 1.008354, var: 1.720262, inckl_gen:254.881454
snr: 1.007229, var: 1.772301, inckl_gen:221.173691
snr: 1.007522, var: 1.789228, inckl_gen:240.835556
snr: 1.007902, var: 1.833980, inckl_gen:215.506622
snr: 1.010127, var: 1.895793, inckl_gen:510.473450
snr: 1.008405, var: 1.808793, inckl_gen:202.909607
snr: 1.010929, var: 1.851326, inckl_gen:696.294434
snr: 1.007920, var: 1.765329, inckl_gen:138.661423
snr: 1.007210, var: 1.833122, inckl_gen:497.991913
snr: 1.008135, var: 1.768198, inckl_gen:191.070541
snr: 1.006897, var: 1.838525, inckl_gen:127.250320
snr: 1.011634, var: 1.797869, inckl_gen:143.393127
snr: 1.009468, var: 1.807655, inckl_gen:204.291428
snr: 1.008876, var: 1.761288, inckl_gen:271.695465
snr: 1.008545, var: 1.822112, inckl_gen:110.266701
snr: 1.008628, var: 1.769849, inckl_gen:273.325439
snr: 1.007190, var: 1.814155, inckl_gen:270.291901
snr: 1.009184, var: 1.830145, inckl_gen:302.776001
snr: 1.004820, var: 1.878303, inckl_gen:145.742447
snr: 1.005681, var: 1.814148, inckl_gen:321.715607
snr: 1.007360, var: 1.904861, inckl_gen:374.368927
snr: 1.006352, var: 1.834714, inckl_gen:313.058472
snr: 1.006145, var: 1.895596, inckl_gen:202.360153
snr: 1.006624, var: 1.873696, inckl_gen:252.268967
snr: 1.007678, var: 1.825289, inckl_gen:111.172295
snr: 1.008420, var: 1.889259, inckl_gen:263.034760
snr: 1.007955, var: 1.922698, inckl_gen:188.432312
snr: 1.007705, var: 1.864160, inckl_gen:75.091560
snr: 1.006938, var: 1.819338, inckl_gen:202.925385
snr: 1.006623, var: 1.835278, inckl_gen:190.235931
snr: 1.007217, var: 1.874711, inckl_gen:145.686844
snr: 1.007191, var: 1.792811, inckl_gen:192.838623
snr: 1.005892, var: 1.815372, inckl_gen:160.821655
snr: 1.007204, var: 1.789114, inckl_gen:199.675690
snr: 1.007492, var: 1.819822, inckl_gen:209.539658
snr: 1.007483, var: 1.947612, inckl_gen:74.556236
snr: 1.010849, var: 1.895891, inckl_gen:252.965942
snr: 1.006068, var: 1.857716, inckl_gen:254.034256
snr: 1.006760, var: 1.948454, inckl_gen:253.213242
snr: 1.009840, var: 1.837416, inckl_gen:370.901947
snr: 1.007426, var: 1.991084, inckl_gen:213.871704
snr: 1.006711, var: 1.857586, inckl_gen:275.899567
snr: 1.008644, var: 1.949614, inckl_gen:95.035378
snr: 1.009105, var: 1.931306, inckl_gen:203.124435
snr: 1.008402, var: 1.999046, inckl_gen:238.069748
snr: 1.006576, var: 1.871130, inckl_gen:175.897614
snr: 1.009088, var: 1.815895, inckl_gen:130.586960
snr: 1.007969, var: 1.855487, inckl_gen:120.844620
snr: 1.006808, var: 1.950244, inckl_gen:86.004906
snr: 1.009858, var: 1.887466, inckl_gen:87.801651
snr: 1.006772, var: 1.891244, inckl_gen:202.576157
snr: 1.007596, var: 1.908577, inckl_gen:136.609283
snr: 1.008150, var: 1.862967, inckl_gen:161.587006
snr: 1.008263, var: 1.801676, inckl_gen:102.415421
snr: 1.009986, var: 1.870531, inckl_gen:71.113754
snr: 1.006287, var: 1.806097, inckl_gen:181.713409
snr: 1.007302, var: 1.933636, inckl_gen:80.465675
snr: 1.006015, var: 1.805000, inckl_gen:144.349640
snr: 1.007446, var: 1.808058, inckl_gen:168.370178
snr: 1.007908, var: 1.878945, inckl_gen:91.807144
snr: 1.008107, var: 1.767579, inckl_gen:135.145737
snr: 1.010881, var: 1.884670, inckl_gen:66.234146
snr: 1.008298, var: 1.814494, inckl_gen:32.580791
snr: 1.007046, var: 1.833522, inckl_gen:109.087852
snr: 1.008274, var: 1.841937, inckl_gen:168.527359
snr: 1.008914, var: 1.811334, inckl_gen:157.096893
snr: 1.007819, var: 1.890405, inckl_gen:36.447750
snr: 1.008827, var: 1.927335, inckl_gen:68.300339
snr: 1.010444, var: 1.832220, inckl_gen:137.083969
snr: 1.007718, var: 1.849013, inckl_gen:39.888615
snr: 1.008057, var: 1.776154, inckl_gen:19.588795
snr: 1.007284, var: 1.798347, inckl_gen:4.503835
snr: 1.008483, var: 1.764517, inckl_gen:112.445999
snr: 1.007609, var: 1.782962, inckl_gen:29.093424
snr: 1.009650, var: 1.832742, inckl_gen:29.361143
snr: 1.011892, var: 1.780024, inckl_gen:40.634930
snr: 1.009434, var: 1.817094, inckl_gen:86.096657
snr: 1.008536, var: 1.885353, inckl_gen:105.033485
snr: 1.010370, var: 1.757609, inckl_gen:76.484428
snr: 1.010811, var: 1.822623, inckl_gen:43.149380
snr: 1.009362, var: 1.721006, inckl_gen:55.368816
snr: 1.011004, var: 1.784598, inckl_gen:22.644766
snr: 1.010943, var: 1.727772, inckl_gen:387.727844
snr: 1.012749, var: 1.710744, inckl_gen:137.177856
snr: 1.009201, var: 1.834988, inckl_gen:80.171577
snr: 1.012898, var: 1.742530, inckl_gen:46.826031
snr: 1.011741, var: 1.711035, inckl_gen:44.094707
snr: 1.012656, var: 1.727882, inckl_gen:9.790514
snr: 1.012752, var: 1.634589, inckl_gen:16.504400
snr: 1.015491, var: 1.755047, inckl_gen:105.341629
snr: 1.014589, var: 1.734422, inckl_gen:28.782415
snr: 1.015342, var: 1.745427, inckl_gen:125.481544
snr: 1.020388, var: 1.652078, inckl_gen:25.566084
snr: 1.022625, var: 1.584255, inckl_gen:24.774511
snr: 1.027055, var: 1.662527, inckl_gen:30.127371
snr: 1.028158, var: 1.732998, inckl_gen:10.033439
snr: 1.024674, var: 1.678017, inckl_gen:49.525288
snr: 1.018553, var: 1.707167, inckl_gen:18.007544
snr: 1.017496, var: 1.678308, inckl_gen:188.453735
snr: 1.016720, var: 1.619494, inckl_gen:11.257608
snr: 1.014712, var: 1.670798, inckl_gen:55.467720
snr: 1.012745, var: 1.594239, inckl_gen:9.442433
snr: 1.012162, var: 1.616824, inckl_gen:29.017857
snr: 1.009681, var: 1.632174, inckl_gen:61.234161
snr: 1.008023, var: 1.617668, inckl_gen:17.289732
snr: 1.007760, var: 1.624980, inckl_gen:43.069172
snr: 1.007474, var: 1.513554, inckl_gen:11.302096
snr: 1.007093, var: 1.584289, inckl_gen:28.091715
snr: 1.007288, var: 1.562371, inckl_gen:9.043398
snr: 1.007744, var: 1.560732, inckl_gen:11.126762
snr: 1.007530, var: 1.553426, inckl_gen:27.615713
snr: 1.009279, var: 1.602355, inckl_gen:44.166138
snr: 1.006542, var: 1.586063, inckl_gen:53.897114
snr: 1.006469, var: 1.648154, inckl_gen:11.530825
snr: 1.009242, var: 1.622291, inckl_gen:8.198435
snr: 1.005475, var: 1.562504, inckl_gen:13.347394
snr: 1.005725, var: 1.541476, inckl_gen:59.080677
snr: 1.005361, var: 1.530836, inckl_gen:31.032187
snr: 1.005454, var: 1.500474, inckl_gen:30.492435
snr: 1.006788, var: 1.590974, inckl_gen:14.994756
snr: 1.005913, var: 1.466676, inckl_gen:24.874201
snr: 1.004193, var: 1.653196, inckl_gen:57.733681
snr: 1.006197, var: 1.574305, inckl_gen:27.655735
snr: 1.006343, var: 1.539874, inckl_gen:36.086403
snr: 1.005317, var: 1.527315, inckl_gen:4.108625
snr: 1.005473, var: 1.625187, inckl_gen:0.766326
snr: 1.005214, var: 1.609009, inckl_gen:68.157669
snr: 1.004983, var: 1.614940, inckl_gen:10.091205
snr: 1.005390, var: 1.669660, inckl_gen:236.627319
snr: 1.004410, var: 1.582726, inckl_gen:39.950283
snr: 1.004592, var: 1.563858, inckl_gen:18.215136
snr: 1.004017, var: 1.580453, inckl_gen:1.234481
snr: 1.005816, var: 1.655251, inckl_gen:32.310272
snr: 1.004997, var: 1.554713, inckl_gen:16.688257
snr: 1.004350, var: 1.513204, inckl_gen:8.443579
snr: 1.004709, var: 1.545933, inckl_gen:1.625607
snr: 1.005073, var: 1.532861, inckl_gen:187.434875
snr: 1.004289, var: 1.588961, inckl_gen:2.618110
snr: 1.004654, var: 1.558673, inckl_gen:16.794825
snr: 1.004436, var: 1.607487, inckl_gen:15.987727
snr: 1.004774, var: 1.590453, inckl_gen:5.588244
snr: 1.003890, var: 1.639250, inckl_gen:103.885979
snr: 1.004374, var: 1.582305, inckl_gen:236.308136
snr: 1.005109, var: 1.508097, inckl_gen:12.628774
snr: 1.004408, var: 1.530601, inckl_gen:1.668953
snr: 1.004655, var: 1.616752, inckl_gen:7.984536
snr: 1.006318, var: 1.598699, inckl_gen:13.017921
snr: 1.003941, var: 1.549984, inckl_gen:23.950794
snr: 1.005334, var: 1.571763, inckl_gen:5.194207
snr: 1.007399, var: 1.595811, inckl_gen:6.002183
snr: 1.004742, var: 1.603598, inckl_gen:5.212387
snr: 1.005122, var: 1.669157, inckl_gen:41.967651
snr: 1.004556, var: 1.638803, inckl_gen:28.274708
snr: 1.004897, var: 1.505797, inckl_gen:9.681051
snr: 1.004018, var: 1.560708, inckl_gen:34.997440
snr: 1.003951, var: 1.592390, inckl_gen:7.808695
snr: 1.003911, var: 1.660176, inckl_gen:18.521173
snr: 1.005513, var: 1.672218, inckl_gen:9.589458
snr: 1.004170, var: 1.691832, inckl_gen:9.021736
snr: 1.004560, var: 1.624398, inckl_gen:3.014201
snr: 1.004533, var: 1.700484, inckl_gen:1.126521
snr: 1.004737, var: 1.597224, inckl_gen:26.364614
snr: 1.005477, var: 1.614856, inckl_gen:30.339386
snr: 1.005554, var: 1.581785, inckl_gen:2.206813
snr: 1.005866, var: 1.594479, inckl_gen:4.169987
snr: 1.004667, var: 1.657499, inckl_gen:4.421342
snr: 1.004133, var: 1.620570, inckl_gen:2.628950
snr: 1.005137, var: 1.600681, inckl_gen:2.724759
snr: 1.003822, var: 1.584422, inckl_gen:11.668399
snr: 1.003926, var: 1.689503, inckl_gen:64.904755
snr: 1.004331, var: 1.602689, inckl_gen:0.918713
snr: 1.003611, var: 1.634755, inckl_gen:47.697842
snr: 1.004923, var: 1.629840, inckl_gen:34.804348
snr: 1.004932, var: 1.663336, inckl_gen:52.611641
snr: 1.004137, var: 1.656894, inckl_gen:1.933682
snr: 1.003279, var: 1.614566, inckl_gen:57.112915
snr: 1.005794, var: 1.539072, inckl_gen:7.997199
snr: 1.004509, var: 1.609313, inckl_gen:2.026082
snr: 1.003946, var: 1.607347, inckl_gen:16.488256
snr: 1.003559, var: 1.509663, inckl_gen:7.444253
snr: 1.004162, var: 1.632853, inckl_gen:10.797032
snr: 1.002978, var: 1.596747, inckl_gen:32.131531
snr: 1.004545, var: 1.683319, inckl_gen:30.668070
snr: 1.004436, var: 1.700151, inckl_gen:2.283068
snr: 1.004698, var: 1.663790, inckl_gen:3.154678
snr: 1.004436, var: 1.672653, inckl_gen:0.292934
snr: 1.003833, var: 1.641837, inckl_gen:54.798866
